metric,metric_id,group1,group2,meandiff,p_adj,sig_level,significant,lower,upper
Search Space (Candidates After R1),candidates_after_1,CSS,Random,311.2,3.6368006373077577e-07,***,Yes,146.59816109042023,475.8018389095797
Search Space (Candidates After R1),candidates_after_1,CSS,Pure_Random,301.59,9.798771616331692e-07,***,Yes,136.98816109042022,466.1918389095797
Search Space (Candidates After R1),candidates_after_1,CSS,Small_LLM,284.4159999999998,5.373387883200742e-06,***,Yes,119.81416109042007,449.0178389095796
Search Space (Candidates After R1),candidates_after_1,CSS,Mid_LLM,257.2466666666666,6.580930378352612e-05,***,Yes,92.64482775708686,421.84850557624634
Search Space (Candidates After R1),candidates_after_1,CSS,VOI,216.62,0.0017754272535228655,**,Yes,52.01816109042025,381.2218389095798
Search Space (Candidates After R1),candidates_after_1,CSS,Frontier_LLM,208.5766666666667,0.003184269340579915,**,Yes,43.974827757086956,373.1785055762465
Search Space (Candidates After R1),candidates_after_1,Hybrid,Random,178.71444444444444,0.022493657645449527,*,Yes,14.112605534864684,343.3162833540242
Search Space (Candidates After R1),candidates_after_1,Hybrid,Pure_Random,169.10444444444443,0.03910948351703514,*,Yes,4.502605534864671,333.7062833540242
Search Space (Candidates After R1),candidates_after_1,Hybrid,Small_LLM,151.93044444444428,0.0951361315298015,ns,No,-12.671394465135478,316.532283354024
Search Space (Candidates After R1),candidates_after_1,CSS,Hybrid,132.48555555555555,0.22075032264953864,ns,No,-32.116283354024205,297.0873944651353
Search Space (Candidates After R1),candidates_after_1,Hybrid,Mid_LLM,124.76111111111106,0.29288537308028173,ns,No,-39.84072779846869,289.36295002069085
Search Space (Candidates After R1),candidates_after_1,Frontier_LLM,Random,102.62333333333328,0.5549417828017198,ns,No,-61.97850557624648,267.225172242913
Search Space (Candidates After R1),candidates_after_1,Random,VOI,-94.57999999999998,0.6567180263073789,ns,No,-259.1818389095797,70.02183890957977
Search Space (Candidates After R1),candidates_after_1,Frontier_LLM,Pure_Random,93.01333333333326,0.6759690837532915,ns,No,-71.58850557624649,257.615172242913
Search Space (Candidates After R1),candidates_after_1,Pure_Random,VOI,-84.96999999999997,0.7689215673889889,ns,No,-249.57183890957972,79.63183890957978
Search Space (Candidates After R1),candidates_after_1,Hybrid,VOI,84.13444444444445,0.7778613647430863,ns,No,-80.4673944651353,248.7362833540242
Search Space (Candidates After R1),candidates_after_1,Frontier_LLM,Hybrid,-76.09111111111116,0.8551033038762607,ns,No,-240.69295002069092,88.5107277984686
Search Space (Candidates After R1),candidates_after_1,Frontier_LLM,Small_LLM,75.83933333333312,0.8572413389416489,ns,No,-88.76250557624664,240.44117224291287
Search Space (Candidates After R1),candidates_after_1,Small_LLM,VOI,-67.79599999999982,0.9159068747419827,ns,No,-232.39783890957958,96.80583890957993
Search Space (Candidates After R1),candidates_after_1,Mid_LLM,Random,53.953333333333376,0.9749848877165681,ns,No,-110.64850557624638,218.55517224291313
Search Space (Candidates After R1),candidates_after_1,Frontier_LLM,Mid_LLM,48.6699999999999,0.9861848125098627,ns,No,-115.93183890957985,213.27183890957966
Search Space (Candidates After R1),candidates_after_1,Mid_LLM,Pure_Random,44.34333333333336,0.9920757631945029,ns,No,-120.25850557624639,208.94517224291312
Search Space (Candidates After R1),candidates_after_1,Mid_LLM,VOI,-40.62666666666661,0.995367770335964,ns,No,-205.22850557624636,123.97517224291315
Search Space (Candidates After R1),candidates_after_1,Mid_LLM,Small_LLM,27.169333333333213,0.9996538463809791,ns,No,-137.43250557624654,191.77117224291297
Search Space (Candidates After R1),candidates_after_1,Random,Small_LLM,-26.784000000000162,0.9996851745626826,ns,No,-191.38583890957992,137.8178389095796
Search Space (Candidates After R1),candidates_after_1,Pure_Random,Small_LLM,-17.17400000000015,0.9999844222697883,ns,No,-181.7758389095799,147.4278389095796
Search Space (Candidates After R1),candidates_after_1,Pure_Random,Random,9.610000000000014,0.9999997185307344,ns,No,-154.99183890957974,174.21183890957977
Search Space (Candidates After R1),candidates_after_1,Frontier_LLM,VOI,8.043333333333294,0.9999999184495981,ns,No,-156.55850557624646,172.64517224291305
