metric,metric_id,group1,group2,meandiff,p_adj,sig_level,significant,lower,upper
Win Rate,win_rate,CSS,Frontier_LLM,-0.029999999999999694,0.876805796272437,ns,No,-0.09725083427554776,0.03725083427554837
Win Rate,win_rate,CSS,Hybrid,-0.015185185185185301,0.9973484970749334,ns,No,-0.08243601946073337,0.052065649090362764
Win Rate,win_rate,CSS,Mid_LLM,0.0033333333333332993,0.9999999099505994,ns,No,-0.06391750094221477,0.07058416760888137
Win Rate,win_rate,CSS,Pure_Random,-0.96,0.0,***,Yes,-1.027250834275548,-0.892749165724452
Win Rate,win_rate,CSS,Random,-0.04999999999999993,0.31761442640511783,ns,No,-0.117250834275548,0.017250834275548133
Win Rate,win_rate,CSS,Small_LLM,-0.014000000000000123,0.9984211346390117,ns,No,-0.08125083427554819,0.05325083427554794
Win Rate,win_rate,CSS,VOI,0.030000000000000027,0.8768057962724307,ns,No,-0.03725083427554804,0.09725083427554809
Win Rate,win_rate,Frontier_LLM,Hybrid,0.014814814814814392,0.9977330221509713,ns,No,-0.052436019460733674,0.08206564909036246
Win Rate,win_rate,Frontier_LLM,Mid_LLM,0.03333333333333299,0.8041254186763154,ns,No,-0.03391750094221507,0.10058416760888106
Win Rate,win_rate,Frontier_LLM,Pure_Random,-0.9300000000000003,0.0,***,Yes,-0.9972508342755484,-0.8627491657244521
Win Rate,win_rate,Frontier_LLM,Random,-0.02000000000000024,0.985708851779945,ns,No,-0.0872508342755483,0.047250834275547826
Win Rate,win_rate,Frontier_LLM,Small_LLM,0.01599999999999957,0.9963155395958059,ns,No,-0.051250834275548496,0.08325083427554764
Win Rate,win_rate,Frontier_LLM,VOI,0.05999999999999972,0.12059486650305073,ns,No,-0.007250834275548346,0.1272508342755478
Win Rate,win_rate,Hybrid,Mid_LLM,0.0185185185185186,0.9909548458130705,ns,No,-0.048732315757029465,0.08576935279406667
Win Rate,win_rate,Hybrid,Pure_Random,-0.9448148148148147,0.0,***,Yes,-1.0120656490903628,-0.8775639805392665
Win Rate,win_rate,Hybrid,Random,-0.03481481481481463,0.7663028049029736,ns,No,-0.1020656490903627,0.032436019460733434
Win Rate,win_rate,Hybrid,Small_LLM,0.001185185185185178,0.9999999999343613,ns,No,-0.06606564909036289,0.06843601946073324
Win Rate,win_rate,Hybrid,VOI,0.04518518518518533,0.4541492455087798,ns,No,-0.022065649090362738,0.1124360194607334
Win Rate,win_rate,Mid_LLM,Pure_Random,-0.9633333333333333,0.0,***,Yes,-1.0305841676088814,-0.8960824990577851
Win Rate,win_rate,Mid_LLM,Random,-0.05333333333333323,0.23774012743339934,ns,No,-0.1205841676088813,0.013917500942214833
Win Rate,win_rate,Mid_LLM,Small_LLM,-0.017333333333333423,0.9939489276798268,ns,No,-0.08458416760888149,0.04991750094221464
