metric,metric_id,group1,group2,meandiff,p_adj,sig_level,significant,lower,upper
Hamming Distance (Round 6),hamming_6,Frontier_LLM,Pure_Random,3.9912962962962966,0.0,***,Yes,3.6259393693180417,4.356653223274551
Hamming Distance (Round 6),hamming_6,Hybrid,Pure_Random,4.305807303282171,0.0,***,Yes,4.031880177442867,4.5797344291214745
Hamming Distance (Round 6),hamming_6,Pure_Random,Random,-4.111666666666667,0.0,***,Yes,-4.538938597926017,-3.6843947354073174
Hamming Distance (Round 6),hamming_6,Pure_Random,Small_LLM,-4.16963768115942,0.0,***,Yes,-4.504523420439438,-3.8347519418794027
Hamming Distance (Round 6),hamming_6,Mid_LLM,Pure_Random,4.236666666666667,0.0,***,Yes,3.8634920609603514,4.609841272372983
Hamming Distance (Round 6),hamming_6,Pure_Random,VOI,-4.37,0.0,***,Yes,-5.231407778908829,-3.5085922210911713
Hamming Distance (Round 6),hamming_6,CSS,Pure_Random,4.125555555555556,0.0,***,Yes,3.471384783510826,4.779726327600285
Hamming Distance (Round 6),hamming_6,Frontier_LLM,Hybrid,-0.314511006985874,0.1655167078463875,ns,No,-0.6857964265541497,0.05677441258240179
Hamming Distance (Round 6),hamming_6,Frontier_LLM,Mid_LLM,-0.24537037037037035,0.7099059968091641,ns,No,-0.6948991001057158,0.20415835936497506
Hamming Distance (Round 6),hamming_6,Hybrid,Random,0.19414063661550357,0.8704286874009693,ns,No,-0.23821162940734408,0.6264929026383512
Hamming Distance (Round 6),hamming_6,Frontier_LLM,Small_LLM,-0.17834138486312406,0.8983056334862864,ns,No,-0.5966298629336211,0.239947093207373
Hamming Distance (Round 6),hamming_6,Frontier_LLM,VOI,-0.3787037037037037,0.9030570420089766,ns,No,-1.2758325428779054,0.5184251354704978
Hamming Distance (Round 6),hamming_6,Hybrid,Small_LLM,0.1361696221227499,0.9266065872853775,ns,No,-0.2051742471148867,0.4775134913603865
Hamming Distance (Round 6),hamming_6,Random,VOI,-0.2583333333333333,0.9897805966547101,ns,No,-1.1824089651022653,0.6657422984355988
Hamming Distance (Round 6),hamming_6,CSS,Hybrid,-0.18025174772661468,0.9909101524271193,ns,No,-0.8377519969209358,0.4772485014677065
Hamming Distance (Round 6),hamming_6,Mid_LLM,Random,0.12499999999999994,0.9948899134164142,ns,No,-0.3761503746467461,0.626150374646746
Hamming Distance (Round 6),hamming_6,Frontier_LLM,Random,-0.1203703703703704,0.9956530375706886,ns,No,-0.6157269043491838,0.3749861636084429
Hamming Distance (Round 6),hamming_6,CSS,VOI,-0.2444444444444444,0.9966432505858829,ns,No,-1.2929166038195297,0.8040277149306407
Hamming Distance (Round 6),hamming_6,Small_LLM,VOI,-0.20036231884057965,0.9972127487373073,ns,No,-1.0855193265856355,0.6847946889044761
Hamming Distance (Round 6),hamming_6,CSS,Frontier_LLM,0.1342592592592593,0.999041598765081,ns,No,-0.5662806693037074,0.834799187822226
Hamming Distance (Round 6),hamming_6,Hybrid,Mid_LLM,0.06914063661550363,0.9993051268268905,ns,No,-0.3098401874865362,0.44812146071754344
Hamming Distance (Round 6),hamming_6,CSS,Mid_LLM,-0.11111111111111105,0.9997348929596478,ns,No,-0.8157598134898759,0.5935375912676538
Hamming Distance (Round 6),hamming_6,Mid_LLM,Small_LLM,0.06702898550724629,0.9997350878619015,ns,No,-0.3581049382621977,0.49216290927669026
Hamming Distance (Round 6),hamming_6,Mid_LLM,VOI,-0.13333333333333336,0.9998256857154236,ns,No,-1.033674244505941,0.7670075778392742
Hamming Distance (Round 6),hamming_6,Random,Small_LLM,-0.05797101449275366,0.9999516348800116,ns,No,-0.5313005720291846,0.4153585430436772
Hamming Distance (Round 6),hamming_6,Hybrid,VOI,-0.06419269671782973,0.9999984385232767,ns,No,-0.9281316646187101,0.7997462711830507
Hamming Distance (Round 6),hamming_6,CSS,Small_LLM,-0.044082125603864764,0.9999994245150312,ns,No,-0.7292236918462993,0.6410594406385699
Hamming Distance (Round 6),hamming_6,CSS,Random,0.013888888888888895,0.9999999998883687,ns,No,-0.7208435866844363,0.7486213644622142
