metric,metric_id,group1,group2,meandiff,p_adj,sig_level,significant,lower,upper
Search Space Reduction (Round 1),reduction_rate_1,CSS,Random,-5.528513057381431,3.6388064594827796e-07,***,Yes,-8.452738103579133,-2.6042880111837308
Search Space Reduction (Round 1),reduction_rate_1,CSS,Pure_Random,-5.357790015988698,9.803864946533736e-07,***,Yes,-8.2820150621864,-2.4335649697909973
Search Space Reduction (Round 1),reduction_rate_1,CSS,Small_LLM,-5.052804185468162,5.372595629715704e-06,***,Yes,-7.977029231665862,-2.128579139270461
Search Space Reduction (Round 1),reduction_rate_1,CSS,Mid_LLM,-4.570430852134805,6.570222930313285e-05,***,Yes,-7.494655898332506,-1.6462058059371047
Search Space Reduction (Round 1),reduction_rate_1,CSS,VOI,-3.8482856635281877,0.0017759100701655317,**,Yes,-6.772510709725888,-0.924060617330487
Search Space Reduction (Round 1),reduction_rate_1,CSS,Frontier_LLM,-3.7055975188014827,0.003182483424751692,**,Yes,-6.629822564999183,-0.7813724726037821
Search Space Reduction (Round 1),reduction_rate_1,Hybrid,Random,-3.1748879808925494,0.02249771465624162,*,Yes,-6.09911302709025,-0.2506629346948488
Search Space Reduction (Round 1),reduction_rate_1,Hybrid,Pure_Random,-3.004164939499816,0.039115706276874995,*,Yes,-5.928389985697517,-0.07993989330211537
Search Space Reduction (Round 1),reduction_rate_1,Hybrid,Small_LLM,-2.69917910897928,0.09511893846723452,ns,No,-5.6234041551769804,0.2250459372184208
Search Space Reduction (Round 1),reduction_rate_1,CSS,Hybrid,-2.353625076488882,0.22076942667920296,ns,No,-5.277850122686583,0.5705999697088187
Search Space Reduction (Round 1),reduction_rate_1,Hybrid,Mid_LLM,-2.2168057756459234,0.29267467567647065,ns,No,-5.141030821843624,0.7074192705517772
Search Space Reduction (Round 1),reduction_rate_1,Frontier_LLM,Random,-1.8229155385799487,0.5551100128168063,ns,No,-4.747140584777649,1.101309507617752
Search Space Reduction (Round 1),reduction_rate_1,Random,VOI,1.6802273938532437,0.6567378579075687,ns,No,-1.243997652344457,4.604452440050944
Search Space Reduction (Round 1),reduction_rate_1,Frontier_LLM,Pure_Random,-1.6521924971872153,0.6761275268666408,ns,No,-4.576417543384916,1.2720325490104853
Search Space Reduction (Round 1),reduction_rate_1,Pure_Random,VOI,1.5095043524605103,0.7689371039929065,ns,No,-1.4147206937371903,4.433729398658211
Search Space Reduction (Round 1),reduction_rate_1,Hybrid,VOI,-1.4946605870393057,0.7778764826255877,ns,No,-4.418885633237006,1.429564459158395
Search Space Reduction (Round 1),reduction_rate_1,Frontier_LLM,Hybrid,1.3519724423126007,0.8550169227807388,ns,No,-1.5722526038851,4.276197488510301
Search Space Reduction (Round 1),reduction_rate_1,Frontier_LLM,Small_LLM,-1.347206666666679,0.8572950716772993,ns,No,-4.27143171286438,1.5770183795310215
Search Space Reduction (Round 1),reduction_rate_1,Small_LLM,VOI,1.204518521939974,0.9158750352190702,ns,No,-1.7197065242577265,4.128743568137675
Search Space Reduction (Round 1),reduction_rate_1,Mid_LLM,Random,-0.958082205246626,0.9750470428870193,ns,No,-3.8823072514443266,1.9661428409510746
Search Space Reduction (Round 1),reduction_rate_1,Frontier_LLM,Mid_LLM,-0.8648333333333227,0.986167048162624,ns,No,-3.7890583795310233,2.059391712864378
Search Space Reduction (Round 1),reduction_rate_1,Mid_LLM,Pure_Random,-0.7873591638538926,0.9921013224554105,ns,No,-3.7115842100515932,2.136865882343808
Search Space Reduction (Round 1),reduction_rate_1,Mid_LLM,VOI,0.7221451886066177,0.9953520475418098,ns,No,-2.202079857591083,3.6463702348043183
Search Space Reduction (Round 1),reduction_rate_1,Mid_LLM,Small_LLM,-0.4823733333333564,0.9996552810927233,ns,No,-3.406598379531057,2.441851712864344
Search Space Reduction (Round 1),reduction_rate_1,Random,Small_LLM,0.4757088719132696,0.9996857055154688,ns,No,-2.448516174284431,3.3999339181109702
Search Space Reduction (Round 1),reduction_rate_1,Pure_Random,Small_LLM,0.3049858305205362,0.9999844634890624,ns,No,-2.6192392156771644,3.229210876718237
Search Space Reduction (Round 1),reduction_rate_1,Pure_Random,Random,-0.17072304139273342,0.9999997185638955,ns,No,-3.094948087590434,2.753502004804967
Search Space Reduction (Round 1),reduction_rate_1,Frontier_LLM,VOI,-0.142688144726705,0.9999999192623136,ns,No,-3.0669131909244056,2.7815369014709956
