Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
approach,CSS,Frontier_LLM,True,True,1.9916606277706521,99.0,two-sided,0.0491630972719235,1.0,bonf,0.735,0.28777318607885416
approach,CSS,Hybrid,True,True,1.7933718309594309,99.0,two-sided,0.0759668232430839,1.0,bonf,0.517,0.25176849580281596
approach,CSS,Mid_LLM,True,True,2.721588771240531,99.0,two-sided,0.007677174213259617,0.21496087797126928,bonf,3.59,0.3509360756255554
approach,CSS,Pure_Random,True,True,39.05996546597254,99.0,two-sided,5.8522352650165496e-62,1.638625874204634e-60,bonf,2.067e+58,5.752960561133212
approach,CSS,Random,True,True,4.6714516228209195,99.0,two-sided,9.431022584820161e-06,0.0002640686323749645,bonf,1664.467,0.5832534889649054
approach,CSS,Small_LLM,True,True,1.5032985142586297,99.0,two-sided,0.1359454671339524,1.0,bonf,0.329,0.20752035834712146
approach,CSS,VOI,True,True,-2.058399504945158,99.0,two-sided,0.04217867722726845,1.0,bonf,0.835,-0.2886579925207969
approach,Frontier_LLM,Hybrid,True,True,-1.0859816204420525,99.0,two-sided,0.2801243583977704,1.0,bonf,0.196,-0.0948264323475683
approach,Frontier_LLM,Mid_LLM,True,True,0.6026231633384601,99.0,two-sided,0.5481373206680329,1.0,bonf,0.132,0.08122800830430796
approach,Frontier_LLM,Pure_Random,True,True,50.28773486556987,99.0,two-sided,2.6598602014087706e-72,7.447608563944558e-71,bonf,3.491e+68,7.323046030245731
approach,Frontier_LLM,Random,True,True,3.1227054772383758,99.0,two-sided,0.002349894281314684,0.06579703987681115,bonf,10.278,0.42710421224171563
approach,Frontier_LLM,Small_LLM,True,True,-1.3466074508455745,99.0,two-sided,0.1811815452833652,1.0,bonf,0.266,-0.17895009752867394
approach,Frontier_LLM,VOI,True,True,-5.501066359466954,99.0,two-sided,2.9607184607578245e-07,8.290011690121908e-06,bonf,4.372e+04,-0.7389775704294984
approach,Hybrid,Mid_LLM,True,True,1.7310921021031622,99.0,two-sided,0.08655072152055907,1.0,bonf,0.466,0.20533118722663085
approach,Hybrid,Pure_Random,True,True,55.103953134090915,99.0,two-sided,4.2362393221443414e-76,1.1861470102004156e-74,bonf,1.994e+72,8.324216545790733
approach,Hybrid,Random,True,True,4.472020154740671,99.0,two-sided,2.0685176935583053e-05,0.0005791849541963255,bonf,797.623,0.5658940695122978
approach,Hybrid,Small_LLM,True,True,-0.8871104376521463,99.0,two-sided,0.37716947339652557,1.0,bonf,0.162,-0.10961353664290138
approach,Hybrid,VOI,True,True,-5.5791338196669376,99.0,two-sided,2.1071061930659984e-07,5.899897340584795e-06,bonf,6.04e+04,-0.7582321144195332
approach,Mid_LLM,Pure_Random,True,True,50.87772341300552,99.0,two-sided,8.74706480897338e-73,2.4491781465125464e-71,bonf,1.049e+69,7.613203109198199
approach,Mid_LLM,Random,True,True,2.8692838818949276,99.0,two-sided,0.005029594458196347,0.14082864482949772,bonf,5.213,0.37996416838969743
approach,Mid_LLM,Small_LLM,True,True,-2.3944903474442274,99.0,two-sided,0.018525599464041455,0.5187167849931608,bonf,1.671,-0.3060836521862644
approach,Mid_LLM,VOI,True,True,-6.332287471222108,99.0,two-sided,7.122930558557944e-09,1.9944205563962243e-07,bonf,1.528e+06,-0.8427435810585747
approach,Pure_Random,Random,True,True,-40.35844284885078,99.0,two-sided,2.776798578857556e-63,7.775036020801157e-62,bonf,4.208e+59,-6.270556641242696
approach,Pure_Random,Small_LLM,True,True,-60.00337497709371,99.0,two-sided,1.1754710733057381e-79,3.2913190052560665e-78,bonf,6.583e+75,-8.612685516779619
approach,Pure_Random,VOI,True,True,-49.47388064020594,99.0,two-sided,1.2583462157748878e-71,3.5233694041696855e-70,bonf,7.505e+67,-7.116166929741667
approach,Random,Small_LLM,True,True,-4.578654823972408,99.0,two-sided,1.362501232020381e-05,0.00038150034496570667,bonf,1178.909,-0.6488333276117269
approach,Random,VOI,True,True,-7.51669357467321,99.0,two-sided,2.5634199010211645e-11,7.177575722859261e-10,bonf,3.415e+08,-1.0432190025664263
approach,Small_LLM,VOI,True,True,-5.186007530752323,99.0,two-sided,1.1406642903437277e-06,3.193860012962437e-05,bonf,1.218e+04,-0.7164875303501392
