Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
approach,CSS,Frontier_LLM,True,True,1.449056360606333,99.0,two-sided,0.15048205338422535,1.0,bonf,0.304,0.16688477640673144
approach,CSS,Hybrid,True,True,0.938811946461104,99.0,two-sided,0.35011215925563666,1.0,bonf,0.17,0.09554564555575115
approach,CSS,Mid_LLM,True,True,-0.17873384951984309,99.0,two-sided,0.8585119503212532,1.0,bonf,0.112,-0.02059005278018329
approach,CSS,Pure_Random,True,True,48.74423042781576,99.0,two-sided,5.172264782926595e-71,1.4482341392194465e-69,bonf,1.854e+67,6.867330516518786
approach,CSS,Random,True,True,1.6818357317441646,99.0,two-sided,0.09575262503018941,1.0,bonf,0.43,0.20207822559790478
approach,CSS,Small_LLM,True,True,0.7241379310344827,99.0,two-sided,0.47068884570081465,1.0,bonf,0.143,0.08550096064395216
approach,CSS,VOI,True,True,-1.7498158960596661,99.0,two-sided,0.08324862524496097,1.0,bonf,0.481,-0.19135068377048836
approach,Frontier_LLM,Hybrid,True,True,-1.080009818315704,99.0,two-sided,0.28276190837472603,1.0,bonf,0.195,-0.10894802860539671
approach,Frontier_LLM,Mid_LLM,True,True,-1.847645286154319,99.0,two-sided,0.06763952666611167,1.0,bonf,0.567,-0.23907237334823703
approach,Frontier_LLM,Pure_Random,True,True,58.406836635252304,99.0,two-sided,1.5781817567508829e-78,4.418908918902472e-77,bonf,5.041e+74,8.228646715277907
approach,Frontier_LLM,Random,True,True,0.736859286957243,99.0,two-sided,0.46295058405059886,1.0,bonf,0.144,0.08570781745236007
approach,Frontier_LLM,Small_LLM,True,True,-1.021732220842236,99.0,two-sided,0.3093979256767756,1.0,bonf,0.184,-0.11301664230983713
approach,Frontier_LLM,VOI,True,True,-3.4621593096219287,99.0,two-sided,0.0007927332184629367,0.022196530116962227,bonf,27.453,-0.4495723130603927
approach,Hybrid,Mid_LLM,True,True,-1.611540229022738,99.0,two-sided,0.11024572947446837,1.0,bonf,0.386,-0.1664094456392942
approach,Hybrid,Pure_Random,True,True,88.69287980604598,99.0,two-sided,3.799979189386899e-96,1.0639941730283318e-94,bonf,1.368e+92,12.495495666753223
approach,Hybrid,Random,True,True,1.3875335525832622,99.0,two-sided,0.16839450864903505,1.0,bonf,0.28,0.15991576736381416
approach,Hybrid,Small_LLM,True,True,-0.10603909660582828,99.0,two-sided,0.9157659007189788,1.0,bonf,0.111,-0.01040019689709264
approach,Hybrid,VOI,True,True,-4.126950045334216,99.0,two-sided,7.671768623808446e-05,0.0021480952146663646,bonf,235.244,-0.43569554422673495
approach,Mid_LLM,Pure_Random,True,True,83.74493262555062,99.0,two-sided,1.0368442047628428e-93,2.9031637733359598e-92,bonf,5.313e+89,11.798404167543735
approach,Mid_LLM,Random,True,True,1.9385579995031672,99.0,two-sided,0.05540309091327997,1.0,bonf,0.667,0.2425600393543817
approach,Mid_LLM,Small_LLM,True,True,1.1624735706759053,99.0,two-sided,0.2478377829007038,1.0,bonf,0.213,0.14683039765421388
approach,Mid_LLM,VOI,True,True,-2.0310096011589898,99.0,two-sided,0.04493472521263043,1.0,bonf,0.792,-0.24648309770303178
approach,Pure_Random,Random,True,True,-31.638584039112747,99.0,two-sided,1.4390803512521596e-53,4.0294249835060465e-52,bonf,1.053e+50,-4.457401660961645
approach,Pure_Random,Small_LLM,True,True,-78.75602949274281,99.0,two-sided,4.147833040330474e-91,1.1613932512925328e-89,bonf,1.414e+87,-11.095542589318127
approach,Pure_Random,VOI,True,True,-99.0,99.0,two-sided,8.038310152191163e-101,2.2507268426135257e-99,bonf,5.786e+96,-13.947614213381781
approach,Random,Small_LLM,True,True,-1.2221187431619656,99.0,two-sided,0.22456456263280156,1.0,bonf,0.228,-0.16271718142991354
approach,Random,VOI,True,True,-2.934057881530954,99.0,two-sided,0.004158024036355919,0.11642467301796573,bonf,6.173,-0.3701271775899925
approach,Small_LLM,VOI,True,True,-3.3319583200461196,99.0,two-sided,0.0012133776708936825,0.03397457478502311,bonf,18.653,-0.39661664685246156
