game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,PANEL,G----,4,4,CSS_TRUE,PROPS,G-G--,3,3,LLM,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,58,98.96962160241604,58,2,96.55172413793105,2.0,1.0,50.0,,,,,,,,,,0
2,PARTY,True,3,CRATE,-YYG-,4,4,CSS_TRUE,MARTS,-GGG-,2,2,LLM,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,19,99.66246224906732,19,5,73.68421052631578,5.0,1.0,80.0,,,,,,,,,,0
3,TRICK,True,3,RAINE,Y-G--,4,4,CSS_TRUE,BRICK,-GGGG,1,1,LLM,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,57,98.987386747202,57,4,92.98245614035088,4.0,1.0,75.0,,,,,,,,,,0
4,DIRTY,True,3,CARTS,--GG-,3,3,CSS_TRUE,WORTH,--GG-,3,3,LLM,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,19,99.66246224906732,19,2,89.47368421052632,2.0,1.0,50.0,,,,,,,,,,0
5,USUAL,True,3,COLES,--Y-Y,5,5,CSS_TRUE,SLUSH,YYG--,4,4,LLM,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,49,99.12950790548943,49,1,97.95918367346938,1.0,1.0,0.0,,,,,,,,,,0
6,TRULY,True,3,STALE,-Y-G-,4,4,CSS_TRUE,GUILT,-Y-GY,4,4,LLM,TRULY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,10,99.82234855214072,10,1,90.0,1.0,1.0,0.0,,,,,,,,,,0
7,SPENT,True,4,SARIN,G---Y,4,4,CSS_TRUE,STONE,GY-GY,3,3,LLM,SCENT,G-GGG,1.0,1.0,LLM,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,36,99.36045478770652,36,2,94.44444444444444,2.0,1.0,50.0,1.0,1.0,0.0,,,,,,,0
8,PAUSE,True,4,RAINE,-G--G,3,3,CSS_TRUE,WASTE,-GY-G,3,3,LLM,SAUCE,YGG-G,2.0,2.0,LLM,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,51,99.09397761591757,51,8,84.31372549019608,8.0,1.0,87.5,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,6,RADON,YY---,5,4,CSS_TRUE,BROAD,-G-Y-,4,4,LLM,GRAPE,-GG--,3.0,3.0,LLM,CRACK,GGG--,2.0,2.0,LLM,CRASH,GGG--,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,LLM,5629,249,95.57647894830345,249,69,72.28915662650603,69.0,22.0,68.11594202898551,22.0,5.0,77.27272727272727,5.0,3.0,40.0,3.0,1.0,66.66666666666666,2
10,BASES,True,5,RINSE,---YY,5,4,CSS_TRUE,HOUSE,---YY,5,4,LLM,GLOBE,---YY,5.0,5.0,LLM,BEETS,GY--G,3.0,3.0,LLM,BASES,GGGGG,0.0,0.0,LLM,,,,,,5629,332,94.10197193107123,332,210,36.74698795180723,210.0,16.0,92.38095238095238,16.0,3.0,81.25,3.0,1.0,66.66666666666666,,,,5
11,YOUNG,True,5,EARLS,-----,5,5,CSS_TRUE,HOUSE,-GG--,3,3,LLM,MOUND,-GGG-,2.0,2.0,LLM,COUNT,-GGG-,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,5629,361,93.58678273227927,361,9,97.50692520775624,9.0,2.0,77.77777777777779,2.0,1.0,50.0,1.0,1.0,0.0,,,,2
12,MEANS,True,4,YEARS,-GG-G,2,2,CSS_TRUE,BEANS,-GGGG,1,1,LLM,JEANS,-GGGG,1.0,1.0,LLM,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,27,99.52034109077988,27,4,85.18518518518519,4.0,3.0,25.0,3.0,1.0,66.66666666666666,,,,,,,0
13,TRUTH,True,4,PANEL,-----,5,5,CSS_TRUE,HOUSE,Y-G--,4,4,LLM,THUMB,GYG--,3.0,3.0,LLM,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,620,88.9856102327234,620,5,99.19354838709675,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,1
14,FIRED,True,5,RAISE,Y-Y-Y,5,4,CSS_TRUE,TILER,-G-GY,3,3,LLM,WIRED,-GGGG,1.0,1.0,LLM,HIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,LLM,,,,,,5629,54,99.04068218155976,54,4,92.5925925925926,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
15,FOLKS,True,6,USHER,-Y---,5,5,CSS_TRUE,HOUSE,-G-Y-,4,4,LLM,SHORE,Y-Y--,5.0,5.0,LLM,COILS,-G-YG,3.0,3.0,LLM,GOLDS,-GG-G,2.0,2.0,LLM,FOLKS,GGGGG,0.0,0.0,LLM,5629,576,89.76727660330431,576,121,78.99305555555556,121.0,75.0,38.01652892561984,75.0,13.0,82.66666666666667,13.0,4.0,69.23076923076923,4.0,1.0,75.0,7
16,CHILE,True,3,LAINE,Y-G-G,3,3,CSS_TRUE,SMILE,--GGG,2,2,LLM,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,15,99.73352282821104,15,4,73.33333333333333,4.0,1.0,75.0,,,,,,,,,,0
17,BLACK,True,4,DALES,-YY--,5,5,CSS_TRUE,SPACE,--GG-,3,3,LLM,CLACK,-GGGG,1.0,1.0,LLM,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,130,97.6905311778291,130,3,97.6923076923077,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,,,,3
18,GRANT,True,3,VERNA,--YGY,4,4,CSS_TRUE,BRAND,-GGG-,2,2,LLM,GRANT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,15,99.73352282821104,15,9,40.0,9.0,1.0,88.88888888888889,,,,,,,,,,0
19,MEALS,True,6,AROSE,Y--YY,5,5,CSS_TRUE,HOUSE,---YY,5,5,LLM,SPACE,Y-G-Y,4.0,4.0,LLM,BEANS,-GG-G,2.0,2.0,LLM,MEATS,GGG-G,1.0,1.0,LLM,MEALS,GGGGG,0.0,0.0,LLM,5629,144,97.44181915082608,144,127,11.805555555555555,127.0,21.0,83.46456692913385,21.0,10.0,52.38095238095239,10.0,1.0,90.0,1.0,1.0,0.0,5
20,CREAM,False,6,SAHEL,-Y-Y-,5,5,CSS_TRUE,HOUSE,----Y,5,5,LLM,ARENA,YGG--,3.0,3.0,LLM,BREAD,-GGG-,2.0,2.0,LLM,TREAT,-GGG-,2.0,2.0,LLM,WREAK,-GGG-,2.0,2.0,LLM,5629,164,97.08651625510748,164,88,46.34146341463415,88.0,11.0,87.5,11.0,5.0,54.54545454545454,5.0,3.0,40.0,3.0,1.0,66.66666666666666,3
21,AWAKE,True,5,TAILS,-Y---,5,5,CSS_TRUE,STAIN,--G--,4,4,LLM,DRAMA,--G-Y,4.0,4.0,LLM,AGAVE,G-G-G,2.0,2.0,LLM,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,5629,347,93.83549475928228,347,93,73.19884726224784,93.0,4.0,95.6989247311828,4.0,1.0,75.0,1.0,1.0,0.0,,,,3
22,OCCUR,True,4,SAFER,----G,4,4,CSS_TRUE,MINOR,---YG,4,4,LLM,ODOUR,G--GG,2.0,2.0,LLM,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,28,99.50257594599395,28,2,92.85714285714286,2.0,1.0,50.0,1.0,1.0,0.0,,,,,,,0
23,YEARS,True,2,DOERS,--YGG,3,3,CSS_TRUE,YEARS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,13,99.76905311778292,13,1,92.3076923076923,,,,,,,,,,,,,0
24,GRADE,True,4,LANES,-Y-Y-,5,4,CSS_TRUE,HOUSE,----G,4,4,LLM,GRATE,GGG-G,1.0,1.0,LLM,GRADE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,140,97.5128797299698,140,41,70.71428571428572,41.0,5.0,87.8048780487805,5.0,1.0,80.0,,,,,,,2
25,CHILL,True,3,MALES,--Y--,5,5,CSS_TRUE,HOUSE,Y----,5,5,LLM,CHILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,146,97.40628886125424,146,9,93.83561643835615,9.0,1.0,88.88888888888889,,,,,,,,,,3
26,FLOOD,True,5,SAMIR,-----,5,5,CSS_TRUE,HOUSE,-Y---,5,5,LLM,BLOWN,-GG--,3.0,3.0,LLM,FLOCK,GGG--,2.0,2.0,LLM,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,5629,542,90.37129152602591,542,24,95.5719557195572,24.0,7.0,70.83333333333334,7.0,2.0,71.42857142857143,2.0,1.0,50.0,,,,1
27,APPLY,True,3,SOLAR,--YY-,5,5,CSS_TRUE,SPACE,-GY--,4,4,LLM,APPLY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,171,96.96216024160596,171,2,98.83040935672514,2.0,1.0,50.0,,,,,,,,,,2
28,SMILE,True,3,ANISE,--GYG,3,3,CSS_TRUE,SPIKE,G-G-G,2,2,LLM,SMILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,15,99.73352282821104,15,9,40.0,9.0,1.0,88.88888888888889,,,,,,,,,,0
29,KNOCK,True,4,SLANT,---Y-,5,5,CSS_TRUE,HOUSE,-Y---,5,5,LLM,BROWN,--G-Y,4.0,4.0,LLM,KNOCK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,243,95.683069817019,243,30,87.65432098765432,30.0,2.0,93.33333333333331,2.0,1.0,50.0,,,,,,,2
30,SLEEP,True,4,RENTS,-Y--Y,5,5,CSS_TRUE,HOUSE,---YY,5,5,LLM,SPEAK,GYG--,3.0,3.0,LLM,SLEEP,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,130,97.6905311778291,130,30,76.92307692307693,30.0,2.0,93.33333333333331,2.0,1.0,50.0,,,,,,,0
31,BRICK,True,5,DALES,-----,5,5,CSS_TRUE,HOUSE,-----,5,5,LLM,PRINT,-GG--,3.0,3.0,LLM,CRICK,-GGGG,1.0,1.0,LLM,BRICK,GGGGG,0.0,0.0,LLM,,,,,,5629,475,91.56155622668324,475,74,84.42105263157896,74.0,6.0,91.8918918918919,6.0,2.0,66.66666666666666,2.0,1.0,50.0,,,,2
32,WROTE,True,6,NASIR,----Y,5,5,CSS_TRUE,HOUSE,-Y--G,4,4,LLM,GROVE,-GG-G,2.0,2.0,LLM,BROKE,-GG-G,2.0,2.0,LLM,TROPE,YGG-G,2.0,2.0,LLM,WROTE,GGGGG,0.0,0.0,LLM,5629,287,94.9014034464381,287,16,94.42508710801394,16.0,10.0,37.5,10.0,7.0,30.0,7.0,1.0,85.71428571428571,1.0,1.0,0.0,2
33,RATED,True,3,MARIS,-GY--,4,4,CSS_TRUE,RAVED,GG-GG,1,1,LLM,RATED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,89,98.41890211405224,89,6,93.25842696629212,6.0,1.0,83.33333333333334,,,,,,,,,,0
34,ALERT,True,2,TEARS,YYYG-,4,4,CSS_TRUE,ALERT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,3,99.9467045656422,3,1,66.66666666666666,,,,,,,,,,,,,0
35,CAGES,True,6,RAINS,-G--G,3,3,CSS_TRUE,SPACE,Y-YYY,5,4,LLM,CASES,GG-GG,1.0,1.0,LLM,CAKES,GG-GG,1.0,1.0,LLM,CAVES,GG-GG,1.0,1.0,LLM,CAGES,GGGGG,0.0,0.0,LLM,5629,127,97.7438266121869,127,8,93.7007874015748,8.0,5.0,37.5,5.0,4.0,20.0,4.0,3.0,25.0,3.0,1.0,66.66666666666666,2
36,TEDDY,True,5,ANSEL,---Y-,5,5,CSS_TRUE,HOUSE,----Y,5,5,LLM,MERCY,-G--G,3.0,3.0,LLM,BETTY,-GY-G,3.0,3.0,LLM,TEDDY,GGGGG,0.0,0.0,LLM,,,,,,5629,318,94.35068395807426,318,74,76.72955974842768,74.0,11.0,85.13513513513513,11.0,1.0,90.9090909090909,1.0,1.0,0.0,,,,1
37,COLES,True,6,PAUSE,---YY,5,5,CSS_TRUE,HOUSE,-G-YY,4,4,LLM,CODES,GG-GG,1.0,1.0,LLM,CORES,GG-GG,1.0,1.0,LLM,COMES,GG-GG,1.0,1.0,LLM,COLES,GGGGG,0.0,0.0,LLM,5629,344,93.88879019364008,344,56,83.72093023255815,56.0,4.0,92.85714285714286,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,3
38,HWANG,True,4,SONAR,--YY-,5,5,CSS_TRUE,HOUSE,G----,4,4,LLM,HAVIN,GY--Y,4.0,4.0,LLM,HWANG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,152,97.29969799253864,152,3,98.02631578947368,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,4
