game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,OATES,Y-Y--,5,5,LLM,TONTO,-Y-GG,3,3,CSS_TRUE,PROTO,G-GGG,1,1,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,77,98.6320838514834,77,3,96.1038961038961,3,1,66.66666666666666,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,4,GUESS,-----,5,5,LLM,NAIRA,-G-Y-,4,4,CSS_TRUE,MARTY,-GGGG,1,1,CSS_TRUE,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1270,77.43826612186889,1270,32,97.48031496062993,32,1,96.875,1.0,1.0,0.0,,,,,,,0
3,TRICK,True,4,BASED,-----,5,5,LLM,PYLON,-----,5,5,CSS_TRUE,FRITH,-GGY-,3,3,CSS_TRUE,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,547,90.28246580209628,547,50,90.85923217550274,50,1,98.0,1.0,1.0,0.0,,,,,,,0
4,DIRTY,True,4,IBSEN,Y----,5,5,LLM,HILDA,-G-Y-,4,4,CSS_TRUE,DITTO,GG-G-,2,2,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,365,93.51572215313556,365,10,97.26027397260276,10,1,90.0,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,4,BASED,-YY--,5,5,LLM,STARS,Y-Y--,5,4,CSS_TRUE,ASIAN,-G-G-,3,3,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,255,95.46988807958785,255,16,93.72549019607844,16,1,93.75,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,5,SPRIT,--Y-Y,5,5,LLM,TATER,G---Y,4,4,CSS_TRUE,THORN,G--Y-,4,4,CSS_TRUE,TRUDY,GGG-G,1.0,1.0,CSS_TRUE,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,91,98.38337182448036,91,7,92.3076923076923,7,3,57.14285714285714,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
7,SPENT,True,3,MENSA,-YYY-,5,4,LLM,STEEN,GYG-Y,3,3,CSS_TRUE,SPENT,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,5629,52,99.07621247113164,52,2,96.15384615384616,2,1,50.0,,,,,,,,,,0
8,PAUSE,True,3,BARES,-G-YY,4,4,LLM,MASSE,-G-GG,2,2,CSS_TRUE,PAUSE,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,5629,15,99.73352282821104,15,4,73.33333333333333,4,1,75.0,,,,,,,,,,0
9,CRAZY,True,4,TRUST,-G---,4,4,LLM,ARNIE,YG---,4,4,CSS_TRUE,BRADY,-GG-G,2,2,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,231,95.89625155445016,231,21,90.9090909090909,21,2,90.47619047619048,2.0,1.0,50.0,,,,,,,0
10,BASES,True,4,AROSE,Y--YY,5,4,LLM,TALES,-G-GG,2,2,CSS_TRUE,CASES,-GGGG,1,1,CSS_TRUE,BASES,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,144,97.44181915082608,144,46,68.05555555555556,46,4,91.30434782608695,4.0,1.0,75.0,,,,,,,0
11,YOUNG,True,3,BASED,-----,5,5,LLM,CORNY,-G-GY,3,3,CSS_TRUE,YOUNG,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,5629,547,90.28246580209628,547,1,99.81718464351006,1,1,0.0,,,,,,,,,,0
12,MEANS,True,3,EARNS,YY-GG,3,2,LLM,BEANS,-GGGG,1,1,CSS_TRUE,MEANS,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,5629,5,99.91117427607034,5,4,20.0,4,1,75.0,,,,,,,,,,0
13,TRUTH,True,4,DALIT,----Y,5,5,LLM,RENTS,Y--G-,4,4,CSS_TRUE,FORTH,--YGG,3,3,CSS_TRUE,TRUTH,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,289,94.86587315686624,289,10,96.53979238754326,10,1,90.0,1.0,1.0,0.0,,,,,,,0
14,FIRED,True,4,JUMBO,-----,5,5,LLM,SHANE,----Y,5,5,CSS_TRUE,DETER,Y--GY,4,4,CSS_TRUE,FIRED,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,2399,57.381417658553914,2399,172,92.83034597749062,172,6,96.51162790697676,6.0,1.0,83.33333333333334,,,,,,,0
15,FOLKS,True,4,GUESS,----G,4,4,LLM,TAILS,---YG,4,4,CSS_TRUE,LOCKS,YG-GG,2,2,CSS_TRUE,FOLKS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,393,93.01829809912952,393,20,94.91094147582696,20,2,90.0,2.0,1.0,50.0,,,,,,,0
16,CHILE,True,4,BREWS,--Y--,5,5,LLM,DELTA,-YY--,5,5,CSS_TRUE,CLINE,GYG-G,2,2,CSS_TRUE,CHILE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,682,87.88417125599574,682,49,92.81524926686215,49,1,97.95918367346938,1.0,1.0,0.0,,,,,,,0
17,BLACK,True,4,ZOHTS,-----,5,5,LLM,CARNE,YY---,5,5,CSS_TRUE,LUCCA,Y--GY,4,4,CSS_TRUE,BLACK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1507,73.22792680760348,1507,10,99.33642999336428,10,2,80.0,2.0,1.0,50.0,,,,,,,0
18,GRANT,True,5,SORRY,--Y--,5,5,LLM,DRAIN,-GG-Y,3,3,CSS_TRUE,CRANK,-GGG-,2,2,CSS_TRUE,BRANT,-GGGG,1.0,1.0,CSS_TRUE,GRANT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,466,91.72144252975662,466,8,98.28326180257513,8,3,62.5,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
19,MEALS,True,4,RATES,-Y-YG,4,4,LLM,LEANS,YGG-G,2,2,CSS_TRUE,DEALS,-GGGG,1,1,CSS_TRUE,MEALS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,30,99.4670456564221,30,4,86.66666666666667,4,3,25.0,3.0,1.0,66.66666666666666,,,,,,,0
20,CREAM,True,4,TALES,-Y-Y-,5,5,LLM,GRADE,-GY-Y,4,4,CSS_TRUE,FREAK,-GGG-,2,2,CSS_TRUE,CREAM,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,139,97.53064487475574,139,10,92.80575539568343,10,2,80.0,2.0,1.0,50.0,,,,,,,0
21,AWAKE,True,5,TAKES,-YYY-,5,3,LLM,BRAKE,--GGG,2,2,CSS_TRUE,QUAKE,--GGG,2,2,CSS_TRUE,FLAKE,--GGG,2.0,2.0,CSS_TRUE,AWAKE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,23,99.5914016699236,23,4,82.6086956521739,4,3,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
22,OCCUR,True,4,SANTI,-----,5,5,LLM,ROYCE,YY-Y-,5,4,CSS_TRUE,CROWD,YYY--,5,5,CSS_TRUE,OCCUR,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,622,88.95007994315154,622,5,99.19614147909968,5,1,80.0,1.0,1.0,0.0,,,,,,,0
23,YEARS,False,6,SHEDS,--Y-G,4,4,LLM,RAVES,YY-YG,4,4,CSS_TRUE,TEARS,-GGGG,1,1,CSS_TRUE,NEARS,-GGGG,1.0,1.0,CSS_TRUE,WEARS,-GGGG,1.0,1.0,CSS_TRUE,BEARS,-GGGG,1.0,1.0,CSS_TRUE,5629,273,95.1501154734411,273,9,96.7032967032967,9,8,11.11111111111111,8.0,7.0,12.5,7.0,6.0,14.285714285714285,6.0,5.0,16.666666666666664,0
24,GRADE,True,4,BASED,-Y-YY,5,4,LLM,DEALT,YYG--,4,4,CSS_TRUE,EVADE,--GGG,2,2,CSS_TRUE,GRADE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,43,99.236098774205,43,3,93.02325581395348,3,1,66.66666666666666,1.0,1.0,0.0,,,,,,,0
25,CHILL,True,3,SHYLY,-G-G-,3,3,LLM,CHILE,GGGG-,1,1,CSS_TRUE,CHILL,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,5629,12,99.78681826256884,12,3,75.0,3,1,66.66666666666666,,,,,,,,,,0
26,FLOOD,True,4,GIRLS,---Y-,5,5,LLM,LANEY,Y----,5,5,CSS_TRUE,BLOCH,-GG--,3,3,CSS_TRUE,FLOOD,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,327,94.19079765500088,327,23,92.96636085626912,23,2,91.30434782608695,2.0,1.0,50.0,,,,,,,0
27,APPLY,True,4,OATES,-Y---,5,5,LLM,LIANG,Y-Y--,5,5,CSS_TRUE,ALWAY,GY--G,3,3,CSS_TRUE,APPLY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,312,94.45727482678984,312,17,94.55128205128204,17,2,88.23529411764706,2.0,1.0,50.0,,,,,,,0
28,SMILE,True,3,LEARN,YY---,5,5,LLM,SLIDE,GYG-G,2,2,CSS_TRUE,SMILE,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,5629,161,97.13981168946528,161,1,99.37888198757764,1,1,0.0,,,,,,,,,,0
29,KNOCK,True,4,GUESS,-----,5,5,LLM,RAINY,---Y-,5,5,CSS_TRUE,COLON,YY--Y,5,5,CSS_TRUE,KNOCK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1270,77.43826612186889,1270,20,98.4251968503937,20,1,95.0,1.0,1.0,0.0,,,,,,,0
30,SLEEP,True,3,CHANT,-----,5,5,LLM,SLIDE,GG--Y,3,3,CSS_TRUE,SLEEP,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,5629,1168,79.25031089003375,1168,2,99.82876712328768,2,1,50.0,,,,,,,,,,0
31,BRICK,True,5,SPRIT,--YY-,5,4,LLM,RAINE,Y-G--,4,4,CSS_TRUE,GRILL,-GG--,3,3,CSS_TRUE,CRICK,-GGGG,1.0,1.0,CSS_TRUE,BRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,152,97.29969799253864,152,12,92.10526315789474,12,3,75.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
32,WROTE,True,4,TEARY,YY-Y-,5,5,LLM,STEER,-YY-Y,5,5,CSS_TRUE,FORTE,-YYGG,3,3,CSS_TRUE,WROTE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,36,99.36045478770652,36,8,77.77777777777779,8,1,87.5,1.0,1.0,0.0,,,,,,,0
