game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,BATES,--Y--,5,5,LLM,PRINT,G---Y,4,4,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,147,97.38852371646828,147,2,98.63945578231292,2.0,1.0,50.0,,,,,,,,,,0
2,PARTY,True,5,DIALS,--Y--,5,5,LLM,EATON,-GY--,4,4,CSS_TRUE,TAMAR,YG--Y,4.0,4.0,CSS_TRUE,GARTH,-GGG-,2.0,2.0,CSS_TRUE,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,543,90.35352638124002,543,19,96.50092081031308,19.0,3.0,84.21052631578947,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
3,TRICK,True,4,SABRE,---Y-,5,5,LLM,ORTON,-GY--,4,4,CSS_TRUE,TRULY,GG---,3.0,3.0,CSS_TRUE,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,192,96.58909220110144,192,13,93.22916666666666,13.0,2.0,84.61538461538461,2.0,1.0,50.0,,,,,,,0
4,DIRTY,True,4,HEROS,--G--,4,4,LLM,MARIA,--GY-,4,4,CSS_TRUE,BIRDY,-GGYG,2.0,2.0,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,96,98.29454610055072,96,4,95.83333333333334,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,4,SIRED,Y----,5,5,LLM,TALKS,-YY-Y,5,5,CSS_TRUE,CLASH,-YYY-,5.0,5.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,370,93.4268964292059,370,6,98.3783783783784,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,4,CASED,-----,5,5,LLM,PINTO,---Y-,5,5,CSS_TRUE,THUMB,G-G--,3.0,3.0,CSS_TRUE,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,478,91.50826079232546,478,5,98.9539748953975,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
7,SPENT,True,3,RAPES,--YYY,5,4,LLM,SPELT,GGG-G,1,1,CSS_TRUE,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,28,99.50257594599395,28,1,96.42857142857144,1.0,1.0,0.0,,,,,,,,,,0
8,PAUSE,True,3,SAREE,YG--G,3,3,LLM,LAPSE,-GYGG,2,2,CSS_TRUE,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,10,99.82234855214072,10,1,90.0,1.0,1.0,0.0,,,,,,,,,,0
9,CRAZY,True,5,MAORI,-Y-Y-,5,5,LLM,ARSED,YG---,4,4,CSS_TRUE,BRANT,-GG--,3.0,3.0,CSS_TRUE,GRAVY,-GG-G,2.0,2.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,185,96.71344821460296,185,34,81.62162162162161,34.0,6.0,82.35294117647058,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,0
10,BASES,True,5,RINSE,---YY,5,4,LLM,MEALS,-YY-G,4,4,CSS_TRUE,CATES,-G-GG,2.0,2.0,CSS_TRUE,VASES,-GGGG,1.0,1.0,CSS_TRUE,BASES,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,332,94.10197193107123,332,48,85.54216867469879,48.0,26.0,45.83333333333333,26.0,3.0,88.46153846153845,3.0,1.0,66.66666666666666,,,,0
11,YOUNG,True,4,SONAR,-GY--,4,4,LLM,BODEN,-G--Y,4,4,CSS_TRUE,JOINT,-G-G-,3.0,3.0,CSS_TRUE,YOUNG,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,46,99.18280333984724,46,10,78.26086956521739,10.0,2.0,80.0,2.0,1.0,50.0,,,,,,,0
12,MEANS,True,5,RANTS,-YY-G,4,3,LLM,LEANS,-GGGG,1,1,CSS_TRUE,BEANS,-GGGG,1.0,1.0,CSS_TRUE,JEANS,-GGGG,1.0,1.0,CSS_TRUE,MEANS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,20,99.6446971042814,20,4,80.0,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
