game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,GIVEN,-----,5,5,LLM,YOURS,-Y---,5,5,CSS_TRUE,BLOCH,--G-Y,4.0,4.0,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1299,76.92307692307693,1299,61,95.30408006158584,61.0,2.0,96.72131147540983,2.0,1.0,50.0,,,,,,,0
2,PARTY,True,5,STAGE,-YY--,5,5,LLM,TITAN,Y--Y-,5,5,CSS_TRUE,BAFTA,-G-G-,3.0,3.0,CSS_TRUE,MARTY,-GGGG,1.0,1.0,CSS_TRUE,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,158,97.19310712382308,158,27,82.91139240506328,27.0,4.0,85.18518518518519,4.0,1.0,75.0,1.0,1.0,0.0,,,,0
3,TRICK,True,3,START,-Y-Y-,5,5,LLM,TIRED,GYY--,4,4,CSS_TRUE,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,88,98.43666725883816,88,4,95.45454545454544,4.0,1.0,75.0,,,,,,,,,,0
4,DIRTY,True,3,FIRST,-GG-Y,3,3,LLM,WIRTH,-GGG-,2,2,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,6,99.8934091312844,6,1,83.33333333333334,1.0,1.0,0.0,,,,,,,,,,0
5,USUAL,True,3,START,Y-Y--,5,4,LLM,MALES,-YY-Y,5,5,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,255,95.46988807958785,255,3,98.82352941176472,3.0,1.0,66.66666666666666,,,,,,,,,,0
6,TRULY,True,4,BEING,-----,5,5,LLM,TORUS,G-YY-,4,3,CSS_TRUE,TRUDY,GGG-G,1.0,1.0,CSS_TRUE,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1133,79.8720909575413,1133,5,99.55869373345102,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
7,SPENT,True,4,WORDS,----Y,5,5,LLM,SHALT,G---G,3,3,CSS_TRUE,SCENT,G-GGG,1.0,1.0,CSS_TRUE,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,431,92.34322259726416,431,6,98.60788863109047,6.0,2.0,66.66666666666666,2.0,1.0,50.0,,,,,,,0
8,PAUSE,True,5,WHICH,-----,5,5,LLM,MORES,---YY,5,5,CSS_TRUE,STALE,Y-Y-G,4.0,4.0,CSS_TRUE,ABUSE,Y-GGG,2.0,2.0,CSS_TRUE,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,2608,53.66850239829455,2608,77,97.04754601226992,77.0,2.0,97.4025974025974,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
9,CRAZY,True,4,GUESS,-----,5,5,LLM,RABIN,YY---,5,4,CSS_TRUE,CROAT,GG-Y-,3.0,3.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1270,77.43826612186889,1270,63,95.03937007874016,63.0,4.0,93.65079365079364,4.0,1.0,75.0,,,,,,,0
10,BASES,True,6,START,Y-Y--,5,5,LLM,GALES,-G-GG,2,2,CSS_TRUE,CAVES,-G-GG,2.0,2.0,CSS_TRUE,DAMES,-G-GG,2.0,2.0,CSS_TRUE,WAKES,-G-GG,2.0,2.0,CSS_TRUE,BASES,GGGGG,0.0,0.0,CSS_TRUE,5629,255,95.46988807958785,255,36,85.88235294117646,36.0,23.0,36.11111111111111,23.0,12.0,47.82608695652174,12.0,6.0,50.0,6.0,1.0,83.33333333333334,0
