game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,BASED,-----,5,5,LLM,CONTI,-Y-G-,4,4,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,547,90.28246580209628,547,6,98.90310786106032,6.0,1.0,83.33333333333334,,,,,,,,,,0
2,PARTY,True,4,AFTER,Y-Y-Y,5,4,LLM,TRAMS,YYY--,5,5,CSS_TRUE,BARTH,-GGG-,2.0,2.0,VOI,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,69,98.77420500977084,69,11,84.05797101449275,11.0,3.0,72.72727272727273,3.0,1.0,66.66666666666666,,,,,,,0
3,TRICK,True,5,GIVEN,-Y---,5,5,LLM,RAILS,Y-G--,4,4,CSS_TRUE,CHIRP,Y-GY-,4.0,4.0,VOI,FRICK,-GGGG,1.0,1.0,CSS_TRUE,TRICK,GGGGG,0.0,0.0,VOI,,,,,,5629,406,92.7873512169124,406,16,96.0591133004926,16.0,3.0,81.25,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
4,DIRTY,True,3,LARGE,--G--,4,4,LLM,CORDS,--GY-,4,4,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,110,98.0458340735477,110,1,99.0909090909091,1.0,1.0,0.0,,,,,,,,,,0
5,USUAL,True,4,GIVEN,-----,5,5,LLM,CLAMS,-YY-Y,5,5,CSS_TRUE,SALAH,Y-YG-,4.0,4.0,VOI,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1299,76.92307692307693,1299,16,98.7682832948422,16.0,1.0,93.75,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,6,WORDS,--Y--,5,5,LLM,IRENA,-G---,4,4,CSS_TRUE,GRUFF,-GG--,3.0,3.0,VOI,CRUMB,-GG--,3.0,3.0,CSS_TRUE,TRUTH,GGG--,2.0,2.0,VOI,TRULY,GGGGG,0.0,0.0,CSS_TRUE,5629,506,91.01083673831944,506,8,98.4189723320158,8.0,6.0,25.0,6.0,2.0,66.66666666666666,2.0,1.0,50.0,1.0,1.0,0.0,0
7,SPENT,True,4,BASED,--YY-,5,5,LLM,TERSE,YY-Y-,5,5,CSS_TRUE,STEPS,GYGY-,3.0,3.0,VOI,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,260,95.3810623556582,260,18,93.07692307692308,18.0,2.0,88.88888888888889,2.0,1.0,50.0,,,,,,,0
8,PAUSE,True,4,COULD,--G--,4,4,LLM,HAUNT,-GG--,3,3,CSS_TRUE,GAUZE,-GG-G,2.0,2.0,VOI,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,82,98.54325812755374,82,10,87.8048780487805,10.0,2.0,80.0,2.0,1.0,50.0,,,,,,,0
9,CRAZY,True,5,GIVEN,-----,5,5,LLM,SALTS,-Y---,5,5,CSS_TRUE,AROMA,YG---,4.0,4.0,VOI,BRADY,-GG-G,2.0,2.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,VOI,,,,,,5629,1299,76.92307692307693,1299,91,92.99461123941494,91.0,5.0,94.5054945054945,5.0,1.0,80.0,1.0,1.0,0.0,,,,0
10,BASES,True,2,BASED,GGGG-,1,1,LLM,BASES,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,,,,,,5629,2,99.96446971042812,2,1,50.0,,,,,,,,,,,,,0
11,YOUNG,True,3,GUESS,YY---,5,5,LLM,LOUGH,-GGY-,3,3,CSS_TRUE,YOUNG,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,19,99.66246224906732,19,1,94.73684210526316,1.0,1.0,0.0,,,,,,,,,,0
12,MEANS,True,4,CHOSE,---YY,5,5,LLM,AIRES,Y--YG,4,4,CSS_TRUE,MEALS,GGG-G,1.0,1.0,VOI,MEANS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,470,91.6503819506129,470,32,93.19148936170212,32.0,2.0,93.75,2.0,1.0,50.0,,,,,,,0
13,TRUTH,True,3,GAMES,-----,5,5,LLM,CRYIN,-G---,4,4,CSS_TRUE,TRUTH,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,550,90.2291703677385,550,20,96.36363636363636,20.0,1.0,95.0,,,,,,,,,,0
14,FIRED,True,3,GUESS,--Y--,5,5,LLM,INTER,Y--GY,4,4,CSS_TRUE,FIRED,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,1121,80.08527269497246,1121,12,98.92952720785011,12.0,1.0,91.66666666666666,,,,,,,,,,0
15,FOLKS,True,5,GUESS,----G,4,4,LLM,LIARS,Y---G,4,4,CSS_TRUE,VOLTS,-GG-G,2.0,2.0,VOI,FOLDS,GGG-G,1.0,1.0,CSS_TRUE,FOLKS,GGGGG,0.0,0.0,VOI,,,,,,5629,393,93.01829809912952,393,26,93.38422391857506,26.0,8.0,69.23076923076923,8.0,1.0,87.5,1.0,1.0,0.0,,,,0
16,CHILE,True,4,BASED,---Y-,5,5,LLM,NOTRE,----G,4,4,CSS_TRUE,EMILE,--GGG,2.0,2.0,VOI,CHILE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,451,91.98791970154558,451,38,91.57427937915745,38.0,3.0,92.10526315789474,3.0,1.0,66.66666666666666,,,,,,,0
17,BLACK,True,4,BASED,GY---,4,4,LLM,BRAWN,G-G--,3,3,CSS_TRUE,BLATT,GGG--,2.0,2.0,VOI,BLACK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,28,99.50257594599395,28,3,89.28571428571429,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
18,GRANT,True,3,GUESS,G----,4,4,LLM,GROAN,GG-YY,3,2,CSS_TRUE,GRANT,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,84,98.50772783798188,84,2,97.61904761904762,2.0,1.0,50.0,,,,,,,,,,0
19,MEALS,True,4,GUESS,--Y-G,4,4,LLM,RAVES,-Y-YG,4,4,CSS_TRUE,MEANS,GGG-G,1.0,1.0,VOI,MEALS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,302,94.63492627464912,302,28,90.72847682119205,28.0,2.0,92.85714285714286,2.0,1.0,50.0,,,,,,,0
20,CREAM,True,2,CRATE,GGY-Y,3,3,LLM,CREAM,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,,,,,,5629,1,99.98223485521407,1,1,0.0,,,,,,,,,,,,,0
21,AWAKE,True,4,ARISE,G---G,3,3,LLM,ALGAE,G--YG,3,3,CSS_TRUE,AMAZE,G-G-G,2.0,2.0,VOI,AWAKE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,22,99.60916681470954,22,3,86.36363636363636,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,,,,0
22,OCCUR,True,4,BASED,-----,5,5,LLM,COLIN,YY---,5,5,CSS_TRUE,MUCHO,-YG-Y,4.0,4.0,VOI,OCCUR,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,547,90.28246580209628,547,5,99.08592321755027,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
23,YEARS,False,6,GUESS,--Y-G,4,4,LLM,OATES,-Y-YG,4,4,CSS_TRUE,MEALS,-GG-G,2.0,2.0,VOI,READS,YGG-G,2.0,2.0,CSS_TRUE,HEARS,-GGGG,1.0,1.0,VOI,PEARS,-GGGG,1.0,1.0,CSS_TRUE,5629,302,94.63492627464912,302,34,88.74172185430463,34.0,17.0,50.0,17.0,7.0,58.82352941176471,7.0,6.0,14.285714285714285,6.0,5.0,16.666666666666664,0
