game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,BURNT,----Y,5,5,LLM,THATS,-G-G-,3,3,CSS_TRUE,WHITE,-G-G-,3,3,VOI,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,424,92.46757861076568,424,3,99.29245283018868,3,1,66.66666666666666,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,3,SORRY,--G-G,3,3,LLM,DARCY,-GG-G,2,2,CSS_TRUE,PARTY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,5629,26,99.53810623556582,26,3,88.46153846153845,3,1,66.66666666666666,,,,,,,,,,0
3,TRICK,True,4,BREED,-G---,4,4,LLM,TRAPS,GG---,3,3,CSS_TRUE,TRUNK,GG--G,2,2,VOI,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,196,96.51803162195772,196,11,94.3877551020408,11,1,90.9090909090909,1.0,1.0,0.0,,,,,,,0
4,DIRTY,True,3,BASED,----Y,5,5,LLM,DOING,G-Y--,4,4,CSS_TRUE,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,5629,102,98.18795523183516,102,8,92.15686274509804,8,1,87.5,,,,,,,,,,0
5,USUAL,True,3,SCRAP,Y--G-,4,4,LLM,ALIAS,-Y-GY,4,4,CSS_TRUE,USUAL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,5629,42,99.25386391899092,42,1,97.61904761904762,1,1,0.0,,,,,,,,,,0
6,TRULY,True,3,BASED,-----,5,5,LLM,GROIN,-G---,4,4,CSS_TRUE,TRULY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,5629,547,90.28246580209628,547,6,98.90310786106032,6,1,83.33333333333334,,,,,,,,,,0
7,SPENT,True,3,AINTS,--YYY,5,4,LLM,STUNT,G--GG,2,2,CSS_TRUE,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,5629,16,99.71575768342512,16,2,87.5,2,1,50.0,,,,,,,,,,0
8,PAUSE,True,3,AROSE,Y--GG,3,3,LLM,PHASE,G-YGG,2,2,CSS_TRUE,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,5629,11,99.80458340735476,11,1,90.9090909090909,1,1,0.0,,,,,,,,,,0
9,CRAZY,True,4,BASED,-Y---,5,5,LLM,LORNA,--Y-Y,5,5,CSS_TRUE,TRACI,-GGY-,3,3,VOI,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,419,92.55640433469532,419,39,90.69212410501191,39,2,94.87179487179486,2.0,1.0,50.0,,,,,,,0
10,BASES,True,4,MARES,-G-GG,2,2,LLM,CATES,-G-GG,2,2,CSS_TRUE,SALES,YG-GG,2,2,VOI,BASES,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,60,98.9340913128442,60,38,36.666666666666664,38,4,89.47368421052632,4.0,1.0,75.0,,,,,,,0
11,YOUNG,True,3,GIVEN,Y---Y,5,5,LLM,ALONG,--YGG,3,3,CSS_TRUE,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,5629,58,98.96962160241604,58,1,98.27586206896552,1,1,0.0,,,,,,,,,,0
12,MEANS,True,4,LASER,-YYY-,5,5,LLM,HEATS,-GG-G,2,2,CSS_TRUE,BEAMS,-GGYG,2,2,VOI,MEANS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,76,98.64984899626933,76,9,88.1578947368421,9,1,88.88888888888889,1.0,1.0,0.0,,,,,,,0
13,TRUTH,True,3,RATES,Y-Y--,5,4,LLM,TROUT,GG-YY,3,2,CSS_TRUE,TRUTH,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,5629,60,98.9340913128442,60,1,98.33333333333331,1,1,0.0,,,,,,,,,,0
14,FIRED,True,6,QUIET,--YG-,4,4,LLM,SIREN,-GGG-,2,2,CSS_TRUE,AIRED,-GGGG,1,1,VOI,HIRED,-GGGG,1.0,1.0,CSS_TRUE,WIRED,-GGGG,1.0,1.0,VOI,FIRED,GGGGG,0.0,0.0,CSS_TRUE,5629,143,97.45958429561202,143,5,96.5034965034965,5,4,20.0,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
15,FOLKS,True,5,SPRIT,Y----,5,5,LLM,LEANS,Y---G,4,4,CSS_TRUE,GULLS,--G-G,3,3,VOI,FOLDS,GGG-G,1.0,1.0,CSS_TRUE,FOLKS,GGGGG,0.0,0.0,VOI,,,,,,5629,496,91.18848818617872,496,28,94.35483870967742,28,6,78.57142857142857,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,0
16,CHILE,True,4,BASED,---Y-,5,5,LLM,CRONE,G---G,3,3,CSS_TRUE,CLIVE,GYG-G,2,2,VOI,CHILE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,451,91.98791970154558,451,7,98.4478935698448,7,1,85.71428571428571,1.0,1.0,0.0,,,,,,,0
17,BLACK,True,4,BASED,GY---,4,4,LLM,BRAWN,G-G--,3,3,CSS_TRUE,BHATT,G-G--,3,3,VOI,BLACK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,28,99.50257594599395,28,3,89.28571428571429,3,1,66.66666666666666,1.0,1.0,0.0,,,,,,,0
18,GRANT,True,4,BREWS,-G---,4,4,LLM,TRIAD,YG-Y-,4,4,CSS_TRUE,GRAFT,GGG-G,1,1,VOI,GRANT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,149,97.35299342689645,149,6,95.9731543624161,6,1,83.33333333333334,1.0,1.0,0.0,,,,,,,0
19,MEALS,True,4,BASED,-YYY-,5,5,LLM,STARE,Y-G-Y,4,4,CSS_TRUE,MEANS,GGG-G,1,1,VOI,MEALS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,108,98.08136436311956,108,14,87.03703703703704,14,1,92.85714285714286,1.0,1.0,0.0,,,,,,,0
20,CREAM,True,4,SPRIG,--Y--,5,5,LLM,REBAR,YY-G-,4,3,CSS_TRUE,DREAM,-GGGG,1,1,VOI,CREAM,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,539,90.42458696038372,539,8,98.51576994434136,8,1,87.5,1.0,1.0,0.0,,,,,,,0
21,AWAKE,True,4,BASED,-Y-Y-,5,4,LLM,LEARN,-YG--,4,4,CSS_TRUE,AGATE,G-G-G,2,2,VOI,AWAKE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,205,96.35814531888435,205,11,94.6341463414634,11,2,81.81818181818183,2.0,1.0,50.0,,,,,,,0
22,OCCUR,True,4,AIRES,--Y--,5,5,LLM,GROOT,-YY--,5,5,CSS_TRUE,DOWRY,-Y-Y-,5,5,VOI,OCCUR,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,122,97.83265233611654,122,13,89.34426229508196,13,1,92.3076923076923,1.0,1.0,0.0,,,,,,,0
23,YEARS,False,6,BREED,-YY--,5,5,LLM,SERRA,YG-GY,3,3,CSS_TRUE,PEARS,-GGGG,1,1,VOI,NEARS,-GGGG,1.0,1.0,CSS_TRUE,FEARS,-GGGG,1.0,1.0,VOI,HEARS,-GGGG,1.0,1.0,CSS_TRUE,5629,230,95.9140166992361,230,9,96.08695652173913,9,8,11.11111111111111,8.0,7.0,12.5,7.0,6.0,14.285714285714285,6.0,5.0,16.666666666666664,0
24,GRADE,True,3,SIENA,--Y-Y,5,5,LLM,GARDE,GYYGG,2,2,CSS_TRUE,GRADE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,5629,331,94.11973707585716,331,1,99.69788519637464,1,1,0.0,,,,,,,,,,0
25,CHILL,True,6,LASER,Y----,5,5,LLM,COLIN,G-YY-,4,4,CSS_TRUE,CLIMB,GYG--,3,3,VOI,CHILI,GGGG-,1.0,1.0,CSS_TRUE,CHILD,GGGG-,1.0,1.0,VOI,CHILL,GGGGG,0.0,0.0,CSS_TRUE,5629,140,97.5128797299698,140,6,95.71428571428572,6,3,50.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,1.0,1.0,0.0,0
26,FLOOD,True,4,SOULS,-Y-Y-,5,5,LLM,ELTON,-G-G-,3,3,CSS_TRUE,BLOOD,-GGGG,1,1,VOI,FLOOD,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,99,98.24125066619293,99,9,90.9090909090909,9,1,88.88888888888889,1.0,1.0,0.0,,,,,,,0
27,APPLY,True,4,AIRES,G----,4,4,LLM,ALOHA,GY---,4,4,CSS_TRUE,APTLY,GG-GG,1,1,VOI,APPLY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,66,98.82750044412862,66,6,90.9090909090909,6,1,83.33333333333334,1.0,1.0,0.0,,,,,,,0
28,SMILE,True,4,AIRES,-Y-YY,5,4,LLM,SNIPE,G-G-G,2,2,CSS_TRUE,SMITE,GGG-G,1,1,VOI,SMILE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,39,99.30715935334872,39,8,79.48717948717949,8,1,87.5,1.0,1.0,0.0,,,,,,,0
