game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,MEDAL,-----,5,5,LLM,SNORT,--G-Y,4,4,CSS_TRUE,BOOTH,-YGGY,3.0,3.0,VOI,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,776,86.21424764611831,776,6,99.22680412371136,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,4,EARLS,-GG--,3,3,LLM,MARTA,-GGG-,2,2,CSS_TRUE,GARTH,-GGG-,2.0,2.0,VOI,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,67,98.80973529934268,67,5,92.53731343283582,5.0,2.0,60.0,2.0,1.0,50.0,,,,,,,0
3,TRICK,True,4,LANES,-----,5,5,LLM,MORTY,--YY-,5,5,CSS_TRUE,TRIPP,GGG--,2.0,2.0,VOI,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,361,93.58678273227927,361,7,98.06094182825484,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,,,,0
4,DIRTY,True,4,AISLE,-G---,4,4,LLM,MINTY,-G-GG,2,2,CSS_TRUE,KITTY,-G-GG,2.0,2.0,VOI,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,126,97.76159175697282,126,7,94.44444444444444,7.0,2.0,71.42857142857143,2.0,1.0,50.0,,,,,,,0
5,USUAL,True,3,REALS,--YYY,5,4,LLM,SALMA,YYY--,5,4,CSS_TRUE,USUAL,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,29,99.48481080120804,29,1,96.55172413793105,1.0,1.0,0.0,,,,,,,,,,0
6,TRULY,True,4,AILES,--Y--,5,5,LLM,CLOUD,-Y-Y-,5,5,CSS_TRUE,LUMPY,YY--G,4.0,4.0,VOI,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,88,98.43666725883816,88,4,95.45454545454544,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
7,SPENT,True,3,REALS,-Y--Y,5,5,LLM,STONE,GY-GY,3,3,CSS_TRUE,SPENT,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,108,98.08136436311956,108,2,98.14814814814817,2.0,1.0,50.0,,,,,,,,,,0
8,PAUSE,True,4,RATES,-G-YY,4,4,LLM,SALLE,YG--G,3,3,CSS_TRUE,CAUSE,-GGGG,1.0,1.0,VOI,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,11,99.80458340735476,11,3,72.72727272727273,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,4,AROSE,YG---,4,4,LLM,TRINA,-G--Y,4,4,CSS_TRUE,GRADY,-GG-G,2.0,2.0,VOI,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,71,98.73867472019896,71,13,81.69014084507043,13.0,1.0,92.3076923076923,1.0,1.0,0.0,,,,,,,0
10,BASES,True,5,REALS,-YY-G,4,4,LLM,CATES,-G-GG,2,2,CSS_TRUE,MAGES,-G-GG,2.0,2.0,VOI,VASES,-GGGG,1.0,1.0,CSS_TRUE,BASES,GGGGG,0.0,0.0,VOI,,,,,,5629,66,98.82750044412862,66,38,42.42424242424242,38.0,24.0,36.84210526315789,24.0,2.0,91.66666666666666,2.0,1.0,50.0,,,,0
