game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,HOUSE,YY---,5,4,LLM,CHORD,-GG--,3,3,CSS_TRUE,THONG,YGG--,3.0,3.0,VOI,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,43,99.236098774205,43,5,88.37209302325581,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,5,HOUSE,-----,5,5,LLM,RAINA,YG---,4,4,CSS_TRUE,CAMRY,-G-YG,3.0,3.0,VOI,TARDY,YGG-G,2.0,2.0,CSS_TRUE,PARTY,GGGGG,0.0,0.0,VOI,,,,,,5629,694,87.67098951856458,694,16,97.69452449567724,16.0,4.0,75.0,4.0,1.0,75.0,1.0,1.0,0.0,,,,0
3,TRICK,True,4,HOUSE,-----,5,5,LLM,BANAL,-----,5,5,CSS_TRUE,CRYPT,YG--Y,4.0,4.0,VOI,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,694,87.67098951856458,694,48,93.0835734870317,48.0,1.0,97.91666666666666,1.0,1.0,0.0,,,,,,,0
4,DIRTY,True,3,HOUSE,-----,5,5,LLM,DARLA,G-G--,3,3,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,694,87.67098951856458,694,1,99.85590778097982,1.0,1.0,0.0,,,,,,,,,,0
5,USUAL,True,3,HOUSE,--GY-,4,4,LLM,SAULT,YYGY-,4,4,CSS_TRUE,USUAL,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,47,99.1650381950613,47,1,97.87234042553192,1.0,1.0,0.0,,,,,,,,,,0
6,TRULY,True,3,HOUSE,--G--,4,4,LLM,BLUNT,-YG-Y,4,4,CSS_TRUE,TRULY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,50,99.1117427607035,50,1,98.0,1.0,1.0,0.0,,,,,,,,,,0
7,SPENT,True,4,HOUSE,---YY,5,5,LLM,CASES,--YY-,5,5,CSS_TRUE,SPELT,GGG-G,1.0,1.0,VOI,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,463,91.7747379641144,463,19,95.8963282937365,19.0,1.0,94.73684210526316,1.0,1.0,0.0,,,,,,,0
8,PAUSE,True,4,HOUSE,--GGG,2,2,LLM,AMUSE,Y-GGG,2,2,CSS_TRUE,CAUSE,-GGGG,1.0,1.0,VOI,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,6,99.8934091312844,6,2,66.66666666666666,2.0,1.0,50.0,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,4,HOUSE,-----,5,5,LLM,IMRAN,--YY-,5,4,CSS_TRUE,TRACY,-GGYG,2.0,2.0,VOI,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,694,87.67098951856458,694,35,94.95677233429394,35.0,1.0,97.14285714285714,1.0,1.0,0.0,,,,,,,0
10,BASES,False,6,HOUSE,---YY,5,4,LLM,SAEED,YG-G-,3,3,CSS_TRUE,CATES,-G-GG,2.0,2.0,VOI,MAGES,-G-GG,2.0,2.0,CSS_TRUE,RAVES,-G-GG,2.0,2.0,VOI,LAKES,-G-GG,2.0,2.0,CSS_TRUE,5629,463,91.7747379641144,463,63,86.39308855291577,63.0,35.0,44.44444444444444,35.0,20.0,42.857142857142854,20.0,12.0,40.0,12.0,4.0,66.66666666666666,0
11,YOUNG,True,3,HOUSE,-GG--,3,3,LLM,MOUND,-GGG-,2,2,CSS_TRUE,YOUNG,GGGGG,0.0,0.0,VOI,,,,,,,,,,,,,,,,5629,18,99.68022739385326,18,2,88.88888888888889,2.0,1.0,50.0,,,,,,,,,,0
12,MEANS,True,5,HOUSE,---YY,5,5,LLM,TEARS,-GG-G,2,2,CSS_TRUE,DEALS,-GG-G,2.0,2.0,VOI,BEAMS,-GGYG,2.0,2.0,CSS_TRUE,MEANS,GGGGG,0.0,0.0,VOI,,,,,,5629,463,91.7747379641144,463,17,96.32829373650108,17.0,7.0,58.82352941176471,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,0
13,TRUTH,True,4,HOUSE,Y-G--,4,4,LLM,CHUNK,-YG--,4,4,CSS_TRUE,WAUGH,--G-G,3.0,3.0,VOI,TRUTH,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,14,99.75128797299698,14,3,78.57142857142857,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
