game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,COULD,-Y---,5,5,LLM,TENOR,Y--Y-,5,5,CSS_TRUE,STOMP,-YG-Y,4,4,VOI,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,390,93.0715935334873,390,15,96.15384615384616,15,1,93.33333333333331,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,3,GUESS,-----,5,5,LLM,TRYNA,YYY-Y,5,5,CSS_TRUE,PARTY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,5629,1270,77.43826612186889,1270,2,99.84251968503936,2,1,50.0,,,,,,,,,,0
3,TRICK,True,4,GAMES,-----,5,5,LLM,RIPON,YY---,5,4,CSS_TRUE,FLIRT,--GYY,4,4,VOI,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,550,90.2291703677385,550,22,96.0,22,1,95.45454545454544,1.0,1.0,0.0,,,,,,,0
4,DIRTY,True,5,GIVEN,-G---,4,4,LLM,SITKA,-GY--,4,4,CSS_TRUE,TIMOR,YG--Y,4,4,VOI,FIRTH,-GGG-,2.0,2.0,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,VOI,,,,,,5629,190,96.62462249067327,190,15,92.10526315789474,15,4,73.33333333333333,4.0,1.0,75.0,1.0,1.0,0.0,,,,0
5,USUAL,True,4,GIVEN,-----,5,5,LLM,TABOR,-Y---,5,5,CSS_TRUE,CLAMS,-YY-Y,5,5,VOI,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1299,76.92307692307693,1299,100,92.30177059276366,100,1,99.0,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,5,START,-Y-Y-,5,5,LLM,TIRED,G-Y--,4,4,CSS_TRUE,TROOP,GG---,3,3,VOI,TRUNK,GGG--,2.0,2.0,CSS_TRUE,TRULY,GGGGG,0.0,0.0,VOI,,,,,,5629,88,98.43666725883816,88,7,92.04545454545456,7,3,57.14285714285714,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
7,SPENT,True,3,GIVEN,---YY,5,4,LLM,SHANE,G--GY,3,3,CSS_TRUE,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,5629,189,96.64238763545924,189,4,97.88359788359789,4,1,75.0,,,,,,,,,,0
8,PAUSE,True,4,COULD,--G--,4,4,LLM,HAUNT,-GG--,3,3,CSS_TRUE,SAUER,YGGY-,3,3,VOI,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,82,98.54325812755374,82,10,87.8048780487805,10,1,90.0,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,5,START,--GY-,4,4,LLM,GRAND,-GG--,3,3,CSS_TRUE,BRAVO,-GG--,3,3,VOI,CRAZE,GGGG-,1.0,1.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,VOI,,,,,,5629,69,98.77420500977084,69,17,75.36231884057972,17,9,47.05882352941176,9.0,1.0,88.88888888888889,1.0,1.0,0.0,,,,0
10,BASES,False,6,ANISE,Y--YY,5,4,LLM,RATES,-G-GG,2,2,CSS_TRUE,OAKES,-G-GG,2,2,VOI,SALES,YG-GG,2.0,2.0,CSS_TRUE,VASES,-GGGG,1.0,1.0,VOI,CASES,-GGGG,1.0,1.0,CSS_TRUE,5629,166,97.05098596553562,166,52,68.67469879518072,52,44,15.384615384615383,44.0,5.0,88.63636363636364,5.0,4.0,20.0,4.0,3.0,25.0,0
