game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,BREED,-----,5,5,LLM,NATSU,--Y--,5,5,CSS_TRUE,FILTH,---GY,4.0,4.0,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,VOI,,,,,,,,,,,5629,1582,71.89554094865873,1582,31,98.04045512010111,31.0,1.0,96.7741935483871,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,5,GUESS,-----,5,5,LLM,TRAIN,YYY--,5,5,CSS_TRUE,RABAT,YG--Y,4.0,4.0,CSS_TRUE,MARTY,-GGGG,1.0,1.0,VOI,PARTY,GGGGG,0.0,0.0,VOI,,,,,,5629,1270,77.43826612186889,1270,15,98.81889763779527,15.0,3.0,80.0,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
3,TRICK,True,4,NEARS,---Y-,5,5,LLM,GROUT,-G--Y,4,4,CSS_TRUE,TRILL,GGG--,2.0,2.0,CSS_TRUE,TRICK,GGGGG,0.0,0.0,VOI,,,,,,,,,,,5629,168,97.01545567596376,168,5,97.02380952380952,5.0,2.0,60.0,2.0,1.0,50.0,,,,,,,0
4,DIRTY,True,4,GUESS,-----,5,5,LLM,MARIN,--GY-,4,4,CSS_TRUE,BIRTH,-GGG-,2.0,2.0,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,5629,1270,77.43826612186889,1270,9,99.29133858267716,9.0,1.0,88.88888888888889,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,3,QUEST,-Y-Y-,5,5,LLM,CLAUS,-YYYY,5,5,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,87,98.4544324036241,87,1,98.85057471264368,1.0,1.0,0.0,,,,,,,,,,0
6,TRULY,True,3,LEAST,Y---Y,5,5,LLM,TILLY,G--GG,2,2,CSS_TRUE,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,19,99.66246224906732,19,1,94.73684210526316,1.0,1.0,0.0,,,,,,,,,,0
7,SPENT,True,4,AIRES,---YY,5,5,LLM,STOLE,GY--Y,4,4,CSS_TRUE,SWEPT,G-GYG,2.0,2.0,CSS_TRUE,SPENT,GGGGG,0.0,0.0,VOI,,,,,,,,,,,5629,88,98.43666725883816,88,4,95.45454545454544,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
8,PAUSE,True,4,BREED,--Y--,5,5,LLM,LEASH,-YYG-,4,4,CSS_TRUE,CAUSE,-GGGG,1.0,1.0,CSS_TRUE,PAUSE,GGGGG,0.0,0.0,VOI,,,,,,,,,,,5629,578,89.73174631373246,578,5,99.1349480968858,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,4,SPRIG,--Y--,5,5,LLM,CATER,GY--Y,4,4,CSS_TRUE,CLARK,G-GY-,3.0,3.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,5629,539,90.42458696038372,539,12,97.77365491651206,12.0,2.0,83.33333333333334,2.0,1.0,50.0,,,,,,,0
10,BASES,True,5,AFRIC,Y----,5,5,LLM,TALES,-G-GG,2,2,CSS_TRUE,MAGES,-G-GG,2.0,2.0,CSS_TRUE,WAVES,-G-GG,2.0,2.0,VOI,BASES,GGGGG,0.0,0.0,VOI,,,,,,5629,892,84.15349085095043,892,34,96.18834080717488,34.0,20.0,41.17647058823529,20.0,11.0,45.0,11.0,1.0,90.9090909090909,,,,0
