game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,LARGE,-----,5,5,LLM,CONTI,-Y-G-,4,4,CSS_TRUE,SHOTS,-GGG-,2.0,2.0,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,VOI,,,,,,,,,,,5629,606,89.23432225972641,606,4,99.33993399339934,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,5,GRAIN,-YY--,5,5,LLM,EARLS,-GG--,3,3,CSS_TRUE,MARTA,-GGG-,2.0,2.0,CSS_TRUE,BARTH,-GGG-,2.0,2.0,VOI,PARTY,GGGGG,0.0,0.0,VOI,,,,,,5629,335,94.04867649671344,335,37,88.95522388059702,37.0,3.0,91.8918918918919,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
3,TRICK,True,5,WORDS,--Y--,5,5,LLM,ARTIE,-GYY-,4,4,CSS_TRUE,BRITT,-GGY-,3.0,3.0,CSS_TRUE,TRIPP,GGG--,2.0,2.0,VOI,TRICK,GGGGG,0.0,0.0,VOI,,,,,,5629,506,91.01083673831944,506,7,98.61660079051384,7.0,3.0,57.14285714285714,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
4,DIRTY,True,3,EARLS,--G--,4,4,LLM,CORNY,--G-G,3,3,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,62,98.89856102327234,62,7,88.70967741935483,7.0,1.0,85.71428571428571,,,,,,,,,,0
5,USUAL,True,3,COULD,--GY-,4,4,LLM,BLUES,-YG-Y,4,4,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,32,99.43151536685023,32,1,96.875,1.0,1.0,0.0,,,,,,,,,,0
6,TRULY,True,5,START,-Y-Y-,5,5,LLM,TIRED,G-Y--,4,4,CSS_TRUE,TRUNK,GGG--,2.0,2.0,CSS_TRUE,TRUMP,GGG--,2.0,2.0,VOI,TRULY,GGGGG,0.0,0.0,VOI,,,,,,5629,88,98.43666725883816,88,7,92.04545454545456,7.0,2.0,71.42857142857143,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
7,SPENT,True,2,START,G---G,3,3,LLM,SPENT,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,,,,,,5629,22,99.60916681470954,22,1,95.45454545454544,,,,,,,,,,,,,0
8,PAUSE,True,3,BEING,-Y---,5,5,LLM,OATES,-G-YY,4,4,CSS_TRUE,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,834,85.18386924853438,834,10,98.8009592326139,10.0,1.0,90.0,,,,,,,,,,0
9,CRAZY,True,4,COULD,G----,4,4,LLM,CRIES,GG---,3,3,CSS_TRUE,CRYPT,GGY--,3.0,3.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,VOI,,,,,,,,,,,5629,137,97.5661751643276,137,7,94.8905109489051,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,,,,0
10,BASES,True,5,AFTER,Y--G-,4,4,LLM,MALES,-G-GG,2,2,CSS_TRUE,CASES,-GGGG,1.0,1.0,CSS_TRUE,GASES,-GGGG,1.0,1.0,VOI,BASES,GGGGG,0.0,0.0,VOI,,,,,,5629,127,97.7438266121869,127,32,74.80314960629921,32.0,4.0,87.5,4.0,3.0,25.0,3.0,1.0,66.66666666666666,,,,0
