game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,GUESS,-----,5,5,LLM,TRINA,Y----,5,5,CSS_TRUE,FOOTY,-YGG-,3.0,3.0,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1270,77.43826612186889,1270,14,98.8976377952756,14.0,1.0,92.85714285714286,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,3,CRATE,-YYG-,4,4,LLM,PARTS,GGGG-,1,1,CSS_TRUE,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,19,99.66246224906732,19,2,89.47368421052632,2.0,1.0,50.0,,,,,,,,,,0
3,TRICK,True,5,GUESS,-----,5,5,LLM,CAIRN,Y-GY-,4,4,CSS_TRUE,BRICK,-GGGG,1.0,1.0,CSS_TRUE,PRICK,-GGGG,1.0,1.0,CSS_TRUE,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,1270,77.43826612186889,1270,4,99.68503937007874,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
4,DIRTY,True,4,AFTER,--Y-Y,5,5,LLM,TORUS,Y-G--,4,4,CSS_TRUE,BIRTH,-GGG-,2.0,2.0,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,98,98.25901581097884,98,5,94.89795918367348,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,4,BASED,-YY--,5,5,LLM,SLATS,YYY--,5,4,CSS_TRUE,ASLAN,-GYG-,3.0,3.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,255,95.46988807958785,255,5,98.0392156862745,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,3,LUMPS,YY---,5,5,LLM,FAULT,--GGY,3,3,CSS_TRUE,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,43,99.236098774205,43,2,95.34883720930232,2.0,1.0,50.0,,,,,,,,,,0
7,SPENT,True,3,GUESS,--GY-,4,4,LLM,SHEET,G-G-G,2,2,CSS_TRUE,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,62,98.89856102327234,62,8,87.09677419354838,8.0,1.0,87.5,,,,,,,,,,0
8,PAUSE,True,2,BASED,-GYY-,4,3,LLM,PAUSE,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,,,,,,5629,11,99.80458340735476,11,1,90.9090909090909,,,,,,,,,,,,,0
9,CRAZY,True,6,AFTER,Y---Y,5,5,LLM,CARDS,GYY--,4,4,CSS_TRUE,CLARK,G-GY-,3.0,3.0,CSS_TRUE,CRABB,GGG--,2.0,2.0,CSS_TRUE,CRAIG,GGG--,2.0,2.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,5629,306,94.56386569550544,306,14,95.4248366013072,14.0,4.0,71.42857142857143,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
10,BASES,True,3,GUESS,--YYG,4,4,LLM,SEALS,YYY-G,4,4,CSS_TRUE,BASES,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,52,99.07621247113164,52,6,88.46153846153845,6.0,1.0,83.33333333333334,,,,,,,,,,0
