game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,HOUSE,YY---,5,4,LLM,THROB,YG-Y-,4,4,LLM,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,43,99.236098774205,43,1,97.67441860465117,1.0,1.0,0.0,,,,,,,,,,0
2,PARTY,True,4,HOUSE,-----,5,5,LLM,BREAD,-Y-Y-,5,5,LLM,PARMA,GGG--,2.0,2.0,CSS_TRUE,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,694,87.67098951856458,694,73,89.48126801152738,73.0,3.0,95.8904109589041,3.0,1.0,66.66666666666666,,,,,,,1
3,TRICK,True,5,HOUSE,-----,5,5,LLM,BLANK,----G,4,4,LLM,FRICK,-GGGG,1.0,1.0,CSS_TRUE,PRICK,-GGGG,1.0,1.0,CSS_TRUE,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,694,87.67098951856458,694,4,99.42363112391932,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
4,DIRTY,True,4,HOUSE,-----,5,5,LLM,BLAST,----Y,5,5,LLM,TWINK,Y-Y--,5.0,5.0,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,694,87.67098951856458,694,18,97.40634005763688,18.0,3.0,83.33333333333334,3.0,1.0,66.66666666666666,,,,,,,1
5,USUAL,True,4,HOUSE,--GY-,4,4,LLM,STUNK,Y-G--,4,4,LLM,PLUMS,-YG-Y,4.0,4.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,47,99.1650381950613,47,10,78.72340425531915,10.0,1.0,90.0,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,4,HOUSE,--G--,4,4,LLM,PLUMB,-YG--,4,4,LLM,LAUDA,Y-G--,4.0,4.0,CSS_TRUE,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,50,99.1117427607035,50,6,88.0,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
7,SPENT,True,5,HOUSE,---YY,5,5,LLM,SPACE,GG--Y,3,3,LLM,SPIEL,GG-Y-,3.0,3.0,CSS_TRUE,SPEND,GGGG-,1.0,1.0,CSS_TRUE,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,463,91.7747379641144,463,10,97.8401727861771,10.0,3.0,70.0,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,1
8,PAUSE,True,2,HOUSE,--GGG,2,2,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,6,99.8934091312844,6,1,83.33333333333334,,,,,,,,,,,,,0
9,CRAZY,True,5,HOUSE,-----,5,5,LLM,SPACE,--GY-,4,4,LLM,CLARK,G-GY-,3.0,3.0,CSS_TRUE,CRAIG,GGG--,2.0,2.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,694,87.67098951856458,694,17,97.55043227665706,17.0,4.0,76.47058823529412,4.0,3.0,25.0,3.0,1.0,66.66666666666666,,,,2
10,BASES,False,6,HOUSE,---YY,5,4,LLM,SCOUT,Y----,5,5,LLM,LANES,-G-GG,2.0,2.0,CSS_TRUE,MARES,-G-GG,2.0,2.0,CSS_TRUE,WAGES,-G-GG,2.0,2.0,CSS_TRUE,FAVES,-G-GG,2.0,2.0,CSS_TRUE,5629,463,91.7747379641144,463,249,46.220302375809936,249.0,33.0,86.74698795180723,33.0,17.0,48.48484848484848,17.0,9.0,47.05882352941176,9.0,4.0,55.55555555555556,3
11,YOUNG,True,4,HOUSE,-GG--,3,3,LLM,ROUND,-GGG-,2,2,LLM,COUNT,-GGG-,2.0,2.0,CSS_TRUE,YOUNG,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,18,99.68022739385326,18,3,83.33333333333334,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
12,MEANS,True,4,HOUSE,---YY,5,5,LLM,SHARE,Y-G-Y,4,4,LLM,MEALS,GGG-G,1.0,1.0,CSS_TRUE,MEANS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,463,91.7747379641144,463,23,95.03239740820734,23.0,2.0,91.30434782608695,2.0,1.0,50.0,,,,,,,2
13,TRUTH,True,3,HOUSE,Y-G--,4,4,LLM,THUMP,GYG--,3,3,LLM,TRUTH,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,14,99.75128797299698,14,1,92.85714285714286,1.0,1.0,0.0,,,,,,,,,,0
14,FIRED,True,5,HOUSE,----Y,5,5,LLM,GLOBE,----Y,5,5,LLM,RAMEN,Y--G-,4.0,4.0,CSS_TRUE,FRIED,GYYGG,2.0,2.0,CSS_TRUE,FIRED,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,654,88.38159531000179,654,343,47.55351681957187,343.0,36.0,89.50437317784257,36.0,1.0,97.2222222222222,1.0,1.0,0.0,,,,2
15,FOLKS,True,5,HOUSE,-G-Y-,4,4,LLM,STAGE,Y----,5,5,LLM,MOLDS,-GG-G,2.0,2.0,CSS_TRUE,POLLS,-GG-G,2.0,2.0,CSS_TRUE,FOLKS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,160,97.1575768342512,160,81,49.375,81.0,5.0,93.82716049382717,5.0,2.0,60.0,2.0,1.0,50.0,,,,2
16,CHILE,True,4,HOUSE,Y---G,4,4,LLM,WHITE,-GG-G,2,2,LLM,CHIME,GGG-G,1.0,1.0,CSS_TRUE,CHILE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,23,99.5914016699236,23,3,86.95652173913044,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
17,BLACK,True,4,HOUSE,-----,5,5,LLM,BLAZE,GGG--,2,2,LLM,BLANC,GGG-Y,2.0,2.0,CSS_TRUE,BLACK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,694,87.67098951856458,694,6,99.13544668587896,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,1
18,GRANT,True,5,HOUSE,-----,5,5,LLM,SPACE,--G--,4,4,LLM,GRAIN,GGG-Y,2.0,2.0,CSS_TRUE,GRAND,GGGG-,1.0,1.0,CSS_TRUE,GRANT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,694,87.67098951856458,694,79,88.61671469740634,79.0,2.0,97.46835443037976,2.0,1.0,50.0,1.0,1.0,0.0,,,,2
19,MEALS,True,3,HOUSE,---YY,5,5,LLM,SHARE,Y-G-Y,4,4,LLM,MEALS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,463,91.7747379641144,463,23,95.03239740820734,23.0,1.0,95.65217391304348,,,,,,,,,,2
20,CREAM,True,5,HOUSE,----Y,5,5,LLM,STAGE,--Y-Y,5,5,LLM,RACED,YYYY-,5.0,5.0,CSS_TRUE,ERICA,YG-YY,4.0,4.0,CSS_TRUE,CREAM,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,654,88.38159531000179,654,195,70.18348623853211,195.0,3.0,98.46153846153848,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,2
21,AWAKE,True,5,HOUSE,----G,4,4,LLM,ROUND,-----,5,5,LLM,EMILE,----G,4.0,4.0,CSS_TRUE,AGATE,G-G-G,2.0,2.0,CSS_TRUE,AWAKE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,286,94.91916859122402,286,103,63.98601398601399,103.0,7.0,93.20388349514565,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,3
22,OCCUR,True,4,HOUSE,-YY--,5,5,LLM,AUDIO,-Y--Y,5,5,LLM,GROUP,-YYG-,4.0,4.0,CSS_TRUE,OCCUR,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,55,99.02291703677383,55,8,85.45454545454545,8.0,1.0,87.5,1.0,1.0,0.0,,,,,,,0
23,YEARS,True,5,HOUSE,---YY,5,5,LLM,SHARE,Y-GGY,3,3,LLM,BEARS,-GGGG,1.0,1.0,CSS_TRUE,TEARS,-GGGG,1.0,1.0,CSS_TRUE,YEARS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,463,91.7747379641144,463,10,97.8401727861771,10.0,9.0,10.0,9.0,8.0,11.11111111111111,8.0,1.0,87.5,,,,2
24,GRADE,True,4,HOUSE,----G,4,4,LLM,GLOBE,G---G,3,3,LLM,GRAPE,GGG-G,1.0,1.0,CSS_TRUE,GRADE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,286,94.91916859122402,286,13,95.45454545454544,13.0,5.0,61.53846153846154,5.0,1.0,80.0,,,,,,,1
25,CHILL,True,5,HOUSE,Y----,5,5,LLM,HOARD,Y----,5,5,LLM,FITCH,-Y-YY,5.0,5.0,CSS_TRUE,CHILI,GGGG-,1.0,1.0,CSS_TRUE,CHILL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,132,97.65500088825723,132,44,66.66666666666666,44.0,6.0,86.36363636363636,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,2
26,FLOOD,True,5,HOUSE,-Y---,5,5,LLM,MOIST,-Y---,5,5,LLM,CARON,---G-,4.0,4.0,CSS_TRUE,BLOOD,-GGGG,1.0,1.0,CSS_TRUE,FLOOD,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,290,94.8481080120803,290,129,55.51724137931034,129.0,2.0,98.44961240310076,2.0,1.0,50.0,1.0,1.0,0.0,,,,2
27,APPLY,True,4,HOUSE,-----,5,5,LLM,BLAST,-YY--,5,5,LLM,MARLA,-Y-G-,4.0,4.0,CSS_TRUE,APPLY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,694,87.67098951856458,694,78,88.76080691642652,78.0,1.0,98.71794871794872,1.0,1.0,0.0,,,,,,,1
28,SMILE,True,5,HOUSE,---YG,4,4,LLM,STAGE,G---G,3,3,LLM,SPINE,G-G-G,2.0,2.0,CSS_TRUE,SLIME,GYGYG,2.0,2.0,CSS_TRUE,SMILE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,65,98.84526558891456,65,22,66.15384615384615,22.0,5.0,77.27272727272727,5.0,1.0,80.0,1.0,1.0,0.0,,,,0
29,KNOCK,True,4,HOUSE,-Y---,5,5,LLM,MOLES,-Y---,5,5,LLM,CARON,Y--YY,5.0,5.0,CSS_TRUE,KNOCK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,290,94.8481080120803,290,165,43.103448275862064,165.0,1.0,99.3939393939394,1.0,1.0,0.0,,,,,,,3
30,SLEEP,True,5,HOUSE,---YY,5,5,LLM,SHORE,G---Y,4,4,LLM,STEED,G-GG-,2.0,2.0,CSS_TRUE,SLEEK,GGGG-,1.0,1.0,CSS_TRUE,SLEEP,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,463,91.7747379641144,463,85,81.6414686825054,85.0,3.0,96.47058823529412,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,3
31,BRICK,True,4,HOUSE,-----,5,5,LLM,BREAD,GG---,3,3,LLM,BRINK,GGG-G,1.0,1.0,CSS_TRUE,BRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,694,87.67098951856458,694,5,99.27953890489914,5.0,1.0,80.0,1.0,1.0,0.0,,,,,,,1
32,WROTE,True,4,HOUSE,-Y--G,4,4,LLM,GNOME,--G-G,3,3,LLM,TROVE,YGG-G,2.0,2.0,CSS_TRUE,WROTE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,49,99.12950790548943,49,22,55.10204081632652,22.0,1.0,95.45454545454544,1.0,1.0,0.0,,,,,,,0
33,RATED,False,6,HOUSE,----Y,5,5,LLM,ROUND,G---G,3,3,LLM,RAKED,GG-GG,1.0,1.0,CSS_TRUE,RACED,GG-GG,1.0,1.0,CSS_TRUE,RAGED,GG-GG,1.0,1.0,CSS_TRUE,RAPED,GG-GG,1.0,1.0,CSS_TRUE,5629,654,88.38159531000179,654,7,98.92966360856268,7.0,5.0,28.57142857142857,5.0,4.0,20.0,4.0,3.0,25.0,3.0,2.0,33.33333333333333,3
34,ALERT,True,4,HOUSE,----Y,5,5,LLM,GHOST,----G,4,4,LLM,ARENT,GYG-G,2.0,2.0,CSS_TRUE,ALERT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,654,88.38159531000179,654,52,92.04892966360856,52.0,2.0,96.15384615384616,2.0,1.0,50.0,,,,,,,4
35,CAGES,False,6,HOUSE,---YY,5,5,LLM,SHORE,Y---Y,5,5,LLM,LEANS,-YY-G,4.0,4.0,CSS_TRUE,MATES,-G-GG,2.0,2.0,CSS_TRUE,CAVES,GG-GG,1.0,1.0,CSS_TRUE,CAFES,GG-GG,1.0,1.0,CSS_TRUE,5629,463,91.7747379641144,463,262,43.412526997840175,262.0,46.0,82.44274809160305,46.0,25.0,45.65217391304348,25.0,5.0,80.0,5.0,4.0,20.0,3
