game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,CRANE,-----,5,5,LLM,SLATE,---G-,4,4,LLM,WIDTH,---GY,4.0,4.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,540,90.4068218155978,540,24,95.55555555555556,24.0,1.0,95.83333333333334,1.0,1.0,0.0,,,,,,,2
2,PARTY,True,5,CRANE,-YY--,5,5,LLM,SLATE,--YG-,4,4,LLM,DARTH,-GGG-,2.0,2.0,LLM,PARTI,GGGG-,1.0,1.0,CSS_TRUE,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,227,95.96731213359388,227,10,95.59471365638768,10.0,5.0,50.0,5.0,1.0,80.0,1.0,1.0,0.0,,,,3
3,TRICK,True,2,CRANE,YG---,4,4,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,8,99.85787884171256,8,1,87.5,,,,,,,,,,,,,0
4,DIRTY,True,4,CRANE,-Y---,5,5,LLM,SLATE,---G-,4,4,LLM,FORTH,--GG-,3.0,3.0,LLM,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,194,96.55356191152958,194,12,93.81443298969072,12.0,2.0,83.33333333333334,2.0,1.0,50.0,,,,,,,3
5,USUAL,True,4,CRANE,--Y--,5,5,LLM,SLATE,YYY--,5,4,LLM,HALTS,-YY-Y,5.0,5.0,LLM,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,448,92.04121513590336,448,33,92.63392857142856,33.0,2.0,93.93939393939394,2.0,1.0,50.0,,,,,,,3
6,TRULY,True,5,CRANE,-G---,4,4,LLM,PROUD,-G-Y-,4,4,LLM,TRUSS,GGG--,2.0,2.0,LLM,TRUTH,GGG--,2.0,2.0,CSS_TRUE,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,93,98.34784153490853,93,7,92.47311827956987,7.0,2.0,71.42857142857143,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
7,SPENT,True,3,CRANE,---GY,4,4,LLM,BLEND,--GG-,3,3,LLM,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,41,99.27162906377689,41,14,65.85365853658537,14.0,1.0,92.85714285714286,,,,,,,,,,0
8,PAUSE,True,5,CRANE,--Y-G,4,4,LLM,MAIZE,-G--G,3,3,LLM,GAUZE,-GG-G,2.0,2.0,LLM,LAUDE,-GG-G,2.0,2.0,CSS_TRUE,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,78,98.61431870669746,78,34,56.41025641025641,34.0,3.0,91.17647058823528,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,1
9,CRAZY,True,6,CRANE,GGG--,2,2,LLM,CRABB,GGG--,2,2,LLM,CRAPS,GGG--,2.0,2.0,LLM,CRAFT,GGG--,2.0,2.0,CSS_TRUE,CRACK,GGG--,2.0,2.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,5629,11,99.80458340735476,11,9,18.181818181818183,9.0,5.0,44.44444444444444,5.0,4.0,20.0,4.0,3.0,25.0,3.0,1.0,66.66666666666666,0
10,BASES,True,4,CRANE,--Y-Y,5,4,LLM,BLAST,G-YY-,4,3,LLM,BAKES,GG-GG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,215,96.18049387102504,215,4,98.13953488372093,4.0,2.0,50.0,2.0,1.0,50.0,,,,,,,2
