game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,PILES,G----,4,4,CSS_TRUE,PARTY,G--G-,3,3,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,57,98.987386747202,57,1,98.24561403508773,1.0,1.0,0.0,,,,,,,,,,0
2,PARTY,True,4,CARES,-GG--,3,3,CSS_TRUE,DARIA,-GG--,3,3,CSS_TRUE,PARRY,GGG-G,1.0,1.0,LLM,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,64,98.86303073370048,64,20,68.75,20.0,1.0,95.0,1.0,1.0,0.0,,,,,,,0
3,TRICK,True,4,SABER,----Y,5,5,CSS_TRUE,PROTO,-G-Y-,4,4,CSS_TRUE,TRUCK,GG-GG,1.0,1.0,LLM,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,201,96.42920589802809,201,10,95.02487562189054,10.0,1.0,90.0,1.0,1.0,0.0,,,,,,,0
4,DIRTY,True,4,NODES,--Y--,5,5,CSS_TRUE,DALIA,G--Y-,4,4,CSS_TRUE,DRIFT,GYY-Y,4.0,3.0,LLM,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,117,97.92147806004618,117,7,94.017094017094,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,4,CARLO,-Y-Y-,5,5,CSS_TRUE,ALISA,YY-Y-,5,5,CSS_TRUE,LEAFS,Y-Y-Y,5.0,5.0,LLM,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,187,96.67791792503108,187,12,93.58288770053476,12.0,2.0,83.33333333333334,2.0,1.0,50.0,,,,,,,0
6,TRULY,True,4,MAYES,--Y--,5,5,CSS_TRUE,DOLBY,--Y-G,4,4,CSS_TRUE,LUCKY,YY--G,4.0,4.0,LLM,TRULY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,196,96.51803162195772,196,7,96.42857142857144,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,,,,0
7,SPENT,True,4,EARNS,Y--GY,4,4,CSS_TRUE,STONE,GY-GY,3,3,CSS_TRUE,SCENT,G-GGG,1.0,1.0,LLM,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,15,99.73352282821104,15,2,86.66666666666667,2.0,1.0,50.0,1.0,1.0,0.0,,,,,,,0
8,PAUSE,True,4,LANCE,-G--G,3,3,CSS_TRUE,MARGE,-G--G,3,3,CSS_TRUE,PASTE,GGY-G,2.0,2.0,LLM,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,53,99.05844732634571,53,15,71.69811320754717,15.0,1.0,93.33333333333331,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,4,NAMES,-Y---,5,5,CSS_TRUE,TRAIL,-GG--,3,3,CSS_TRUE,GRAVY,-GG-G,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,309,94.51057026114763,309,17,94.49838187702264,17.0,2.0,88.23529411764706,2.0,1.0,50.0,,,,,,,0
10,BASES,False,6,STORE,Y---Y,5,5,CSS_TRUE,AIDES,Y--GG,3,3,CSS_TRUE,PARES,-G-GG,2.0,2.0,LLM,HAVES,-G-GG,2.0,2.0,LLM,LANES,-G-GG,2.0,2.0,LLM,MAKES,-G-GG,2.0,2.0,LLM,5629,266,95.27447148694262,266,46,82.70676691729322,46.0,41.0,10.869565217391305,41.0,31.0,24.390243902439025,31.0,22.0,29.03225806451613,22.0,11.0,50.0,1
11,YOUNG,True,5,SHARE,-----,5,5,CSS_TRUE,LUPIN,-Y--Y,5,5,CSS_TRUE,COUNT,-GGG-,2.0,2.0,LLM,BOUND,-GGG-,2.0,2.0,LLM,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,5629,411,92.69852549298275,411,13,96.83698296836984,13.0,5.0,61.53846153846154,5.0,1.0,80.0,1.0,1.0,0.0,,,,0
12,MEANS,True,2,RAINE,-Y-GY,4,4,CSS_TRUE,MEANS,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,,,,,,5629,19,99.66246224906732,19,1,94.73684210526316,,,,,,,,,,,,,0
13,TRUTH,True,4,RAINE,Y----,5,5,CSS_TRUE,SPORT,---YY,5,5,CSS_TRUE,TRUDY,GGG--,2.0,2.0,LLM,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,213,96.21602416059692,213,5,97.65258215962442,5.0,2.0,60.0,2.0,1.0,50.0,,,,,,,0
14,FIRED,True,4,ELTON,Y----,5,5,CSS_TRUE,CARES,--GG-,3,3,CSS_TRUE,WIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,757,86.55178539705098,757,8,98.94319682959048,8.0,3.0,62.5,3.0,1.0,66.66666666666666,,,,,,,0
15,FOLKS,True,3,RACES,----G,4,4,CSS_TRUE,LIONS,Y-Y-G,4,4,CSS_TRUE,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,257,95.434357790016,257,17,93.3852140077821,17.0,1.0,94.11764705882352,,,,,,,,,,0
16,CHILE,True,4,ANISE,--G-G,3,3,CSS_TRUE,BRICE,--GYG,3,3,CSS_TRUE,CHIME,GGG-G,1.0,1.0,LLM,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,36,99.36045478770652,36,3,91.66666666666666,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
17,BLACK,True,4,CATES,YY---,5,5,CSS_TRUE,OCALA,-YGY-,4,4,CSS_TRUE,FLACK,-GGGG,1.0,1.0,LLM,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,38,99.32492449813466,38,3,92.10526315789474,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
18,GRANT,True,2,ARENT,YG-GG,2,2,CSS_TRUE,GRANT,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,,,,,,5629,2,99.96446971042812,2,1,50.0,,,,,,,,,,,,,0
