game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,HARES,Y----,5,5,CSS_TRUE,CHING,-G---,4,4,CSS_TRUE,THUMP,YG--Y,4.0,4.0,LLM,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,109,98.06359921833364,109,6,94.4954128440367,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,5,LEONA,----Y,5,5,CSS_TRUE,TRAMS,YYY--,5,5,CSS_TRUE,VIRAT,--GYY,4.0,4.0,LLM,BARTH,-GGG-,2.0,2.0,LLM,PARTY,GGGGG,0.0,0.0,LLM,,,,,,5629,464,91.75697281932848,464,11,97.6293103448276,11.0,4.0,63.63636363636363,4.0,1.0,75.0,1.0,1.0,0.0,,,,0
3,TRICK,True,5,FALCO,---G-,4,4,CSS_TRUE,REICH,Y-GG-,3,3,CSS_TRUE,PRICK,-GGGG,1.0,1.0,LLM,BRICK,-GGGG,1.0,1.0,LLM,TRICK,GGGGG,0.0,0.0,LLM,,,,,,5629,86,98.47219754841002,86,5,94.18604651162792,5.0,3.0,40.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
4,DIRTY,True,4,MOSER,----Y,5,5,CSS_TRUE,NAIRA,--YY-,5,4,CSS_TRUE,FRUIT,-Y-YY,5.0,5.0,LLM,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,285,94.93693373600996,285,20,92.98245614035088,20.0,4.0,80.0,4.0,1.0,75.0,,,,,,,0
5,USUAL,True,5,NADER,-Y---,5,5,CSS_TRUE,OCALA,--YY-,5,4,CSS_TRUE,ALIBI,YY---,5.0,5.0,LLM,LUKAS,YY-GY,4.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,LLM,,,,,,5629,326,94.20856279978682,326,17,94.78527607361964,17.0,4.0,76.47058823529412,4.0,1.0,75.0,1.0,1.0,0.0,,,,0
6,TRULY,False,6,RADIO,Y----,5,5,CSS_TRUE,TERSE,G-Y--,4,4,CSS_TRUE,TRUCK,GGG--,2.0,2.0,LLM,TRUST,GGG--,2.0,2.0,LLM,TRUMP,GGG--,2.0,2.0,LLM,REALS,Y--G-,4.0,4.0,LLM,5629,255,95.46988807958785,255,5,98.0392156862745,5.0,3.0,40.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,1.0,1.0,0.0,8
7,SPENT,True,4,AIDES,---YY,5,5,CSS_TRUE,STONE,GY-GY,3,3,CSS_TRUE,SCENT,G-GGG,1.0,1.0,LLM,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,116,97.93924320483212,116,2,98.27586206896552,2.0,1.0,50.0,1.0,1.0,0.0,,,,,,,0
8,PAUSE,True,5,RAILS,-G--Y,4,4,CSS_TRUE,SATYA,YG---,4,4,CSS_TRUE,PASSO,GG-G-,2.0,2.0,LLM,BREAK,--YY-,5.0,5.0,LLM,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,5629,72,98.72090957541305,72,11,84.72222222222221,11.0,1.0,90.9090909090909,1.0,1.0,0.0,1.0,1.0,0.0,,,,5
9,CRAZY,False,6,GATES,-Y---,5,5,CSS_TRUE,ARIAN,YG---,4,4,CSS_TRUE,BRAWL,-GG--,3.0,3.0,LLM,FRAUD,-GG--,3.0,3.0,LLM,CRACK,GGG--,2.0,2.0,LLM,CRAMP,GGG--,2.0,2.0,LLM,5629,399,92.91170723041392,399,11,97.24310776942356,11.0,6.0,45.45454545454545,6.0,3.0,50.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
10,BASES,True,5,LANES,-G-GG,2,2,CSS_TRUE,RATES,-G-GG,2,2,CSS_TRUE,WAVES,-G-GG,2.0,2.0,LLM,SAKES,YG-GG,2.0,2.0,LLM,BASES,GGGGG,0.0,0.0,LLM,,,,,,5629,66,98.82750044412862,66,42,36.36363636363637,42.0,30.0,28.57142857142857,30.0,4.0,86.66666666666667,4.0,1.0,75.0,,,,0
