game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,SYRIA,-----,5,5,CSS_TRUE,CHECK,-G---,4,4,LLM,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,451,91.98791970154558,451,10,97.78270509977828,10.0,1.0,90.0,,,,,,,,,,0
2,PARTY,True,2,MAINS,-G---,4,4,CSS_TRUE,PARTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,324,94.24409308935869,324,1,99.69135802469135,,,,,,,,,,,,,0
3,TRICK,True,3,CATES,Y-Y--,5,5,CSS_TRUE,THICK,G-GGG,1,1,LLM,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,13,99.76905311778292,13,1,92.3076923076923,1.0,1.0,0.0,,,,,,,,,,0
4,DIRTY,True,3,AIDES,-GY--,4,4,CSS_TRUE,DIGIT,GG--Y,3,3,LLM,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,31,99.44928051163618,31,4,87.09677419354838,4.0,1.0,75.0,,,,,,,,,,0
5,USUAL,True,4,SIENA,Y---Y,5,5,CSS_TRUE,SWORD,Y----,5,5,LLM,CALMS,-YY-Y,5.0,5.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,209,96.28708473974062,209,87,58.3732057416268,87.0,4.0,95.40229885057472,4.0,1.0,75.0,,,,,,,2
6,TRULY,True,3,REALS,Y--G-,4,4,CSS_TRUE,TROLL,GG-G-,2,2,LLM,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,14,99.75128797299698,14,1,92.85714285714286,1.0,1.0,0.0,,,,,,,,,,0
7,SPENT,True,3,PANES,Y-YYY,5,4,CSS_TRUE,SPINE,GG-GY,2,2,LLM,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,5,99.91117427607034,5,2,60.0,2.0,1.0,50.0,,,,,,,,,,0
8,PAUSE,True,5,CRANE,--Y-G,4,4,CSS_TRUE,ABLAT,Y----,5,5,LLM,MAUVE,-GG-G,2.0,2.0,CSS_TRUE,GAUZE,-GG-G,2.0,2.0,LLM,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,78,98.61431870669746,78,22,71.7948717948718,22.0,3.0,86.36363636363636,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,1
9,CRAZY,True,4,RAMOS,YY---,5,4,CSS_TRUE,ARATE,-GG--,3,3,LLM,GRAND,-GG--,3.0,3.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,226,95.98507727837982,226,32,85.84070796460178,32.0,7.0,78.125,7.0,1.0,85.71428571428571,,,,,,,0
10,BASES,True,4,MOIRA,----Y,5,5,CSS_TRUE,BLACK,G-Y--,4,4,LLM,BADEN,GG-G-,2.0,2.0,CSS_TRUE,BASES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,763,86.4451945283354,763,19,97.50982961992136,19.0,3.0,84.21052631578947,3.0,1.0,66.66666666666666,,,,,,,0
11,YOUNG,True,3,TRAIL,-----,5,5,CSS_TRUE,FOUND,-GGG-,2,2,LLM,YOUNG,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,607,89.21655711494049,607,2,99.67051070840198,2.0,1.0,50.0,,,,,,,,,,0
