game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,LACES,-----,5,5,CSS_TRUE,THINK,YG---,4,4,LLM,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,445,92.09451057026116,445,1,99.7752808988764,1.0,1.0,0.0,,,,,,,,,,0
2,PARTY,True,4,ALTER,Y-Y-Y,5,4,CSS_TRUE,START,-YYY-,5,3,LLM,MARTI,-GGG-,2.0,2.0,CSS_TRUE,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,72,98.72090957541305,72,17,76.38888888888889,17.0,5.0,70.58823529411765,5.0,1.0,80.0,,,,,,,0
3,TRICK,True,4,NORAD,--Y--,5,5,CSS_TRUE,RIGHT,YY--Y,5,4,LLM,TRIES,GGG--,2.0,2.0,CSS_TRUE,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,298,94.70598685379284,298,16,94.63087248322148,16.0,3.0,81.25,3.0,1.0,66.66666666666666,,,,,,,0
4,DIRTY,True,3,FAIRE,--YY-,5,4,CSS_TRUE,BIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,80,98.5787884171256,80,1,98.75,1.0,1.0,0.0,,,,,,,,,,0
5,USUAL,True,4,ALLEN,YY---,5,5,CSS_TRUE,LADAR,Y--G-,4,4,LLM,SOCAL,Y--GG,3.0,3.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,149,97.35299342689645,149,10,93.28859060402684,10.0,1.0,90.0,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,4,SARIN,--Y--,5,5,CSS_TRUE,ORDER,-G---,4,4,LLM,CRYPT,-GY-Y,4.0,4.0,CSS_TRUE,TRULY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,287,94.9014034464381,287,8,97.21254355400696,8.0,1.0,87.5,1.0,1.0,0.0,,,,,,,0
7,SPENT,True,4,BALES,---YY,5,5,CSS_TRUE,HOUSE,---YY,5,5,LLM,STERN,GYG-Y,3.0,3.0,CSS_TRUE,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,142,97.47734944039794,142,15,89.43661971830986,15.0,2.0,86.66666666666667,2.0,1.0,50.0,,,,,,,0
8,PAUSE,True,2,PARTS,GG--Y,3,3,CSS_TRUE,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,5,99.91117427607034,5,1,80.0,,,,,,,,,,,,,0
9,CRAZY,True,5,ROXAS,Y--Y-,5,5,CSS_TRUE,BRASH,-GG--,3,3,LLM,GRANT,-GG--,3.0,3.0,CSS_TRUE,CRAZE,GGGG-,1.0,1.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,357,93.65784331142298,357,58,83.75350140056022,58.0,15.0,74.13793103448276,15.0,1.0,93.33333333333331,1.0,1.0,0.0,,,,1
10,BASES,True,2,SABER,YGYG-,3,3,CSS_TRUE,BASES,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,6,99.8934091312844,6,1,83.33333333333334,,,,,,,,,,,,,0
11,YOUNG,True,3,LOSER,-G---,4,4,CSS_TRUE,GOING,-G-GG,2,2,LLM,YOUNG,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,151,97.31746313732457,151,2,98.67549668874172,2.0,1.0,50.0,,,,,,,,,,0
12,MEANS,True,3,SONIA,Y-Y-Y,5,5,CSS_TRUE,NAMES,YYYYG,4,4,LLM,MEANS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,39,99.30715935334872,39,1,97.43589743589745,1.0,1.0,0.0,,,,,,,,,,0
13,TRUTH,True,3,LOIRE,---Y-,5,5,CSS_TRUE,TRUST,GGG-Y,2,2,LLM,TRUTH,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,247,95.61200923787528,247,1,99.59514170040484,1.0,1.0,0.0,,,,,,,,,,0
14,FIRED,True,3,SALEH,---G-,4,4,CSS_TRUE,NEVER,---GY,4,4,LLM,FIRED,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,257,95.434357790016,257,22,91.43968871595332,22.0,1.0,95.45454545454544,,,,,,,,,,0
15,FOLKS,True,3,READS,----G,4,4,CSS_TRUE,LOOKS,YG-GG,2,2,LLM,FOLKS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,268,95.23894119737076,268,2,99.25373134328358,2.0,1.0,50.0,,,,,,,,,,0
