game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,5,SABRE,-----,5,5,CSS_TRUE,LASER,-----,5,5,LLM,TUNIC,Y----,5.0,5.0,CSS_TRUE,GODOT,-Y-YY,5.0,4.0,LLM,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,458,91.86356368804404,458,307,32.96943231441048,307.0,6.0,98.0456026058632,6.0,2.0,66.66666666666666,2.0,1.0,50.0,,,,4
2,PARTY,True,5,NADER,-G--Y,4,4,CSS_TRUE,CRANE,-YY--,5,5,LLM,MARTA,-GGG-,2.0,2.0,CSS_TRUE,PARTS,GGGG-,1.0,1.0,LLM,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,118,97.90371291526026,118,97,17.796610169491526,97.0,9.0,90.72164948453609,9.0,2.0,77.77777777777779,2.0,1.0,50.0,,,,3
3,TRICK,True,4,YARDS,--Y--,5,5,CSS_TRUE,SLOSH,-----,5,5,LLM,TRIPE,GGG--,2.0,2.0,CSS_TRUE,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,386,93.14265411263102,386,156,59.58549222797927,156.0,1.0,99.35897435897436,1.0,1.0,0.0,,,,,,,2
4,DIRTY,True,4,MONTE,---G-,4,4,CSS_TRUE,CRANE,-Y---,5,5,LLM,BIRTH,-GGG-,2.0,2.0,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,121,97.85041748090248,121,9,92.56198347107438,9.0,1.0,88.88888888888889,1.0,1.0,0.0,,,,,,,3
5,USUAL,True,4,MAIER,-Y---,5,5,CSS_TRUE,GUESS,-Y-Y-,5,5,LLM,SQUAW,Y-GG-,3.0,3.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,351,93.76443418013857,351,8,97.72079772079772,8.0,1.0,87.5,1.0,1.0,0.0,,,,,,,2
6,TRULY,True,3,SONAR,----Y,5,5,CSS_TRUE,GUESS,-Y---,5,5,LLM,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,241,95.71860010659088,241,13,94.6058091286307,13.0,1.0,92.3076923076923,,,,,,,,,,2
7,SPENT,True,4,HADEN,---YY,5,4,CSS_TRUE,GUESS,--GY-,4,4,LLM,SCENT,G-GGG,1.0,1.0,CSS_TRUE,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,159,97.17534197903711,159,5,96.85534591194968,5.0,2.0,60.0,2.0,1.0,50.0,,,,,,,1
8,PAUSE,True,3,SADIE,YG--G,3,3,CSS_TRUE,TASTE,-GY-G,3,3,LLM,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,11,99.80458340735476,11,5,54.54545454545454,5.0,1.0,80.0,,,,,,,,,,0
9,CRAZY,False,6,PAINE,-Y---,5,5,CSS_TRUE,GUESS,-----,5,5,LLM,CORAL,G-YY-,4.0,3.0,CSS_TRUE,CHART,G-GY-,3.0,3.0,LLM,CRACK,GGG--,2.0,2.0,CSS_TRUE,CRABB,GGG--,2.0,2.0,LLM,5629,393,93.01829809912952,393,150,61.832061068702295,150.0,8.0,94.66666666666669,8.0,3.0,62.5,3.0,2.0,33.33333333333333,2.0,1.0,50.0,2
10,BASES,True,5,DEANS,-YY-G,4,4,CSS_TRUE,GUESS,--YYG,4,4,LLM,VASES,-GGGG,1.0,1.0,CSS_TRUE,CASES,-GGGG,1.0,1.0,LLM,BASES,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,86,98.47219754841002,86,10,88.37209302325581,10.0,3.0,70.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,1
11,YOUNG,True,3,GEARS,Y----,5,5,CSS_TRUE,DOUGH,-GGY-,3,3,LLM,YOUNG,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,72,98.72090957541305,72,1,98.61111111111111,1.0,1.0,0.0,,,,,,,,,,0
12,MEANS,True,5,LATER,-Y-Y-,5,5,CSS_TRUE,ROLES,---YG,4,4,LLM,BEANS,-GGGG,1.0,1.0,CSS_TRUE,JEANS,-GGGG,1.0,1.0,LLM,MEANS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,128,97.72606146740095,128,18,85.9375,18.0,3.0,83.33333333333334,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,4
13,TRUTH,True,5,CANES,-----,5,5,CSS_TRUE,GUESS,-Y---,5,5,LLM,MOULD,--G--,4.0,4.0,CSS_TRUE,FRUIT,-GG-Y,3.0,3.0,LLM,TRUTH,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,399,92.91170723041392,399,33,91.72932330827066,33.0,3.0,90.9090909090909,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,2
14,FIRED,True,6,ARIES,-YYG-,4,4,CSS_TRUE,GUESS,--Y--,5,5,LLM,RILED,YG-GG,2.0,2.0,CSS_TRUE,WIRED,-GGGG,1.0,1.0,LLM,HIRED,-GGGG,1.0,1.0,CSS_TRUE,FIRED,GGGGG,0.0,0.0,LLM,5629,43,99.236098774205,43,40,6.976744186046512,40.0,5.0,87.5,5.0,4.0,20.0,4.0,3.0,25.0,3.0,1.0,66.66666666666666,4
15,FOLKS,True,4,HEARN,-----,5,5,CSS_TRUE,COULD,-G-Y-,4,4,LLM,LOOKS,YG-GG,2.0,2.0,CSS_TRUE,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,543,90.35352638124002,543,24,95.58011049723756,24.0,2.0,91.66666666666666,2.0,1.0,50.0,,,,,,,0
16,CHILE,True,4,SABRE,----G,4,4,CSS_TRUE,COULD,G--G-,3,3,LLM,CYCLE,G--GG,2.0,2.0,CSS_TRUE,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,178,96.83780422810446,178,2,98.87640449438202,2.0,1.0,50.0,1.0,1.0,0.0,,,,,,,1
17,BLACK,True,5,HALEN,-YY--,5,5,CSS_TRUE,TAROT,-Y---,5,5,LLM,CLAYS,YGG--,3.0,3.0,CSS_TRUE,FLACK,-GGGG,1.0,1.0,LLM,BLACK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,152,97.29969799253864,152,73,51.973684210526315,73.0,2.0,97.26027397260276,2.0,1.0,50.0,1.0,1.0,0.0,,,,2
18,GRANT,True,3,YEARS,--GY-,4,4,CSS_TRUE,TRAIN,YGG-Y,3,3,LLM,GRANT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,63,98.8807958784864,63,2,96.82539682539682,2.0,1.0,50.0,,,,,,,,,,0
19,MEALS,True,2,MENSA,GG-YY,3,3,CSS_TRUE,MEALS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,3,99.9467045656422,3,1,66.66666666666666,,,,,,,,,,,,,0
20,CREAM,True,3,HARES,-YYY-,5,4,CSS_TRUE,DREAM,-GGGG,1,1,LLM,CREAM,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,90,98.4011369692663,90,2,97.77777777777776,2.0,1.0,50.0,,,,,,,,,,0
21,AWAKE,True,4,MODES,---Y-,5,5,CSS_TRUE,LORES,---Y-,5,5,LLM,KEANE,Y-G-G,3.0,3.0,CSS_TRUE,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,552,90.19364007816664,552,195,64.67391304347827,195.0,2.0,98.97435897435898,2.0,1.0,50.0,,,,,,,3
22,OCCUR,True,5,ANSEL,-----,5,5,CSS_TRUE,BASED,-----,5,5,LLM,MORTY,-YY--,5.0,5.0,CSS_TRUE,PROVO,-YY--,5.0,5.0,LLM,OCCUR,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,361,93.58678273227927,361,230,36.288088642659275,230.0,15.0,93.47826086956522,15.0,3.0,80.0,3.0,1.0,66.66666666666666,,,,3
23,YEARS,False,6,ROSIE,Y-Y-Y,5,5,CSS_TRUE,BERKS,-GY-G,3,3,LLM,HEARS,-GGGG,1.0,1.0,CSS_TRUE,MEARS,-GGGG,1.0,1.0,LLM,NEARS,-GGGG,1.0,1.0,CSS_TRUE,FEARS,-GGGG,1.0,1.0,LLM,5629,94,98.33007639012258,94,11,88.29787234042553,11.0,9.0,18.181818181818183,9.0,8.0,11.11111111111111,8.0,7.0,12.5,7.0,6.0,14.285714285714285,0
24,GRADE,False,6,RISEN,Y--Y-,5,4,CSS_TRUE,LIONS,-----,5,5,LLM,TRACE,-GG-G,2.0,2.0,CSS_TRUE,GRAPE,GGG-G,1.0,1.0,LLM,GRAVE,GGG-G,1.0,1.0,CSS_TRUE,GRAZE,GGG-G,1.0,1.0,LLM,5629,216,96.16272872623912,216,137,36.57407407407408,137.0,9.0,93.43065693430655,9.0,3.0,66.66666666666666,3.0,2.0,33.33333333333333,2.0,1.0,50.0,5
25,CHILL,True,4,NEARS,-----,5,5,CSS_TRUE,MIGHT,-Y-Y-,5,5,LLM,KOHLI,--YGY,4.0,4.0,CSS_TRUE,CHILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,337,94.0131462071416,337,10,97.03264094955487,10.0,2.0,80.0,2.0,1.0,50.0,,,,,,,0
26,FLOOD,True,5,LEAPS,Y----,5,5,CSS_TRUE,BUOYS,--G--,4,4,LLM,GROWL,--G-Y,4.0,4.0,CSS_TRUE,CLOCK,-GG--,3.0,3.0,LLM,FLOOD,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,148,97.37075857168236,148,18,87.83783783783784,18.0,4.0,77.77777777777779,4.0,1.0,75.0,1.0,1.0,0.0,,,,2
27,APPLY,True,4,CANOE,-Y---,5,5,CSS_TRUE,GUESS,-----,5,5,LLM,TRIAL,---YY,5.0,5.0,CSS_TRUE,APPLY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,356,93.67560845620892,356,134,62.35955056179775,134.0,8.0,94.02985074626866,8.0,1.0,87.5,,,,,,,2
28,SMILE,True,4,IDEAS,Y-Y-Y,5,5,CSS_TRUE,SPIRE,G-G-G,2,2,LLM,SMITE,GGG-G,1.0,1.0,CSS_TRUE,SMILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,51,99.09397761591757,51,10,80.3921568627451,10.0,1.0,90.0,1.0,1.0,0.0,,,,,,,0
29,KNOCK,True,4,SABLE,-----,5,5,CSS_TRUE,LUCKY,--YY-,5,4,LLM,CRICK,---GG,3.0,3.0,CSS_TRUE,KNOCK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,504,91.04636702789128,504,14,97.2222222222222,14.0,1.0,92.85714285714286,1.0,1.0,0.0,,,,,,,1
30,SLEEP,True,3,LACES,Y--GY,4,4,CSS_TRUE,SPIEL,GY-GY,3,3,LLM,SLEEP,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,7,99.87564398649847,7,1,85.71428571428571,1.0,1.0,0.0,,,,,,,,,,0
31,BRICK,True,4,HOSEA,-----,5,5,CSS_TRUE,WORDS,--Y--,5,5,LLM,TRICK,-GGGG,1.0,1.0,CSS_TRUE,BRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,281,95.00799431515368,281,47,83.27402135231317,47.0,4.0,91.48936170212764,4.0,1.0,75.0,,,,,,,2
32,WROTE,True,5,RAGES,Y--Y-,5,4,CSS_TRUE,FABLE,----G,4,4,LLM,CRONE,-GG-G,2.0,2.0,CSS_TRUE,TROVE,YGG-G,2.0,2.0,LLM,WROTE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,185,96.71344821460296,185,64,65.4054054054054,64.0,6.0,90.625,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,2
33,RATED,True,3,LEANS,-YY--,5,5,CSS_TRUE,BASED,-G-GG,2,2,LLM,RATED,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,213,96.21602416059692,213,40,81.2206572769953,40.0,1.0,97.5,,,,,,,,,,1
34,ALERT,True,2,SLATE,-GYYY,4,4,CSS_TRUE,ALERT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,2,99.96446971042812,2,1,50.0,,,,,,,,,,,,,0
