game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,SORTA,-Y-G-,4,4,CSS_TRUE,KNOTT,--GG-,3,3,LLM,CLOTH,--GGY,3.0,3.0,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,12,99.78681826256884,12,3,75.0,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,2,EARNS,-GG--,3,3,CSS_TRUE,PARTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,5629,70,98.7564398649849,70,1,98.57142857142858,,,,,,,,,,,,,0
3,TRICK,True,3,SAFER,----Y,5,5,CSS_TRUE,SWORD,---Y-,5,5,LLM,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,219,96.10943329188132,219,58,73.51598173515981,58.0,1.0,98.27586206896552,,,,,,,,,,1
4,DIRTY,True,4,SOREN,--G--,4,4,CSS_TRUE,SAILS,--Y--,5,5,LLM,BIRCH,-GG--,3.0,3.0,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,102,98.18795523183516,102,9,91.17647058823528,9.0,1.0,88.88888888888889,1.0,1.0,0.0,,,,,,,2
5,USUAL,True,5,ARISE,Y--Y-,5,5,CSS_TRUE,ZEBRA,----Y,5,5,LLM,CLANS,-YY-Y,5.0,5.0,CSS_TRUE,SALAD,Y-YG-,4.0,4.0,LLM,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,271,95.18564576301296,271,226,16.605166051660518,226.0,12.0,94.69026548672566,12.0,1.0,91.66666666666666,1.0,1.0,0.0,,,,3
6,TRULY,True,5,ROLES,Y-Y--,5,4,CSS_TRUE,WHIRL,---YY,5,5,LLM,CARLA,--YG-,4.0,4.0,CSS_TRUE,TRUST,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,54,99.04068218155976,54,13,75.92592592592592,13.0,1.0,92.3076923076923,1.0,1.0,0.0,1.0,1.0,0.0,,,,3
7,SPENT,True,3,DANES,--YYY,5,5,CSS_TRUE,STONE,GY-GY,3,3,LLM,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,29,99.48481080120804,29,2,93.10344827586206,2.0,1.0,50.0,,,,,,,,,,0
8,PAUSE,True,3,CARES,-G-YY,4,4,CSS_TRUE,PASTE,GGY-G,2,2,LLM,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,13,99.76905311778292,13,1,92.3076923076923,1.0,1.0,0.0,,,,,,,,,,0
9,CRAZY,False,6,LASER,-Y--Y,5,5,CSS_TRUE,SWORD,---Y-,5,5,LLM,TRINA,-G--Y,4.0,4.0,CSS_TRUE,GRAPH,-GG--,3.0,3.0,LLM,CRABB,GGG--,2.0,2.0,CSS_TRUE,CRACK,GGG--,2.0,2.0,LLM,5629,171,96.96216024160596,171,68,60.23391812865497,68.0,9.0,86.76470588235294,9.0,3.0,66.66666666666666,3.0,2.0,33.33333333333333,2.0,1.0,50.0,2
10,BASES,False,6,ANDES,Y--GG,3,3,CSS_TRUE,HATES,-G-GG,2,2,LLM,CAGES,-G-GG,2.0,2.0,CSS_TRUE,SAKES,YG-GG,2.0,2.0,LLM,VASES,-GGGG,1.0,1.0,CSS_TRUE,EASES,-GGGG,1.0,1.0,LLM,5629,70,98.7564398649849,70,52,25.71428571428571,52.0,32.0,38.46153846153847,32.0,3.0,90.625,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
11,YOUNG,True,4,SAUER,--G--,4,4,CSS_TRUE,GREEN,Y---Y,5,5,LLM,HYUNG,-YGGG,2.0,2.0,CSS_TRUE,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,52,99.07621247113164,52,8,84.61538461538461,8.0,1.0,87.5,1.0,1.0,0.0,,,,,,,3
