game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,RACES,-----,5,5,CSS_TRUE,ADIEU,-----,5,5,LLM,LOONY,-YG--,4.0,4.0,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,399,92.91170723041392,399,85,78.69674185463658,85.0,2.0,97.6470588235294,2.0,1.0,50.0,,,,,,,2
2,PARTY,True,4,WALES,-G---,4,4,CSS_TRUE,COULD,-----,5,5,LLM,MARIA,-GG--,3.0,3.0,CSS_TRUE,PARTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,340,93.9598507727838,340,155,54.41176470588235,155.0,7.0,95.48387096774194,7.0,1.0,85.71428571428571,,,,,,,2
3,TRICK,True,4,HINES,-Y---,5,5,CSS_TRUE,GUESS,-----,5,5,LLM,TRAIL,GG-Y-,3.0,3.0,CSS_TRUE,TRICK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,229,95.93178184402204,229,162,29.257641921397383,162.0,2.0,98.76543209876544,2.0,1.0,50.0,,,,,,,3
4,DIRTY,True,4,DESAI,G---Y,4,4,CSS_TRUE,DIGIT,GG--Y,3,3,LLM,DITTO,GG-G-,2.0,2.0,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,27,99.52034109077988,27,4,85.18518518518519,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,5,DEANS,--Y-Y,5,5,CSS_TRUE,GRAIN,--Y--,5,5,LLM,SALSA,YYY--,5.0,4.0,CSS_TRUE,APTLY,Y--Y-,5.0,5.0,LLM,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,130,97.6905311778291,130,67,48.46153846153846,67.0,1.0,98.50746268656717,1.0,1.0,0.0,1.0,1.0,0.0,,,,4
6,TRULY,True,3,LINER,Y---Y,5,5,CSS_TRUE,TYROL,GYY-Y,4,3,LLM,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,53,99.05844732634571,53,1,98.1132075471698,1.0,1.0,0.0,,,,,,,,,,0
7,SPENT,True,3,AIRES,---YY,5,5,CSS_TRUE,STYLE,GY--Y,4,4,LLM,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,88,98.43666725883816,88,5,94.31818181818184,5.0,1.0,80.0,,,,,,,,,,0
8,PAUSE,True,3,SOLAR,Y--Y-,5,5,CSS_TRUE,SHINE,Y---G,4,4,LLM,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,243,95.683069817019,243,13,94.65020576131688,13.0,1.0,92.3076923076923,,,,,,,,,,2
9,CRAZY,True,5,AYRES,YYY--,5,5,CSS_TRUE,RALLY,YY--G,4,3,LLM,GRADY,-GG-G,2.0,2.0,CSS_TRUE,TRACY,-GGYG,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,23,99.5914016699236,23,7,69.56521739130434,7.0,2.0,71.42857142857143,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
10,BASES,True,4,RANTS,-G--G,3,3,CSS_TRUE,TREND,--Y--,5,5,LLM,SALES,YG-GG,2.0,2.0,CSS_TRUE,BASES,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,109,98.06359921833364,109,47,56.88073394495413,47.0,5.0,89.36170212765957,5.0,1.0,80.0,,,,,,,5
