game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,5,GUESS,-----,5,5,LLM,MARTA,---G-,4,4,CSS_TRUE_REPAIR,TITTY,---G-,4,4,LLM,CLOTH,--GGY,3.0,3.0,LLM,PHOTO,GGGGG,0.0,0.0,LLM,,,,,,5629,1270,77.43826612186889,1270,31,97.55905511811024,31,4,87.09677419354838,4.0,1.0,75.0,1.0,1.0,0.0,,,,0
2,PARTY,True,5,GUESS,-----,5,5,LLM,WHICH,-----,5,5,LLM,TONAL,Y--Y-,5,5,CSS_TRUE_REPAIR,MARTY,-GGGG,1.0,1.0,LLM,PARTY,GGGGG,0.0,0.0,LLM,,,,,,5629,1270,77.43826612186889,1270,431,66.06299212598425,431,15,96.51972157772622,15.0,1.0,93.33333333333331,1.0,1.0,0.0,,,,0
3,TRICK,True,5,GIVEN,-Y---,5,5,LLM,WHICH,--GG-,3,3,LLM,CRICK,-GGGG,1,1,LLM,FRICK,-GGGG,1.0,1.0,LLM,TRICK,GGGGG,0.0,0.0,LLM,,,,,,5629,406,92.7873512169124,406,16,96.0591133004926,16,4,75.0,4.0,3.0,25.0,3.0,1.0,66.66666666666666,,,,0
4,DIRTY,True,5,GUESS,-----,5,5,LLM,WHICH,--Y--,5,5,LLM,LATIN,--YY-,5,5,CSS_TRUE_REPAIR,TIMMY,YG--G,3.0,3.0,LLM,DIRTY,GGGGG,0.0,0.0,LLM,,,,,,5629,1270,77.43826612186889,1270,264,79.21259842519684,264,5,98.1060606060606,5.0,2.0,60.0,2.0,1.0,50.0,,,,0
5,USUAL,True,3,GUESS,-Y-Y-,5,5,LLM,SAULT,YYGY-,4,4,CSS_TRUE_REPAIR,USUAL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,5629,50,99.1117427607035,50,1,98.0,1,1,0.0,,,,,,,,,,0
6,TRULY,True,5,GUESS,-Y---,5,5,LLM,MOURN,--GY-,4,4,CSS_TRUE_REPAIR,TRUCK,GGG--,2,2,LLM,TRUTH,GGG--,2.0,2.0,LLM,TRULY,GGGGG,0.0,0.0,LLM,,,,,,5629,154,97.26416770296676,154,7,95.45454545454544,7,3,57.14285714285714,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
7,SPENT,True,4,LIGHT,----G,4,4,LLM,ROAST,---YG,4,4,CSS_TRUE_REPAIR,UPSET,-GYYG,3,3,CSS_TRUE_REPAIR,SPENT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,139,97.53064487475574,139,10,92.80575539568343,10,1,90.0,1.0,1.0,0.0,,,,,,,0
8,PAUSE,True,4,GUESS,-YYG-,4,4,LLM,ROUSE,--GGG,2,2,LLM,CAUSE,-GGGG,1,1,LLM,PAUSE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,11,99.80458340735476,11,4,63.63636363636363,4,1,75.0,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,6,BASED,-Y---,5,5,LLM,ARIAN,YG---,4,4,CSS_TRUE_REPAIR,GRAPH,-GG--,3,3,LLM,CRAFT,GGG--,2.0,2.0,LLM,CRACK,GGG--,2.0,2.0,LLM,CRAZY,GGGGG,0.0,0.0,LLM,5629,419,92.55640433469532,419,18,95.70405727923628,18,9,50.0,9.0,3.0,66.66666666666666,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
10,BASES,True,3,GUESS,--YYG,4,4,LLM,SIZES,Y--GG,3,3,LLM,BASES,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,5629,52,99.07621247113164,52,15,71.15384615384616,15,1,93.33333333333331,,,,,,,,,,0
11,YOUNG,True,4,GUESS,YY---,5,5,LLM,MOGUL,-GYY-,4,4,LLM,BOUGH,-GGY-,3,3,LLM,YOUNG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,19,99.66246224906732,19,7,63.1578947368421,7,1,85.71428571428571,1.0,1.0,0.0,,,,,,,0
12,MEANS,True,4,ABOUT,Y----,5,5,LLM,SEDAN,YG-YY,4,3,CSS_TRUE_REPAIR,NEARS,YGG-G,2,2,LLM,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1110,80.28068928761769,1110,5,99.54954954954955,5,3,40.0,3.0,1.0,66.66666666666666,,,,,,,0
13,TRUTH,True,3,AFTER,--Y-Y,5,5,LLM,THROW,GYY--,4,4,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,5629,98,98.25901581097884,98,2,97.95918367346938,2,1,50.0,,,,,,,,,,0
14,FIRED,True,4,GUESS,--Y--,5,5,LLM,OTHER,---GY,4,4,LLM,EARED,--GGG,2,2,CSS_TRUE_REPAIR,FIRED,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,1121,80.08527269497246,1121,45,95.985727029438,45,3,93.33333333333331,3.0,1.0,66.66666666666666,,,,,,,0
15,FOLKS,True,5,GUESS,----G,4,4,LLM,LIONS,Y-Y-G,4,4,CSS_TRUE_REPAIR,POLLS,-GG-G,2,2,LLM,FOLDS,GGG-G,1.0,1.0,LLM,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,5629,393,93.01829809912952,393,19,95.16539440203562,19,9,52.63157894736842,9.0,1.0,88.88888888888889,1.0,1.0,0.0,,,,0
16,CHILE,True,3,HAPPY,Y----,5,5,LLM,WHICH,-GGY-,3,3,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,5629,290,94.8481080120803,290,12,95.86206896551724,12,1,91.66666666666666,,,,,,,,,,0
17,BLACK,True,4,CHOSE,Y----,5,5,LLM,TACIT,-YY--,5,4,LLM,FLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,5629,80,98.5787884171256,80,10,87.5,10,1,90.0,1.0,1.0,0.0,,,,,,,0
18,GRANT,True,3,CRATE,-GGY-,3,3,LLM,BRANT,-GGGG,1,1,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,5629,17,99.69799253863918,17,1,94.11764705882352,1,1,0.0,,,,,,,,,,0
