game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,SNIDE,-----,5,5,LLM_RERANK,TRACT,Y----,5,5,LLM_RERANK,PHOTO,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,,,,,,5629,649,88.47042103393143,649,14,97.84283513097073,14.0,1.0,92.85714285714286,,,,,,,,,,0
2,PARTY,True,5,SALAD,-G---,4,4,LLM_RERANK,HAUNT,-G--Y,4,4,LLM_RERANK,TARTE,-GGG-,2.0,2.0,LLM_RERANK,MARTY,-GGGG,1.0,1.0,LLM_RERANK,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,311,94.47503997157575,311,42,86.49517684887459,42.0,4.0,90.47619047619048,4.0,1.0,75.0,1.0,1.0,0.0,,,,0
3,TRICK,True,2,STREP,-YY--,5,4,LLM_RERANK,TRICK,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,,,,,,,5629,87,98.4544324036241,87,1,98.85057471264368,,,,,,,,,,,,,0
4,DIRTY,True,4,FAVOR,----Y,5,5,LLM_RERANK,TURKS,Y-G--,4,4,LLM_RERANK,HERTZ,--GG-,3.0,3.0,LLM_RERANK,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,427,92.41428317640788,427,10,97.65807962529274,10.0,1.0,90.0,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,5,COMMS,----Y,5,5,LLM_RERANK,STEPH,Y----,5,5,LLM_RERANK,FRISK,---Y-,5.0,5.0,LLM_RERANK,ASADA,YG---,4.0,4.0,LLM_RERANK,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,556,90.12257949902292,556,35,93.705035971223,35.0,9.0,74.28571428571429,9.0,1.0,88.88888888888889,1.0,1.0,0.0,,,,0
6,TRULY,True,4,VEDAS,-----,5,5,LLM_RERANK,GLINT,-Y--Y,5,5,LLM_RERANK,TROLL,GG-G-,2.0,2.0,LLM_RERANK,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,629,88.82572392965002,629,8,98.72813990461049,8.0,1.0,87.5,1.0,1.0,0.0,,,,,,,0
7,SPENT,True,4,BOERS,--G-Y,4,4,LLM_RERANK,SIENA,G-GG-,2,2,LLM_RERANK,SPEND,GGGG-,1.0,1.0,LLM_RERANK,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,60,98.9340913128442,60,6,90.0,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,,,,0
8,PAUSE,True,4,COOKS,----Y,5,5,LLM_RERANK,WASTE,-GY-G,3,3,LLM_RERANK,SABLE,YG--G,3.0,3.0,LLM_RERANK,PAUSE,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,568,89.90939776159176,568,11,98.06338028169014,11.0,3.0,72.72727272727273,3.0,1.0,66.66666666666666,,,,,,,0
9,CRAZY,False,6,EXCEL,--Y--,5,5,LLM_RERANK,ASICS,Y--Y-,5,5,LLM_RERANK,CHART,G-GY-,3.0,3.0,LLM_RERANK,CRANK,GGG--,2.0,2.0,LLM_RERANK,CRABB,GGG--,2.0,2.0,LLM_RERANK,CRAMP,GGG--,2.0,2.0,LLM_RERANK,5629,349,93.79996446971045,349,47,86.53295128939828,47.0,4.0,91.48936170212764,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
10,BASES,True,5,MUSED,--GG-,3,3,LLM_RERANK,RESET,--GG-,3,3,LLM_RERANK,IBSEN,-YGG-,3.0,3.0,LLM_RERANK,BASEL,GGGG-,1.0,1.0,LLM_RERANK,BASES,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,40,99.2893942085628,40,20,50.0,20.0,2.0,90.0,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
11,YOUNG,True,3,SEIKO,----Y,5,5,LLM_RERANK,LOFTY,-G--Y,4,4,LLM_RERANK,YOUNG,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,,,,,,5629,426,92.43204832119382,426,2,99.53051643192488,2.0,1.0,50.0,,,,,,,,,,0
12,MEANS,True,3,ANKLE,YY--Y,5,5,LLM_RERANK,DEANS,-GGGG,1,1,LLM_RERANK,MEANS,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,,,,,,5629,60,98.9340913128442,60,3,95.0,3.0,1.0,66.66666666666666,,,,,,,,,,0
13,TRUTH,True,4,SPEED,-----,5,5,LLM_RERANK,CRANK,-G---,4,4,LLM_RERANK,GROOM,-G---,4.0,4.0,LLM_RERANK,TRUTH,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,1320,76.5500088825724,1320,30,97.72727272727272,30.0,8.0,73.33333333333333,8.0,1.0,87.5,,,,,,,0
14,FIRED,False,6,LUCHA,-----,5,5,LLM_RERANK,DIVED,-G-GG,2,2,LLM_RERANK,PIPED,-G-GG,2.0,2.0,LLM_RERANK,TIMED,-G-GG,2.0,2.0,LLM_RERANK,FINED,GG-GG,1.0,1.0,LLM_RERANK,FIXED,GG-GG,1.0,1.0,LLM_RERANK,5629,1273,77.3849706875111,1273,14,98.90023566378632,14.0,12.0,14.285714285714285,12.0,6.0,50.0,6.0,2.0,66.66666666666666,2.0,1.0,50.0,0
15,FOLKS,True,4,INDUS,----G,4,4,LLM_RERANK,TOMES,-G--G,3,3,LLM_RERANK,LOOKS,YG-GG,2.0,2.0,LLM_RERANK,FOLKS,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,535,90.49564753952744,535,48,91.02803738317758,48.0,2.0,95.83333333333334,2.0,1.0,50.0,,,,,,,0
16,CHILE,True,5,QUAIL,---YY,5,4,LLM_RERANK,TILED,-YYY-,5,3,LLM_RERANK,OLIVE,-YG-G,3.0,3.0,LLM_RERANK,SMILE,--GGG,2.0,2.0,LLM_RERANK,CHILE,GGGGG,0.0,0.0,LLM_RERANK,,,,,,5629,181,96.78450879374668,181,18,90.05524861878453,18.0,5.0,72.22222222222221,5.0,3.0,40.0,3.0,1.0,66.66666666666666,,,,0
17,BLACK,True,5,GRADY,--G--,4,4,LLM_RERANK,SLATE,-GG--,3,3,LLM_RERANK,CLANK,YGG-G,2.0,2.0,LLM_RERANK,FLACK,-GGGG,1.0,1.0,LLM_RERANK,BLACK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,276,95.09682003908333,276,18,93.47826086956522,18.0,2.0,88.88888888888889,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
18,GRANT,True,4,SONNY,---G-,4,4,LLM_RERANK,HWANG,--GGY,3,3,CSS_TRUE,GIANT,G-GGG,1.0,1.0,LLM_RERANK,GRANT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,161,97.13981168946528,161,4,97.51552795031056,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
19,MEALS,True,4,SPORT,Y----,5,5,LLM_RERANK,GLASS,-YG-G,3,3,LLM_RERANK,HEALS,-GGGG,1.0,1.0,LLM_RERANK,MEALS,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,494,91.22401847575058,494,9,98.17813765182186,9.0,2.0,77.77777777777779,2.0,1.0,50.0,,,,,,,0
20,CREAM,True,4,KRAFT,-GY--,4,4,LLM_RERANK,DREAM,-GGGG,1,1,LLM_RERANK,BREAM,-GGGG,1.0,1.0,LLM_RERANK,CREAM,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,49,99.12950790548943,49,2,95.91836734693877,2.0,1.0,50.0,1.0,1.0,0.0,,,,,,,0
21,AWAKE,True,5,RAMON,-Y---,5,5,LLM_RERANK,FEATS,-YG--,4,4,LLM_RERANK,BLAZE,--G-G,3.0,3.0,LLM_RERANK,ADAGE,G-G-G,2.0,2.0,LLM_RERANK,AWAKE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,422,92.50310890033754,422,14,96.6824644549763,14.0,7.0,50.0,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,0
22,OCCUR,True,3,FREUD,-Y-G-,4,4,LLM_RERANK,SCRUB,-GYG-,3,3,LLM_RERANK,OCCUR,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,18,99.68022739385326,18,1,94.44444444444444,1.0,1.0,0.0,,,,,,,,,,0
23,YEARS,False,6,BILBO,-----,5,5,LLM_RERANK,FADES,-Y-YG,4,4,LLM_RERANK,TEARS,-GGGG,1.0,1.0,LLM_RERANK,REARS,-GGGG,1.0,1.0,LLM_RERANK,HEARS,-GGGG,1.0,1.0,LLM_RERANK,SEARS,-GGGG,1.0,1.0,LLM_RERANK,5629,1635,70.95398827500445,1635,28,98.2874617737003,28.0,9.0,67.85714285714286,9.0,8.0,11.11111111111111,8.0,7.0,12.5,7.0,6.0,14.285714285714285,0
24,GRADE,True,6,BRIAR,-G-Y-,4,4,LLM_RERANK,ARTSY,YG---,4,4,LLM_RERANK,DRANK,YGG--,3.0,3.0,LLM_RERANK,FRAUD,-GG-Y,3.0,3.0,LLM_RERANK,PRADO,-GGG-,2.0,2.0,LLM_RERANK,GRADE,GGGGG,0.0,0.0,CSS_TRUE,5629,92,98.36560667969444,92,33,64.13043478260869,33.0,4.0,87.87878787878788,4.0,3.0,25.0,3.0,1.0,66.66666666666666,1.0,1.0,0.0,0
25,CHILL,True,3,ROTOR,-----,5,5,LLM_RERANK,HALEY,Y-Y--,5,4,LLM_RERANK,CHILL,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,,,,,,5629,1973,64.9493693373601,1973,10,99.4931576279777,10.0,1.0,90.0,,,,,,,,,,0
26,FLOOD,True,5,MARDI,---Y-,5,5,LLM_RERANK,HOPED,-Y--G,4,4,LLM_RERANK,SYNOD,---GG,3.0,3.0,LLM_RERANK,BLOOD,-GGGG,1.0,1.0,LLM_RERANK,FLOOD,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,168,97.01545567596376,168,9,94.64285714285714,9.0,2.0,77.77777777777779,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
27,APPLY,True,3,BOXES,-----,5,5,LLM_RERANK,PARTI,YY---,5,5,LLM_RERANK,APPLY,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,,,,,,5629,960,82.9454610055072,960,7,99.27083333333331,7.0,1.0,85.71428571428571,,,,,,,,,,0
28,SMILE,True,3,OMBRE,-G--G,3,3,LLM_RERANK,AMINE,-GG-G,2,2,LLM_RERANK,SMILE,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,,,,,,5629,9,99.84011369692662,9,3,66.66666666666666,3.0,1.0,66.66666666666666,,,,,,,,,,0
29,KNOCK,True,4,RAKED,--Y--,5,5,LLM_RERANK,KNITS,GG---,3,3,LLM_RERANK,KNOWN,GGG--,2.0,2.0,LLM_RERANK,KNOCK,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,127,97.7438266121869,127,4,96.8503937007874,4.0,3.0,25.0,3.0,1.0,66.66666666666666,,,,,,,0
30,SLEEP,True,4,REUSE,-Y-YY,5,5,LLM_RERANK,EASEL,Y-YGY,4,4,LLM_RERANK,FLEES,-GGGY,2.0,2.0,LLM_RERANK,SLEEP,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,30,99.4670456564221,30,4,86.66666666666667,4.0,3.0,25.0,3.0,1.0,66.66666666666666,,,,,,,0
31,BRICK,True,3,TRACY,-G-G-,3,3,LLM_RERANK,BRUCE,GG-G-,2,2,LLM_RERANK,BRICK,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,,,,,,5629,16,99.71575768342512,16,3,81.25,3.0,1.0,66.66666666666666,,,,,,,,,,0
32,WROTE,True,5,COURT,-Y-YY,5,5,LLM_RERANK,TROLL,YGG--,3,3,LLM_RERANK,BROTH,-GGG-,2.0,2.0,LLM_RERANK,PROTO,-GGG-,2.0,2.0,LLM_RERANK,WROTE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,26,99.53810623556582,26,4,84.61538461538461,4.0,2.0,50.0,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
33,RATED,True,4,EARNS,YGY--,4,4,LLM_RERANK,RAVEL,GG-G-,2,2,LLM_RERANK,RAZED,GG-GG,1.0,1.0,LLM_RERANK,RATED,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,56,99.00515189198792,56,8,85.71428571428571,8.0,5.0,37.5,5.0,1.0,80.0,,,,,,,0
34,ALERT,True,2,MEANS,-YY--,5,5,LLM_RERANK,ALERT,GGGGG,0,0,LLM_RERANK,,,,,,,,,,,,,,,,,,,,,5629,243,95.683069817019,243,1,99.58847736625516,,,,,,,,,,,,,0
35,CAGES,False,6,WIDER,---G-,4,4,LLM_RERANK,LANEY,-G-G-,3,3,LLM_RERANK,BAKES,-G-GG,2.0,2.0,LLM_RERANK,FACES,-GYGG,2.0,2.0,LLM_RERANK,CAPES,GG-GG,1.0,1.0,LLM_RERANK,CAVES,GG-GG,1.0,1.0,LLM_RERANK,5629,280,95.0257594599396,280,47,83.21428571428572,47.0,31.0,34.04255319148936,31.0,5.0,83.87096774193549,5.0,4.0,20.0,4.0,3.0,25.0,0
36,TEDDY,True,4,GHOST,----Y,5,5,LLM_RERANK,EMPTY,Y--YG,4,4,LLM_RERANK,TEARY,GG--G,2.0,2.0,LLM_RERANK,TEDDY,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,279,95.04352460472552,279,7,97.4910394265233,7.0,3.0,57.14285714285714,3.0,1.0,66.66666666666666,,,,,,,0
37,COLES,False,6,TOMBS,-G--G,3,3,LLM_RERANK,DOVES,-G-GG,2,2,LLM_RERANK,JOKES,-G-GG,2.0,2.0,LLM_RERANK,HOSES,-G-GG,2.0,2.0,LLM_RERANK,POLES,-GGGG,1.0,1.0,LLM_RERANK,ROLES,-GGGG,1.0,1.0,LLM_RERANK,5629,134,97.61947059868538,134,28,79.1044776119403,28.0,25.0,10.714285714285714,25.0,15.0,40.0,15.0,3.0,80.0,3.0,2.0,33.33333333333333,0
38,HWANG,True,4,XENON,--Y--,5,5,LLM_RERANK,GLINT,Y--G-,4,4,LLM_RERANK,CHUNG,-Y-GG,3.0,3.0,LLM_RERANK,HWANG,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,261,95.36329721087226,261,13,95.0191570881226,13.0,1.0,92.3076923076923,1.0,1.0,0.0,,,,,,,0
39,WRATH,True,5,PHILO,-Y---,5,5,LLM_RERANK,HESSE,Y----,5,5,LLM_RERANK,MUNCH,----G,4.0,4.0,LLM_RERANK,FARAH,-YY-G,4.0,3.0,LLM_RERANK,WRATH,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,201,96.42920589802809,201,36,82.08955223880598,36.0,8.0,77.77777777777779,8.0,1.0,87.5,1.0,1.0,0.0,,,,0
40,MACHO,True,4,REISS,-----,5,5,LLM_RERANK,FATAL,-G---,4,4,LLM_RERANK,DANDY,-G---,4.0,4.0,LLM_RERANK,MACHO,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,720,87.20909575413039,720,56,92.22222222222224,56.0,11.0,80.35714285714286,11.0,1.0,90.9090909090909,,,,,,,0
41,LOPEZ,True,4,VINOD,---Y-,5,5,LLM_RERANK,HOARE,-G--Y,4,4,LLM_RERANK,GOMEZ,-G-GG,2.0,2.0,LLM_RERANK,LOPEZ,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,683,87.8664061112098,683,43,93.70424597364568,43.0,1.0,97.67441860465117,1.0,1.0,0.0,,,,,,,0
