game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,5,WINDY,-----,5,5,LLM_RERANK,SUAVE,-----,5,5,LLM_RERANK,KLOPP,--GY-,4.0,4.0,LLM_RERANK,PROTO,G-GGG,1.0,1.0,LLM_RERANK,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,1916,65.9619825901581,1916,71,96.29436325678496,71.0,5.0,92.95774647887325,5.0,1.0,80.0,1.0,1.0,0.0,,,,0
2,PARTY,True,4,ITALY,-YY-G,4,4,LLM_RERANK,TODAY,Y--YG,4,4,LLM_RERANK,CATHY,-GY-G,3.0,3.0,LLM_RERANK,PARTY,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,27,99.52034109077988,27,17,37.03703703703704,17.0,5.0,70.58823529411765,5.0,1.0,80.0,,,,,,,0
3,TRICK,True,5,WRECK,-G-GG,2,2,LLM_RERANK,CRICK,-GGGG,1,1,LLM_RERANK,FRICK,-GGGG,1.0,1.0,LLM_RERANK,BRICK,-GGGG,1.0,1.0,LLM_RERANK,TRICK,GGGGG,0.0,0.0,LLM_RERANK,,,,,,5629,11,99.80458340735476,11,4,63.63636363636363,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
4,DIRTY,True,4,EARLE,--G--,4,4,LLM_RERANK,PORTO,--GG-,3,3,LLM_RERANK,GIRTH,-GGG-,2.0,2.0,LLM_RERANK,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,119,97.88594777047432,119,8,93.27731092436974,8.0,1.0,87.5,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,3,STEAD,Y--G-,4,4,LLM_RERANK,USMAN,GG-G-,2,2,LLM_RERANK,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,41,99.27162906377689,41,1,97.5609756097561,1.0,1.0,0.0,,,,,,,,,,0
6,TRULY,True,3,OUIJA,-Y---,5,5,LLM_RERANK,GRUFF,-GG--,3,3,LLM_RERANK,TRULY,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,,,,,,5629,175,96.89109966246224,175,28,84.0,28.0,1.0,96.42857142857144,,,,,,,,,,0
7,SPENT,True,3,KNELL,-YG--,4,4,LLM_RERANK,SHEEN,G-G-Y,3,3,LLM_RERANK,SPENT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,54,99.04068218155976,54,5,90.74074074074076,5.0,1.0,80.0,,,,,,,,,,0
8,PAUSE,True,4,TAMAR,-G---,4,4,LLM_RERANK,SANFL,YG---,4,4,LLM_RERANK,HAVES,-G-YY,4.0,4.0,LLM_RERANK,PAUSE,GGGGG,0.0,0.0,LLM_RERANK,,,,,,,,,,,5629,359,93.62231302185111,359,53,85.23676880222841,53.0,2.0,96.22641509433964,2.0,1.0,50.0,,,,,,,0
9,CRAZY,True,5,START,--GY-,4,4,LLM_RERANK,BRAGA,-GG--,3,3,LLM_RERANK,FRANK,-GG--,3.0,3.0,LLM_RERANK,CRAWL,GGG--,2.0,2.0,LLM_RERANK,CRAZY,GGGGG,0.0,0.0,LLM_RERANK,,,,,,5629,69,98.77420500977084,69,24,65.21739130434783,24.0,9.0,62.5,9.0,4.0,55.55555555555556,4.0,1.0,75.0,,,,0
10,BASES,False,6,NOTRE,----Y,5,5,LLM_RERANK,PALES,-G-GG,2,2,LLM_RERANK,HAVES,-G-GG,2.0,2.0,LLM_RERANK,FADES,-G-GG,2.0,2.0,LLM_RERANK,WAKES,-G-GG,2.0,2.0,LLM_RERANK,EAMES,-G-GG,2.0,2.0,LLM_RERANK,5629,470,91.6503819506129,470,38,91.91489361702128,38.0,28.0,26.31578947368421,28.0,21.0,25.0,21.0,14.0,33.33333333333333,14.0,7.0,50.0,0
