game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,STATE,---G-,4,4,CSS_TRUE_FROM_LLM,FORTH,-Y-GY,4,4,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,,,,,,5629,48,99.14727305027536,48,1,97.91666666666666,1.0,1.0,0.0,,,,,,,,,,0
2,PARTY,True,4,STILL,-Y---,5,5,CSS_TRUE_FROM_LLM,HEART,--YYY,5,3,CSS_TRUE_FROM_LLM,CARTA,-GGG-,2.0,2.0,CSS_TRUE_FROM_LLM,PARTY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,435,92.27216201812044,435,16,96.32183908045975,16.0,2.0,87.5,2.0,1.0,50.0,,,,,,,0
3,TRICK,True,4,YEARS,---Y-,5,5,CSS_TRUE_FROM_LLM,RIGHT,YY--Y,5,4,CSS_TRUE_FROM_LLM,TRIPP,GGG--,2.0,2.0,CSS_TRUE_FROM_LLM,TRICK,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,184,96.73121335938887,184,6,96.7391304347826,6.0,2.0,66.66666666666666,2.0,1.0,50.0,,,,,,,0
4,DIRTY,True,3,STATE,---G-,4,4,CSS_TRUE_FROM_LLM,NORTH,--GG-,3,3,CSS_TRUE_FROM_LLM,DIRTY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,,,,,,5629,48,99.14727305027536,48,2,95.83333333333334,2.0,1.0,50.0,,,,,,,,,,0
5,USUAL,True,4,YEARS,--Y-Y,5,5,CSS_TRUE_FROM_LLM,COSTA,--Y-Y,5,4,CSS_TRUE_FROM_LLM,SALAH,Y-YG-,4.0,4.0,CSS_TRUE_FROM_LLM,USUAL,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,130,97.6905311778291,130,27,79.23076923076923,27.0,1.0,96.29629629629628,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,5,THREE,G-Y--,4,4,CSS_TRUE_FROM_LLM,TRIPS,GG---,3,3,CSS_TRUE_FROM_LLM,TRACK,GG---,3.0,3.0,CSS_TRUE_FROM_LLM,TROLL,GG-G-,2.0,2.0,CSS_TRUE_FROM_LLM,TRULY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,5629,49,99.12950790548943,49,13,73.46938775510205,13.0,6.0,53.84615384615385,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,0
7,SPENT,True,4,OTHER,-Y-Y-,5,5,CSS_TRUE_FROM_LLM,TASTE,Y-Y-Y,5,5,CSS_TRUE_FROM_LLM,SLEPT,G-GYG,2.0,2.0,CSS_TRUE_FROM_LLM,SPENT,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,159,97.17534197903711,159,13,91.8238993710692,13.0,1.0,92.3076923076923,1.0,1.0,0.0,,,,,,,0
8,PAUSE,True,5,EVERY,Y----,5,5,CSS_TRUE_FROM_LLM,STATE,Y-Y-G,4,4,CSS_TRUE_FROM_LLM,AMUSE,Y-GGG,2.0,2.0,CSS_TRUE_FROM_LLM,CAUSE,-GGGG,1.0,1.0,CSS_TRUE_FROM_LLM,PAUSE,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,5629,976,82.66121868893231,976,10,98.97540983606558,10.0,2.0,80.0,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
9,CRAZY,True,5,BEING,-----,5,5,CSS_TRUE_FROM_LLM,START,--GY-,4,4,CSS_TRUE_FROM_LLM,DRAMA,-GG--,3.0,3.0,CSS_TRUE_FROM_LLM,CRAWL,GGG--,2.0,2.0,CSS_TRUE_FROM_LLM,CRAZY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,5629,1133,79.8720909575413,1133,11,99.02912621359224,11.0,3.0,72.72727272727273,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
10,BASES,False,6,STATE,Y-Y-Y,5,4,CSS_TRUE_FROM_LLM,GAMES,-G-GG,2,2,CSS_TRUE_FROM_LLM,RACES,-G-GG,2.0,2.0,CSS_TRUE_FROM_LLM,DANES,-G-GG,2.0,2.0,CSS_TRUE_FROM_LLM,BAKES,GG-GG,1.0,1.0,CSS_TRUE_FROM_LLM,BALES,GG-GG,1.0,1.0,CSS_TRUE_FROM_LLM,5629,115,97.95700834961804,115,46,60.0,46.0,28.0,39.130434782608695,28.0,20.0,28.57142857142857,20.0,3.0,85.0,3.0,2.0,33.33333333333333,0
