game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,5,CARES,-----,5,5,CSS_TRUE_FROM_LLM,LOGIN,-Y---,5.0,5.0,CSS_TRUE,JUMBO,----G,4.0,4.0,CSS_TRUE_FROM_LLM,KYOTO,--GGG,2.0,2.0,CSS_TRUE_FROM_LLM,PHOTO,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,5629,399,92.91170723041392,399.0,9.0,97.74436090225564,9.0,3.0,66.66666666666666,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
2,PARTY,True,4,WHICH,-----,5,5,CSS_TRUE_FROM_LLM,START,-YYY-,5.0,3.0,CSS_TRUE_FROM_LLM,AFTER,Y-Y-Y,5.0,4.0,CSS_TRUE_FROM_LLM,PARTY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,2608,53.66850239829455,2608.0,29.0,98.88803680981594,29.0,6.0,79.3103448275862,6.0,1.0,83.33333333333334,,,,,,,0
3,TRICK,True,2,THINK,G-G-G,2,2,CSS_TRUE_FROM_LLM,TRICK,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,,,,,,,,,,,5629,1,99.98223485521407,1.0,1.0,0.0,,,,,,,,,,,,,0
4,DIRTY,True,3,WORDS,--GY-,4,4,CSS_TRUE_FROM_LLM,CARED,--G-Y,4.0,4.0,CSS_TRUE_FROM_LLM,DIRTY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,,,,,,5629,34,99.39598507727838,34.0,1.0,97.05882352941175,1.0,1.0,0.0,,,,,,,,,,0
5,USUAL,True,4,THINK,-----,5,5,CSS_TRUE_FROM_LLM,RAGES,-Y--Y,5.0,5.0,CSS_TRUE,OSAMA,-GY--,4.0,4.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1651,70.66974595842956,1651.0,26.0,98.4251968503937,26.0,1.0,96.15384615384616,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,5,THINK,G----,4,4,CSS_TRUE_FROM_LLM,TRUST,GGG--,2.0,2.0,CSS_TRUE_FROM_LLM,TRUER,GGG--,2.0,2.0,CSS_TRUE,TRUMP,GGG--,2.0,2.0,CSS_TRUE_FROM_LLM,TRULY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,5629,136,97.58394030911352,136.0,6.0,95.58823529411764,6.0,3.0,50.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
7,SPENT,True,5,THINK,Y--G-,4,4,CSS_TRUE_FROM_LLM,GAUNT,---GG,3.0,3.0,CSS_TRUE,STENT,G-GGG,1.0,1.0,CSS_TRUE_FROM_LLM,SCENT,G-GGG,1.0,1.0,CSS_TRUE_FROM_LLM,SPENT,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,5629,36,99.36045478770652,36.0,6.0,83.33333333333334,6.0,2.0,66.66666666666666,2.0,1.0,50.0,1.0,1.0,0.0,,,,0
8,PAUSE,True,3,THINK,-----,5,5,CSS_TRUE_FROM_LLM,LEASE,--YGG,3.0,3.0,CSS_TRUE,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,1651,70.66974595842956,1651.0,7.0,99.57601453664444,7.0,1.0,85.71428571428571,,,,,,,,,,0
9,CRAZY,True,5,THINK,-----,5,5,CSS_TRUE_FROM_LLM,COULD,G----,4.0,4.0,CSS_TRUE_FROM_LLM,CRAMP,GGG--,2.0,2.0,CSS_TRUE_FROM_LLM,CRAZE,GGGG-,1.0,1.0,CSS_TRUE_FROM_LLM,CRAZY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,5629,1651,70.66974595842956,1651.0,40.0,97.57722592368262,40.0,6.0,85.0,6.0,1.0,83.33333333333334,1.0,1.0,0.0,,,,0
10,BASES,False,6,THINK,-----,5,5,CSS_TRUE_FROM_LLM,YEARS,-YY-G,4.0,4.0,CSS_TRUE_FROM_LLM,SALES,YG-GG,2.0,2.0,CSS_TRUE,GASES,-GGGG,1.0,1.0,CSS_TRUE_FROM_LLM,EASES,-GGGG,1.0,1.0,CSS_TRUE_FROM_LLM,VASES,-GGGG,1.0,1.0,CSS_TRUE_FROM_LLM,5629,1651,70.66974595842956,1651.0,43.0,97.39551786795882,43.0,5.0,88.37209302325581,5.0,4.0,20.0,4.0,3.0,25.0,3.0,2.0,33.33333333333333,0
