game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,4,WHERE,-G---,4,4,CSS_TRUE_FROM_LLM,THICK,YG---,4,4,CSS_TRUE_FROM_LLM,SHOOT,-GGYY,3.0,3.0,CSS_TRUE_FROM_LLM,PHOTO,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,116,97.93924320483212,116,11,90.51724137931036,11.0,1.0,90.9090909090909,1.0,1.0,0.0,,,,,,,0
2,PARTY,True,5,ABOUT,Y---Y,5,5,CSS_TRUE_FROM_LLM,TASTE,-G-G-,3,3,CSS_TRUE_FROM_LLM,MARTA,-GGG-,2.0,2.0,CSS_TRUE_FROM_LLM,GARTH,-GGG-,2.0,2.0,CSS_TRUE_FROM_LLM,PARTY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,5629,299,94.68822170900692,299,18,93.9799331103679,18.0,4.0,77.77777777777779,4.0,2.0,50.0,2.0,1.0,50.0,,,,0
3,TRICK,True,4,THERE,G--Y-,4,4,CSS_TRUE_FROM_LLM,TRACT,GG-G-,2,2,CSS_TRUE_FROM_LLM,TRUCK,GG-GG,1.0,1.0,CSS_TRUE_FROM_LLM,TRICK,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,58,98.96962160241604,58,2,96.55172413793105,2.0,1.0,50.0,1.0,1.0,0.0,,,,,,,0
4,DIRTY,True,4,THEIR,Y--YY,5,5,CSS_TRUE_FROM_LLM,FRITZ,-YYG-,4,4,CSS_TRUE_FROM_LLM,MARTI,--GGY,3.0,3.0,CSS_TRUE_FROM_LLM,DIRTY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,25,99.55587138035176,25,4,84.0,4.0,1.0,75.0,1.0,1.0,0.0,,,,,,,0
5,USUAL,True,4,THESE,---Y-,5,5,CSS_TRUE_FROM_LLM,SOUND,Y-G--,4,4,CSS_TRUE_FROM_LLM,GAULS,-YGYY,4.0,4.0,CSS_TRUE_FROM_LLM,USUAL,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,698,87.59992893942086,698,9,98.71060171919773,9.0,1.0,88.88888888888889,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,4,OTHER,-Y--Y,5,5,CSS_TRUE_FROM_LLM,TRAIN,GG---,3,3,CSS_TRUE_FROM_LLM,TRUST,GGG--,2.0,2.0,CSS_TRUE_FROM_LLM,TRULY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,,,,,,5629,106,98.11689465269144,106,7,93.39622641509436,7.0,4.0,42.857142857142854,4.0,1.0,75.0,,,,,,,0
7,SPENT,True,5,HOUSE,---YY,5,5,CSS_TRUE_FROM_LLM,YEARS,-Y--Y,5,5,CSS_TRUE_FROM_LLM,STEEL,GYG--,3.0,3.0,CSS_TRUE_FROM_LLM,SWEPT,G-GYG,2.0,2.0,CSS_TRUE_FROM_LLM,SPENT,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,5629,463,91.7747379641144,463,35,92.44060475161989,35.0,3.0,91.42857142857144,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,0
8,PAUSE,True,2,HOUSE,--GGG,2,2,CSS_TRUE_FROM_LLM,PAUSE,GGGGG,0,0,CSS_TRUE_FROM_LLM,,,,,,,,,,,,,,,,,,,,,5629,6,99.8934091312844,6,1,83.33333333333334,,,,,,,,,,,,,0
9,CRAZY,True,5,THINK,-----,5,5,CSS_TRUE_FROM_LLM,POWER,----Y,5,5,CSS_TRUE_FROM_LLM,MARRY,-YY-G,4.0,4.0,CSS_TRUE_FROM_LLM,GRADY,-GG-G,2.0,2.0,CSS_TRUE_FROM_LLM,CRAZY,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,5629,1651,70.66974595842956,1651,112,93.21623258631134,112.0,4.0,96.42857142857144,4.0,1.0,75.0,1.0,1.0,0.0,,,,0
10,BASES,True,5,ABOUT,YY---,5,5,CSS_TRUE_FROM_LLM,BLACK,G-Y--,4,4,CSS_TRUE_FROM_LLM,BEGAN,GY-Y-,4.0,4.0,CSS_TRUE_FROM_LLM,BASED,GGGG-,1.0,1.0,CSS_TRUE_FROM_LLM,BASES,GGGGG,0.0,0.0,CSS_TRUE_FROM_LLM,,,,,,5629,155,97.24640255818083,155,40,74.19354838709677,40.0,7.0,82.5,7.0,1.0,85.71428571428571,1.0,1.0,0.0,,,,0
