game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6,total_violations
1,PHOTO,True,3,FIFTH,---GY,4,4,LLM,HASTE,Y--G-,4,4,CSS_TRUE,PHOTO,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,24,99.57363652513769,24,1,95.83333333333334,1.0,1.0,0.0,,,,,,,,,,0
2,PARTY,True,4,WORDS,--G--,4,4,LLM,TERRA,Y-G-Y,4,4,CSS_TRUE,MARTY,-GGGG,1.0,1.0,CSS_TRUE,PARTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,175,96.89109966246224,175,10,94.28571428571428,10.0,1.0,90.0,1.0,1.0,0.0,,,,,,,0
3,TRICK,True,4,ABOUT,----Y,5,5,LLM,TINTS,GY---,4,4,CSS_TRUE,THIER,G-G-Y,3.0,3.0,CSS_TRUE,TRICK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,246,95.6297743826612,246,19,92.27642276422765,19.0,4.0,78.94736842105263,4.0,1.0,75.0,,,,,,,0
4,DIRTY,True,3,WORDS,--GY-,4,4,LLM,DARIA,G-GY-,3,3,CSS_TRUE,DIRTY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,34,99.39598507727838,34,1,97.05882352941175,1.0,1.0,0.0,,,,,,,,,,0
5,USUAL,True,4,THINK,-----,5,5,LLM,SABER,YY---,5,5,CSS_TRUE,CLAMS,-YY-Y,5.0,5.0,CSS_TRUE,USUAL,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1651,70.66974595842956,1651,36,97.81950333131437,36.0,1.0,97.2222222222222,1.0,1.0,0.0,,,,,,,0
6,TRULY,True,3,LEAST,Y---Y,5,5,LLM,TILLY,G--GG,2,2,CSS_TRUE,TRULY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,19,99.66246224906732,19,1,94.73684210526316,1.0,1.0,0.0,,,,,,,,,,0
7,SPENT,True,2,START,G---G,3,3,LLM,SPENT,GGGGG,0,0,CSS_TRUE,,,,,,,,,,,,,,,,,,,,,5629,22,99.60916681470954,22,1,95.45454545454544,,,,,,,,,,,,,0
8,PAUSE,True,4,WORDS,----Y,5,5,LLM,SHANE,Y-Y-G,4,4,CSS_TRUE,LAPSE,-GYGG,2.0,2.0,CSS_TRUE,PAUSE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,431,92.34322259726416,431,11,97.4477958236659,11.0,1.0,90.9090909090909,1.0,1.0,0.0,,,,,,,0
9,CRAZY,True,5,START,--GY-,4,4,LLM,GRAND,-GG--,3,3,CSS_TRUE,BRACE,-GGY-,3.0,3.0,CSS_TRUE,CRAMP,GGG--,2.0,2.0,CSS_TRUE,CRAZY,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,69,98.77420500977084,69,17,75.36231884057972,17.0,3.0,82.35294117647058,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
10,BASES,True,6,START,Y-Y--,5,5,LLM,ANSEL,Y-GG-,3,3,CSS_TRUE,EASES,-GGGG,1.0,1.0,CSS_TRUE,CASES,-GGGG,1.0,1.0,CSS_TRUE,VASES,-GGGG,1.0,1.0,CSS_TRUE,BASES,GGGGG,0.0,0.0,CSS_TRUE,5629,255,95.46988807958785,255,11,95.68627450980392,11.0,4.0,63.63636363636363,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,0
11,YOUNG,True,3,LEAST,-----,5,5,LLM,CRONY,--YGY,4,4,CSS_TRUE,YOUNG,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,413,92.6629952034109,413,1,99.75786924939467,1.0,1.0,0.0,,,,,,,,,,0
12,MEANS,True,5,THING,---G-,4,4,LLM,DEANS,-GGGG,1,1,CSS_TRUE,LEANS,-GGGG,1.0,1.0,CSS_TRUE,JEANS,-GGGG,1.0,1.0,CSS_TRUE,MEANS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,161,97.13981168946528,161,4,97.51552795031056,4.0,3.0,25.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
13,TRUTH,True,3,WHICH,----G,4,4,LLM,TORAH,G-Y-G,3,3,CSS_TRUE,TRUTH,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,80,98.5787884171256,80,1,98.75,1.0,1.0,0.0,,,,,,,,,,0
14,FIRED,True,5,ABOUT,-----,5,5,LLM,NIGEL,-G-G-,3,3,CSS_TRUE,DIVER,YG-GY,3.0,3.0,CSS_TRUE,HIRED,-GGGG,1.0,1.0,CSS_TRUE,FIRED,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,875,84.45549831231125,875,60,93.14285714285714,60.0,6.0,90.0,6.0,4.0,33.33333333333333,4.0,1.0,75.0,,,,0
15,FOLKS,True,4,GIVEN,-----,5,5,LLM,LORDS,YG--G,3,3,CSS_TRUE,FOOLS,GG-YG,2.0,2.0,CSS_TRUE,FOLKS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1299,76.92307692307693,1299,18,98.61431870669746,18.0,1.0,94.44444444444444,1.0,1.0,0.0,,,,,,,0
16,CHILE,True,4,COVER,G--Y-,4,4,LLM,CHASE,GG--G,2,2,CSS_TRUE,CHIME,GGG-G,1.0,1.0,CSS_TRUE,CHILE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,34,99.39598507727838,34,3,91.17647058823528,3.0,1.0,66.66666666666666,1.0,1.0,0.0,,,,,,,0
17,BLACK,True,4,FOUND,-----,5,5,LLM,YEATS,--G--,4,4,CSS_TRUE,CIARA,Y-G--,4.0,4.0,CSS_TRUE,BLACK,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,1768,68.59122401847574,1768,45,97.45475113122173,45.0,2.0,95.55555555555556,2.0,1.0,50.0,,,,,,,0
18,GRANT,True,5,WORDS,--Y--,5,5,LLM,BLAIR,--G-Y,4,4,CSS_TRUE,TRACE,YGG--,3.0,3.0,CSS_TRUE,GRAFT,GGG-G,1.0,1.0,CSS_TRUE,GRANT,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,506,91.01083673831944,506,47,90.71146245059288,47.0,4.0,91.48936170212764,4.0,1.0,75.0,1.0,1.0,0.0,,,,0
19,MEALS,True,5,WORDS,----G,4,4,LLM,LAKES,YY-YG,4,4,CSS_TRUE,FLEAS,-YYYG,4.0,3.0,CSS_TRUE,SEALS,-GGGG,1.0,1.0,CSS_TRUE,MEALS,GGGGG,0.0,0.0,CSS_TRUE,,,,,,5629,518,90.79765500088826,518,6,98.84169884169884,6.0,3.0,50.0,3.0,2.0,33.33333333333333,2.0,1.0,50.0,,,,0
20,CREAM,True,3,THREE,--YY-,5,4,LLM,MEARS,YYYY-,5,4,CSS_TRUE,CREAM,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,,,,,,5629,131,97.67276603304316,131,3,97.70992366412212,3.0,1.0,66.66666666666666,,,,,,,,,,0
21,AWAKE,True,4,ABOUT,G----,4,4,LLM,ARNIE,G---G,3,3,CSS_TRUE,AGAPE,G-G-G,2.0,2.0,CSS_TRUE,AWAKE,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,176,96.87333451767633,176,9,94.88636363636364,9.0,2.0,77.77777777777779,2.0,1.0,50.0,,,,,,,0
22,OCCUR,True,4,FIRST,--Y--,5,5,LLM,ANGER,----G,4,4,CSS_TRUE,HODOR,-Y--G,4.0,4.0,CSS_TRUE,OCCUR,GGGGG,0.0,0.0,CSS_TRUE,,,,,,,,,,,5629,497,91.1707230413928,497,10,97.98792756539235,10.0,1.0,90.0,1.0,1.0,0.0,,,,,,,0
