game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,SAINT,----Y,5,5,CSS,TOURE,YY---,5,5,LLM,KYOTO,--GGG,2,2,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,4,TIDES,Y----,5,5,CSS,LOTTA,---GY,4,4,LLM,MARTY,-GGGG,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,4,TALES,G----,4,4,CSS,THORN,G--Y-,4,4,LLM,TRUMP,GG---,3,3,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,4,ARIES,-YY--,5,5,CSS,RINGO,YG---,4,4,LLM,BIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,4,SAITO,YY---,5,5,CSS,REALS,--YYY,5,4,LLM,ASLAN,-GYG-,3,3,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,3,AISLE,---G-,4,4,CSS,GULLY,-Y-GG,3,3,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
7,SPENT,True,3,TRIES,Y--YY,5,5,CSS,STALE,GY--Y,4,4,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,2,TALES,-G-YY,4,4,CSS,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,4,STAIR,--G-Y,4,4,CSS,GRADE,-GG--,3,3,LLM,BRAWN,-GG--,3,3,LLM,CRAZY,GGGGG,0,0,LLM,,,,,,,,,,
10,BASES,True,5,HEARS,-YY-G,4,4,CSS,TALES,-G-GG,2,2,LLM,CASES,-GGGG,1,1,LLM,EASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,
11,YOUNG,True,3,DEALS,-----,5,5,CSS,COUNT,-GGG-,2,2,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
12,MEANS,True,5,LOSER,--YY-,5,5,CSS,TEENS,-G-GG,2,2,LLM,JEANS,-GGGG,1,1,LLM,DEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,
13,TRUTH,True,4,IRENA,-G---,4,4,CSS,PROST,-G--Y,4,4,LLM,TRUDY,GGG--,2,2,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,
14,FIRED,True,3,TEARS,-Y-Y-,5,5,CSS,CIDER,-GYGY,3,3,LLM,FIRED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
15,FOLKS,True,5,SAMIR,Y----,5,5,CSS,TONES,-G--G,3,3,LLM,COOLS,-G-YG,3,3,LLM,FOLDS,GGG-G,1,1,LLM,FOLKS,GGGGG,0,0,LLM,,,,,
16,CHILE,True,3,COLES,G-YY-,4,3,CSS,CLARE,GY--G,3,3,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
17,BLACK,True,2,BEARS,G-G--,3,3,CSS,BLACK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
18,GRANT,True,4,CATER,-YY-Y,5,5,CSS,TRAPS,YGG--,3,3,LLM,GRAFT,GGG-G,1,1,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,
19,MEALS,True,4,WARES,-Y-YG,4,4,CSS,DEALS,-GGGG,1,1,LLM,SEALS,-GGGG,1,1,LLM,MEALS,GGGGG,0,0,LLM,,,,,,,,,,
20,CREAM,True,2,SALEM,-Y-YG,4,4,CSS,CREAM,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
21,AWAKE,True,4,HANES,-Y-Y-,5,4,CSS,PEARL,-YG--,4,4,LLM,AGATE,G-G-G,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,
22,OCCUR,True,4,DEALS,-----,5,5,CSS,POINT,-Y---,5,5,LLM,BROOM,-YY--,5,5,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,False,6,ARISE,YY-YY,5,4,CSS,RAPES,YY-YG,4,4,LLM,GEARS,-GGGG,1,1,LLM,HEARS,-GGGG,1,1,LLM,SEARS,-GGGG,1,1,LLM,MEARS,-GGGG,1,1,LLM
24,GRADE,True,4,CANES,-Y-Y-,5,4,CSS,DEALT,YYG--,4,4,LLM,ADAGE,-YGYG,3,3,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,
25,CHILL,True,3,SORTA,-----,5,5,CSS,CLINE,GYG--,3,3,LLM,CHILL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
26,FLOOD,True,4,AROSE,--G--,4,4,CSS,GOOCH,-YG--,4,4,LLM,BLOOM,-GGG-,2,2,LLM,FLOOD,GGGGG,0,0,LLM,,,,,,,,,,
27,APPLY,True,4,HANES,-Y---,5,5,CSS,AROMA,G----,4,4,LLM,ADULT,G--G-,3,3,LLM,APPLY,GGGGG,0,0,LLM,,,,,,,,,,
28,SMILE,True,3,REALS,-Y-GY,4,4,CSS,SMELL,GGYG-,2,2,LLM,SMILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
29,KNOCK,True,4,SAITO,----Y,5,5,CSS,LOREN,-Y--Y,5,5,LLM,CHONG,Y-GY-,4,4,LLM,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,
30,SLEEP,True,4,DALES,--YGY,4,4,CSS,SLEEK,GGGG-,1,1,LLM,SLEET,GGGG-,1,1,LLM,SLEEP,GGGGG,0,0,LLM,,,,,,,,,,
31,BRICK,True,5,AUTOS,-----,5,5,CSS,LINED,-Y---,5,5,LLM,CHIRP,Y-GY-,4,4,LLM,FRICK,-GGGG,1,1,LLM,BRICK,GGGGG,0,0,LLM,,,,,
32,WROTE,True,4,SALEM,---Y-,5,5,CSS,CRETE,-G-GG,2,2,LLM,WRITE,GG-GG,1,1,LLM,WROTE,GGGGG,0,0,LLM,,,,,,,,,,
33,RATED,True,4,AROSE,YY--Y,5,4,CSS,TERRA,YYY-Y,5,5,LLM,WATER,-GGGY,2,2,LLM,RATED,GGGGG,0,0,LLM,,,,,,,,,,
34,ALERT,True,4,READS,YYY--,5,5,CSS,MATER,-YYYY,5,3,LLM,GREAT,-YGYG,3,3,LLM,ALERT,GGGGG,0,0,LLM,,,,,,,,,,
35,CAGES,True,6,LANES,-G-GG,2,2,CSS,RATES,-G-GG,2,2,LLM,SAGES,-GGGG,1,1,LLM,MAGES,-GGGG,1,1,LLM,WAGES,-GGGG,1,1,LLM,CAGES,GGGGG,0,0,LLM
36,TEDDY,True,3,YATES,Y-YY-,5,5,CSS,LEFTY,-G-YG,3,3,LLM,TEDDY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
37,COLES,True,3,AIDES,---GG,3,3,CSS,ROLES,-GGGG,1,1,LLM,COLES,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
38,HWANG,True,3,LAINE,-Y-G-,4,4,CSS,SHANG,-YGGG,2,2,LLM,HWANG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
39,WRATH,True,3,TIRES,Y-Y--,5,5,CSS,CROAT,-G-YY,4,3,LLM,WRATH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
40,MACHO,True,4,OATES,YG---,4,4,CSS,MARLO,GG--G,2,2,LLM,MACAO,GGG-G,1,1,LLM,MACHO,GGGGG,0,0,LLM,,,,,,,,,,
41,LOPEZ,True,4,SABRE,----Y,5,5,CSS,TONED,-G-G-,3,3,LLM,GOLEM,-GYG-,3,3,LLM,LOPEZ,GGGGG,0,0,LLM,,,,,,,,,,
42,GOODY,True,4,TILED,----Y,5,5,CSS,RONDA,-G-G-,3,3,LLM,GOWDY,GG-GG,1,1,LLM,GOODY,GGGGG,0,0,LLM,,,,,,,,,,
43,BROTH,True,3,ARIES,-G---,4,4,CSS,GROOT,-GG-Y,3,3,LLM,BROTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
44,VERDE,True,4,RAGES,Y--Y-,5,5,CSS,TORRE,--G-G,3,3,LLM,NERVE,-GGYG,2,2,LLM,VERDE,GGGGG,0,0,LLM,,,,,,,,,,
45,TAMED,True,3,AYERS,Y-Y--,5,4,CSS,DEALT,YYY-Y,5,5,LLM,TAMED,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
46,LEAFS,True,3,ROSEN,--YY-,5,5,CSS,STALE,Y-GYY,4,4,LLM,LEAFS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
47,YACHT,True,4,LAGER,-G---,4,4,CSS,MAINS,-G---,4,4,LLM,CATHY,YGYGY,3,3,LLM,YACHT,GGGGG,0,0,LLM,,,,,,,,,,
48,MESSY,True,4,SABER,Y--Y-,5,5,CSS,PEELS,-G--Y,4,4,LLM,HEIST,-G-G-,3,3,LLM,MESSY,GGGGG,0,0,LLM,,,,,,,,,,
49,RYDER,True,3,RITES,G--G-,3,3,CSS,ROPED,G--GY,3,3,LLM,RYDER,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
50,MOTIF,True,4,RAILS,--Y--,5,5,CSS,BIDEN,-Y---,5,5,LLM,OPTIC,Y-GG-,3,3,LLM,MOTIF,GGGGG,0,0,LLM,,,,,,,,,,
51,RAVEN,True,4,LACES,-G-G-,3,3,CSS,MATER,-G-GY,3,3,LLM,PARED,-GYG-,3,3,LLM,RAVEN,GGGGG,0,0,LLM,,,,,,,,,,
52,REICH,True,2,TORAH,--Y-G,4,4,CSS,REICH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
53,ICONS,True,4,RAISE,--YY-,5,5,CSS,LINKS,-YY-G,4,4,LLM,INDUS,GY--G,3,3,LLM,ICONS,GGGGG,0,0,LLM,,,,,,,,,,
54,SILKY,True,3,SARIN,G--Y-,4,4,CSS,SLITS,GYY--,4,4,LLM,SILKY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
55,CARVE,True,4,ROALD,Y-Y--,5,5,CSS,SARAN,-GG--,3,3,LLM,CARTE,GGG-G,1,1,LLM,CARVE,GGGGG,0,0,LLM,,,,,,,,,,
56,LAGER,True,6,DANES,-G-G-,3,3,CSS,LATER,GG-GG,1,1,LLM,LAUER,GG-GG,1,1,LLM,LAKER,GG-GG,1,1,LLM,LAYER,GG-GG,1,1,LLM,LAGER,GGGGG,0,0,LLM
57,JERKS,True,5,LOREN,--GY-,4,4,CSS,TERMS,-GG-G,2,2,LLM,HERBS,-GG-G,2,2,LLM,PERKS,-GGGG,1,1,LLM,JERKS,GGGGG,0,0,LLM,,,,,
58,LOTUS,True,5,SONAR,YG---,4,4,CSS,MOLES,-GY-G,3,3,LLM,FOOLS,-G-YG,3,3,LLM,LOCUS,GG-GG,1,1,LLM,LOTUS,GGGGG,0,0,LLM,,,,,
59,LACEY,True,4,TASER,-G-G-,3,3,CSS,LADEN,GG-G-,2,2,LLM,LABEL,GG-G-,2,2,LLM,LACEY,GGGGG,0,0,LLM,,,,,,,,,,
