game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,CRANE,-----,5,5,LLM,BOILS,-Y---,5,5,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
2,PARTY,True,4,CRANE,-YY--,5,5,LLM,MARIA,-GG--,3,3,CSS,TARDY,YGG-G,2,2,CSS,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,4,CRANE,YG---,4,4,LLM,BRICK,-GGGG,1,1,CSS,PRICK,-GGGG,1,1,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,4,CRANE,-Y---,5,5,LLM,TORUS,Y-G--,4,4,CSS,FIRTH,-GGG-,2,2,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,4,ADIEU,Y---Y,5,5,LLM,TULSA,-YYYY,5,4,CSS,HAULS,-YGYY,4,4,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,5,CRANE,-G---,4,4,LLM,PROST,-G--Y,4,4,CSS,FRITH,-G-Y-,4,4,CSS,TRUDY,GGG-G,1,1,CSS,TRULY,GGGGG,0,0,CSS,,,,,
7,SPENT,True,3,CRANE,---GY,4,4,LLM,SEONG,GY-G-,3,3,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
8,PAUSE,True,3,CRANE,--Y-G,4,4,LLM,AISLE,Y-Y-G,4,3,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,4,CRANE,GGG--,2,2,LLM,CRAPS,GGG--,2,2,CSS,CRAWL,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,True,5,CRANE,--Y-Y,5,4,LLM,MALES,-G-GG,2,2,CSS,GATES,-G-GG,2,2,CSS,VASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,CSS,,,,,
11,YOUNG,True,4,CRANE,---G-,4,4,LLM,STING,---GG,3,3,CSS,HYUNG,-YGGG,2,2,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,2,CRANE,--GGY,3,3,LLM,MEANS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
13,TRUTH,True,4,CRANE,-G---,4,4,LLM,PROST,-G--Y,4,4,CSS,FRITH,-G-GG,2,2,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,True,6,CRANE,-Y--Y,5,5,LLM,MEIER,--YGY,4,4,CSS,RITES,YG-G-,3,3,CSS,WIRED,-GGGG,1,1,CSS,HIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,CSS
15,FOLKS,True,4,CRANE,-----,5,5,LLM,MILOS,--GYG,3,3,CSS,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,
16,CHILE,True,4,CRANE,G---G,3,3,LLM,CLOSE,GY--G,3,3,CSS,CYCLE,G--GG,2,2,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,
17,BLACK,True,3,CRANE,Y-G--,4,4,LLM,SLACK,-GGGG,1,1,CSS,BLACK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
18,GRANT,True,2,CRANE,-GGG-,2,2,LLM,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
19,MEALS,True,4,CRANE,--G-Y,4,4,LLM,LEAST,YGGY-,3,3,CSS,DEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,,,,,,
20,CREAM,True,2,CRANE,GGY-Y,3,3,LLM,CREAM,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
21,AWAKE,True,5,CRANE,--G-G,3,3,LLM,SLATE,--G-G,3,3,CSS,AGAVE,G-G-G,2,2,CSS,AMAZE,G-G-G,2,2,CSS,AWAKE,GGGGG,0,0,CSS,,,,,
22,OCCUR,True,4,CRANE,YY---,5,5,LLM,RICKS,Y-G--,4,4,CSS,DÉCOR,--GYG,3,3,CSS,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,True,3,CRANE,-YG-Y,4,4,LLM,REALY,YGG-Y,3,3,CSS,YEARS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
24,GRADE,True,2,CRANE,-GG-G,2,2,LLM,GRADE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
25,CHILL,True,3,CRANE,G----,4,4,LLM,COILS,G-GG-,2,2,CSS,CHILL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
26,FLOOD,True,3,CRANE,-----,5,5,LLM,SLOTH,-GG--,3,3,CSS,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
27,APPLY,True,5,CRANE,--Y--,5,5,LLM,SALAM,-YY--,5,5,CSS,ADOLF,G--G-,3,3,CSS,APTLY,GG-GG,1,1,CSS,APPLY,GGGGG,0,0,CSS,,,,,
28,SMILE,True,3,CRANE,----G,4,4,LLM,ELISE,-YGYG,3,3,CSS,SMILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
29,KNOCK,True,4,CRANE,Y--Y-,5,5,LLM,LUNCH,--YG-,4,4,CSS,KNICK,GG-GG,1,1,CSS,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,
30,SLEEP,True,4,CRANE,----Y,5,5,LLM,SITED,G--G-,3,3,CSS,SLEEK,GGGG-,1,1,CSS,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,
31,BRICK,True,4,CRANE,YG---,4,4,LLM,TRICK,-GGGG,1,1,CSS,FRICK,-GGGG,1,1,CSS,BRICK,GGGGG,0,0,CSS,,,,,,,,,,
32,WROTE,True,3,CRANE,-G--G,3,3,LLM,TROPE,YGG-G,2,2,CSS,WROTE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
33,RATED,True,5,CRANE,-YY-Y,5,3,LLM,DARES,YGYG-,3,3,CSS,RAGED,GG-GG,1,1,CSS,RAKED,GG-GG,1,1,CSS,RATED,GGGGG,0,0,CSS,,,,,
34,ALERT,True,5,CRANE,-YY-Y,5,5,LLM,TASER,YY-YY,5,3,CSS,PETRA,-YYGY,4,4,CSS,AVERT,G-GGG,1,1,CSS,ALERT,GGGGG,0,0,CSS,,,,,
35,CAGES,False,6,CRANE,G-Y-Y,4,3,LLM,CASED,GGYG-,2,2,CSS,CAFES,GG-GG,1,1,CSS,CAKES,GG-GG,1,1,CSS,CATES,GG-GG,1,1,CSS,CAVES,GG-GG,1,1,CSS
36,TEDDY,True,4,CRANE,----Y,5,5,LLM,PLIES,---Y-,5,5,CSS,BETTY,-GY-G,3,3,CSS,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,
37,COLES,True,2,CRANE,G---Y,4,4,LLM,COLES,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
38,HWANG,True,4,CRANE,--GG-,3,3,LLM,SHANG,-YGGG,2,2,CSS,HUANG,G-GGG,1,1,CSS,HWANG,GGGGG,0,0,CSS,,,,,,,,,,
39,WRATH,True,4,CRANE,-GG--,3,3,LLM,GRADS,-GG--,3,3,CSS,TRAIL,YGG--,3,3,CSS,WRATH,GGGGG,0,0,CSS,,,,,,,,,,
40,MACHO,True,3,CRANE,Y-Y--,5,5,LLM,TACOS,-GGY-,3,3,CSS,MACHO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
41,LOPEZ,True,3,CRANE,----Y,5,5,LLM,LEEDS,GY---,4,4,CSS,LOPEZ,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
42,GOODY,True,3,CRANE,-----,5,5,LLM,BOLTS,-G---,4,4,CSS,GOODY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
43,BROTH,True,3,CRANE,-G---,4,4,LLM,PROST,-GG-Y,3,3,CSS,BROTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
44,VERDE,True,4,CRANE,-Y--G,4,4,LLM,TERSE,-GG-G,2,2,CSS,VERGE,GGG-G,1,1,CSS,VERDE,GGGGG,0,0,CSS,,,,,,,,,,
45,TAMED,True,4,CRANE,--Y-Y,5,4,LLM,GALES,-G-G-,3,3,CSS,DATED,-GYGG,2,2,CSS,TAMED,GGGGG,0,0,CSS,,,,,,,,,,
46,LEAFS,True,5,CRANE,--G-Y,4,4,LLM,LEAST,GGGY-,2,2,CSS,LEAKS,GGG-G,1,1,CSS,LEAPS,GGG-G,1,1,CSS,LEAFS,GGGGG,0,0,CSS,,,,,
47,YACHT,True,3,CRANE,Y-Y--,5,5,LLM,TACOS,YGG--,3,3,CSS,YACHT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
48,MESSY,True,4,CRANE,----Y,5,5,LLM,PILES,---YY,5,5,CSS,QUEST,--YG-,4,4,CSS,MESSY,GGGGG,0,0,CSS,,,,,,,,,,
49,RYDER,True,4,CRANE,-Y--Y,5,4,LLM,MORES,--YG-,4,4,CSS,RILED,G--GY,3,3,CSS,RYDER,GGGGG,0,0,CSS,,,,,,,,,,
50,MOTIF,True,4,CRANE,-----,5,5,LLM,SPILT,--Y-Y,5,5,CSS,DITTO,-YG-Y,4,4,CSS,MOTIF,GGGGG,0,0,CSS,,,,,,,,,,
51,RAVEN,True,2,CRANE,-YYYY,5,3,LLM,RAVEN,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
52,REICH,True,3,CRANE,YY--Y,5,5,LLM,PERCY,-GYG-,3,3,CSS,REICH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
53,ICONS,True,3,CRANE,Y--G-,4,4,LLM,UCONN,-GGG-,2,2,CSS,ICONS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
54,SILKY,True,3,CRANE,-----,5,5,LLM,POLIS,--GYY,4,4,CSS,SILKY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
