game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,SONIC,-Y---,5,5,LLM,ADORE,--G--,4,4,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
2,PARTY,True,4,LADEN,-G---,4,4,LLM,HAMAS,-G---,4,4,CSS,RATIO,YGY--,4,4,CSS,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,4,NILES,-Y---,5,5,LLM,TAHIR,G--YY,4,4,CSS,TRIPP,GGG--,2,2,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,3,OTHER,-Y--Y,5,5,LLM,TRAPS,YY---,5,5,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
5,USUAL,True,4,BASED,-YY--,5,5,LLM,SLATS,YYY--,5,4,CSS,ASLAM,-GYG-,3,3,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,3,OATES,--Y--,5,5,LLM,GRUNT,-GG-Y,3,3,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,3,LASER,--YY-,5,5,LLM,SEINE,GY-G-,3,3,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
8,PAUSE,True,3,SLADE,Y-Y-G,4,4,LLM,PARSE,GG-GG,1,1,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,6,BASED,-Y---,5,5,LLM,TIARA,--GY-,4,4,CSS,CRANK,GGG--,2,2,CSS,CRAMP,GGG--,2,2,CSS,CRAWL,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS
10,BASES,True,6,TALES,-G-GG,2,2,LLM,RACES,-G-GG,2,2,CSS,GAMES,-G-GG,2,2,CSS,WAVES,-G-GG,2,2,CSS,SAKES,YG-GG,2,2,CSS,BASES,GGGGG,0,0,CSS
11,YOUNG,True,4,BASED,-----,5,5,LLM,PINTO,--Y-Y,5,5,CSS,CORNY,-G-GY,3,3,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,4,SADIE,YY--Y,5,5,LLM,TEARS,-GG-G,2,2,CSS,LEAPS,-GG-G,2,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,5,EARNS,--Y--,5,5,LLM,GROOT,-G--Y,4,4,CSS,TRULY,GGG--,2,2,CSS,TRUMP,GGG--,2,2,CSS,TRUTH,GGGGG,0,0,CSS,,,,,
14,FIRED,False,6,BRACE,-Y--Y,5,5,LLM,RISER,YG-G-,3,3,CSS,WIRED,-GGGG,1,1,CSS,TIRED,-GGGG,1,1,CSS,HIRED,-GGGG,1,1,CSS,MIRED,-GGGG,1,1,CSS
15,FOLKS,True,5,BREED,-----,5,5,LLM,SLAIN,YY---,5,5,CSS,CULTS,--G-G,3,3,CSS,YOLKS,-GGGG,1,1,CSS,FOLKS,GGGGG,0,0,CSS,,,,,
