game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,HOUSE,YY---,5,4,LLM,CHOIR,-GG--,3,3,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
2,PARTY,True,3,HOUSE,-----,5,5,LLM,TRYIN,YYY--,5,5,CSS,PARTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
3,TRICK,True,5,HOUSE,-----,5,5,LLM,LATIN,--YY-,5,5,CSS,BRITT,-GGY-,3,3,CSS,TRIPP,GGG--,2,2,CSS,TRICK,GGGGG,0,0,CSS,,,,,
4,DIRTY,True,4,HOUSE,-----,5,5,LLM,LATIN,--YY-,5,5,CSS,BRITT,-YYG-,4,4,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,3,HOUSE,--GY-,4,4,LLM,SAULT,YYGY-,4,4,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
6,TRULY,True,3,HOUSE,--G--,4,4,LLM,BRUNT,-GG-Y,3,3,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,4,HOUSE,---YY,5,5,LLM,DALES,---YY,5,5,CSS,STERN,GYG-Y,3,3,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,2,HOUSE,--GGG,2,2,LLM,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,4,HOUSE,-----,5,5,LLM,NAIRA,-Y-Y-,5,5,CSS,TRACY,-GGYG,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,True,3,HOUSE,---YY,5,4,LLM,EASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
11,YOUNG,True,3,HOUSE,-GG--,3,3,LLM,MOUND,-GGG-,2,2,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
12,MEANS,True,5,HOUSE,---YY,5,5,LLM,TIRES,---YG,4,4,CSS,DEALS,-GG-G,2,2,CSS,BEAMS,-GGYG,2,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,
13,TRUTH,True,3,HOUSE,Y-G--,4,4,LLM,THUNK,GYG--,3,3,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
14,FIRED,True,5,HOUSE,----Y,5,5,LLM,LITER,-G-GY,3,3,CSS,AIRED,-GGGG,1,1,CSS,WIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,CSS,,,,,
15,FOLKS,True,5,HOUSE,-G-Y-,4,4,LLM,TOOLS,-G-YG,3,3,CSS,GOLDS,-GG-G,2,2,CSS,YOLKS,-GGGG,1,1,CSS,FOLKS,GGGGG,0,0,CSS,,,,,
16,CHILE,True,4,HOUSE,Y---G,4,4,LLM,THINE,-GG-G,2,2,CSS,CHIME,GGG-G,1,1,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,
17,BLACK,True,4,HOUSE,-----,5,5,LLM,DRAIN,--G--,4,4,CSS,PLAYA,-GG--,3,3,CSS,BLACK,GGGGG,0,0,CSS,,,,,,,,,,
18,GRANT,True,4,HOUSE,-----,5,5,LLM,CAIRN,-Y-YY,5,5,CSS,GRAND,GGGG-,1,1,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,
19,MEALS,True,5,HOUSE,---YY,5,5,LLM,TIRES,---YG,4,4,CSS,DEALS,-GGGG,1,1,CSS,SEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,
20,CREAM,True,5,HOUSE,----Y,5,5,LLM,ARDEN,YG-Y-,4,4,CSS,BREAK,-GGG-,2,2,CSS,GREAT,-GGG-,2,2,CSS,CREAM,GGGGG,0,0,CSS,,,,,
21,AWAKE,True,4,HOUSE,----G,4,4,LLM,EARLE,-Y--G,4,4,CSS,ANGIE,G---G,3,3,CSS,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,4,HOUSE,-YY--,5,5,LLM,TUMOR,-Y-YG,4,4,CSS,ODOUR,G--GG,2,2,CSS,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,False,6,HOUSE,---YY,5,5,LLM,STEER,Y-Y-Y,5,4,CSS,REAMS,YGG-G,2,2,CSS,WEARS,-GGGG,1,1,CSS,NEARS,-GGGG,1,1,CSS,GEARS,-GGGG,1,1,CSS
24,GRADE,True,3,HOUSE,----G,4,4,LLM,MAINE,-Y--G,4,4,CSS,GRADE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
25,CHILL,True,4,HOUSE,Y----,5,5,LLM,CHART,GG---,3,3,CSS,CHILI,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,CSS,,,,,,,,,,
26,FLOOD,True,4,HOUSE,-Y---,5,5,LLM,MANOR,---G-,4,4,CSS,BLOOD,-GGGG,1,1,CSS,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,
27,APPLY,True,4,HOUSE,-----,5,5,LLM,NADIA,-Y---,5,5,CSS,TRACY,--Y-G,4,4,CSS,APPLY,GGGGG,0,0,CSS,,,,,,,,,,
28,SMILE,True,5,HOUSE,---YG,4,4,LLM,SPATE,G---G,3,3,CSS,SEINE,G-G-G,2,2,CSS,SLIME,GYGYG,2,2,CSS,SMILE,GGGGG,0,0,CSS,,,,,
29,KNOCK,True,5,HOUSE,-Y---,5,5,LLM,BARON,---YY,5,5,CSS,PINTO,--Y-Y,5,5,CSS,KNOLL,GGG--,2,2,CSS,KNOCK,GGGGG,0,0,CSS,,,,,
30,SLEEP,True,4,HOUSE,---YY,5,5,LLM,EASES,Y-YG-,4,4,CSS,STEER,G-GG-,2,2,CSS,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,
31,BRICK,True,5,HOUSE,-----,5,5,LLM,DARIN,--YY-,5,4,CSS,TRICK,-GGGG,1,1,CSS,PRICK,-GGGG,1,1,CSS,BRICK,GGGGG,0,0,CSS,,,,,
32,WROTE,True,6,HOUSE,-Y--G,4,4,LLM,DROVE,-GG-G,2,2,CSS,PRONE,-GG-G,2,2,CSS,CROKE,-GG-G,2,2,CSS,FROME,-GG-G,2,2,CSS,WROTE,GGGGG,0,0,CSS
33,RATED,True,3,HOUSE,----Y,5,5,LLM,TREAD,YYYYG,4,4,CSS,RATED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
34,ALERT,True,3,HOUSE,----Y,5,5,LLM,ALDER,GG-YY,3,2,CSS,ALERT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
35,CAGES,True,4,HOUSE,---YY,5,5,LLM,SLEET,Y--G-,4,4,CSS,ARSED,Y-YG-,4,4,CSS,CAGES,GGGGG,0,0,CSS,,,,,,,,,,
36,TEDDY,True,5,HOUSE,----Y,5,5,LLM,REPEL,-G---,4,4,CSS,BENIN,-G---,4,4,CSS,GETTY,-GY-G,3,3,CSS,TEDDY,GGGGG,0,0,CSS,,,,,
37,COLES,False,6,HOUSE,-G-YY,4,4,LLM,MOSER,-GYG-,3,3,CSS,BONES,-G-GG,2,2,CSS,LOPES,YG-GG,2,2,CSS,FOLES,-GGGG,1,1,CSS,SOLES,-GGGG,1,1,CSS
38,HWANG,True,3,HOUSE,G----,4,4,LLM,HYMAN,G--YY,4,3,CSS,HWANG,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
39,WRATH,True,3,HOUSE,Y----,5,5,LLM,CHART,-YGYY,4,4,CSS,WRATH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
40,MACHO,True,3,HOUSE,YY---,5,5,LLM,CHOIR,YYY--,5,4,CSS,MACHO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
41,LOPEZ,True,4,HOUSE,-G--Y,4,4,LLM,ROWED,-G-G-,3,3,CSS,MOTEL,-G-GY,3,3,CSS,LOPEZ,GGGGG,0,0,CSS,,,,,,,,,,
42,GOODY,True,4,HOUSE,-G---,4,4,LLM,RONDA,-G-G-,3,3,CSS,GOWDY,GG-GG,1,1,CSS,GOODY,GGGGG,0,0,CSS,,,,,,,,,,
43,BROTH,True,4,HOUSE,YY---,5,5,LLM,CHOIR,-YG-Y,4,4,CSS,FROTH,-GGGG,1,1,CSS,BROTH,GGGGG,0,0,CSS,,,,,,,,,,
44,VERDE,True,4,HOUSE,----G,4,4,LLM,ALENE,--Y-G,4,4,CSS,MERGE,-GG-G,2,2,CSS,VERDE,GGGGG,0,0,CSS,,,,,,,,,,
45,TAMED,True,6,HOUSE,----Y,5,5,LLM,ARDEN,Y-YG-,4,4,CSS,GATED,-GYGG,2,2,CSS,TAXED,GG-GG,1,1,CSS,TAPED,GG-GG,1,1,CSS,TAMED,GGGGG,0,0,CSS
46,LEAFS,True,4,HOUSE,---YY,5,5,LLM,TILES,--YYG,4,4,CSS,DEALS,-GGYG,2,2,CSS,LEAFS,GGGGG,0,0,CSS,,,,,,,,,,
47,YACHT,True,4,HOUSE,Y----,5,5,LLM,MITCH,--YYY,5,4,CSS,CHART,YYY-G,4,4,CSS,YACHT,GGGGG,0,0,CSS,,,,,,,,,,
48,MESSY,True,4,HOUSE,---GY,4,4,LLM,BEAST,-G-G-,3,3,CSS,ZEISS,-G-GY,3,3,CSS,MESSY,GGGGG,0,0,CSS,,,,,,,,,,
49,RYDER,True,4,HOUSE,----Y,5,5,LLM,DELIA,YY---,5,5,CSS,BREED,-Y-GY,4,4,CSS,RYDER,GGGGG,0,0,CSS,,,,,,,,,,
50,MOTIF,True,4,HOUSE,-G---,4,4,LLM,DORAN,-G---,4,4,CSS,FOLIO,YG-G-,3,3,CSS,MOTIF,GGGGG,0,0,CSS,,,,,,,,,,
51,RAVEN,True,4,HOUSE,----Y,5,5,LLM,AIRED,Y-YG-,4,4,CSS,LATER,-G-GY,3,3,CSS,RAVEN,GGGGG,0,0,CSS,,,,,,,,,,
52,REICH,True,4,HOUSE,Y---Y,5,5,LLM,TEACH,-G-GG,2,2,CSS,MERCH,-GYGG,2,2,CSS,REICH,GGGGG,0,0,CSS,,,,,,,,,,
53,ICONS,True,4,HOUSE,-Y-Y-,5,4,LLM,SNORT,YYG--,4,4,CSS,LIONS,-YGGG,2,2,CSS,ICONS,GGGGG,0,0,CSS,,,,,,,,,,
54,SILKY,True,3,HOUSE,---Y-,5,5,LLM,SLITS,GYY--,4,4,CSS,SILKY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
55,CARVE,True,6,HOUSE,----G,4,4,LLM,ARNIE,YY--G,4,3,CSS,CADRE,GG-YG,2,2,CSS,CARPE,GGG-G,1,1,CSS,CARTE,GGG-G,1,1,CSS,CARVE,GGGGG,0,0,CSS
56,LAGER,True,5,HOUSE,----Y,5,5,LLM,DEMAR,-Y-YG,4,4,CSS,LATER,GG-GG,1,1,CSS,LAVER,GG-GG,1,1,CSS,LAGER,GGGGG,0,0,CSS,,,,,
57,JERKS,True,5,HOUSE,---YY,5,5,LLM,TALES,---YG,4,4,CSS,REEDS,YG--G,3,3,CSS,SERBS,-GG-G,2,2,CSS,JERKS,GGGGG,0,0,CSS,,,,,
58,LOTUS,True,2,HOUSE,-GYY-,4,3,LLM,LOTUS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
59,LACEY,True,5,HOUSE,----Y,5,5,LLM,LATER,GG-G-,2,2,CSS,LADEN,GG-G-,2,2,CSS,LAPEL,GG-G-,2,2,CSS,LACEY,GGGGG,0,0,CSS,,,,,
60,TUDOR,True,3,HOUSE,-YY--,5,5,LLM,TUMOR,GG-GG,1,1,CSS,TUDOR,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
61,QUOTA,True,4,HOUSE,-YY--,5,5,LLM,TUMOR,YG-Y-,4,4,CSS,OUTTA,YG-GG,2,2,CSS,QUOTA,GGGGG,0,0,CSS,,,,,,,,,,
62,MOURN,True,3,HOUSE,-GG--,3,3,LLM,MOUND,GGGY-,2,2,CSS,MOURN,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
63,PROMO,True,4,HOUSE,-Y---,5,5,LLM,RATON,Y--Y-,5,4,CSS,CROWD,-GG--,3,3,CSS,PROMO,GGGGG,0,0,CSS,,,,,,,,,,
64,CASTE,True,3,HOUSE,---YG,4,4,LLM,SPATE,Y-YGG,3,3,CSS,CASTE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
65,CAPRI,True,5,HOUSE,-----,5,5,LLM,TRINA,-YY-Y,5,5,CSS,APRIL,YYYY-,5,2,CSS,PIXAR,YY-YY,5,5,CSS,CAPRI,GGGGG,0,0,CSS,,,,,
66,ALIAS,True,4,HOUSE,---Y-,5,5,LLM,TRANS,--Y-G,4,4,CSS,CALMS,-YY-G,4,3,CSS,ALIAS,GGGGG,0,0,CSS,,,,,,,,,,
67,PADDY,True,5,HOUSE,-----,5,5,LLM,TALIA,-G---,4,4,CSS,CANDY,-G-GG,2,2,CSS,DADDY,-GGGG,1,1,CSS,PADDY,GGGGG,0,0,CSS,,,,,
68,BLOBS,True,5,HOUSE,-Y-Y-,5,4,LLM,SALON,Y-YY-,5,4,CSS,CLOGS,-GG-G,2,2,CSS,PLOWS,-GG-G,2,2,CSS,BLOBS,GGGGG,0,0,CSS,,,,,
69,DILLY,True,3,HOUSE,-----,5,5,LLM,DARLA,G--G-,3,3,CSS,DILLY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
70,GUTSY,True,3,HOUSE,--YG-,4,4,LLM,TUTSI,-GGG-,2,2,CSS,GUTSY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
71,TABOR,True,5,HOUSE,-Y---,5,5,LLM,MANOR,-G-GG,2,2,CSS,VALOR,-G-GG,2,2,CSS,GABOR,-GGGG,1,1,CSS,TABOR,GGGGG,0,0,CSS,,,,,
72,INLAY,True,3,HOUSE,-----,5,5,LLM,LYNDA,YYY-Y,5,4,CSS,INLAY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
73,AHHHH,True,3,HOUSE,Y----,5,5,LLM,CHART,-GY--,4,4,CSS,AHHHH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
74,ROUEN,True,2,HOUSE,-GG-Y,3,3,LLM,ROUEN,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
75,BUENA,True,3,HOUSE,--Y-Y,5,5,LLM,LURED,-G-Y-,4,4,CSS,BUENA,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
76,MENON,True,3,HOUSE,-Y--Y,5,5,LLM,TENOR,-GGG-,2,2,CSS,MENON,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
77,TRASK,True,3,HOUSE,---G-,4,4,LLM,GRASS,-GGG-,2,2,CSS,TRASK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
78,CASIO,True,4,HOUSE,-Y-Y-,5,5,LLM,SALON,YG-Y-,4,4,CSS,VASCO,-GGYG,2,2,CSS,CASIO,GGGGG,0,0,CSS,,,,,,,,,,
79,VOILA,True,5,HOUSE,-G---,4,4,LLM,CONGA,-G--G,3,3,CSS,POLKA,-GY-G,3,3,CSS,LOTTA,YG--G,3,3,CSS,VOILA,GGGGG,0,0,CSS,,,,,
80,AURAL,True,3,HOUSE,--Y--,5,5,LLM,MURAL,-GGGG,1,1,CSS,AURAL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
81,LEGER,True,4,HOUSE,----Y,5,5,LLM,ALDEN,-Y-G-,4,4,CSS,LEPER,GG-GG,1,1,CSS,LEGER,GGGGG,0,0,CSS,,,,,,,,,,
82,DALLY,True,4,HOUSE,-----,5,5,LLM,TRINA,----Y,5,5,CSS,BADLY,-GYGG,2,2,CSS,DALLY,GGGGG,0,0,CSS,,,,,,,,,,
83,INIGO,True,4,HOUSE,-Y---,5,5,LLM,NARCO,Y---G,4,4,CSS,LINGO,-YYGG,3,2,CSS,INIGO,GGGGG,0,0,CSS,,,,,,,,,,
84,KRILL,True,4,HOUSE,-----,5,5,LLM,NAIRA,--GY-,4,4,CSS,TRICK,-GG-Y,3,3,CSS,KRILL,GGGGG,0,0,CSS,,,,,,,,,,
85,SNIDE,True,4,HOUSE,---YG,4,4,LLM,SPATE,G---G,3,3,CSS,SEINE,G-GYG,2,2,CSS,SNIDE,GGGGG,0,0,CSS,,,,,,,,,,
86,LEWES,True,4,HOUSE,---YY,5,5,LLM,TALES,--YGG,3,3,CSS,ELVES,YY-GG,3,3,CSS,LEWES,GGGGG,0,0,CSS,,,,,,,,,,
87,TAMER,True,3,HOUSE,----Y,5,5,LLM,LATER,-GYGG,2,2,CSS,TAMER,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
88,COTTA,True,5,HOUSE,-G---,4,4,LLM,LORNA,-G--G,3,3,CSS,DOGMA,-G--G,3,3,CSS,POOJA,-G--G,3,3,CSS,COTTA,GGGGG,0,0,CSS,,,,,
89,CORBY,True,5,HOUSE,-G---,4,4,LLM,DOLAN,-G---,4,4,CSS,POTRO,-G-Y-,4,4,CSS,ROCKY,YGY-G,3,3,CSS,CORBY,GGGGG,0,0,CSS,,,,,
90,POLIS,True,5,HOUSE,-G-Y-,4,4,LLM,LORDS,YG--G,3,3,CSS,COILS,-GYYG,3,3,CSS,SOLIS,-GGGG,1,1,CSS,POLIS,GGGGG,0,0,CSS,,,,,
91,ROXAS,True,4,HOUSE,-G-Y-,4,4,LLM,TOOLS,-G--G,3,3,CSS,CORDS,-GY-G,3,3,CSS,ROXAS,GGGGG,0,0,CSS,,,,,,,,,,
92,RANCE,True,3,HOUSE,----G,4,4,LLM,CARNE,YGYYG,3,3,CSS,RANCE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
93,CARON,True,5,HOUSE,-Y---,5,5,LLM,ALTON,Y--GG,3,3,CSS,RAMON,YG-GG,2,2,CSS,BARON,-GGGG,1,1,CSS,CARON,GGGGG,0,0,CSS,,,,,
94,SURYA,True,4,HOUSE,--YY-,5,5,LLM,TURNS,-GG-Y,3,3,CSS,SURLY,GGG-Y,2,2,CSS,SURYA,GGGGG,0,0,CSS,,,,,,,,,,
95,AGGIE,True,4,HOUSE,----G,4,4,LLM,LAINE,-YY-G,4,4,CSS,ARTIE,G--GG,2,2,CSS,AGGIE,GGGGG,0,0,CSS,,,,,,,,,,
96,CAUSA,True,3,HOUSE,--GG-,3,3,LLM,CRUST,G-GG-,2,2,CSS,CAUSA,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
97,BAMBA,True,5,HOUSE,-----,5,5,LLM,CANAL,-G-Y-,4,4,CSS,PARMA,-G-YG,3,3,CSS,MAZDA,YG--G,3,3,CSS,BAMBA,GGGGG,0,0,CSS,,,,,
98,MAYNE,True,4,HOUSE,----G,4,4,LLM,ALICE,Y---G,4,4,CSS,MARGE,GG--G,2,2,CSS,MAYNE,GGGGG,0,0,CSS,,,,,,,,,,
99,BOGGS,True,5,HOUSE,-G-Y-,4,4,LLM,COOLS,-G--G,3,3,CSS,ROADS,-G--G,3,3,CSS,TONGS,-G-GG,2,2,CSS,BOGGS,GGGGG,0,0,CSS,,,,,
100,FINNS,True,4,HOUSE,---Y-,5,5,LLM,TRANS,---GG,3,3,CSS,SKINS,--YGG,3,3,CSS,FINNS,GGGGG,0,0,CSS,,,,,,,,,,
