game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GUESS,-----,5,5,LLM,LINDA,-----,5,5,CSS,ROBOT,-Y-YY,5,4,VOI,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,AFTER,Y-Y-Y,5,4,LLM,TARTS,-GGG-,2,2,CSS,MARTA,-GGG-,2,2,VOI,DARTH,-GGG-,2,2,CSS,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,5,GUESS,-----,5,5,LLM,BRAIN,-G-Y-,4,4,CSS,TRIPP,GGG--,2,2,VOI,TRILL,GGG--,2,2,CSS,TRICK,GGGGG,0,0,VOI,,,,,
4,DIRTY,True,4,GUESS,-----,5,5,LLM,CARON,--G--,4,4,CSS,KIRBY,-GG-G,2,2,VOI,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,4,AFTER,Y----,5,5,LLM,MAHAN,---G-,4,4,CSS,SOCAL,Y--GG,3,3,VOI,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,4,CRATE,-G-Y-,4,4,LLM,TROIS,GG---,3,3,CSS,TRUDY,GGG-G,1,1,VOI,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,3,GUESS,--GY-,4,4,LLM,STEEN,GYG-Y,3,3,CSS,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
8,PAUSE,True,4,AFTER,Y--Y-,5,4,LLM,MEALS,-YY-Y,5,4,CSS,SNEAK,Y-YY-,5,5,VOI,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,4,ARISE,YG---,4,4,LLM,GRANT,-GG--,3,3,CSS,BRADY,-GG-G,2,2,VOI,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,True,3,GUESS,--YYG,4,4,LLM,SALES,YG-GG,2,2,CSS,BASES,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
11,YOUNG,True,4,CRANE,---G-,4,4,LLM,STING,---GG,3,3,CSS,HMONG,--YGG,3,3,VOI,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,4,CRATE,--G-Y,4,4,LLM,DEALS,-GG-G,2,2,CSS,BEAMS,-GGYG,2,2,VOI,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,5,GUESS,-Y---,5,5,LLM,MOURN,--GY-,4,4,CSS,TRULY,GGG--,2,2,VOI,TRUCK,GGG--,2,2,CSS,TRUTH,GGGGG,0,0,VOI,,,,,
14,FIRED,True,4,CRATE,-Y--Y,5,5,LLM,PERES,--GG-,3,3,CSS,MIRED,-GGGG,1,1,VOI,FIRED,GGGGG,0,0,CSS,,,,,,,,,,
15,FOLKS,True,4,GUESS,----G,4,4,LLM,LIARS,Y---G,4,4,CSS,FOLDS,GGG-G,1,1,VOI,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,
16,CHILE,True,5,LARGE,Y---G,4,4,LLM,ELLIE,-Y-YG,4,4,CSS,SMILE,--GGG,2,2,VOI,WHILE,-GGGG,1,1,CSS,CHILE,GGGGG,0,0,VOI,,,,,
