game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,5,CRANE,-----,5,5,LLM,MILOS,---Y-,5,5,CSS,BOGUT,-Y--Y,5,5,VOI,KYOTO,--GGG,2,2,CSS,PHOTO,GGGGG,0,0,VOI,,,,,
2,PARTY,True,5,CRANE,-YY--,5,5,LLM,MARIA,-GG--,3,3,CSS,DARTS,-GGG-,2,2,VOI,GARTH,-GGG-,2,2,CSS,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,5,CRANE,YG---,4,4,LLM,BRICK,-GGGG,1,1,CSS,PRICK,-GGGG,1,1,VOI,FRICK,-GGGG,1,1,CSS,TRICK,GGGGG,0,0,VOI,,,,,
4,DIRTY,True,4,CRANE,-Y---,5,5,LLM,TORUS,Y-G--,4,4,CSS,BIRTH,-GGG-,2,2,VOI,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,3,CRANE,--Y--,5,5,LLM,SALAD,Y-YG-,4,4,CSS,USUAL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
6,TRULY,True,4,CRANE,-G---,4,4,LLM,PROST,-G--Y,4,4,CSS,FRITH,-G-Y-,4,4,VOI,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,4,CRANE,---GY,4,4,LLM,SEONG,GY-G-,3,3,CSS,SPEND,GGGG-,1,1,VOI,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,3,CRANE,--Y-G,4,4,LLM,AISLE,Y-Y-G,4,3,CSS,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
9,CRAZY,False,6,CRANE,GGG--,2,2,LLM,CRABS,GGG--,2,2,CSS,CRAMP,GGG--,2,2,VOI,CRAFT,GGG--,2,2,CSS,CRAIG,GGG--,2,2,VOI,CRAWL,GGG--,2,2,CSS
10,BASES,True,3,CRANE,--Y-Y,5,4,LLM,EASEL,-GGG-,2,2,CSS,BASES,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
11,YOUNG,True,4,CRANE,---G-,4,4,LLM,STING,---GG,3,3,CSS,HMONG,--YGG,3,3,VOI,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,2,CRANE,--GGY,3,3,LLM,MEANS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
13,TRUTH,True,4,CRANE,-G---,4,4,LLM,PROST,-G--Y,4,4,CSS,TRULY,GGG--,2,2,VOI,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,True,5,CRANE,-Y--Y,5,5,LLM,TERMS,-YG--,4,4,CSS,HIRED,-GGGG,1,1,VOI,WIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,VOI,,,,,
15,FOLKS,True,5,CRANE,-----,5,5,LLM,SILOS,--GYG,3,3,CSS,DOLLS,-GG-G,2,2,VOI,BOLTS,-GG-G,2,2,CSS,FOLKS,GGGGG,0,0,VOI,,,,,
16,CHILE,True,4,CRANE,G---G,3,3,LLM,CLOSE,GY--G,3,3,CSS,CYCLE,G--GG,2,2,VOI,CHILE,GGGGG,0,0,CSS,,,,,,,,,,
17,BLACK,True,3,CRANE,Y-G--,4,4,LLM,SLACK,-GGGG,1,1,CSS,BLACK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
18,GRANT,True,2,CRANE,-GGG-,2,2,LLM,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
19,MEALS,True,4,CRANE,--G-Y,4,4,LLM,LEAST,YGGY-,3,3,CSS,SEALS,-GGGG,1,1,VOI,MEALS,GGGGG,0,0,CSS,,,,,,,,,,
20,CREAM,True,2,CRANE,GGY-Y,3,3,LLM,CREAM,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
21,AWAKE,True,4,CRANE,--G-G,3,3,LLM,SLATE,--G-G,3,3,CSS,AGAVE,G-G-G,2,2,VOI,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,3,CRANE,YY---,5,5,LLM,RICKS,Y-G--,4,4,CSS,OCCUR,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
23,YEARS,True,3,CRANE,-YG-Y,4,4,LLM,REALY,YGG-Y,3,3,CSS,YEARS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
