game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,BASED,-----,5,5,LLM,GROIN,--G--,4,4,CSS,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
2,PARTY,True,5,EARLS,-GG--,3,3,LLM,MARTA,-GGG-,2,2,CSS,GARTH,-GGG-,2,2,VOI,PARTI,GGGG-,1,1,CSS,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,3,GUESS,-----,5,5,LLM,MORIA,--YY-,5,4,CSS,TRICK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
4,DIRTY,True,4,SHIFT,--Y-Y,5,4,LLM,TRAIN,YY-Y-,5,5,CSS,LITRE,-GYY-,4,4,VOI,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,3,LANEY,YY---,5,5,LLM,STALL,Y-Y-G,4,3,CSS,USUAL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
6,TRULY,True,3,GUESS,-Y---,5,5,LLM,COURT,--GYY,4,4,CSS,TRULY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
7,SPENT,True,3,AURES,---YY,5,5,LLM,SPINE,GG-GY,2,2,CSS,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
8,PAUSE,True,3,BASED,-GYY-,4,3,LLM,LAPSE,-GYGG,2,2,CSS,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
9,CRAZY,True,5,GAMES,-Y---,5,5,LLM,CLARA,G-GY-,3,3,CSS,CRACK,GGG--,2,2,VOI,CRABB,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,5,GRIDD,-----,5,5,LLM,LACES,-G-GG,2,2,CSS,MATES,-G-GG,2,2,VOI,VASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,VOI,,,,,
11,YOUNG,True,3,SLAIN,----Y,5,5,LLM,DONNE,-G-G-,3,3,CSS,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
12,MEANS,True,3,GUESS,--Y-G,4,4,LLM,LINES,--YYG,4,4,CSS,MEANS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
13,TRUTH,True,5,BASED,-----,5,5,LLM,CRYIN,-G---,4,4,CSS,GROOT,-G--Y,4,4,VOI,TRUMP,GGG--,2,2,CSS,TRUTH,GGGGG,0,0,VOI,,,,,
14,FIRED,True,3,PRONS,-Y---,5,5,LLM,AIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
15,FOLKS,True,4,BREED,-----,5,5,LLM,LAGOS,Y--YG,4,4,CSS,FOOLS,GG-YG,2,2,VOI,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,
16,CHILE,True,3,TELLS,-Y-G-,4,4,LLM,GAYLE,---GG,3,3,CSS,CHILE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
17,BLACK,True,3,GIVEN,-----,5,5,LLM,KARTS,YY---,5,5,CSS,BLACK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
18,GRANT,True,3,BASED,-Y---,5,5,LLM,GRAIN,GGG-Y,2,2,CSS,GRANT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
19,MEALS,True,5,SADIE,YY--Y,5,5,LLM,TEARS,-GG-G,2,2,CSS,LEANS,YGG-G,2,2,VOI,HEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,VOI,,,,,
20,CREAM,True,3,BREED,-GG--,3,3,LLM,CREST,GGG--,2,2,CSS,CREAM,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
21,AWAKE,True,4,SAEED,-YY--,5,4,LLM,REALM,-YG--,4,4,CSS,AGATE,G-G-G,2,2,VOI,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,4,SHEDS,-----,5,5,LLM,LORNA,-YY--,5,5,CSS,TROOP,-YY--,5,5,VOI,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,False,6,BASED,-YYY-,5,5,LLM,TEARS,-GGGG,1,1,CSS,FEARS,-GGGG,1,1,VOI,MEARS,-GGGG,1,1,CSS,HEARS,-GGGG,1,1,VOI,WEARS,-GGGG,1,1,CSS
24,GRADE,True,5,SOAPY,--G--,4,4,LLM,LEARN,-YGY-,4,4,CSS,GRACE,GGG-G,1,1,VOI,GRATE,GGG-G,1,1,CSS,GRADE,GGGGG,0,0,VOI,,,,,
25,CHILL,True,5,GUESS,-----,5,5,LLM,TALON,--Y--,5,5,CSS,MCFLY,-Y-G-,4,4,VOI,CHILD,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,VOI,,,,,
26,FLOOD,True,3,ZENTH,-----,5,5,LLM,ROADS,-Y-Y-,5,4,CSS,FLOOD,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
27,APPLY,True,5,BREED,-----,5,5,LLM,MAINS,-Y---,5,5,CSS,ALCOA,GY---,4,4,VOI,APTLY,GG-GG,1,1,CSS,APPLY,GGGGG,0,0,VOI,,,,,
28,SMILE,True,4,BASED,--YY-,5,5,LLM,REELS,-Y-GY,4,4,CSS,STOLE,G--GG,2,2,VOI,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,3,BASED,-----,5,5,LLM,CONTI,YYY--,5,5,CSS,KNOCK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
30,SLEEP,True,3,STATE,G---Y,4,4,LLM,SNEER,G-GG-,2,2,CSS,SLEEP,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
31,BRICK,True,5,GUESS,-----,5,5,LLM,CAIRN,Y-GY-,4,4,CSS,PRICK,-GGGG,1,1,VOI,TRICK,-GGGG,1,1,CSS,BRICK,GGGGG,0,0,VOI,,,,,
