game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,CARES,-----,5,5,LLM,LUTON,--YY-,5,4,CSS,BOOTY,-YGG-,3,3,VOI,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,4,SAREE,-GG--,3,3,LLM,MARTA,-GGG-,2,2,CSS,BARTH,-GGG-,2,2,VOI,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,3,RAKES,Y-Y--,5,5,LLM,BROCK,-G-GG,2,2,CSS,TRICK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
4,DIRTY,True,4,SAUER,----Y,5,5,LLM,BORNO,--G--,4,4,CSS,FIRTH,-GGG-,2,2,VOI,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,3,AIRES,Y---Y,5,5,LLM,SATAN,Y--G-,4,4,CSS,USUAL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
6,TRULY,True,3,EARLS,--YG-,4,4,LLM,DRILL,-G-G-,3,3,CSS,TRULY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
7,SPENT,True,4,LASER,--YY-,5,5,LLM,SEEPS,G-GY-,3,3,CSS,SPEND,GGGG-,1,1,VOI,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,3,CANES,-G-YY,4,4,LLM,LAPSE,-GYGG,2,2,CSS,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
9,CRAZY,True,5,LIONS,-----,5,5,LLM,MATER,-Y--Y,5,5,CSS,BRADY,-GG-G,2,2,VOI,GRAVY,-GG-G,2,2,CSS,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,5,ALTER,Y--G-,4,4,LLM,CASED,-GGG-,2,2,CSS,GASES,-GGGG,1,1,VOI,EASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,VOI,,,,,
11,YOUNG,True,3,LASER,-----,5,5,LLM,DONUT,-GYY-,4,4,CSS,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
12,MEANS,True,3,RATES,-Y-YG,4,4,LLM,DEALS,-GG-G,2,2,CSS,MEANS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
13,TRUTH,True,3,CENTS,---G-,4,4,LLM,LOTTA,--YG-,4,4,CSS,TRUTH,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
14,FIRED,True,5,MARES,--GG-,3,3,LLM,TIRED,-GGGG,1,1,CSS,WIRED,-GGGG,1,1,VOI,HIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,VOI,,,,,
15,FOLKS,True,5,SAUCE,Y----,5,5,LLM,PORTS,-G--G,3,3,CSS,LOBOS,YG--G,3,3,VOI,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,VOI,,,,,
16,CHILE,True,4,AYERS,--Y--,5,5,LLM,LODGE,Y---G,4,4,CSS,EMILE,--GGG,2,2,VOI,CHILE,GGGGG,0,0,CSS,,,,,,,,,,
17,BLACK,True,3,SIENA,----Y,5,5,LLM,CROAT,Y--Y-,5,5,CSS,BLACK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
18,GRANT,True,4,RAPES,YY---,5,4,LLM,BRAIN,-GG-Y,3,3,CSS,FRANK,-GGG-,2,2,VOI,GRANT,GGGGG,0,0,CSS,,,,,,,,,,
19,MEALS,True,3,LASER,YYYY-,5,5,LLM,SLATE,YYG-Y,4,4,CSS,MEALS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
20,CREAM,True,3,HEARS,-YYY-,5,4,LLM,CATER,GY-YY,4,4,CSS,CREAM,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
21,AWAKE,True,5,ELISA,Y---Y,5,5,LLM,ARDEN,G--Y-,4,4,CSS,AGATE,G-G-G,2,2,VOI,AMAZE,G-G-G,2,2,CSS,AWAKE,GGGGG,0,0,VOI,,,,,
22,OCCUR,True,4,FATES,-----,5,5,LLM,CORNY,YYY--,5,5,CSS,DÉCOR,--GYG,3,3,VOI,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,True,3,RENAL,YG-Y-,4,4,LLM,TEARS,-GGGG,1,1,CSS,YEARS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
24,GRADE,True,3,SHARE,--GYG,3,3,LLM,CRATE,-GG-G,2,2,CSS,GRADE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
25,CHILL,True,5,SANTO,-----,5,5,LLM,CIDER,GY---,4,4,CSS,CLICK,GYG--,3,3,VOI,CHILI,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,VOI,,,,,
26,FLOOD,True,5,ARIES,-----,5,5,LLM,PHONY,--G--,4,4,CSS,CUOMO,--G-Y,4,4,VOI,WOOLF,-YGYY,4,4,CSS,FLOOD,GGGGG,0,0,VOI,,,,,
27,APPLY,True,5,ROLES,--Y--,5,5,LLM,LINDA,Y---Y,5,5,CSS,ALBUM,GY---,4,4,VOI,APTLY,GG-GG,1,1,CSS,APPLY,GGGGG,0,0,VOI,,,,,
28,SMILE,True,4,DALES,--YYY,5,4,LLM,SLOPE,GY--G,3,3,CSS,STYLE,G--GG,2,2,VOI,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,4,ARISE,-----,5,5,LLM,MOLDY,-Y---,5,5,CSS,UCONN,-YGY-,4,4,VOI,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,
30,SLEEP,True,5,SHINE,G---Y,4,4,LLM,SPEER,GYGG-,2,2,CSS,SWEEP,G-GGG,1,1,VOI,STEEP,G-GGG,1,1,CSS,SLEEP,GGGGG,0,0,VOI,,,,,
