game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,COULD,-Y---,5,5,LLM,ARSON,---Y-,5,5,CSS,TEMPO,Y--YG,4,4,VOI,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,GIVEN,-----,5,5,LLM,HARMS,-GG--,3,3,CSS,CARLA,-GG--,3,3,VOI,TARDY,YGG-G,2,2,CSS,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,5,START,-Y-Y-,5,5,LLM,TRIBE,GGG--,2,2,CSS,TRIPP,GGG--,2,2,VOI,TRILL,GGG--,2,2,CSS,TRICK,GGGGG,0,0,VOI,,,,,
4,DIRTY,True,4,START,-Y-Y-,5,4,LLM,TRIBE,YYY--,5,5,CSS,GIRTH,-GGG-,2,2,VOI,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,3,GREAT,---G-,4,4,LLM,ASLAN,-GYG-,3,3,CSS,USUAL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
6,TRULY,True,3,START,-Y-Y-,5,5,LLM,TRIBE,GG---,3,3,CSS,TRULY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
7,SPENT,True,4,GIVEN,---YY,5,4,LLM,DEANE,-Y-G-,4,4,CSS,OPENS,-GGGY,2,2,VOI,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,4,GUESS,-YYG-,4,4,LLM,ROUSE,--GGG,2,2,CSS,ABUSE,Y-GGG,2,2,VOI,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,5,COULD,G----,4,4,LLM,CRATE,GGG--,2,2,CSS,CRABS,GGG--,2,2,VOI,CRACK,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,VOI,,,,,
10,BASES,True,4,SABRE,YGY-Y,4,4,LLM,BASEL,GGGG-,1,1,CSS,BASED,GGGG-,1,1,VOI,BASES,GGGGG,0,0,CSS,,,,,,,,,,
