game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GUESS,-----,5,5,LLM,CAIRN,-----,5,5,CSS,BOOTH,-YGGY,3,3,CSS,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,ARISE,YY---,5,4,LLM,MARLA,-GG--,3,3,CSS,TARDY,YGG-G,2,2,CSS,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,4,GUESS,-----,5,5,LLM,RABIN,Y--Y-,5,5,CSS,FLIRT,--GYY,4,4,CSS,TRICK,GGGGG,0,0,VOI,,,,,,,,,,
4,DIRTY,True,3,CRATE,-Y-G-,4,4,LLM,FORTH,--GG-,3,3,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
5,USUAL,True,4,GUESS,-Y-Y-,5,5,LLM,SNOUT,Y--Y-,5,5,CSS,USAID,GGY--,3,3,CSS,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,CRACK,-G---,4,4,LLM,TROIS,GG---,3,3,CSS,TREND,GG---,3,3,CSS,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,3,AFTER,--YY-,5,5,LLM,TEENS,Y-GGY,3,3,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
8,PAUSE,True,3,BASED,-GYY-,4,3,LLM,LAPSE,-GYGG,2,2,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,6,AFTER,Y---Y,5,5,LLM,BARDS,-YY--,5,5,CSS,CRAIG,GGG--,2,2,CSS,CRACK,GGG--,2,2,VOI,CRAMP,GGG--,2,2,VOI,CRAZY,GGGGG,0,0,VOI
10,BASES,True,2,BASED,GGGG-,1,1,LLM,BASES,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
11,YOUNG,True,3,BASED,-----,5,5,LLM,CRONY,--YGY,4,4,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
12,MEANS,True,4,GUESS,--Y-G,4,4,LLM,MALES,GY-YG,3,3,CSS,MEARS,GGG-G,1,1,CSS,MEANS,GGGGG,0,0,VOI,,,,,,,,,,
13,TRUTH,True,4,GUESS,-Y---,5,5,LLM,MOURN,--GY-,4,4,CSS,TRUDY,GGG--,2,2,CSS,TRUTH,GGGGG,0,0,VOI,,,,,,,,,,
14,FIRED,False,6,GUESS,--Y--,5,5,LLM,ARIEL,-YYG-,4,4,CSS,DINER,YG-GY,3,3,CSS,HIRED,-GGGG,1,1,VOI,WIRED,-GGGG,1,1,VOI,TIRED,-GGGG,1,1,VOI
15,FOLKS,True,5,GUESS,----G,4,4,LLM,RANTS,----G,4,4,CSS,COOLS,-G-YG,3,3,CSS,FOLDS,GGG-G,1,1,VOI,FOLKS,GGGGG,0,0,VOI,,,,,
16,CHILE,True,4,CRANE,G---G,3,3,LLM,CLOSE,GY--G,3,3,CSS,CYCLE,G--GG,2,2,CSS,CHILE,GGGGG,0,0,VOI,,,,,,,,,,
