game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,CRANE,-----,5,5,LLM,LOUIS,-Y---,5,5,CSS,KYOKO,--G-G,3,3,CSS,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,CRANE,-YY--,5,5,LLM,MARTA,-GGG-,2,2,CSS,PARTS,GGGG-,1,1,CSS,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,4,CRANE,YG---,4,4,LLM,BRICS,-GGG-,2,2,CSS,PRICK,-GGGG,1,1,CSS,TRICK,GGGGG,0,0,VOI,,,,,,,,,,
4,DIRTY,True,4,CRANE,-Y---,5,5,LLM,TOURS,Y--Y-,5,5,CSS,BIRTH,-GGG-,2,2,CSS,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,4,CRANE,--Y--,5,5,LLM,MALTA,-YY--,5,5,CSS,ALOUD,YY-Y-,5,5,CSS,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,CRANE,-G---,4,4,LLM,PROST,-G--Y,4,4,CSS,FRITH,-G-Y-,4,4,CSS,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,4,CRANE,---GY,4,4,LLM,SEONG,GY-G-,3,3,CSS,SPEND,GGGG-,1,1,CSS,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,3,CRANE,--Y-G,4,4,LLM,AISLE,Y-Y-G,4,3,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,False,6,CRANE,GGG--,2,2,LLM,CRAPS,GGG--,2,2,CSS,CRAFT,GGG--,2,2,CSS,CRACK,GGG--,2,2,VOI,CRAWL,GGG--,2,2,VOI,CRAIG,GGG--,2,2,VOI
10,BASES,True,4,CRANE,--Y-Y,5,4,LLM,TALES,-G-GG,2,2,CSS,GASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,VOI,,,,,,,,,,
