game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,HOUSE,YY---,5,4,LLM,CHOIR,-GG--,3,3,CSS,PHONY,GGG--,2,2,CSS,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,5,HOUSE,-----,5,5,LLM,RAINA,YG---,4,4,CSS,CAMRY,-G-YG,3,3,CSS,VARDY,-GG-G,2,2,VOI,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,4,HOUSE,-----,5,5,LLM,ALINA,--G--,4,4,CSS,CRIMP,YGG--,3,3,CSS,TRICK,GGGGG,0,0,VOI,,,,,,,,,,
4,DIRTY,True,4,HOUSE,-----,5,5,LLM,NAIRA,--YY-,5,4,CSS,BIRDY,-GGYG,2,2,CSS,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,3,HOUSE,--GY-,4,4,LLM,SAULT,YYGY-,4,4,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
6,TRULY,True,3,HOUSE,--G--,4,4,LLM,BRUNT,-GG-Y,3,3,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,4,HOUSE,---YY,5,5,LLM,TALES,Y--YY,5,5,CSS,STEYN,GYG-Y,3,3,CSS,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,3,HOUSE,--GGG,2,2,LLM,CAUSE,-GGGG,1,1,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,4,HOUSE,-----,5,5,LLM,MALIN,-Y---,5,5,CSS,TRACY,-GGYG,2,2,CSS,CRAZY,GGGGG,0,0,VOI,,,,,,,,,,
10,BASES,False,6,HOUSE,---YY,5,4,LLM,RATES,-G-GG,2,2,CSS,SALES,YG-GG,2,2,CSS,CASES,-GGGG,1,1,VOI,GASES,-GGGG,1,1,VOI,EASES,-GGGG,1,1,VOI
11,YOUNG,True,4,HOUSE,-GG--,3,3,LLM,MOUND,-GGG-,2,2,CSS,COUNT,-GGG-,2,2,CSS,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
12,MEANS,True,5,HOUSE,---YY,5,5,LLM,SALES,-Y-YG,4,4,CSS,TEARS,-GG-G,2,2,CSS,BEADS,-GG-G,2,2,VOI,MEANS,GGGGG,0,0,VOI,,,,,
13,TRUTH,True,3,HOUSE,Y-G--,4,4,LLM,THUNK,GYG--,3,3,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
14,FIRED,True,3,HOUSE,----Y,5,5,LLM,EATER,---GY,4,4,CSS,FIRED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
15,FOLKS,True,5,HOUSE,-G-Y-,4,4,LLM,TOOLS,-G-YG,3,3,CSS,COLDS,-GG-G,2,2,CSS,YOLKS,-GGGG,1,1,VOI,FOLKS,GGGGG,0,0,VOI,,,,,
