game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GIVEN,-----,5,5,LLM,SORTA,-Y-G-,4,4,CSS,KYOTO,--GGG,2,2,CSS,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,GRADE,-YY--,5,5,LLM,SARAN,-GG--,3,3,CSS,MARTY,-GGGG,1,1,CSS,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,4,GIVEN,-Y---,5,5,LLM,TAILS,G-G--,3,3,CSS,THICK,G-GGG,1,1,CSS,TRICK,GGGGG,0,0,VOI,,,,,,,,,,
4,DIRTY,True,4,GREAT,-Y--Y,5,5,LLM,TORUS,Y-G--,4,4,CSS,BIRTH,-GGG-,2,2,CSS,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,3,START,Y-Y--,5,4,LLM,MALES,-YY-Y,5,5,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
6,TRULY,True,4,GIVEN,-----,5,5,LLM,STORY,-Y-YG,4,4,CSS,MARTY,--YYG,4,4,CSS,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,4,COULD,-----,5,5,LLM,TRIES,Y--YY,5,5,CSS,SPATE,GG-YY,3,3,CSS,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,3,COULD,--G--,4,4,LLM,SPURT,YYG--,4,4,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,True,6,GUESS,-----,5,5,LLM,TAHIR,-Y--Y,5,5,CSS,ADORN,Y--Y-,5,5,CSS,BRAWL,-GG--,3,3,VOI,CRAMP,GGG--,2,2,VOI,CRAZY,GGGGG,0,0,VOI
10,BASES,True,4,COULD,-----,5,5,LLM,NEARS,-YY-G,4,4,CSS,GASES,-GGGG,1,1,CSS,BASES,GGGGG,0,0,VOI,,,,,,,,,,
11,YOUNG,True,4,COULD,-GG--,3,3,LLM,TOURS,-GG--,3,3,CSS,GOUGE,YGG--,3,3,CSS,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
12,MEANS,True,3,GIVEN,---YY,5,5,LLM,DEANE,-GGG-,2,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
13,TRUTH,True,5,GUESS,-Y---,5,5,LLM,ALOUD,---Y-,5,5,CSS,BRUNT,-GG-Y,3,3,CSS,TRUCK,GGG--,2,2,VOI,TRUTH,GGGGG,0,0,VOI,,,,,
14,FIRED,True,6,COULD,----G,4,4,LLM,ARSED,-Y-GG,3,3,CSS,TIRED,-GGGG,1,1,CSS,WIRED,-GGGG,1,1,VOI,MIRED,-GGGG,1,1,VOI,FIRED,GGGGG,0,0,VOI
15,FOLKS,True,5,COULD,-G-Y-,4,4,LLM,LOSER,YGY--,4,4,CSS,SOLIS,-GG-G,2,2,CSS,BOLTS,-GG-G,2,2,VOI,FOLKS,GGGGG,0,0,VOI,,,,,
16,CHILE,True,3,GUESS,--Y--,5,5,LLM,LAINE,Y-G-G,3,3,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
17,BLACK,True,4,COULD,Y--Y-,5,5,LLM,LEICA,Y--GY,4,4,CSS,FLACK,-GGGG,1,1,CSS,BLACK,GGGGG,0,0,VOI,,,,,,,,,,
18,GRANT,True,3,COULD,-----,5,5,LLM,TEARS,Y-GY-,4,4,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
19,MEALS,True,2,NEARS,-GG-G,2,2,LLM,MEALS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
20,CREAM,True,4,APPLY,Y----,5,5,LLM,HAREM,-YYYG,4,3,CSS,DREAM,-GGGG,1,1,CSS,CREAM,GGGGG,0,0,VOI,,,,,,,,,,
21,AWAKE,True,4,AIRES,G--Y-,4,4,LLM,ANGLE,G---G,3,3,CSS,ABATE,G-G-G,2,2,CSS,AWAKE,GGGGG,0,0,VOI,,,,,,,,,,
22,OCCUR,True,2,COULD,YYY--,5,4,LLM,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
23,YEARS,True,3,START,Y-GG-,3,3,LLM,BEARS,-GGGG,1,1,CSS,YEARS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
24,GRADE,True,6,GUESS,G-Y--,4,4,LLM,GRAVE,GGG-G,1,1,CSS,GRACE,GGG-G,1,1,CSS,GRATE,GGG-G,1,1,VOI,GRAPE,GGG-G,1,1,VOI,GRADE,GGGGG,0,0,VOI
25,CHILL,True,4,GUESS,-----,5,5,LLM,RANDI,----Y,5,5,CSS,MITCH,-Y-YY,5,5,CSS,CHILL,GGGGG,0,0,VOI,,,,,,,,,,
26,FLOOD,True,4,GUESS,-----,5,5,LLM,TIDAL,--Y-Y,5,5,CSS,DOLBY,YYY--,5,5,CSS,FLOOD,GGGGG,0,0,VOI,,,,,,,,,,
27,APPLY,True,5,USING,-----,5,5,LLM,REALY,--YGG,3,3,CSS,BADLY,-Y-GG,3,3,CSS,APTLY,GG-GG,1,1,VOI,APPLY,GGGGG,0,0,VOI,,,,,
28,SMILE,True,3,GIVEN,-Y-Y-,5,4,LLM,SLICE,GYG-G,2,2,CSS,SMILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
29,KNOCK,True,3,CODES,YY---,5,5,LLM,NARCO,Y--GY,4,4,CSS,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
30,SLEEP,True,3,SINCE,G---Y,4,4,LLM,STEER,G-GG-,2,2,CSS,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
31,BRICK,True,4,GUESS,-----,5,5,LLM,LORNA,--Y--,5,5,CSS,CRYPT,YG---,4,4,CSS,BRICK,GGGGG,0,0,VOI,,,,,,,,,,
32,WROTE,True,4,GUESS,--Y--,5,5,LLM,BEARD,-Y-Y-,5,5,CSS,TONER,YY-YY,5,4,CSS,WROTE,GGGGG,0,0,VOI,,,,,,,,,,
33,RATED,True,5,GUESS,--Y--,5,5,LLM,RANCE,GG--Y,3,3,CSS,RAZED,GG-GG,1,1,CSS,RAKED,GG-GG,1,1,VOI,RATED,GGGGG,0,0,VOI,,,,,
34,ALERT,True,4,GUESS,--G--,4,4,LLM,CRETE,-YGY-,4,4,CSS,AVERT,G-GGG,1,1,CSS,ALERT,GGGGG,0,0,VOI,,,,,,,,,,
35,CAGES,True,6,GUESS,Y-Y-G,4,4,LLM,RAGES,-GGGG,1,1,CSS,MAGES,-GGGG,1,1,CSS,PAGES,-GGGG,1,1,VOI,WAGES,-GGGG,1,1,VOI,CAGES,GGGGG,0,0,VOI
36,TEDDY,True,5,GIVEN,---Y-,5,5,LLM,STARE,-Y--Y,5,5,CSS,TELCO,GG---,3,3,CSS,TEETH,GG---,3,3,VOI,TEDDY,GGGGG,0,0,VOI,,,,,
37,COLES,True,4,STAGE,Y---Y,5,5,LLM,OLSEN,YYYG-,4,3,CSS,POLES,-GGGG,1,1,CSS,COLES,GGGGG,0,0,VOI,,,,,,,,,,
38,HWANG,True,5,COULD,-----,5,5,LLM,RENTS,--Y--,5,5,CSS,AGAIN,-YG-Y,4,4,CSS,KWANG,-GGGG,1,1,VOI,HWANG,GGGGG,0,0,VOI,,,,,
39,WRATH,True,4,GUESS,-----,5,5,LLM,TRAIL,YGG--,3,3,CSS,KRAFT,-GG-Y,3,3,CSS,WRATH,GGGGG,0,0,VOI,,,,,,,,,,
40,MACHO,True,5,GUESS,-----,5,5,LLM,MARIN,GG---,3,3,CSS,MALTA,GG---,3,3,CSS,MAMBO,GG--G,2,2,VOI,MACHO,GGGGG,0,0,VOI,,,,,
41,LOPEZ,True,5,ASSAY,-----,5,5,LLM,TENOR,-Y-Y-,5,5,CSS,DOLCE,-GY-Y,4,4,CSS,VOGEL,-G-GY,3,3,VOI,LOPEZ,GGGGG,0,0,VOI,,,,,
42,GOODY,True,4,GIVEN,G----,4,4,LLM,GOALS,GG---,3,3,CSS,GORDO,GG-GY,2,2,CSS,GOODY,GGGGG,0,0,VOI,,,,,,,,,,
43,BROTH,True,4,TREND,YG---,4,4,LLM,FROST,-GG-Y,3,3,CSS,PROTO,-GGG-,2,2,CSS,BROTH,GGGGG,0,0,VOI,,,,,,,,,,
44,VERDE,True,4,START,---Y-,5,5,LLM,ROUEN,Y--Y-,5,5,CSS,PRIME,-Y--G,4,4,CSS,VERDE,GGGGG,0,0,VOI,,,,,,,,,,
45,TAMED,True,4,GUESS,--Y--,5,5,LLM,ANDRE,Y-Y-Y,5,5,CSS,DELTA,YY-YY,5,5,CSS,TAMED,GGGGG,0,0,VOI,,,,,,,,,,
46,LEAFS,True,4,BONUS,----G,4,4,LLM,TILES,--YYG,4,4,CSS,LEEDS,GG--G,2,2,CSS,LEAFS,GGGGG,0,0,VOI,,,,,,,,,,
47,YACHT,True,3,START,--Y-G,4,4,LLM,HAUNT,YG--G,3,3,CSS,YACHT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
48,MESSY,True,3,GUESS,--YGY,4,3,LLM,MESSI,GGGG-,1,1,CSS,MESSY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
49,RYDER,True,6,GIVEN,---G-,4,4,LLM,LOSER,---GG,3,3,CSS,MATER,---GG,3,3,CSS,BEYER,--YGG,3,3,VOI,HYPER,-G-GG,2,2,VOI,RYDER,GGGGG,0,0,VOI
50,MOTIF,True,4,WOULD,-G---,4,4,LLM,NORSE,-G---,4,4,CSS,BOOTY,-G-Y-,4,4,CSS,MOTIF,GGGGG,0,0,VOI,,,,,,,,,,
51,RAVEN,True,4,COULD,-----,5,5,LLM,YARNS,-GYY-,4,4,CSS,RAMAN,GG--G,2,2,CSS,RAVEN,GGGGG,0,0,VOI,,,,,,,,,,
52,REICH,True,4,STAGE,----Y,5,5,LLM,BORED,--YY-,5,5,CSS,HENRI,YG-YY,4,4,CSS,REICH,GGGGG,0,0,VOI,,,,,,,,,,
53,ICONS,True,4,GUESS,----G,4,4,LLM,TROIS,--GYG,3,3,CSS,IPODS,G-G-G,2,2,CSS,ICONS,GGGGG,0,0,VOI,,,,,,,,,,
54,SILKY,True,3,START,G----,4,4,LLM,SKIES,GYY--,4,4,CSS,SILKY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
55,CARVE,True,4,RISEN,Y--Y-,5,5,LLM,MEERA,-Y-YY,5,5,CSS,TRACE,-YYYG,4,4,CSS,CARVE,GGGGG,0,0,VOI,,,,,,,,,,
56,LAGER,True,6,GUESS,Y-Y--,5,5,LLM,REGAN,YYGY-,4,4,CSS,WAGER,-GGGG,1,1,CSS,PAGER,-GGGG,1,1,VOI,EAGER,-GGGG,1,1,VOI,LAGER,GGGGG,0,0,VOI
57,JERKS,True,4,COULD,-----,5,5,LLM,RAINS,Y---G,4,4,CSS,BEERS,-G-YG,3,3,CSS,JERKS,GGGGG,0,0,VOI,,,,,,,,,,
58,LOTUS,True,3,GUESS,-Y--G,4,4,LLM,LOCUS,GG-GG,1,1,CSS,LOTUS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
59,LACEY,True,4,GUESS,--Y--,5,5,LLM,CARNE,YG--Y,4,4,CSS,LACED,GGGG-,1,1,CSS,LACEY,GGGGG,0,0,VOI,,,,,,,,,,
60,TUDOR,True,5,GUESS,-G---,4,4,LLM,CUBAN,-G---,4,4,CSS,MULTI,-G-Y-,4,4,CSS,TUTOR,GG-GG,1,1,VOI,TUDOR,GGGGG,0,0,VOI,,,,,
61,QUOTA,True,3,COULD,-YY--,5,5,LLM,AUTOS,YGYY-,4,4,CSS,QUOTA,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
62,MOURN,True,4,GIVEN,----G,4,4,LLM,ARSON,-Y-YG,4,4,CSS,BJORN,--YGG,3,3,CSS,MOURN,GGGGG,0,0,VOI,,,,,,,,,,
63,PROMO,True,4,COULD,-Y---,5,5,LLM,TENOR,---YY,5,5,CSS,PRIMO,GG-GG,1,1,CSS,PROMO,GGGGG,0,0,VOI,,,,,,,,,,
64,CASTE,True,3,COULD,G----,4,4,LLM,CARTE,GG-GG,1,1,CSS,CASTE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
65,CAPRI,True,4,MIGHT,-Y---,5,5,LLM,SLAIN,--YY-,5,5,CSS,FAIRE,-GYG-,3,3,CSS,CAPRI,GGGGG,0,0,VOI,,,,,,,,,,
66,ALIAS,True,4,START,Y-Y--,5,5,LLM,MALES,-YY-G,4,3,CSS,LUCAS,Y--GG,3,3,CSS,ALIAS,GGGGG,0,0,VOI,,,,,,,,,,
67,PADDY,True,4,COULD,----Y,5,5,LLM,DARES,YG---,4,4,CSS,NADIA,-GG--,3,3,CSS,PADDY,GGGGG,0,0,VOI,,,,,,,,,,
68,BLOBS,True,5,GUESS,----G,4,4,LLM,NAILS,---YG,4,4,CSS,COLTS,-YY-G,4,4,CSS,PLOWS,-GG-G,2,2,VOI,BLOBS,GGGGG,0,0,VOI,,,,,
69,DILLY,True,4,RACES,-----,5,5,LLM,POINT,--Y--,5,5,CSS,DIMLY,GG-GG,1,1,CSS,DILLY,GGGGG,0,0,VOI,,,,,,,,,,
