game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,HOUSE,YY---,5,4,LLM,CHORD,-GG--,3,3,VOI,THONG,YGG--,3,3,VOI,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,HOUSE,-----,5,5,LLM,RAINY,YG--G,3,3,VOI,CAMRY,-G-YG,3,3,VOI,TARDY,YGG-G,2,2,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,5,HOUSE,-----,5,5,LLM,MARIN,--YY-,5,4,VOI,FLIRT,--GYY,4,4,VOI,TRIPP,GGG--,2,2,CSS,TRICK,GGGGG,0,0,CSS,,,,,
4,DIRTY,True,4,HOUSE,-----,5,5,LLM,RAINY,Y-Y-G,4,4,VOI,BIRDY,-GGYG,2,2,VOI,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,3,HOUSE,--GY-,4,4,LLM,SAULT,YYGY-,4,4,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
6,TRULY,True,4,HOUSE,--G--,4,4,LLM,NAURU,--GY-,4,4,VOI,TRUDY,GGG-G,1,1,VOI,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,4,HOUSE,---YY,5,5,LLM,RATES,--YYY,5,5,VOI,SLEPT,G-GYG,2,2,VOI,SPENT,GGGGG,0,0,CSS,,,,,,,,,,
8,PAUSE,True,4,HOUSE,--GGG,2,2,LLM,ABUSE,Y-GGG,2,2,VOI,CAUSE,-GGGG,1,1,VOI,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,5,HOUSE,-----,5,5,LLM,DARLA,-YY--,5,5,VOI,GRANT,-GG--,3,3,VOI,CRAMP,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,
10,BASES,False,6,HOUSE,---YY,5,4,LLM,RATES,-G-GG,2,2,VOI,LACES,-G-GG,2,2,VOI,GAMES,-G-GG,2,2,CSS,SAVES,YG-GG,2,2,CSS,EASES,-GGGG,1,1,CSS
11,YOUNG,True,4,HOUSE,-GG--,3,3,LLM,BOUND,-GGG-,2,2,VOI,MOUNT,-GGG-,2,2,VOI,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,
12,MEANS,True,5,HOUSE,---YY,5,5,LLM,EASES,YY--G,4,3,VOI,REALS,-GG-G,2,2,VOI,TEAMS,-GGYG,2,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,
13,TRUTH,True,4,HOUSE,Y-G--,4,4,LLM,CHUNK,-YG--,4,4,VOI,LAUGH,--G-G,3,3,VOI,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,True,5,HOUSE,----Y,5,5,LLM,ALDER,--YGY,4,4,VOI,DEREK,Y-GG-,3,3,VOI,WIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,CSS,,,,,
15,FOLKS,True,5,HOUSE,-G-Y-,4,4,LLM,LORDS,YG--G,3,3,VOI,POLIS,-GG-G,2,2,VOI,BOLTS,-GG-G,2,2,CSS,FOLKS,GGGGG,0,0,CSS,,,,,
16,CHILE,True,3,HOUSE,Y---G,4,4,LLM,THINE,-GG-G,2,2,VOI,CHILE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
17,BLACK,True,4,HOUSE,-----,5,5,LLM,CRYIN,Y----,5,5,VOI,FLACK,-GGGG,1,1,VOI,BLACK,GGGGG,0,0,CSS,,,,,,,,,,
18,GRANT,True,5,HOUSE,-----,5,5,LLM,NATAL,YYY--,5,5,VOI,TRYNA,YG-GY,3,3,VOI,BRANT,-GGGG,1,1,CSS,GRANT,GGGGG,0,0,CSS,,,,,
19,MEALS,True,5,HOUSE,---YY,5,5,LLM,EASES,YY--G,4,3,VOI,REALS,-GGGG,1,1,VOI,DEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,
20,CREAM,True,5,HOUSE,----Y,5,5,LLM,NADER,-Y-YY,5,5,VOI,ALERT,Y-GY-,4,4,VOI,BREAM,-GGGG,1,1,CSS,CREAM,GGGGG,0,0,CSS,,,,,
21,AWAKE,True,6,HOUSE,----G,4,4,LLM,RAINE,-Y--G,4,4,VOI,BEALE,--G-G,3,3,VOI,AGATE,G-G-G,2,2,CSS,AMAZE,G-G-G,2,2,CSS,AWAKE,GGGGG,0,0,CSS
22,OCCUR,True,3,HOUSE,-YY--,5,5,LLM,TUMOR,-Y-YG,4,4,VOI,OCCUR,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
23,YEARS,False,6,HOUSE,---YY,5,5,LLM,REALS,YGG-G,2,2,VOI,NEARS,-GGGG,1,1,VOI,BEARS,-GGGG,1,1,CSS,TEARS,-GGGG,1,1,CSS,GEARS,-GGGG,1,1,CSS
24,GRADE,True,6,HOUSE,----G,4,4,LLM,RAINE,YY--G,4,3,VOI,GRACE,GGG-G,1,1,VOI,GRAVE,GGG-G,1,1,CSS,GRATE,GGG-G,1,1,CSS,GRADE,GGGGG,0,0,CSS
25,CHILL,True,4,HOUSE,Y----,5,5,LLM,RANCH,---YY,5,5,VOI,CHILI,GGGG-,1,1,VOI,CHILL,GGGGG,0,0,CSS,,,,,,,,,,
26,FLOOD,True,4,HOUSE,-Y---,5,5,LLM,CARON,---G-,4,4,VOI,BIGOT,---G-,4,4,VOI,FLOOD,GGGGG,0,0,CSS,,,,,,,,,,
