game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,5,HAVES,Y----,5,5,VOI,HOUSE,YY---,5,4,LLM,CHORD,-GG--,3,3,LLM,THONG,YGG--,3,3,LLM,PHOTO,GGGGG,0,0,LLM,,,,,
2,PARTY,True,4,OATES,-GY--,4,4,VOI,MANTA,-G-G-,3,3,LLM,DARTH,-GGG-,2,2,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,5,AIRES,-YY--,5,5,VOI,BRICK,-GGGG,1,1,LLM,PRICK,-GGGG,1,1,LLM,CRICK,-GGGG,1,1,LLM,TRICK,GGGGG,0,0,LLM,,,,,
4,DIRTY,True,6,LASER,----Y,5,5,VOI,STAGE,-Y---,5,5,LLM,TRICK,YYY--,5,5,LLM,NITRO,-GYY-,4,4,LLM,MIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,LLM
5,USUAL,True,5,TASER,-YY--,5,5,VOI,HOUSE,--GY-,4,4,LLM,SCUBA,Y-G-Y,4,4,LLM,SLUSH,YYG--,4,4,LLM,USUAL,GGGGG,0,0,LLM,,,,,
6,TRULY,True,6,STARE,-Y-Y-,5,5,VOI,FRONT,-G--Y,4,4,LLM,TRICK,GG---,3,3,LLM,TRUTH,GGG--,2,2,LLM,TRUMP,GGG--,2,2,LLM,TRULY,GGGGG,0,0,LLM
7,SPENT,True,3,EARLS,Y---Y,5,5,VOI,HOUSE,---YY,5,5,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,3,RATES,-G-YY,4,4,VOI,SAUCE,YGG-G,2,2,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,5,NEARS,--GY-,4,4,VOI,TRACK,-GGY-,3,3,LLM,CRAIG,GGG--,2,2,LLM,CRAMP,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM,,,,,
10,BASES,True,5,RATES,-G-GG,2,2,VOI,PALES,-G-GG,2,2,LLM,MAKES,-G-GG,2,2,LLM,CASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,
