game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,GRIDD,-----,5,5,LLM,HEATS,Y--G-,4,4,CSS,MOUTH,-Y-GY,4,4,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,4,READS,Y-Y--,5,5,LLM,AARON,-GG--,3,3,CSS,MARTY,-GGGG,1,1,CSS,PARTY,GGGGG,0,0,CSS,,,,,,,,,,
3,TRICK,True,4,IDLEB,Y----,5,5,LLM,GAINS,--G--,4,4,CSS,CHIRP,Y-GY-,4,4,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,
4,DIRTY,True,4,GUESS,-----,5,5,LLM,MARIO,--GY-,4,4,CSS,BIRTH,-GGG-,2,2,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,
5,USUAL,True,4,GUESS,-Y-Y-,5,5,LLM,SNOUT,Y--Y-,5,5,CSS,USAID,GGY--,3,3,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,
6,TRULY,True,3,SHEDS,-----,5,5,LLM,CARON,--Y--,5,5,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,2,STONE,GY-GY,3,3,LLM,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
8,PAUSE,True,4,HATES,-G-YY,4,4,LLM,SABLE,YG--G,3,3,CSS,PARSE,GG-GG,1,1,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,5,BASED,-Y---,5,5,LLM,TIARA,--GY-,4,4,CSS,CRANK,GGG--,2,2,CSS,CRAMP,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,
10,BASES,True,6,SOLAR,Y--Y-,5,5,LLM,CATES,-G-GG,2,2,CSS,MAGES,-G-GG,2,2,CSS,WAVES,-G-GG,2,2,CSS,HADES,-G-GG,2,2,CSS,BASES,GGGGG,0,0,CSS
11,YOUNG,True,3,LOANS,-G-G-,3,3,LLM,DONNY,-G-GY,3,3,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
12,MEANS,True,3,GRIDD,-----,5,5,LLM,MALES,GY-YG,3,3,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
