game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,START,-Y---,5,5,LLM,MONTE,-Y-G-,4,4,CSS,PLUTO,G--GG,2,2,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,5,COULD,-----,5,5,LLM,REINS,Y----,5,5,CSS,MARTA,-GGG-,2,2,CSS,BARTH,-GGG-,2,2,CSS,PARTY,GGGGG,0,0,CSS,,,,,
3,TRICK,True,3,START,-Y-Y-,5,5,LLM,TRIBE,GGG--,2,2,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
4,DIRTY,True,5,GIVEN,-G---,4,4,LLM,LIFTS,-G-G-,3,3,CSS,WIDTH,-GYG-,3,3,CSS,DITTO,GG-G-,2,2,CSS,DIRTY,GGGGG,0,0,CSS,,,,,
5,USUAL,True,3,COULD,--GY-,4,4,LLM,PLUGS,-YG-Y,4,4,CSS,USUAL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
6,TRULY,True,3,CORAL,--Y-Y,5,4,LLM,RILEY,Y-Y-G,4,3,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,3,COULD,-----,5,5,LLM,SARIN,G---Y,4,4,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
8,PAUSE,True,4,GUESS,-YYG-,4,4,LLM,ROUSE,--GGG,2,2,CSS,ABUSE,Y-GGG,2,2,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,4,GIVEN,-----,5,5,LLM,CLAMS,G-G--,3,3,CSS,CRAFT,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS,,,,,,,,,,
10,BASES,False,6,COULD,-----,5,5,LLM,ARIES,Y--GG,3,3,CSS,MATES,-G-GG,2,2,CSS,SAGES,YG-GG,2,2,CSS,EASES,-GGGG,1,1,CSS,VASES,-GGGG,1,1,CSS
11,YOUNG,True,3,GUESS,YY---,5,5,LLM,LOUGH,-GGY-,3,3,CSS,YOUNG,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
12,MEANS,True,4,COULD,-----,5,5,LLM,KARTS,-Y--G,4,4,CSS,SEAMS,-GGYG,2,2,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,4,COULD,--G--,4,4,LLM,SPURT,--GYY,4,4,CSS,BRUTE,-GGG-,2,2,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,True,4,START,---Y-,5,5,LLM,DECOR,YY--Y,5,5,CSS,FREUD,GYY-G,3,2,CSS,FIRED,GGGGG,0,0,CSS,,,,,,,,,,
15,FOLKS,True,4,START,Y----,5,5,LLM,LIMES,Y---G,4,4,CSS,BOWLS,-G-YG,3,3,CSS,FOLKS,GGGGG,0,0,CSS,,,,,,,,,,
16,CHILE,True,5,GUESS,--Y--,5,5,LLM,LOWER,Y--Y-,5,5,CSS,ALLIE,-Y-YG,4,4,CSS,EXILE,--GGG,2,2,CSS,CHILE,GGGGG,0,0,CSS,,,,,
17,BLACK,True,5,GUESS,-----,5,5,LLM,RABIN,-YY--,5,5,CSS,BOTHA,G---Y,4,4,CSS,BYLAW,G-YY-,4,3,CSS,BLACK,GGGGG,0,0,CSS,,,,,
18,GRANT,True,3,COULD,-----,5,5,LLM,TEARS,Y-GY-,4,4,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
19,MEALS,True,5,PINES,---YG,4,4,LLM,TERMS,-G-YG,3,3,CSS,MEMOS,GG--G,2,2,CSS,MEEKS,GG--G,2,2,CSS,MEALS,GGGGG,0,0,CSS,,,,,
20,CREAM,True,5,BASED,-Y-Y-,5,5,LLM,NEALE,-YY--,5,4,CSS,TREAT,-GGG-,2,2,CSS,WREAK,-GGG-,2,2,CSS,CREAM,GGGGG,0,0,CSS,,,,,
21,AWAKE,True,4,CROWN,---Y-,5,5,LLM,WALES,YY-Y-,5,3,CSS,KWAME,YGG-G,2,2,CSS,AWAKE,GGGGG,0,0,CSS,,,,,,,,,,
22,OCCUR,True,4,DATES,-----,5,5,LLM,RHINO,Y---Y,5,5,CSS,CROOK,YYY--,5,5,CSS,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,False,6,VOWEL,---Y-,5,5,LLM,READS,YGG-G,2,2,CSS,BEARS,-GGGG,1,1,CSS,TEARS,-GGGG,1,1,CSS,GEARS,-GGGG,1,1,CSS,NEARS,-GGGG,1,1,CSS
24,GRADE,True,3,START,--GY-,4,4,LLM,GRAND,GGG-Y,2,2,CSS,GRADE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
25,CHILL,True,4,START,-----,5,5,LLM,LINGO,YY---,5,5,CSS,CHILE,GGGG-,1,1,CSS,CHILL,GGGGG,0,0,CSS,,,,,,,,,,
26,FLOOD,True,5,GUESS,-----,5,5,LLM,MARIN,-----,5,5,CSS,BOOTH,-YG--,4,4,CSS,KYOKO,--G-Y,4,4,CSS,FLOOD,GGGGG,0,0,CSS,,,,,
27,APPLY,True,5,SOLVE,--Y--,5,5,LLM,NABIL,-Y--Y,5,4,CSS,CLARY,-YY-G,4,4,CSS,APTLY,GG-GG,1,1,CSS,APPLY,GGGGG,0,0,CSS,,,,,
28,SMILE,True,5,GUESS,--YY-,5,5,LLM,PASTE,--Y-G,4,4,CSS,SNORE,G---G,3,3,CSS,SLIDE,GYG-G,2,2,CSS,SMILE,GGGGG,0,0,CSS,,,,,
29,KNOCK,True,4,GIVEN,----Y,5,5,LLM,SANDY,--Y--,5,5,CSS,COUNT,YY-Y-,5,5,CSS,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,
30,SLEEP,True,5,GUESS,--GY-,4,4,LLM,STEEN,G-GG-,2,2,CSS,SHEEP,G-GGG,1,1,CSS,SWEEP,G-GGG,1,1,CSS,SLEEP,GGGGG,0,0,CSS,,,,,
31,BRICK,True,3,ASSAY,-----,5,5,LLM,TONER,----Y,5,5,CSS,BRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
32,WROTE,True,4,START,-Y-Y-,5,5,LLM,TRIBE,YG--G,3,3,CSS,CRETE,-G-GG,2,2,CSS,WROTE,GGGGG,0,0,CSS,,,,,,,,,,
33,RATED,True,3,START,-YYY-,5,5,LLM,TAMER,YG-GY,3,3,CSS,RATED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
34,ALERT,True,3,REGIS,YY---,5,5,LLM,CARED,-YYY-,5,4,CSS,ALERT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
35,CAGES,True,6,GUESS,Y-Y-G,4,4,LLM,RAGES,-GGGG,1,1,CSS,MAGES,-GGGG,1,1,CSS,PAGES,-GGGG,1,1,CSS,WAGES,-GGGG,1,1,CSS,CAGES,GGGGG,0,0,CSS
36,TEDDY,True,3,START,-Y---,5,5,LLM,TONED,G--YY,4,4,CSS,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
37,COLES,False,6,GUESS,--Y-G,4,4,LLM,TALES,--GGG,2,2,CSS,MOLES,-GGGG,1,1,CSS,ROLES,-GGGG,1,1,CSS,POLES,-GGGG,1,1,CSS,HOLES,-GGGG,1,1,CSS
38,HWANG,True,4,THREE,-Y---,5,5,LLM,HALOS,GY---,4,4,CSS,HUNAN,G-YY-,4,3,CSS,HWANG,GGGGG,0,0,CSS,,,,,,,,,,
39,WRATH,True,4,GUESS,-----,5,5,LLM,ALAIN,--G--,4,4,CSS,CHART,-YGYY,4,4,CSS,WRATH,GGGGG,0,0,CSS,,,,,,,,,,
40,MACHO,True,4,COULD,YY---,5,5,LLM,TACOS,-GGY-,3,3,CSS,NACHO,-GGGG,1,1,CSS,MACHO,GGGGG,0,0,CSS,,,,,,,,,,
41,LOPEZ,True,3,COULD,-G-Y-,4,4,LLM,LOSER,GG-G-,2,2,CSS,LOPEZ,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
42,GOODY,True,3,ASSAY,----G,4,4,LLM,PEONY,--G-G,3,3,CSS,GOODY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
43,BROTH,True,6,GUESS,-----,5,5,LLM,MOIRA,-Y-Y-,5,5,CSS,BROOD,GGG--,2,2,CSS,BRONX,GGG--,2,2,CSS,BROCK,GGG--,2,2,CSS,BROTH,GGGGG,0,0,CSS
44,VERDE,True,4,START,---Y-,5,5,LLM,DECOR,YG--Y,4,4,CSS,REEDY,YGYG-,3,3,CSS,VERDE,GGGGG,0,0,CSS,,,,,,,,,,
45,TAMED,True,4,GUESS,--Y--,5,5,LLM,CARNE,-G--Y,4,4,CSS,MATED,YGYGG,2,2,CSS,TAMED,GGGGG,0,0,CSS,,,,,,,,,,
46,LEAFS,True,6,RANGE,-Y--Y,5,5,LLM,LEAST,GGGY-,2,2,CSS,LEAPS,GGG-G,1,1,CSS,LEAKS,GGG-G,1,1,CSS,LEADS,GGG-G,1,1,CSS,LEAFS,GGGGG,0,0,CSS
47,YACHT,True,3,START,--Y-G,4,4,LLM,HAUNT,YG--G,3,3,CSS,YACHT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
48,MESSY,True,5,USING,-Y---,5,5,LLM,PALES,---YY,5,5,CSS,HORSE,---GY,4,4,CSS,BETSY,-G-GG,2,2,CSS,MESSY,GGGGG,0,0,CSS,,,,,
49,RYDER,True,4,COULD,----Y,5,5,LLM,DARES,Y-YG-,4,4,CSS,RIDER,G-GGG,1,1,CSS,RYDER,GGGGG,0,0,CSS,,,,,,,,,,
50,MOTIF,True,5,COULD,-G---,4,4,LLM,SOREN,-G---,4,4,CSS,BOOTY,-G-Y-,4,4,CSS,VOMIT,-GYGY,3,3,CSS,MOTIF,GGGGG,0,0,CSS,,,,,
51,RAVEN,True,3,COULD,-----,5,5,LLM,REINS,GY-Y-,4,4,CSS,RAVEN,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
52,REICH,True,3,COULD,Y----,5,5,LLM,RANCE,G--GY,3,3,CSS,REICH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
53,ICONS,True,5,START,Y----,5,5,LLM,DOMES,-Y--G,4,4,CSS,BLOWS,--G-G,3,3,CSS,CHOPS,Y-G-G,3,3,CSS,ICONS,GGGGG,0,0,CSS,,,,,
54,SILKY,True,4,COULD,---Y-,5,5,LLM,PILES,-GG-Y,3,3,CSS,SILVA,GGG--,2,2,CSS,SILKY,GGGGG,0,0,CSS,,,,,,,,,,
55,CARVE,True,4,GUESS,--Y--,5,5,LLM,RACED,YGYY-,4,4,CSS,CARPE,GGG-G,1,1,CSS,CARVE,GGGGG,0,0,CSS,,,,,,,,,,
56,LAGER,True,5,START,--YY-,5,5,LLM,AARON,-GY--,4,4,CSS,RAPID,YG---,4,4,CSS,FAMER,-G-GG,2,2,CSS,LAGER,GGGGG,0,0,CSS,,,,,
57,JERKS,True,5,START,Y--Y-,5,5,LLM,CORES,--GYG,3,3,CSS,HERBS,-GG-G,2,2,CSS,FERNS,-GG-G,2,2,CSS,JERKS,GGGGG,0,0,CSS,,,,,
58,LOTUS,True,4,START,YY---,5,5,LLM,TONES,YG--G,3,3,CSS,BOLTS,-GYYG,3,3,CSS,LOTUS,GGGGG,0,0,CSS,,,,,,,,,,
59,LACEY,True,5,GUESS,--Y--,5,5,LLM,EARLE,YG-Y-,4,4,CSS,PANEL,-G-GY,3,3,CSS,DALEY,-GYGG,2,2,CSS,LACEY,GGGGG,0,0,CSS,,,,,
60,TUDOR,True,4,LANES,-----,5,5,LLM,FORTH,-YYY-,5,5,CSS,TROUT,GYYY-,4,4,CSS,TUDOR,GGGGG,0,0,CSS,,,,,,,,,,
61,QUOTA,True,4,CODES,-Y---,5,5,LLM,ALTON,Y-YY-,5,5,CSS,OTAGO,YYY--,5,4,CSS,QUOTA,GGGGG,0,0,CSS,,,,,,,,,,
62,MOURN,True,4,START,---G-,4,4,LLM,CRORE,--YG-,4,4,CSS,GOURD,-GGG-,2,2,CSS,MOURN,GGGGG,0,0,CSS,,,,,,,,,,
63,PROMO,True,5,COULD,-Y---,5,5,LLM,ARSON,-G-Y-,4,4,CSS,TROPE,-GGY-,3,3,CSS,PROVO,GGG-G,1,1,CSS,PROMO,GGGGG,0,0,CSS,,,,,
64,CASTE,True,4,GLIDE,----G,4,4,LLM,SCARE,YYY-G,4,3,CSS,CAUSE,GG-YG,2,2,CSS,CASTE,GGGGG,0,0,CSS,,,,,,,,,,
65,CAPRI,True,4,ASSAY,Y----,5,5,LLM,MARNE,-GY--,4,4,CSS,LABOR,-G--Y,4,4,CSS,CAPRI,GGGGG,0,0,CSS,,,,,,,,,,
66,ALIAS,True,4,COULD,---Y-,5,5,LLM,TALES,-YY-G,4,3,CSS,SLAPS,-GY-G,3,3,CSS,ALIAS,GGGGG,0,0,CSS,,,,,,,,,,
67,PADDY,True,4,START,--Y--,5,5,LLM,DALIA,YG---,4,4,CSS,BADEN,-GG--,3,3,CSS,PADDY,GGGGG,0,0,CSS,,,,,,,,,,
68,BLOBS,True,4,START,Y----,5,5,LLM,BONES,GY--G,3,3,CSS,BLOGS,GGG-G,1,1,CSS,BLOBS,GGGGG,0,0,CSS,,,,,,,,,,
