game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,CRANE,-----,5,5,LLM,SLATE,---G-,4,4,LLM,BITTY,---G-,4,4,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,
2,PARTY,True,6,CRANE,-YY--,5,5,LLM,BLOKE,-----,5,5,LLM,MARIA,-GG--,3,3,CSS,HARDY,-GG-G,2,2,CSS,GARRY,-GG-G,2,2,CSS,PARTY,GGGGG,0,0,CSS
3,TRICK,True,2,CRANE,YG---,4,4,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
4,DIRTY,True,5,CRANE,-Y---,5,5,LLM,BLEAT,----Y,5,5,LLM,TORUS,Y-G--,4,4,CSS,WIRTH,-GGG-,2,2,CSS,DIRTY,GGGGG,0,0,CSS,,,,,
5,USUAL,True,5,CRANE,--Y--,5,5,LLM,SLATE,YYY--,5,4,LLM,HALLS,-YY-Y,5,5,CSS,LUISA,YY-YY,5,4,CSS,USUAL,GGGGG,0,0,CSS,,,,,
6,TRULY,True,4,CRANE,-G---,4,4,LLM,TROUT,GG-Y-,3,3,LLM,TRUDY,GGG-G,1,1,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,
7,SPENT,True,2,CRANE,---GY,4,4,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
8,PAUSE,True,4,CRANE,--Y-G,4,4,LLM,MAUDE,-GG-G,2,2,LLM,GAUGE,-GG-G,2,2,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,
9,CRAZY,True,6,CRANE,GGG--,2,2,LLM,CRABB,GGG--,2,2,LLM,CRAPS,GGG--,2,2,CSS,CRACK,GGG--,2,2,CSS,CRAFT,GGG--,2,2,CSS,CRAZY,GGGGG,0,0,CSS
10,BASES,True,4,CRANE,--Y-Y,5,4,LLM,BLAST,G-YY-,4,3,LLM,BAKES,GG-GG,1,1,CSS,BASES,GGGGG,0,0,CSS,,,,,,,,,,
11,YOUNG,True,5,CRANE,---G-,4,4,LLM,BLAST,-----,5,5,LLM,DOING,-G-GG,2,2,CSS,JOONG,-G-GG,2,2,CSS,YOUNG,GGGGG,0,0,CSS,,,,,
12,MEANS,True,4,CRANE,--GGY,3,3,LLM,BEANS,-GGGG,1,1,LLM,DEANS,-GGGG,1,1,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,
13,TRUTH,True,4,CRANE,-G---,4,4,LLM,PROUD,-G-Y-,4,4,LLM,TRUST,GGG-Y,2,2,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,
14,FIRED,True,4,CRANE,-Y--Y,5,5,LLM,BLAST,-----,5,5,LLM,FERRO,GYG--,3,3,CSS,FIRED,GGGGG,0,0,CSS,,,,,,,,,,
15,FOLKS,True,5,CRANE,-----,5,5,LLM,SLOPE,YYY--,5,5,LLM,BOLTS,-GG-G,2,2,CSS,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,CSS,,,,,
16,CHILE,True,3,CRANE,G---G,3,3,LLM,CHOKE,GG--G,2,2,LLM,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
17,BLACK,True,3,CRANE,Y-G--,4,4,LLM,SLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
18,GRANT,True,3,CRANE,-GGG-,2,2,LLM,FRANK,-GGG-,2,2,LLM,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
19,MEALS,True,5,CRANE,--G-Y,4,4,LLM,DEATH,-GG--,3,3,LLM,LEAKS,YGG-G,2,2,CSS,SEALS,-GGGG,1,1,CSS,MEALS,GGGGG,0,0,CSS,,,,,
20,CREAM,True,2,CRANE,GGY-Y,3,3,LLM,CREAM,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
21,AWAKE,True,5,CRANE,--G-G,3,3,LLM,BLADE,--G-G,3,3,LLM,STAGE,--G-G,3,3,CSS,KWAME,YGG-G,2,2,CSS,AWAKE,GGGGG,0,0,CSS,,,,,
22,OCCUR,True,4,CRANE,YY---,5,5,LLM,TORCH,-YYY-,5,4,LLM,SCOUR,-GYGG,2,2,CSS,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,
23,YEARS,True,4,CRANE,-YG-Y,4,4,LLM,HEART,-GGG-,2,2,LLM,GEARY,-GGGY,2,2,CSS,YEARS,GGGGG,0,0,CSS,,,,,,,,,,
24,GRADE,True,2,CRANE,-GG-G,2,2,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
25,CHILL,True,4,CRANE,G----,4,4,LLM,CLOUD,GY---,4,4,LLM,CIVIL,GY--G,3,3,CSS,CHILL,GGGGG,0,0,CSS,,,,,,,,,,
26,FLOOD,True,5,CRANE,-----,5,5,LLM,SLATE,-G---,4,4,LLM,BLIMP,-G---,4,4,CSS,LLOYD,-GG-G,2,2,CSS,FLOOD,GGGGG,0,0,CSS,,,,,
27,APPLY,True,5,CRANE,--Y--,5,5,LLM,SLATE,-YY--,5,5,LLM,MALIA,-YY--,5,5,CSS,AHOLD,G--G-,3,3,CSS,APPLY,GGGGG,0,0,CSS,,,,,
28,SMILE,True,4,CRANE,----G,4,4,LLM,SLATE,GY--G,3,3,LLM,SOLVE,G-Y-G,3,3,CSS,SMILE,GGGGG,0,0,CSS,,,,,,,,,,
29,KNOCK,True,3,CRANE,Y--Y-,5,5,LLM,PINCH,--YG-,4,4,LLM,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
30,SLEEP,True,3,CRANE,----Y,5,5,LLM,SLATE,GG--Y,3,3,LLM,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
31,BRICK,True,5,CRANE,YG---,4,4,LLM,TRICK,-GGGG,1,1,LLM,FRICK,-GGGG,1,1,CSS,PRICK,-GGGG,1,1,CSS,BRICK,GGGGG,0,0,CSS,,,,,
32,WROTE,True,5,CRANE,-G--G,3,3,LLM,PROBE,-GG-G,2,2,LLM,DROVE,-GG-G,2,2,CSS,FROME,-GG-G,2,2,CSS,WROTE,GGGGG,0,0,CSS,,,,,
33,RATED,True,4,CRANE,-YY-Y,5,3,LLM,BLOKE,----Y,5,5,LLM,ASTER,Y-GGY,3,3,CSS,RATED,GGGGG,0,0,CSS,,,,,,,,,,
34,ALERT,True,3,CRANE,-YY-Y,5,5,LLM,BLAST,-GY-G,3,3,LLM,ALERT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
35,CAGES,True,6,CRANE,G-Y-Y,4,3,LLM,CASED,GGYG-,2,2,LLM,CAVES,GG-GG,1,1,CSS,CAKES,GG-GG,1,1,CSS,CAFES,GG-GG,1,1,CSS,CAGES,GGGGG,0,0,CSS
36,TEDDY,True,4,CRANE,----Y,5,5,LLM,SLATE,---YY,5,5,LLM,TOYED,G-YYY,4,4,CSS,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,
37,COLES,True,5,CRANE,G---Y,4,4,LLM,CHECK,G-Y--,4,4,LLM,CODES,GG-GG,1,1,CSS,COMES,GG-GG,1,1,CSS,COLES,GGGGG,0,0,CSS,,,,,
38,HWANG,True,5,CRANE,--GG-,3,3,LLM,SLANT,--GG-,3,3,LLM,JIANG,--GGG,2,2,CSS,HUANG,G-GGG,1,1,CSS,HWANG,GGGGG,0,0,CSS,,,,,
39,WRATH,True,4,CRANE,-GG--,3,3,LLM,BRADS,-GG--,3,3,LLM,TRAIT,YGG--,3,3,CSS,WRATH,GGGGG,0,0,CSS,,,,,,,,,,
40,MACHO,True,3,CRANE,Y-Y--,5,5,LLM,MATCH,GG-YY,3,2,LLM,MACHO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
41,LOPEZ,True,3,CRANE,----Y,5,5,LLM,SLOPE,-YYYY,5,2,LLM,LOPEZ,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
42,GOODY,True,5,CRANE,-----,5,5,LLM,SLATE,-----,5,5,LLM,DOUGH,YG-Y-,4,4,CSS,GOWDY,GG-GG,1,1,CSS,GOODY,GGGGG,0,0,CSS,,,,,
43,BROTH,True,4,CRANE,-G---,4,4,LLM,PROUD,-GG--,3,3,LLM,FROST,-GG-Y,3,3,CSS,BROTH,GGGGG,0,0,CSS,,,,,,,,,,
44,VERDE,True,5,CRANE,-Y--G,4,4,LLM,ROUGE,Y---G,4,4,LLM,TERSE,-GG-G,2,2,CSS,VERVE,GGG-G,1,1,CSS,VERDE,GGGGG,0,0,CSS,,,,,
45,TAMED,True,3,CRANE,--Y-Y,5,4,LLM,SLATE,--YYY,5,4,LLM,TAMED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
46,LEAFS,True,4,CRANE,--G-Y,4,4,LLM,DEATH,-GG--,3,3,LLM,LEAKS,GGG-G,1,1,CSS,LEAFS,GGGGG,0,0,CSS,,,,,,,,,,
47,YACHT,True,5,CRANE,Y-Y--,5,5,LLM,MAGIC,-G--Y,4,4,LLM,PACTS,-GGY-,3,3,CSS,TACKY,YGG-Y,3,3,CSS,YACHT,GGGGG,0,0,CSS,,,,,
48,MESSY,True,4,CRANE,----Y,5,5,LLM,BLAST,---G-,4,4,LLM,ZEISS,-G-GY,3,3,CSS,MESSY,GGGGG,0,0,CSS,,,,,,,,,,
49,RYDER,True,5,CRANE,-Y--Y,5,4,LLM,BLOKE,----Y,5,5,LLM,TIRES,--YG-,4,4,CSS,DEFER,Y--GG,3,3,CSS,RYDER,GGGGG,0,0,CSS,,,,,
50,MOTIF,True,5,CRANE,-----,5,5,LLM,SLATE,---Y-,5,5,LLM,DOUBT,-G--Y,4,4,CSS,TOKYO,YG---,4,4,CSS,MOTIF,GGGGG,0,0,CSS,,,,,
51,RAVEN,True,2,CRANE,-YYYY,5,3,LLM,RAVEN,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
