game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,AFTER,--Y--,5,5,LLM,LARGE,-----,5,5,LLM,TUNIS,Y----,5,5,VOI,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,5,GUESS,-----,5,5,LLM,WOULD,-----,5,5,LLM,THINK,Y----,5,5,VOI,CRYPT,-YYYY,5,5,VOI,PARTY,GGGGG,0,0,VOI,,,,,
3,TRICK,True,4,RAISE,Y-G--,4,4,LLM,BRILL,-GG--,3,3,LLM,CRIMP,YGG--,3,3,VOI,TRICK,GGGGG,0,0,VOI,,,,,,,,,,
4,DIRTY,True,5,CLUES,-----,5,5,LLM,LASER,----Y,5,5,LLM,PRINT,-YY-Y,5,4,VOI,MIRTH,-GGG-,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,
5,USUAL,True,4,CRATE,--Y--,5,5,LLM,CRANE,--Y--,5,5,LLM,SALMA,YYY--,5,4,VOI,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,CHOSE,-----,5,5,LLM,AGREE,--Y--,5,5,LLM,PRINT,-G--Y,4,4,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,4,GUESS,--GY-,4,4,LLM,SWEET,G-G-G,2,2,LLM,SPELT,GGG-G,1,1,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,3,GUESS,-YYG-,4,4,LLM,ROUSE,--GGG,2,2,LLM,PAUSE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
9,CRAZY,True,6,GUESS,-----,5,5,LLM,WHICH,---Y-,5,5,LLM,CARTA,GYY--,4,4,VOI,CRANK,GGG--,2,2,VOI,CRAMP,GGG--,2,2,VOI,CRAZY,GGGGG,0,0,VOI
10,BASES,True,2,BASED,GGGG-,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
11,YOUNG,True,4,COULD,-GG--,3,3,LLM,SOUTH,-GG--,3,3,LLM,ROUGE,-GGY-,3,3,VOI,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
12,MEANS,True,4,BASED,-YYY-,5,5,LLM,GUESS,--Y-G,4,4,LLM,REAMS,-GGYG,2,2,VOI,MEANS,GGGGG,0,0,VOI,,,,,,,,,,
13,TRUTH,True,6,ARISE,-G---,4,4,LLM,BROOD,-G---,4,4,LLM,TRULY,GGG--,2,2,VOI,TRUNK,GGG--,2,2,VOI,TRUMP,GGG--,2,2,VOI,TRUTH,GGGGG,0,0,VOI
14,FIRED,True,4,BASED,---GG,3,3,LLM,GUESS,--Y--,5,5,LLM,TILED,-G-GG,2,2,VOI,FIRED,GGGGG,0,0,VOI,,,,,,,,,,
15,FOLKS,True,5,CRATE,-----,5,5,LLM,GIVEN,-----,5,5,LLM,POOLS,-G-YG,3,3,VOI,FOLDS,GGG-G,1,1,VOI,FOLKS,GGGGG,0,0,VOI,,,,,
16,CHILE,True,2,CRATE,G---G,3,3,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
17,BLACK,True,5,GUESS,-----,5,5,LLM,SALET,-YY--,5,5,LLM,CLARY,YGG--,3,3,VOI,BLANC,GGG-Y,2,2,VOI,BLACK,GGGGG,0,0,VOI,,,,,
18,GRANT,True,4,GUESS,G----,4,4,LLM,GROAN,GG-YY,3,2,LLM,GRAND,GGGG-,1,1,VOI,GRANT,GGGGG,0,0,VOI,,,,,,,,,,
19,MEALS,True,5,GUESS,--Y-G,4,4,LLM,BASED,-YYY-,5,5,LLM,MEANS,GGG-G,1,1,VOI,MEATS,GGG-G,1,1,VOI,MEALS,GGGGG,0,0,VOI,,,,,
20,CREAM,True,4,GUESS,--G--,4,4,LLM,THERE,--GY-,4,4,LLM,DREAM,-GGGG,1,1,VOI,CREAM,GGGGG,0,0,VOI,,,,,,,,,,
21,AWAKE,True,5,BASED,-Y-Y-,5,4,LLM,GUESS,--Y--,5,5,LLM,LEARN,-YG--,4,4,VOI,AMAZE,G-G-G,2,2,VOI,AWAKE,GGGGG,0,0,VOI,,,,,
22,OCCUR,True,5,ARISE,-Y---,5,5,LLM,GUESS,-Y---,5,5,LLM,MOURN,-YYY-,5,4,VOI,FLOUR,--YGG,3,3,VOI,OCCUR,GGGGG,0,0,VOI,,,,,
23,YEARS,True,4,TROVE,-Y--Y,5,5,LLM,BASED,-YYY-,5,5,LLM,MEARS,-GGGG,1,1,VOI,YEARS,GGGGG,0,0,VOI,,,,,,,,,,
24,GRADE,True,3,GUESS,G-Y--,4,4,LLM,GRIPE,GG--G,2,2,LLM,GRADE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
25,CHILL,False,6,GIVEN,-Y---,5,5,LLM,EARTH,----Y,5,5,LLM,SHIPS,-GG--,3,3,VOI,CHICK,GGG--,2,2,VOI,CHIBI,GGG--,2,2,VOI,CHILD,GGGG-,1,1,VOI
26,FLOOD,True,4,GUESS,-----,5,5,LLM,WHICH,-----,5,5,LLM,MODAL,-YY-Y,5,5,VOI,FLOOD,GGGGG,0,0,VOI,,,,,,,,,,
27,APPLY,True,4,CRATE,--Y--,5,5,LLM,SLOPE,-Y-Y-,5,5,LLM,AMPLY,G-GGG,1,1,VOI,APPLY,GGGGG,0,0,VOI,,,,,,,,,,
28,SMILE,True,4,GUESS,--YY-,5,5,LLM,BASED,--YY-,5,5,LLM,SPINE,G-G-G,2,2,VOI,SMILE,GGGGG,0,0,VOI,,,,,,,,,,
29,KNOCK,True,5,GUESS,-----,5,5,LLM,SOARE,-Y---,5,5,LLM,FLOOD,--G--,4,4,VOI,KNOTT,GGG--,2,2,VOI,KNOCK,GGGGG,0,0,VOI,,,,,
30,SLEEP,True,4,GUESS,--GY-,4,4,LLM,SPEAR,GYG--,3,3,LLM,SLEPT,GGGY-,2,2,VOI,SLEEP,GGGGG,0,0,VOI,,,,,,,,,,
31,BRICK,False,6,GUESS,-----,5,5,LLM,WHICH,--GG-,3,3,LLM,TRICK,-GGGG,1,1,VOI,FRICK,-GGGG,1,1,VOI,CRICK,-GGGG,1,1,VOI,PRICK,-GGGG,1,1,VOI
32,WROTE,True,5,BASED,---Y-,5,5,LLM,SALES,---Y-,5,5,LLM,ROUGE,YY--G,4,3,VOI,TROPE,YGG-G,2,2,VOI,WROTE,GGGGG,0,0,VOI,,,,,
33,RATED,True,3,GUESS,--Y--,5,5,LLM,AFTER,Y-GGY,3,3,LLM,RATED,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
34,ALERT,True,4,GUESS,--G--,4,4,LLM,LARGE,YYY-Y,5,4,LLM,OREAL,-YGYY,4,4,VOI,ALERT,GGGGG,0,0,VOI,,,,,,,,,,
35,CAGES,True,4,OFTEN,---G-,4,4,LLM,LUCKY,--Y--,5,5,LLM,CREED,G--G-,3,3,VOI,CAGES,GGGGG,0,0,VOI,,,,,,,,,,
36,TEDDY,True,3,GUESS,--Y--,5,5,LLM,TRADE,G--GY,3,3,LLM,TEDDY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
37,COLES,True,5,WORDS,-G--G,3,3,LLM,GIVEN,---G-,4,4,LLM,LOSES,YG-GG,2,2,VOI,HOLES,-GGGG,1,1,VOI,COLES,GGGGG,0,0,VOI,,,,,
38,HWANG,True,4,SINCE,--Y--,5,5,LLM,FROST,-----,5,5,LLM,HUMAN,G--YY,4,3,VOI,HWANG,GGGGG,0,0,VOI,,,,,,,,,,
39,WRATH,True,4,GUESS,-----,5,5,LLM,COULD,-----,5,5,LLM,PARTY,-YYG-,4,4,VOI,WRATH,GGGGG,0,0,VOI,,,,,,,,,,
40,MACHO,True,6,COULD,YY---,5,5,LLM,STOIC,--Y-Y,5,5,LLM,GECKO,--G-G,3,3,VOI,MACRO,GGG-G,1,1,VOI,MACAO,GGG-G,1,1,VOI,MACHO,GGGGG,0,0,VOI
41,LOPEZ,True,4,AFTER,---G-,4,4,LLM,COULD,-G-Y-,4,4,LLM,POLES,YGYG-,3,3,VOI,LOPEZ,GGGGG,0,0,VOI,,,,,,,,,,
42,GOODY,True,4,AFTER,-----,5,5,LLM,COULD,-G--Y,4,4,LLM,WOODS,-GGG-,2,2,VOI,GOODY,GGGGG,0,0,VOI,,,,,,,,,,
43,BROTH,True,6,CRATE,-G-G-,3,3,LLM,GUESS,-----,5,5,LLM,FRITZ,-G-G-,3,3,VOI,PROTO,-GGG-,2,2,VOI,TROTT,-GGG-,2,2,VOI,BROTH,GGGGG,0,0,VOI
44,VERDE,True,3,GUESS,--Y--,5,5,LLM,WORDY,--GG-,3,3,LLM,VERDE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
45,TAMED,True,4,LATER,-GYG-,3,3,LLM,TAPED,GG-GG,1,1,LLM,TAXED,GG-GG,1,1,VOI,TAMED,GGGGG,0,0,VOI,,,,,,,,,,
46,LEAFS,True,4,GUESS,--Y-G,4,4,LLM,WOULD,---Y-,5,5,LLM,LEAPS,GGG-G,1,1,VOI,LEAFS,GGGGG,0,0,VOI,,,,,,,,,,
47,YACHT,True,3,LUMPS,-----,5,5,LLM,CRONY,Y---Y,5,5,LLM,YACHT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
48,MESSY,True,3,GUESS,--YGY,4,3,LLM,MESSI,GGGG-,1,1,LLM,MESSY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
49,RYDER,True,3,BASED,---GY,4,4,LLM,RIDER,G-GGG,1,1,LLM,RYDER,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
50,MOTIF,True,4,GUESS,-----,5,5,LLM,WHICH,--Y--,5,5,LLM,MINTY,GY-Y-,4,4,VOI,MOTIF,GGGGG,0,0,VOI,,,,,,,,,,
51,RAVEN,True,5,CRATE,-YY-Y,5,3,LLM,SALET,-G-G-,3,3,LLM,GAMER,-G-GY,3,3,VOI,PARED,-GYG-,3,3,VOI,RAVEN,GGGGG,0,0,VOI,,,,,
52,REICH,True,5,GUESS,--Y--,5,5,LLM,BASED,---Y-,5,5,LLM,PRONE,-Y--Y,5,5,VOI,MERIT,-GYY-,4,4,VOI,REICH,GGGGG,0,0,VOI,,,,,
53,ICONS,True,4,WOULD,-Y---,5,5,LLM,GUESS,----G,4,4,LLM,OMITS,Y-Y-G,4,4,VOI,ICONS,GGGGG,0,0,VOI,,,,,,,,,,
54,SILKY,True,6,GIVEN,-G---,4,4,LLM,AGREE,-----,5,5,LLM,TIMMY,-G--G,3,3,VOI,FIZZY,-G--G,3,3,VOI,BIXBY,-G--G,3,3,VOI,SILKY,GGGGG,0,0,VOI
55,CARVE,True,4,GUESS,--Y--,5,5,LLM,PLACE,--YYG,4,4,LLM,MCRAE,-YGYG,3,3,VOI,CARVE,GGGGG,0,0,VOI,,,,,,,,,,
56,LAGER,True,6,MIGHT,--G--,4,4,LLM,GUESS,Y-Y--,5,5,LLM,PAGER,-GGGG,1,1,VOI,EAGER,-GGGG,1,1,VOI,WAGER,-GGGG,1,1,VOI,LAGER,GGGGG,0,0,VOI
57,JERKS,True,6,WHICH,-----,5,5,LLM,BASED,--YY-,5,5,LLM,SLEPT,Y-Y--,5,5,VOI,ROUSE,Y--YY,5,5,VOI,GERMS,-GG-G,2,2,VOI,JERKS,GGGGG,0,0,VOI
58,LOTUS,True,4,TROVE,Y-Y--,5,5,LLM,GUESS,-Y--G,4,4,LLM,BOUTS,-GYYG,3,3,VOI,LOTUS,GGGGG,0,0,VOI,,,,,,,,,,
59,LACEY,True,4,CHOSE,Y---Y,5,5,LLM,FACET,-GGG-,2,2,LLM,LACED,GGGG-,1,1,VOI,LACEY,GGGGG,0,0,VOI,,,,,,,,,,
60,TUDOR,True,4,OFTEN,Y-Y--,5,5,LLM,ENDOW,--GG-,3,3,LLM,TODOS,G-GG-,2,2,VOI,TUDOR,GGGGG,0,0,VOI,,,,,,,,,,
61,QUOTA,True,3,GUESS,-G---,4,4,LLM,BASTE,-Y-G-,4,4,LLM,QUOTA,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
62,MOURN,True,4,GUESS,-Y---,5,5,LLM,WOULD,-GG--,3,3,LLM,MOUTH,GGG--,2,2,VOI,MOURN,GGGGG,0,0,VOI,,,,,,,,,,
63,PROMO,True,5,AFTER,----Y,5,5,LLM,LETCH,-----,5,5,LLM,MOURN,YY-Y-,5,5,VOI,PROMS,GGGG-,1,1,VOI,PROMO,GGGGG,0,0,VOI,,,,,
64,CASTE,True,5,BASED,-GGY-,3,3,LLM,TASTE,-GGGG,1,1,LLM,HASTE,-GGGG,1,1,VOI,WASTE,-GGGG,1,1,VOI,CASTE,GGGGG,0,0,VOI,,,,,
65,CAPRI,True,5,GUESS,-----,5,5,LLM,LETER,----Y,5,5,LLM,PROMO,YY---,5,5,VOI,RAPID,YGGY-,3,3,VOI,CAPRI,GGGGG,0,0,VOI,,,,,
66,ALIAS,True,5,CRATE,--Y--,5,5,LLM,LATER,YY---,5,5,LLM,USUAL,-Y-GY,4,4,VOI,SILAS,-YYGG,3,3,VOI,ALIAS,GGGGG,0,0,VOI,,,,,
67,PADDY,True,6,GUESS,-----,5,5,LLM,BROAD,---YY,5,5,LLM,ADVIL,YY---,5,4,VOI,HAYDN,-GYG-,3,3,VOI,MADDY,-GGGG,1,1,VOI,PADDY,GGGGG,0,0,VOI
68,BLOBS,True,6,GUESS,----G,4,4,LLM,GIVEN,-----,5,5,LLM,TODOS,-Y--G,4,4,VOI,PROMS,--G-G,3,3,VOI,FLOWS,-GG-G,2,2,VOI,BLOBS,GGGGG,0,0,VOI
69,DILLY,True,3,AFTER,-----,5,5,LLM,COULD,---GY,4,4,LLM,DILLY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
70,GUTSY,True,4,BASED,--Y--,5,5,LLM,FIRST,---GY,4,4,LLM,TOPSY,Y--GG,3,3,VOI,GUTSY,GGGGG,0,0,VOI,,,,,,,,,,
71,TABOR,False,6,SHOWN,--Y--,5,5,LLM,COULD,-Y---,5,5,LLM,AMIGO,Y---Y,5,5,VOI,OPERA,Y--YY,5,5,VOI,FAVOR,-G-GG,2,2,VOI,RAZOR,-G-GG,2,2,VOI
72,INLAY,True,4,GUESS,-----,5,5,LLM,COULD,---Y-,5,5,LLM,IQBAL,G--GY,3,3,VOI,INLAY,GGGGG,0,0,VOI,,,,,,,,,,
73,AHHHH,True,3,GUESS,-----,5,5,LLM,WHICH,-G--G,3,3,LLM,AHHHH,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
74,ROUEN,True,3,GUESS,-YY--,5,4,LLM,RECUR,GY-Y-,4,4,LLM,ROUEN,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
75,BUENA,True,4,GUESS,-GG--,3,3,LLM,QUELL,-GG--,3,3,LLM,BUENO,GGGG-,1,1,VOI,BUENA,GGGGG,0,0,VOI,,,,,,,,,,
76,MENON,True,5,GIVEN,---YG,4,4,LLM,RECON,-G-GG,2,2,LLM,SETON,-G-GG,2,2,VOI,LEMON,-GYGG,2,2,VOI,MENON,GGGGG,0,0,VOI,,,,,
77,TRASK,True,3,GUESS,---G-,4,4,LLM,CLASH,--GG-,3,3,LLM,TRASK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
78,CASIO,True,5,BASED,-GG--,3,3,LLM,HASTY,-GG--,3,3,LLM,MASAI,-GG-Y,3,3,VOI,OASIS,YGGG-,2,2,VOI,CASIO,GGGGG,0,0,VOI,,,,,
79,VOILA,True,4,GUESS,-----,5,5,LLM,WHICH,--G--,4,4,LLM,PRIMO,--G-Y,4,4,VOI,VOILA,GGGGG,0,0,VOI,,,,,,,,,,
80,AURAL,True,6,GUESS,-G---,4,4,LLM,BASED,-Y---,5,5,LLM,QUOTA,-G--Y,4,4,VOI,HUMAN,-G-G-,3,3,VOI,RURAL,-GGGG,1,1,VOI,AURAL,GGGGG,0,0,VOI
81,LEGER,True,3,BASED,---G-,4,4,LLM,GRIEF,YY-G-,4,4,LLM,LEGER,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
82,DALLY,True,5,GUESS,-----,5,5,LLM,SALET,-GG--,3,3,LLM,PALIN,-GG--,3,3,VOI,BALMY,-GG-G,2,2,VOI,DALLY,GGGGG,0,0,VOI,,,,,
83,INIGO,True,4,GUESS,Y----,5,5,LLM,POUND,-Y-Y-,5,5,LLM,ANGLO,-GY-G,3,3,VOI,INIGO,GGGGG,0,0,VOI,,,,,,,,,,
84,KRILL,True,6,COULD,---G-,4,4,LLM,GUESS,-----,5,5,LLM,LALLY,Y--G-,4,4,VOI,TRILL,-GGGG,1,1,VOI,BRILL,-GGGG,1,1,VOI,KRILL,GGGGG,0,0,VOI
85,SNIDE,True,3,GIVEN,-Y-YY,5,4,LLM,DENIM,YYYY-,5,4,LLM,SNIDE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
86,LEWES,True,5,GIVEN,---G-,4,4,LLM,GUESS,--Y-G,4,4,LLM,COLES,--YGG,3,3,VOI,LAKES,G--GG,2,2,VOI,LEWES,GGGGG,0,0,VOI,,,,,
87,TAMER,True,4,GUESS,--Y--,5,5,LLM,OFTEN,--YG-,4,4,LLM,TAMED,GGGG-,1,1,VOI,TAMER,GGGGG,0,0,VOI,,,,,,,,,,
88,COTTA,False,6,GUESS,-----,5,5,LLM,ERASE,--Y--,5,5,LLM,DALLY,-Y---,5,5,VOI,AHHHH,Y----,5,5,VOI,PIZZA,----G,4,4,VOI,COMMA,GG--G,2,2,VOI
89,CORBY,True,6,GIVEN,-----,5,5,LLM,COULD,GG---,3,3,LLM,COCOA,GG---,3,3,VOI,COSTS,GG---,3,3,VOI,CORKY,GGG-G,1,1,VOI,CORBY,GGGGG,0,0,VOI
90,POLIS,True,5,CRACK,-----,5,5,LLM,GUESS,----G,4,4,LLM,TODOS,-G--G,3,3,VOI,BOWLS,-G-YG,3,3,VOI,POLIS,GGGGG,0,0,VOI,,,,,
