game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,HOUSE,YY---,5,4,LLM,MAHON,--YY-,5,4,LLM,BROTH,--GGY,3,3,LLM,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,HOUSE,-----,5,5,LLM,STICK,-Y---,5,5,LLM,MARTY,-GGGG,1,1,LLM,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,5,HOUSE,-----,5,5,LLM,STAGE,-Y---,5,5,LLM,TRITT,GGG--,2,2,LLM,TRIPP,GGG--,2,2,VOI,TRICK,GGGGG,0,0,VOI,,,,,
4,DIRTY,True,5,HOUSE,-----,5,5,LLM,STAMP,-Y---,5,5,LLM,BITTY,-G-GG,2,2,LLM,NIFTY,-G-GG,2,2,VOI,DIRTY,GGGGG,0,0,VOI,,,,,
5,USUAL,True,4,HOUSE,--GY-,4,4,LLM,STUBS,Y-G--,4,4,LLM,ASUKA,YGG--,3,3,LLM,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,4,HOUSE,--G--,4,4,LLM,VAULT,--GGY,3,3,LLM,TRAIL,GG--Y,3,3,LLM,TRULY,GGGGG,0,0,VOI,,,,,,,,,,
7,SPENT,True,5,HOUSE,---YY,5,5,LLM,STAGE,GY--Y,4,4,LLM,SECTS,GY-Y-,4,3,LLM,SPELT,GGG-G,1,1,VOI,SPENT,GGGGG,0,0,VOI,,,,,
8,PAUSE,True,2,HOUSE,--GGG,2,2,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,6,HOUSE,-----,5,5,LLM,STAMP,--G--,4,4,LLM,GRAIL,-GG--,3,3,LLM,DRANK,-GG--,3,3,VOI,CRABB,GGG--,2,2,VOI,CRAZY,GGGGG,0,0,VOI
10,BASES,True,6,HOUSE,---YY,5,4,LLM,STORM,Y----,5,5,LLM,STAGE,Y-Y-Y,5,4,LLM,CASED,-GGG-,2,2,VOI,EASES,-GGGG,1,1,VOI,BASES,GGGGG,0,0,VOI
11,YOUNG,True,3,HOUSE,-GG--,3,3,LLM,COULD,-GG--,3,3,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
12,MEANS,False,6,HOUSE,---YY,5,5,LLM,STAGE,Y-G-Y,4,4,LLM,PEARS,-GG-G,2,2,LLM,LEADS,-GG-G,2,2,VOI,JEANS,-GGGG,1,1,VOI,BEANS,-GGGG,1,1,VOI
13,TRUTH,True,4,HOUSE,Y-G--,4,4,LLM,CHUNK,-YG--,4,4,LLM,WAUGH,--G-G,3,3,LLM,TRUTH,GGGGG,0,0,VOI,,,,,,,,,,
14,FIRED,False,6,HOUSE,----Y,5,5,LLM,STAMP,-----,5,5,LLM,STEAD,--Y-G,4,4,LLM,DINED,-G-GG,2,2,VOI,FILED,GG-GG,1,1,VOI,FIXED,GG-GG,1,1,VOI
15,FOLKS,True,5,HOUSE,-G-Y-,4,4,LLM,STAGE,Y----,5,5,LLM,COOLS,-G-YG,3,3,LLM,FOLDS,GGG-G,1,1,VOI,FOLKS,GGGGG,0,0,VOI,,,,,
16,CHILE,True,3,HOUSE,Y---G,4,4,LLM,WHILE,-GGGG,1,1,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
17,BLACK,True,4,HOUSE,-----,5,5,LLM,STAMP,--G--,4,4,LLM,GRAIN,--G--,4,4,LLM,BLACK,GGGGG,0,0,VOI,,,,,,,,,,
18,GRANT,True,5,HOUSE,-----,5,5,LLM,BREAD,-G-Y-,4,4,LLM,GRAFF,GGG--,2,2,LLM,GRAIN,GGG-Y,2,2,VOI,GRANT,GGGGG,0,0,VOI,,,,,
19,MEALS,True,4,HOUSE,---YY,5,5,LLM,STORM,Y---Y,5,5,LLM,MEANS,GGG-G,1,1,LLM,MEALS,GGGGG,0,0,VOI,,,,,,,,,,
20,CREAM,True,5,HOUSE,----Y,5,5,LLM,STAGE,--Y-Y,5,5,LLM,PRIDE,-G--Y,4,4,LLM,BREAM,-GGGG,1,1,VOI,CREAM,GGGGG,0,0,VOI,,,,,
21,AWAKE,True,6,HOUSE,----G,4,4,LLM,STAMP,--G--,4,4,LLM,LEAVE,--G-G,3,3,LLM,GRACE,--G-G,3,3,VOI,INANE,--G-G,3,3,VOI,AWAKE,GGGGG,0,0,VOI
22,OCCUR,True,4,HOUSE,-YY--,5,5,LLM,AUDIO,-Y--Y,5,5,LLM,FLOUR,--YGG,3,3,LLM,OCCUR,GGGGG,0,0,VOI,,,,,,,,,,
23,YEARS,True,6,HOUSE,---YY,5,5,LLM,TABLE,-Y--Y,5,5,LLM,SEARS,-GGGG,1,1,LLM,FEARS,-GGGG,1,1,VOI,WEARS,-GGGG,1,1,VOI,YEARS,GGGGG,0,0,VOI
24,GRADE,True,4,HOUSE,----G,4,4,LLM,STAGE,--GYG,3,3,LLM,AGRAE,YYY-G,4,2,LLM,GRADE,GGGGG,0,0,VOI,,,,,,,,,,
25,CHILL,True,3,HOUSE,Y----,5,5,LLM,STAMP,-----,5,5,LLM,CHILL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
26,FLOOD,True,5,HOUSE,-Y---,5,5,LLM,STAGE,-----,5,5,LLM,BROCK,--G--,4,4,LLM,LLOYD,-GG-G,2,2,VOI,FLOOD,GGGGG,0,0,VOI,,,,,
27,APPLY,True,6,HOUSE,-----,5,5,LLM,STORM,-----,5,5,LLM,TASTE,-Y---,5,5,LLM,BLACK,-YY--,5,5,VOI,VILLA,---GY,4,4,VOI,APPLY,GGGGG,0,0,VOI
28,SMILE,True,4,HOUSE,---YG,4,4,LLM,SPIRE,G-G-G,2,2,LLM,SLIME,GYGYG,2,2,LLM,SMILE,GGGGG,0,0,VOI,,,,,,,,,,
29,KNOCK,True,5,HOUSE,-Y---,5,5,LLM,STAMP,-----,5,5,LLM,CLOCK,--GGG,2,2,LLM,BROCK,--GGG,2,2,VOI,KNOCK,GGGGG,0,0,VOI,,,,,
30,SLEEP,True,6,HOUSE,---YY,5,5,LLM,BIRTH,-----,5,5,LLM,STICK,G----,4,4,LLM,SEDAN,GY---,4,4,VOI,SWEEP,G-GGG,1,1,VOI,SLEEP,GGGGG,0,0,VOI
31,BRICK,True,4,HOUSE,-----,5,5,LLM,STAGE,-----,5,5,LLM,BRILL,GGG--,2,2,LLM,BRICK,GGGGG,0,0,VOI,,,,,,,,,,
32,WROTE,True,5,HOUSE,-Y--G,4,4,LLM,GLOBE,--G-G,3,3,LLM,PRONE,-GG-G,2,2,LLM,CROWE,-GGYG,2,2,VOI,WROTE,GGGGG,0,0,VOI,,,,,
33,RATED,True,4,HOUSE,----Y,5,5,LLM,STAGE,-YY-Y,5,4,LLM,TAKER,YG-GY,3,3,LLM,RATED,GGGGG,0,0,VOI,,,,,,,,,,
34,ALERT,True,4,HOUSE,----Y,5,5,LLM,BREAD,-YGY-,4,4,LLM,AVERT,G-GGG,1,1,LLM,ALERT,GGGGG,0,0,VOI,,,,,,,,,,
