game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,SALIM,-----,5,5,LLM,TONER,YY---,5,5,LLM,KYOTO,--GGG,2,2,LLM,PHOTO,GGGGG,0,0,VOI,,,,,,,,,,
2,PARTY,True,4,RATES,YGY--,4,4,LLM,MARTI,-GGG-,2,2,LLM,GARTH,-GGG-,2,2,LLM,PARTY,GGGGG,0,0,VOI,,,,,,,,,,
3,TRICK,True,3,AISLE,-Y---,5,5,LLM,TONIC,G--YY,4,3,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
4,DIRTY,True,4,TEARS,Y--Y-,5,5,LLM,FRITZ,-YYG-,4,4,LLM,WIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,VOI,,,,,,,,,,
5,USUAL,True,4,AROSE,Y--Y-,5,5,LLM,TAILS,-Y-YY,5,5,LLM,SLANG,YYY--,5,4,LLM,USUAL,GGGGG,0,0,VOI,,,,,,,,,,
6,TRULY,True,5,AIRES,--Y--,5,5,LLM,GROOT,-G--Y,4,4,LLM,TRUCK,GGG--,2,2,LLM,TRUDY,GGG-G,1,1,VOI,TRULY,GGGGG,0,0,VOI,,,,,
7,SPENT,True,4,AROSE,---YY,5,5,LLM,SLEET,G-G-G,2,2,LLM,SCENT,G-GGG,1,1,LLM,SPENT,GGGGG,0,0,VOI,,,,,,,,,,
8,PAUSE,True,3,AISLE,Y-Y-G,4,3,LLM,SPATE,YYY-G,4,3,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,4,LASER,-Y--Y,5,5,LLM,DRAIN,-GG--,3,3,LLM,TRACY,-GGYG,2,2,LLM,CRAZY,GGGGG,0,0,VOI,,,,,,,,,,
10,BASES,False,6,SIENA,Y-Y-Y,5,5,LLM,PAUSE,-G-YY,4,3,LLM,EARLS,YG--G,3,3,LLM,MATES,-G-GG,2,2,VOI,WAVES,-G-GG,2,2,VOI,CAKES,-G-GG,2,2,VOI
11,YOUNG,True,4,RAISE,-----,5,5,LLM,PHOTO,--Y--,5,5,LLM,BOUND,-GGG-,2,2,LLM,YOUNG,GGGGG,0,0,VOI,,,,,,,,,,
12,MEANS,True,3,REALS,-GG-G,2,2,LLM,TEAMS,-GGYG,2,2,LLM,MEANS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
