game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,6,ARIES,-----,5,5,CSS,ADIEU,-----,5,5,LLM,OUTRE,Y-Y--,5,5,LLM,WOULD,-Y---,5,5,LLM,KNOTT,--GG-,3,3,LLM,PHOTO,GGGGG,0,0,LLM
2,PARTY,True,4,EARNS,-GG--,3,3,CSS,TAROT,YGG--,3,3,LLM,MARTY,-GGGG,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,4,RANTS,Y--Y-,5,5,CSS,GREAT,-G--Y,4,4,LLM,TROLL,GG---,3,3,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,3,MENSA,-----,5,5,CSS,TREND,YY--Y,5,5,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,4,CARNE,-Y---,5,5,CSS,GUESS,-Y-Y-,5,5,LLM,SQUAW,Y-GG-,3,3,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,6,RAILS,Y--G-,4,4,CSS,TROLL,GG-G-,2,2,LLM,GUESS,-Y---,5,5,LLM,TRAPS,GG---,3,3,LLM,TRYUL,GGYYY,3,2,LLM,TRULY,GGGGG,0,0,LLM
7,SPENT,True,4,SLATE,G--YY,4,4,CSS,SITES,G-YY-,4,4,LLM,STEPN,GYGYY,3,3,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,3,ROSEN,--YY-,5,4,CSS,GUESS,-YYG-,4,4,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,6,RAINS,YY---,5,4,CSS,TEALS,--G--,4,4,LLM,GUARD,--GY-,4,4,LLM,CRACK,GGG--,2,2,LLM,CRABB,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM
10,BASES,True,4,CARNE,-G--Y,4,4,CSS,ABATE,YY--Y,5,3,LLM,BASED,GGGG-,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,,,,,,
