game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,SAINT,----Y,5,5,CSS,TOURE,YY---,5,5,CSS,CLOTH,--GGY,3,3,CSS,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,4,TONES,Y----,5,5,CSS,FILTH,---G-,4,4,CSS,MARTY,-GGGG,1,1,CSS,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,4,STORE,-Y-Y-,5,5,CSS,TRAIT,GG-Y-,3,3,CSS,TRIPP,GGG--,2,2,CSS,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,3,DRIES,GYY--,4,4,CSS,DINAR,GG--Y,3,3,CSS,DIRTY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
5,USUAL,True,4,TRIES,----Y,5,5,CSS,SHONA,Y---Y,5,5,CSS,PALSY,-YYY-,5,5,CSS,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,3,SALON,--Y--,5,5,CSS,LITRE,Y-YY-,5,5,CSS,TRULY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
7,SPENT,True,4,SATIN,G-Y-Y,4,4,CSS,STUNT,G--GG,2,2,CSS,SCENT,G-GGG,1,1,CSS,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,3,ARISE,Y--GG,3,3,CSS,LAPSE,-GYGG,2,2,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,False,6,LOIRE,---Y-,5,5,CSS,DARTS,-YY--,5,5,CSS,BRAUN,-GG--,3,3,CSS,GRAFF,-GG--,3,3,LLM,CRACK,GGG--,2,2,LLM,CRAMP,GGG--,2,2,LLM
10,BASES,True,5,TRIES,---GG,3,3,CSS,MALES,-G-GG,2,2,CSS,CASES,-GGGG,1,1,CSS,EASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM,,,,,
11,YOUNG,True,4,AILES,-----,5,5,CSS,THORN,--Y-Y,5,4,CSS,MUNDO,-YY-Y,5,4,CSS,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,4,CADRE,-Y--Y,5,5,CSS,TESLA,-GY-Y,4,4,CSS,BEAMS,-GGYG,2,2,CSS,MEANS,GGGGG,0,0,LLM,,,,,,,,,,
13,TRUTH,True,5,LITER,--Y-Y,5,5,CSS,TORUS,G-YY-,4,3,CSS,TRUNK,GGG--,2,2,CSS,TRUDY,GGG--,2,2,LLM,TRUTH,GGGGG,0,0,LLM,,,,,
14,FIRED,True,5,PARSE,--G-Y,4,4,CSS,DERRY,YYG--,4,4,CSS,MIRED,-GGGG,1,1,CSS,HIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM,,,,,
15,FOLKS,True,4,AIRES,----G,4,4,CSS,PLOTS,-YY-G,4,4,CSS,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,
16,CHILE,True,3,ARIES,--GY-,4,4,CSS,CLINE,GYG-G,2,2,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
17,BLACK,True,3,SAUER,-Y---,5,5,CSS,ALAIN,-GG--,3,3,CSS,BLACK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
18,GRANT,True,3,YATES,-YY--,5,5,CSS,TRAIT,-GG-G,2,2,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
19,MEALS,True,5,ALONE,YY--Y,5,5,CSS,LEADS,YGG-G,2,2,CSS,REALS,-GGGG,1,1,CSS,HEALS,-GGGG,1,1,LLM,MEALS,GGGGG,0,0,LLM,,,,,
20,CREAM,True,3,CARES,GYYY-,4,3,CSS,CRAVE,GGY-Y,3,3,CSS,CREAM,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
21,AWAKE,True,5,EARNS,YY---,5,5,CSS,LEACH,-YG--,4,4,CSS,AGATE,G-G-G,2,2,CSS,AMAZE,G-G-G,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,
22,OCCUR,True,3,EARLS,--Y--,5,5,CSS,ORION,GY---,4,4,CSS,OCCUR,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
23,YEARS,False,6,COALS,--G-G,3,3,CSS,TRAMS,-YG-G,3,3,CSS,SEARS,-GGGG,1,1,CSS,GUESS,--Y-G,4,4,LLM,REARS,-GGGG,1,1,LLM,FEARS,-GGGG,1,1,LLM
24,GRADE,True,3,RANCE,YY--G,4,3,CSS,GRATE,GGG-G,1,1,CSS,GRADE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
25,CHILL,True,4,REALS,---G-,4,4,CSS,DOLLY,--YG-,4,4,CSS,QUILL,--GGG,2,2,CSS,CHILL,GGGGG,0,0,LLM,,,,,,,,,,
26,FLOOD,True,4,AROSE,--G--,4,4,CSS,GOOCH,-YG--,4,4,CSS,BLOOD,-GGGG,1,1,CSS,FLOOD,GGGGG,0,0,LLM,,,,,,,,,,
27,APPLY,True,4,LIARS,Y-Y--,5,5,CSS,CALLE,-Y-G-,4,4,CSS,ADULT,G--G-,3,3,CSS,APPLY,GGGGG,0,0,LLM,,,,,,,,,,
28,SMILE,True,4,LEADS,YY--Y,5,5,CSS,SLEPT,GYY--,4,4,CSS,SOLVE,G-Y-G,3,3,CSS,SMILE,GGGGG,0,0,LLM,,,,,,,,,,
29,KNOCK,True,3,SIENA,---Y-,5,5,CSS,CONOR,YYY--,5,4,CSS,KNOCK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
30,SLEEP,True,4,RENTS,-Y--Y,5,5,CSS,SLADE,GG--Y,3,3,CSS,SLEEK,GGGG-,1,1,CSS,SLEEP,GGGGG,0,0,LLM,,,,,,,,,,
