game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,AIRES,-----,5,5,CSS,LOOPY,-YGY-,4,4,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
2,PARTY,True,5,HEARS,--YY-,5,4,CSS,MARIN,-GG--,3,3,CSS,DARLA,-GG--,3,3,CSS,FARGO,-GG--,3,3,LLM,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,True,3,MEANS,-----,5,5,CSS,COURT,Y--YY,5,5,CSS,TRICK,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
4,DIRTY,True,4,SAUER,----Y,5,5,CSS,BORNO,--G--,4,4,CSS,FIRTH,-GGG-,2,2,CSS,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,4,TIERS,----Y,5,5,CSS,SALON,YYY--,5,4,CSS,FLASH,-YYY-,5,5,CSS,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,4,TIRES,G-Y--,4,4,CSS,TUTOR,GY--Y,4,4,CSS,TRUDY,GGG-G,1,1,CSS,TRULY,GGGGG,0,0,LLM,,,,,,,,,,
7,SPENT,True,3,TASER,Y-YY-,5,5,CSS,STEPS,GYGY-,3,3,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
8,PAUSE,True,3,ARIES,Y--YY,5,4,CSS,STALE,Y-Y-G,4,4,CSS,PAUSE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
9,CRAZY,False,6,AIRES,Y-Y--,5,5,CSS,CROAT,GG-Y-,3,3,CSS,CRACK,GGG--,2,2,CSS,CRAMP,GGG--,2,2,LLM,CRAWL,GGG--,2,2,LLM,CRABB,GGG--,2,2,LLM
10,BASES,False,6,MENSA,-Y-YY,5,5,CSS,TALES,-G-GG,2,2,CSS,RACES,-G-GG,2,2,CSS,SAGES,YG-GG,2,2,LLM,EASES,-GGGG,1,1,LLM,VASES,-GGGG,1,1,LLM
11,YOUNG,True,4,HIRES,-----,5,5,CSS,MANLY,--Y-Y,5,5,CSS,YUKON,GY-YY,4,4,CSS,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,2,LANES,-YYYG,4,3,CSS,MEANS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
13,TRUTH,True,3,SMITE,---G-,4,4,CSS,LOTTA,--YG-,4,4,CSS,TRUTH,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
14,FIRED,True,3,HEART,-Y-Y-,5,5,CSS,SIRED,-GGGG,1,1,CSS,FIRED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
15,FOLKS,True,4,ARNIE,-----,5,5,CSS,LOTUS,YG--G,3,3,CSS,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,
16,CHILE,True,3,PALES,--YY-,5,4,CSS,CLINE,GYG-G,2,2,CSS,CHILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
17,BLACK,True,4,LANES,YY---,5,4,CSS,ALTAR,YG---,4,4,CSS,FLACK,-GGGG,1,1,CSS,BLACK,GGGGG,0,0,LLM,,,,,,,,,,
18,GRANT,True,3,NOTES,Y-Y--,5,5,CSS,TRINA,YG-GY,3,3,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
19,MEALS,True,3,LAINE,YY--Y,5,5,CSS,MEDAL,GG-YY,3,2,CSS,MEALS,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
20,CREAM,True,3,SHORE,---YY,5,5,CSS,CLEAR,G-GGY,2,2,CSS,CREAM,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
21,AWAKE,True,4,STAIR,--G--,4,4,CSS,CLANK,--G-Y,4,4,CSS,QUAKE,--GGG,2,2,CSS,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,
22,OCCUR,True,4,LOSER,-Y--G,4,4,CSS,ARMOR,---YG,4,4,CSS,CHOIR,Y-Y-G,4,4,CSS,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,True,6,NEARS,-GGGG,1,1,CSS,BEARS,-GGGG,1,1,CSS,REARS,-GGGG,1,1,CSS,HEARS,-GGGG,1,1,LLM,PEARS,-GGGG,1,1,LLM,YEARS,GGGGG,0,0,LLM
24,GRADE,True,3,BALES,-Y-Y-,5,4,CSS,TRADE,-GGGG,1,1,CSS,GRADE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
25,CHILL,True,3,ARTIE,---Y-,5,5,CSS,LINKS,YY---,5,5,CSS,CHILL,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
26,FLOOD,True,5,MALES,--Y--,5,5,CSS,GLORY,-GG--,3,3,CSS,BLOCH,-GG--,3,3,CSS,FLOWN,GGG--,2,2,LLM,FLOOD,GGGGG,0,0,LLM,,,,,
27,APPLY,True,4,TONES,-----,5,5,CSS,PLAID,YYY--,5,5,CSS,AMPLY,G-GGG,1,1,CSS,APPLY,GGGGG,0,0,LLM,,,,,,,,,,
28,SMILE,True,3,TAILS,--GGY,3,3,CSS,SKILL,G-GG-,2,2,CSS,SMILE,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
29,KNOCK,True,4,ARIES,-----,5,5,CSS,LOONY,--GY-,4,4,CSS,KNOPF,GGG--,2,2,CSS,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,
30,SLEEP,True,3,ARIEL,---GY,4,4,CSS,POLES,Y-YGY,4,4,CSS,SLEEP,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
31,BRICK,True,5,LIARS,-Y-Y-,5,5,CSS,TRIED,-GG--,3,3,CSS,CRIMP,YGG--,3,3,CSS,FRICK,-GGGG,1,1,LLM,BRICK,GGGGG,0,0,LLM,,,,,
32,WROTE,True,4,CONDE,-Y--G,4,4,CSS,STORE,-YGYG,3,3,CSS,TROPE,YGG-G,2,2,CSS,WROTE,GGGGG,0,0,LLM,,,,,,,,,,
33,RATED,True,3,CANES,-G-G-,3,3,CSS,LATER,-GGGY,2,2,CSS,RATED,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
34,ALERT,True,3,AROSE,GY--Y,4,4,CSS,ADLER,G-YYY,4,2,CSS,ALERT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
35,CAGES,False,6,LEANS,-YY-G,4,4,CSS,CARES,GG-GG,1,1,CSS,CASES,GG-GG,1,1,CSS,CATES,GG-GG,1,1,LLM,CAFES,GG-GG,1,1,LLM,CAPES,GG-GG,1,1,LLM
36,TEDDY,True,3,NEARS,-G---,4,4,CSS,LEYTE,-GYY-,4,4,CSS,TEDDY,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
37,COLES,True,3,SCARE,YY--Y,5,4,CSS,CELTS,GYG-G,2,2,CSS,COLES,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
38,HWANG,True,4,NORSE,Y----,5,5,CSS,TANIA,-YY--,5,4,CSS,CHANG,-YGGG,2,2,CSS,HWANG,GGGGG,0,0,LLM,,,,,,,,,,
39,WRATH,True,5,ALONE,Y----,5,5,CSS,SACRA,-Y-Y-,5,5,CSS,TRIAD,YG-Y-,4,4,CSS,GRAFT,-GG-Y,3,3,LLM,WRATH,GGGGG,0,0,LLM,,,,,
40,MACHO,True,4,MARIS,GG---,3,3,CSS,MAYAN,GG---,3,3,CSS,MATED,GG---,3,3,CSS,MACHO,GGGGG,0,0,LLM,,,,,,,,,,
