game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,NORSE,-Y---,5,5,CSS,ALTHO,--YYG,4,4,CSS,PHOTO,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
2,PARTY,True,5,ROLES,Y----,5,5,CSS,DARIA,-GG--,3,3,CSS,MARCH,-GG--,3,3,CSS,PARRY,GGG-G,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,True,4,TONES,G----,4,4,CSS,TRIAL,GGG--,2,2,CSS,TRIPP,GGG--,2,2,CSS,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,4,RATES,Y-Y--,5,5,CSS,TROUT,YY---,5,5,CSS,FIRTH,-GGG-,2,2,CSS,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,4,RINSE,---Y-,5,5,CSS,CLOTS,-Y--Y,5,5,CSS,SALMA,YYY--,5,4,CSS,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,4,SOREN,--Y--,5,5,CSS,TIARA,G--Y-,4,4,CSS,TRUDY,GGG-G,1,1,CSS,TRULY,GGGGG,0,0,LLM,,,,,,,,,,
7,SPENT,True,3,SNIDE,GY--Y,4,4,CSS,STERN,GYG-Y,3,3,CSS,SPENT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
8,PAUSE,True,4,TEARS,-YY-Y,5,4,CSS,SALEH,YG-Y-,4,4,CSS,CAUSE,-GGGG,1,1,CSS,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,
9,CRAZY,True,5,READS,Y-G--,4,4,CSS,TRACI,-GGY-,3,3,CSS,FRANC,-GG-Y,3,3,CSS,CRAMP,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM,,,,,
10,BASES,True,3,TEARS,-YY-G,4,4,CSS,SALES,YG-GG,2,2,CSS,BASES,GGGGG,0,0,CSS,,,,,,,,,,,,,,,
11,YOUNG,True,4,SNARE,-Y---,5,5,CSS,LINGO,--YYY,5,4,CSS,CHONG,--YGG,3,3,CSS,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,5,TASER,-YYY-,5,5,CSS,LEANS,-GGGG,1,1,CSS,DEANS,-GGGG,1,1,CSS,BEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,
13,TRUTH,True,4,TENOR,G---Y,4,4,CSS,TRAPS,GG---,3,3,CSS,TRULY,GGG--,2,2,CSS,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,
14,FIRED,True,5,MARNE,--G-Y,4,4,CSS,HEROS,-YG--,4,4,CSS,WIRED,-GGGG,1,1,CSS,TIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM,,,,,
15,FOLKS,True,4,STAIR,Y----,5,5,CSS,HOLES,-GG-G,2,2,CSS,FOLDS,GGG-G,1,1,CSS,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,
16,CHILE,True,6,NEARS,-Y---,5,5,CSS,OILED,-YYY-,5,3,CSS,EXILE,--GGG,2,2,CSS,GUILE,--GGG,2,2,LLM,WHILE,-GGGG,1,1,LLM,CHILE,GGGGG,0,0,LLM
17,BLACK,True,5,SADIE,-Y---,5,5,CSS,LORNA,Y---Y,5,5,CSS,ALKYL,YGY--,4,4,CSS,CLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0,0,LLM,,,,,
18,GRANT,True,2,REINS,Y--G-,4,4,CSS,GRANT,GGGGG,0,0,CSS,,,,,,,,,,,,,,,,,,,,
