game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,BAILS,-----,5,5,VOI,CRANE,-----,5,5,LLM,DOUBT,-Y--Y,5,5,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,5,TASER,YG--Y,4,4,VOI,CARAT,-GG-Y,3,3,LLM,DARTH,-GGG-,2,2,LLM,MARTY,-GGGG,1,1,LLM,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,True,4,ARISE,-GG--,3,3,VOI,PRINT,-GG-Y,3,3,LLM,FRITZ,-GGY-,3,3,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,4,RAISE,Y-Y--,5,5,VOI,LYRIC,-YGY-,4,4,LLM,KIRBY,-GG-G,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,4,EARLS,-Y-YY,5,5,VOI,FLASH,-YYY-,5,5,LLM,ASLAM,-GYG-,3,3,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,4,EARNS,--Y--,5,5,VOI,STORY,-Y-YG,4,4,LLM,TRUDY,GGG-G,1,1,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,
7,SPENT,True,5,AIRES,---YY,5,5,VOI,CLOSE,---YY,5,5,LLM,SETUP,GYY-Y,4,4,LLM,STEPH,GYGY-,3,3,LLM,SPENT,GGGGG,0,0,LLM,,,,,
8,PAUSE,True,2,RAISE,-G-GG,2,2,VOI,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,
9,CRAZY,True,6,REAMS,Y-G--,4,4,VOI,TRAIN,-GG--,3,3,LLM,BRAGG,-GG--,3,3,LLM,CRACK,GGG--,2,2,LLM,CRAWL,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM
10,BASES,True,6,ARISE,Y--YY,5,4,VOI,CLOUD,-----,5,5,LLM,BEATS,GYY-G,3,3,LLM,BAKES,GG-GG,1,1,LLM,BABES,GG-GG,1,1,LLM,BASES,GGGGG,0,0,LLM
11,YOUNG,True,4,RATES,-----,5,5,VOI,ADIEU,----Y,5,5,LLM,CHUNK,--GG-,3,3,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,5,SNARE,YYG-Y,4,4,VOI,JEANS,-GGGG,1,1,LLM,BEANS,-GGGG,1,1,LLM,LEANS,-GGGG,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,
13,TRUTH,True,4,AIRES,--Y--,5,5,VOI,STARE,-Y-Y-,5,5,LLM,TROUT,GG-YY,3,2,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,
14,FIRED,True,6,REALS,YY---,5,5,VOI,CRANE,-Y--Y,5,5,LLM,POWER,---GY,4,4,LLM,TIRED,-GGGG,1,1,LLM,HIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM
15,FOLKS,True,5,ANISE,---Y-,5,5,VOI,ROATE,-G---,4,4,LLM,BOOST,-G-Y-,4,4,LLM,FOLDS,GGG-G,1,1,LLM,FOLKS,GGGGG,0,0,LLM,,,,,
16,CHILE,True,4,TEARS,-Y---,5,5,VOI,SLOPE,-Y--G,4,4,LLM,GUILE,--GGG,2,2,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,
17,BLACK,True,3,MEARS,--G--,4,4,VOI,BLANK,GGG-G,1,1,LLM,BLACK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
18,GRANT,True,4,AROSE,YG---,4,4,VOI,PRANK,-GGG-,2,2,LLM,BRANT,-GGGG,1,1,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,
19,MEALS,False,6,ARISE,Y--YY,5,5,VOI,PIOUS,----G,4,4,LLM,LEAVE,YGG--,3,3,LLM,HEALS,-GGGG,1,1,LLM,DEALS,-GGGG,1,1,LLM,SEALS,-GGGG,1,1,LLM
20,CREAM,True,4,RAISE,YY--Y,5,5,VOI,GREAT,-GGG-,2,2,LLM,DREAM,-GGGG,1,1,LLM,CREAM,GGGGG,0,0,LLM,,,,,,,,,,
21,AWAKE,True,5,RATES,-Y-Y-,5,4,VOI,CLUMP,-----,5,5,LLM,DEVAN,-Y-Y-,5,5,LLM,AWOKE,GG-GG,1,1,LLM,AWAKE,GGGGG,0,0,LLM,,,,,
22,OCCUR,True,5,AIRES,--Y--,5,5,VOI,STARE,---Y-,5,5,LLM,PROOF,-YY--,5,5,LLM,ROUGH,YYY--,5,5,LLM,OCCUR,GGGGG,0,0,LLM,,,,,
23,YEARS,False,6,ARIES,YY-YG,4,4,VOI,TEARS,-GGGG,1,1,LLM,PEARS,-GGGG,1,1,LLM,WEARS,-GGGG,1,1,LLM,GEARS,-GGGG,1,1,LLM,BEARS,-GGGG,1,1,LLM
24,GRADE,True,3,SNARE,--GYG,3,3,VOI,CRANE,-GG-G,2,2,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
25,CHILL,True,3,EARNS,-----,5,5,VOI,CLOUD,GY---,4,4,LLM,CHILL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
26,FLOOD,True,4,AIRES,-----,5,5,VOI,STARE,-----,5,5,LLM,CLOUD,-GG-G,2,2,LLM,FLOOD,GGGGG,0,0,LLM,,,,,,,,,,
27,APPLY,True,5,SIENA,----Y,5,5,VOI,TRAIN,--Y--,5,5,LLM,CLOUD,-Y---,5,5,LLM,KAMAL,-Y--Y,5,4,LLM,APPLY,GGGGG,0,0,LLM,,,,,
28,SMILE,True,3,RATES,---YY,5,5,VOI,SLOPE,GY--G,3,3,LLM,SMILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
29,KNOCK,True,4,TALES,-----,5,5,VOI,CRANE,Y--Y-,5,5,LLM,PINCH,--YG-,4,4,LLM,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,
30,SLEEP,True,6,AIRES,---GY,4,4,VOI,SPEED,GYGG-,2,2,LLM,SHEEP,G-GGG,1,1,LLM,SWEEP,G-GGG,1,1,LLM,STEEP,G-GGG,1,1,LLM,SLEEP,GGGGG,0,0,LLM
