game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,EMAIL,-----,5,5,VOI,TURNS,Y----,5,5,LLM,FOOTY,-YGG-,3,3,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,5,STARE,-YYY-,5,4,VOI,TAROT,YGG--,3,3,LLM,GARTH,-GGG-,2,2,LLM,MARTS,-GGG-,2,2,LLM,PARTY,GGGGG,0,0,LLM,,,,,
3,TRICK,True,3,EARLS,--Y--,5,5,VOI,THIRD,G-GY-,3,3,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
4,DIRTY,True,3,ARIES,-YY--,5,5,VOI,FIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
5,USUAL,True,5,OATES,-Y--Y,5,5,VOI,ORATE,--Y--,5,5,LLM,AISHA,Y-Y--,5,4,LLM,SUDAN,YY-G-,4,3,LLM,USUAL,GGGGG,0,0,LLM,,,,,
6,TRULY,True,3,AISLE,---G-,4,4,VOI,DROLL,-G-G-,3,3,LLM,TRULY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
7,SPENT,True,3,ANISE,-Y-YY,5,5,VOI,STONE,GY-GY,3,3,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,3,AROSE,Y--GG,3,3,VOI,PHASE,G-YGG,2,2,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,6,TASER,-Y--Y,5,5,VOI,BREWS,-G---,4,4,LLM,GORAN,--YY-,5,4,LLM,FRUIT,-G---,4,4,LLM,CRACK,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM
10,BASES,False,6,SNARE,Y-Y-Y,5,4,VOI,FLEAS,--YYG,4,4,LLM,STARE,Y-Y-Y,5,4,LLM,GAZES,-G-GG,2,2,LLM,WAVES,-G-GG,2,2,LLM,MAKES,-G-GG,2,2,LLM
11,YOUNG,True,4,LASER,-----,5,5,VOI,GRINN,Y--G-,4,4,LLM,THONG,--YGG,3,3,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,5,RATES,-Y-YG,4,4,VOI,HEALS,-GG-G,2,2,LLM,BEADS,-GG-G,2,2,LLM,SEAMS,-GGYG,2,2,LLM,MEANS,GGGGG,0,0,LLM,,,,,
13,TRUTH,False,6,ARIES,-G---,4,4,VOI,TRULY,GGG--,2,2,LLM,TRUNK,GGG--,2,2,LLM,TURNS,GYY--,4,4,LLM,TURKS,GYY--,4,4,LLM,TRUST,GGG-Y,2,2,LLM
14,FIRED,True,6,EARLS,Y-G--,4,4,VOI,BERET,--GG-,3,3,LLM,WIRED,-GGGG,1,1,LLM,HIRED,-GGGG,1,1,LLM,MIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM
15,FOLKS,True,5,EARNS,----G,4,4,VOI,COSTS,-G--G,3,3,LLM,FOOLS,GG-YG,2,2,LLM,FOLDS,GGG-G,1,1,LLM,FOLKS,GGGGG,0,0,LLM,,,,,
16,CHILE,True,6,LASER,Y--Y-,5,5,VOI,GUESS,--Y--,5,5,LLM,TITLE,-Y-GG,3,3,LLM,EXILE,--GGG,2,2,LLM,WHILE,-GGGG,1,1,LLM,CHILE,GGGGG,0,0,LLM
17,BLACK,False,6,AROSE,Y----,5,5,VOI,SORAS,---Y-,5,5,LLM,AROMA,Y----,5,5,LLM,AROVE,Y----,5,5,LLM,AROWR,Y----,5,5,LLM,LATIN,YY---,5,4,LLM
18,GRANT,True,3,AROSE,YG---,4,4,VOI,GRAIN,GGG-Y,2,2,LLM,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
19,MEALS,True,4,AILES,Y-YYG,4,4,VOI,PLEAS,-YYYG,4,3,LLM,SEALS,-GGGG,1,1,LLM,MEALS,GGGGG,0,0,LLM,,,,,,,,,,
20,CREAM,True,3,ARIES,YG-Y-,4,4,VOI,BRACE,-GYYY,4,4,LLM,CREAM,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
21,AWAKE,True,3,ARSED,G--Y-,4,4,VOI,AALAK,GY--Y,4,3,LLM,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
22,OCCUR,True,3,LASER,----G,4,4,VOI,HORSE,-YY--,5,5,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
23,YEARS,False,6,ARIES,YY-YG,4,4,VOI,BEARS,-GGGG,1,1,LLM,HEARS,-GGGG,1,1,LLM,FEARS,-GGGG,1,1,LLM,SEARS,-GGGG,1,1,LLM,NEARS,-GGGG,1,1,LLM
24,GRADE,True,3,REALS,YYG--,4,4,VOI,GRIND,GG--Y,3,3,LLM,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
25,CHILL,True,3,ARIES,--G--,4,4,VOI,CLING,GYG--,3,3,LLM,CHILL,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
26,FLOOD,True,5,REAMS,-----,5,5,VOI,ZESTS,-----,5,5,LLM,YOUNG,-Y---,5,5,LLM,CLOCK,-GG--,3,3,LLM,FLOOD,GGGGG,0,0,LLM,,,,,
27,APPLY,True,4,DALES,-YY--,5,5,VOI,ZESTS,-----,5,5,LLM,CLUES,-Y---,5,5,LLM,APPLY,GGGGG,0,0,LLM,,,,,,,,,,
28,SMILE,True,5,OATES,---YY,5,5,VOI,SPICE,G-G-G,2,2,LLM,SHINE,G-G-G,2,2,LLM,SLIDE,GYG-G,2,2,LLM,SMILE,GGGGG,0,0,LLM,,,,,
29,KNOCK,True,5,ARIES,-----,5,5,VOI,ZEBRA,-----,5,5,LLM,BRADY,-----,5,5,LLM,KNOTT,GGG--,2,2,LLM,KNOCK,GGGGG,0,0,LLM,,,,,
