game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,3,CROPS,--GY-,4,4,VOI,POOLE,GYG--,3,3,VOI,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
2,PARTY,True,4,TASER,YG--Y,4,4,VOI,MARTA,-GGG-,2,2,VOI,BARTH,-GGG-,2,2,LLM,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,4,ARIES,-GG--,3,3,VOI,PRINT,-GG-Y,3,3,VOI,FRITH,-GGY-,3,3,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,4,RAISE,Y-Y--,5,5,VOI,NITRO,-GYY-,4,4,VOI,GIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,4,ARIES,Y---Y,5,5,VOI,SANTA,YY---,5,5,VOI,CLASH,-YYY-,5,5,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,3,REALS,Y--G-,4,4,VOI,TRILL,GG-G-,2,2,VOI,TRULY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
7,SPENT,True,3,ARIES,---YY,5,5,VOI,STONE,GY-GY,3,3,VOI,SPENT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
8,PAUSE,True,4,REALS,-YY-Y,5,4,VOI,SAWED,YG-Y-,4,4,VOI,PASTE,GGY-G,2,2,LLM,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,
9,CRAZY,True,4,AIRES,Y-Y--,5,5,VOI,RATON,YY---,5,4,VOI,HYDRA,-Y-YY,5,5,LLM,CRAZY,GGGGG,0,0,LLM,,,,,,,,,,
10,BASES,True,4,ASTER,YY-G-,4,3,VOI,EASED,-GGG-,2,2,VOI,CASEY,-GGG-,2,2,LLM,BASES,GGGGG,0,0,LLM,,,,,,,,,,
11,YOUNG,True,4,AIRES,-----,5,5,VOI,PHOTO,--Y--,5,5,VOI,MOLDY,-G--Y,4,4,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,3,STALE,Y-G-Y,4,4,VOI,REAMS,-GGYG,2,2,VOI,MEANS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
13,TRUTH,True,4,AROSE,-G---,4,4,VOI,TRICK,GG---,3,3,VOI,TRULY,GGG--,2,2,LLM,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,
14,FIRED,True,4,DARES,Y-GG-,3,3,VOI,WIRED,-GGGG,1,1,VOI,TIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM,,,,,,,,,,
15,FOLKS,True,4,NEARS,----G,4,4,VOI,PLOTS,-YY-G,4,4,VOI,KILOS,Y-GYG,3,3,LLM,FOLKS,GGGGG,0,0,LLM,,,,,,,,,,
16,CHILE,True,3,ARIES,--GY-,4,4,VOI,CLINE,GYG-G,2,2,VOI,CHILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
17,BLACK,True,3,SIENA,----Y,5,5,VOI,CRAZY,Y-G--,4,4,VOI,BLACK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
18,GRANT,False,6,AIRES,Y-Y--,5,5,VOI,BRAGA,-GGY-,3,3,VOI,GRAVY,GGG--,2,2,LLM,GRAFF,GGG--,2,2,LLM,GRAPH,GGG--,2,2,LLM,GRAND,GGGG-,1,1,LLM
19,MEALS,True,4,AROSE,Y--YY,5,5,VOI,BASES,-Y-YG,4,4,VOI,MEANS,GGG-G,1,1,LLM,MEALS,GGGGG,0,0,LLM,,,,,,,,,,
20,CREAM,True,5,RAISE,YY--Y,5,5,VOI,ALERT,Y-GY-,4,4,VOI,BREAD,-GGG-,2,2,LLM,WREAK,-GGG-,2,2,LLM,CREAM,GGGGG,0,0,LLM,,,,,
21,AWAKE,True,5,TALES,-Y-Y-,5,4,VOI,CREAM,--YY-,5,5,VOI,DEANE,--G-G,3,3,LLM,AGAVE,G-G-G,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,
22,OCCUR,True,4,TASER,----G,4,4,VOI,MINOR,---YG,4,4,VOI,FLOUR,--YGG,3,3,LLM,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,True,4,LANES,-Y-YG,4,4,VOI,MEATS,-GG-G,2,2,VOI,PEARS,-GGGG,1,1,LLM,YEARS,GGGGG,0,0,LLM,,,,,,,,,,
24,GRADE,True,3,NEARS,-YGY-,4,4,VOI,CRATE,-GG-G,2,2,VOI,GRADE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
25,CHILL,True,5,HARES,Y----,5,5,VOI,PHOTO,-G---,4,4,VOI,CHINK,GGG--,2,2,LLM,CHILD,GGGG-,1,1,LLM,CHILL,GGGGG,0,0,LLM,,,,,
26,FLOOD,True,4,EARNS,-----,5,5,VOI,CHILL,---Y-,5,5,VOI,DOLBY,YYY--,5,5,LLM,FLOOD,GGGGG,0,0,LLM,,,,,,,,,,
27,APPLY,True,5,ARIES,G----,4,4,VOI,ABACK,G----,4,4,VOI,ALTON,GY---,4,4,LLM,AMPLY,G-GGG,1,1,LLM,APPLY,GGGGG,0,0,LLM,,,,,
28,SMILE,True,3,REALS,-Y-GY,4,4,VOI,SMELL,GGYG-,2,2,VOI,SMILE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
29,KNOCK,True,5,AIRES,-----,5,5,VOI,FLOOD,--G--,4,4,VOI,PHONY,--GY-,4,4,LLM,KNOWN,GGG--,2,2,LLM,KNOCK,GGGGG,0,0,LLM,,,,,
30,SLEEP,True,4,AIRES,---GY,4,4,VOI,STEEN,G-GG-,2,2,VOI,SHEEP,G-GGG,1,1,LLM,SLEEP,GGGGG,0,0,LLM,,,,,,,,,,
31,BRICK,True,4,ARISE,-GG--,3,3,VOI,TRICK,-GGGG,1,1,VOI,PRICK,-GGGG,1,1,LLM,BRICK,GGGGG,0,0,LLM,,,,,,,,,,
32,WROTE,True,3,RAISE,Y---G,4,4,VOI,NORTE,-YYGG,3,3,VOI,WROTE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
33,RATED,True,4,AROSE,YY--Y,5,4,VOI,TERRA,YYY-Y,5,5,VOI,MATER,-GGGY,2,2,LLM,RATED,GGGGG,0,0,LLM,,,,,,,,,,
34,ALERT,True,2,AIRES,G-YY-,4,4,VOI,ALERT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,,,,,,
35,CAGES,True,5,AIRES,Y--GG,3,3,VOI,BASES,-G-GG,2,2,VOI,MALES,-G-GG,2,2,LLM,OAKES,-G-GG,2,2,LLM,CAGES,GGGGG,0,0,LLM,,,,,
36,TEDDY,True,4,ARISE,----Y,5,5,VOI,PEONY,-G--G,3,3,VOI,LEFTY,-G-YG,3,3,LLM,TEDDY,GGGGG,0,0,LLM,,,,,,,,,,
37,COLES,True,4,LASER,Y-YG-,4,4,VOI,SLEEP,YY-G-,4,4,VOI,MILES,--GGG,2,2,LLM,COLES,GGGGG,0,0,LLM,,,,,,,,,,
38,HWANG,True,5,LASER,-Y---,5,5,VOI,ABACK,--G--,4,4,VOI,THANG,-YGGG,2,2,LLM,HUANG,G-GGG,1,1,LLM,HWANG,GGGGG,0,0,LLM,,,,,
39,WRATH,True,3,LANES,-Y---,5,5,VOI,GRAPH,-GG-G,2,2,VOI,WRATH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
40,MACHO,True,5,AIRES,Y----,5,5,VOI,HWANG,Y-Y--,5,5,VOI,LUCHA,--GGY,3,3,LLM,YACHT,-GGG-,2,2,LLM,MACHO,GGGGG,0,0,LLM,,,,,
41,LOPEZ,True,4,ELIAS,YY---,5,5,VOI,TELLY,-YY--,5,5,VOI,LURED,G--G-,3,3,LLM,LOPEZ,GGGGG,0,0,LLM,,,,,,,,,,
42,GOODY,True,4,CARES,-----,5,5,VOI,DOWNY,YG--G,3,3,VOI,MOLDY,-G-GG,2,2,LLM,GOODY,GGGGG,0,0,LLM,,,,,,,,,,
43,BROTH,True,4,RATES,Y-Y--,5,4,VOI,DIRTY,--YG-,4,4,VOI,TRUTH,-G-GG,2,2,LLM,BROTH,GGGGG,0,0,LLM,,,,,,,,,,
44,VERDE,True,4,YEARS,-G-Y-,4,4,VOI,NERVE,-GGYG,2,2,VOI,VERGE,GGG-G,1,1,LLM,VERDE,GGGGG,0,0,LLM,,,,,,,,,,
45,TAMED,True,4,REALS,-YY--,5,5,VOI,ABIDE,Y--YY,5,4,VOI,DATED,-GYGG,2,2,LLM,TAMED,GGGGG,0,0,LLM,,,,,,,,,,
46,LEAFS,True,4,RAISE,-Y-YY,5,4,VOI,MEALS,-GGYG,2,2,VOI,LEAKS,GGG-G,1,1,LLM,LEAFS,GGGGG,0,0,LLM,,,,,,,,,,
47,YACHT,True,3,SIENA,----Y,5,5,VOI,WRATH,--YYY,5,4,VOI,YACHT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
48,MESSY,True,3,ARISE,---GY,4,4,VOI,CHEST,--YG-,4,4,VOI,MESSY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
49,RYDER,True,5,OATES,---G-,4,4,VOI,FIRED,--YGY,4,4,VOI,UNDER,--GGG,2,2,LLM,ELDER,--GGG,2,2,LLM,RYDER,GGGGG,0,0,LLM,,,,,
50,MOTIF,True,4,HARES,-----,5,5,VOI,KNOCK,--Y--,5,5,VOI,MOLDY,GG---,3,3,LLM,MOTIF,GGGGG,0,0,LLM,,,,,,,,,,
51,RAVEN,True,4,EARLS,YGY--,4,4,VOI,RATED,GG-G-,2,2,VOI,RAZER,GG-G-,2,2,LLM,RAVEN,GGGGG,0,0,LLM,,,,,,,,,,
52,REICH,True,3,RATES,G--Y-,4,4,VOI,RECON,GGY--,3,3,VOI,REICH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
53,ICONS,True,5,HARES,----G,4,4,VOI,FOLKS,-Y--G,4,4,VOI,SPOTS,--G-G,3,3,LLM,BUOYS,--G-G,3,3,LLM,ICONS,GGGGG,0,0,LLM,,,,,
54,SILKY,True,4,ARSED,--Y--,5,5,VOI,SPILT,G-YY-,4,3,VOI,SILOS,GGG--,2,2,LLM,SILKY,GGGGG,0,0,LLM,,,,,,,,,,
55,CARVE,True,4,AIRES,Y-GY-,4,4,VOI,BERTA,-YG-Y,4,4,VOI,CARNE,GGG-G,1,1,LLM,CARVE,GGGGG,0,0,LLM,,,,,,,,,,
56,LAGER,True,4,AROSE,YY--Y,5,5,VOI,MATER,-G-GG,2,2,VOI,RACER,-G-GG,2,2,LLM,LAGER,GGGGG,0,0,LLM,,,,,,,,,,
57,JERKS,True,5,SLATE,Y---Y,5,5,VOI,MESSY,-GY--,4,4,VOI,REEDS,YG--G,3,3,LLM,HERBS,-GG-G,2,2,LLM,JERKS,GGGGG,0,0,LLM,,,,,
58,LOTUS,True,5,EARNS,----G,4,4,VOI,SILOS,--YYG,4,4,VOI,HOWLS,-G-YG,3,3,LLM,LOCUS,GG-GG,1,1,LLM,LOTUS,GGGGG,0,0,LLM,,,,,
59,LACEY,True,5,AIRES,Y--G-,4,4,VOI,TAMED,-G-G-,3,3,VOI,HAGEN,-G-G-,3,3,LLM,LABEL,GG-G-,2,2,LLM,LACEY,GGGGG,0,0,LLM,,,,,
60,TUDOR,True,4,RATES,Y-Y--,5,5,VOI,BROTH,-YYY-,5,5,VOI,TIMOR,G--GG,2,2,LLM,TUDOR,GGGGG,0,0,LLM,,,,,,,,,,
61,QUOTA,True,4,HEARS,--Y--,5,5,VOI,ANGLO,Y---Y,5,5,VOI,POOJA,--G-G,3,3,LLM,QUOTA,GGGGG,0,0,LLM,,,,,,,,,,
62,MOURN,True,4,ARIES,-Y---,5,5,VOI,OCCUR,Y--YY,5,4,VOI,MUNRO,GYYGY,3,3,LLM,MOURN,GGGGG,0,0,LLM,,,,,,,,,,
63,PROMO,True,4,REALS,Y----,5,5,VOI,TIMOR,--YYY,5,4,VOI,MOURN,YY-Y-,5,5,LLM,PROMO,GGGGG,0,0,LLM,,,,,,,,,,
64,CASTE,True,4,STARE,YYY-G,4,4,VOI,TASTE,-GGGG,1,1,VOI,PASTE,-GGGG,1,1,LLM,CASTE,GGGGG,0,0,LLM,,,,,,,,,,
65,CAPRI,True,3,ARIES,YYY--,5,4,VOI,PARTI,YGY-G,3,3,VOI,CAPRI,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
66,ALIAS,True,3,STARE,Y-Y--,5,5,VOI,USUAL,-Y-GY,4,4,VOI,ALIAS,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
67,PADDY,True,6,EARLS,-G---,4,4,VOI,YACHT,YG---,4,4,VOI,BAYOU,-GY--,4,4,LLM,MANDY,-G-GG,2,2,LLM,DADDY,-GGGG,1,1,LLM,PADDY,GGGGG,0,0,LLM
68,BLOBS,True,6,TASER,--Y--,5,5,VOI,SILKY,Y-Y--,5,5,VOI,LOCUS,YY--G,4,3,LLM,GLOWS,-GG-G,2,2,LLM,FLOPS,-GG-G,2,2,LLM,BLOBS,GGGGG,0,0,LLM
69,DILLY,True,3,STARE,-----,5,5,VOI,MOLDY,--GYG,3,3,VOI,DILLY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
70,GUTSY,True,4,AYRES,-Y--Y,5,5,VOI,SILKY,Y---G,4,4,VOI,MOSBY,--Y-G,4,4,LLM,GUTSY,GGGGG,0,0,LLM,,,,,,,,,,
71,TABOR,True,3,AROSE,YYY--,5,4,VOI,RATON,YGYG-,3,3,VOI,TABOR,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
72,INLAY,True,3,LANES,YYY--,5,5,VOI,ALONG,YY-Y-,5,5,VOI,INLAY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
73,AHHHH,True,5,MARES,-Y---,5,5,VOI,ALTON,G----,4,4,VOI,ABACK,G----,4,4,LLM,AWWWW,G----,4,4,LLM,AHHHH,GGGGG,0,0,LLM,,,,,
74,ROUEN,True,4,ARIES,-Y-G-,4,4,VOI,RYDER,G--G-,3,3,VOI,REPEL,G--G-,3,3,LLM,ROUEN,GGGGG,0,0,LLM,,,,,,,,,,
75,BUENA,True,4,ARISE,Y---Y,5,5,VOI,LACEY,-Y-Y-,5,5,VOI,HENNA,-Y-GG,3,3,LLM,BUENA,GGGGG,0,0,LLM,,,,,,,,,,
76,MENON,True,5,AILES,---Y-,5,5,VOI,BERND,-G-Y-,4,4,VOI,TETON,-G-GG,2,2,LLM,XENON,-GGGG,1,1,LLM,MENON,GGGGG,0,0,LLM,,,,,
77,TRASK,True,3,REALS,Y-G-Y,4,4,VOI,STARK,YYGYG,3,3,VOI,TRASK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
78,CASIO,True,3,ELIAS,--YYY,5,5,VOI,STAIR,Y-YG-,4,4,VOI,CASIO,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
79,VOILA,True,3,TASER,-Y---,5,5,VOI,ALOHA,-YY-G,4,4,VOI,VOILA,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
80,AURAL,True,6,RAGES,YY---,5,5,VOI,WRATH,-YY--,5,4,VOI,LYCRA,Y--YY,5,4,LLM,PILAR,--YGY,4,4,LLM,MORAL,--GGG,2,2,LLM,AURAL,GGGGG,0,0,LLM
81,LEGER,True,4,LEAST,GG---,3,3,VOI,LEIGH,GG-Y-,3,3,VOI,LEUNG,GG--Y,3,3,LLM,LEGER,GGGGG,0,0,LLM,,,,,,,,,,
82,DALLY,True,5,SNARE,--Y--,5,5,VOI,PATIO,-G---,4,4,VOI,DADDY,GG--G,2,2,LLM,DAFFY,GG--G,2,2,LLM,DALLY,GGGGG,0,0,LLM,,,,,
83,INIGO,True,5,RAISE,--G--,4,4,VOI,CHILL,--G--,4,4,VOI,JOINT,-YGY-,4,4,LLM,UNION,-GGY-,3,3,LLM,INIGO,GGGGG,0,0,LLM,,,,,
84,KRILL,True,6,REALS,Y--G-,4,4,VOI,TRULY,-G-G-,3,3,VOI,DRILL,-GGGG,1,1,LLM,GRILL,-GGGG,1,1,LLM,BRILL,-GGGG,1,1,LLM,KRILL,GGGGG,0,0,LLM
85,SNIDE,True,3,SNARE,GG--G,2,2,VOI,SNIPE,GGG-G,1,1,VOI,SNIDE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
86,LEWES,True,4,RATES,---GG,3,3,VOI,COLES,--YGG,3,3,VOI,LIFES,G--GG,2,2,LLM,LEWES,GGGGG,0,0,LLM,,,,,,,,,,
87,TAMER,False,6,LASER,-G-GG,2,2,VOI,RACER,-G-GG,2,2,VOI,FABER,-G-GG,2,2,LLM,EAGER,-G-GG,2,2,LLM,VADER,-G-GG,2,2,LLM,PAYER,-G-GG,2,2,LLM
88,COTTA,True,5,EARNS,-Y---,5,5,VOI,VOILA,-G--G,3,3,VOI,POOJA,-G--G,3,3,LLM,MOCHA,-GY-G,3,3,LLM,COTTA,GGGGG,0,0,LLM,,,,,
89,CORBY,True,5,NEARS,---Y-,5,5,VOI,KRILL,-Y---,5,5,VOI,ROUGH,YG---,4,4,LLM,WORDY,-GG-G,2,2,LLM,CORBY,GGGGG,0,0,LLM,,,,,
90,POLIS,True,5,AROSE,--YY-,5,5,VOI,LOTUS,YG--G,3,3,VOI,HOWLS,-G-YG,3,3,LLM,SOLIS,-GGGG,1,1,LLM,POLIS,GGGGG,0,0,LLM,,,,,
