game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,ALTON,--YY-,5,4,VOI,TORUS,YY---,5,5,VOI,KYOTO,--GGG,2,2,LLM,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,3,ANSEL,Y----,5,5,VOI,MARTA,-GGG-,2,2,VOI,PARTY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
3,TRICK,True,4,REALS,Y----,5,5,VOI,FROTH,-G-Y-,4,4,VOI,TRUNK,GG--G,2,2,LLM,TRICK,GGGGG,0,0,LLM,,,,,,,,,,
4,DIRTY,True,4,RATES,Y-Y--,5,5,VOI,TRICK,YYY--,5,5,VOI,BIRTH,-GGG-,2,2,LLM,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,4,SIENA,Y---Y,5,5,VOI,CARTS,-Y--Y,5,5,VOI,QUASH,-YYY-,5,4,LLM,USUAL,GGGGG,0,0,LLM,,,,,,,,,,
6,TRULY,True,3,LANES,Y----,5,5,VOI,COULD,--GG-,3,3,VOI,TRULY,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
7,SPENT,True,4,AROSE,---YY,5,5,VOI,LEEDS,--G-Y,4,4,VOI,STENT,G-GGG,1,1,LLM,SPENT,GGGGG,0,0,LLM,,,,,,,,,,
8,PAUSE,True,3,AROSE,Y--GG,3,3,VOI,LAPSE,-GYGG,2,2,VOI,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
9,CRAZY,True,5,AROSE,YG---,4,4,VOI,FRIDA,-G--Y,4,4,VOI,CRANK,GGG--,2,2,LLM,CRAMP,GGG--,2,2,LLM,CRAZY,GGGGG,0,0,LLM,,,,,
10,BASES,False,6,AIRES,Y--GG,3,3,VOI,TALES,-G-GG,2,2,VOI,PAGES,-G-GG,2,2,LLM,CAKES,-G-GG,2,2,LLM,HAVES,-G-GG,2,2,LLM,MAZES,-G-GG,2,2,LLM
11,YOUNG,True,4,AROSE,--Y--,5,5,VOI,MOLDY,-G--Y,4,4,VOI,YOUTH,GGG--,2,2,LLM,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,5,ARISE,Y--YY,5,5,VOI,DAMES,-YYYG,4,4,VOI,MEATS,GGG-G,1,1,LLM,MEALS,GGG-G,1,1,LLM,MEANS,GGGGG,0,0,LLM,,,,,
13,TRUTH,True,3,RATES,Y-Y--,5,4,VOI,TRULY,GGG--,2,2,VOI,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
14,FIRED,True,4,AIRES,-GGG-,2,2,VOI,WIRED,-GGGG,1,1,VOI,TIRED,-GGGG,1,1,LLM,FIRED,GGGGG,0,0,LLM,,,,,,,,,,
15,FOLKS,True,5,ARIES,----G,4,4,VOI,SPOTS,--Y-G,4,4,VOI,BOGUS,-G--G,3,3,LLM,FOLDS,GGG-G,1,1,LLM,FOLKS,GGGGG,0,0,LLM,,,,,
16,CHILE,True,4,MEARS,-Y---,5,5,VOI,TONED,---Y-,5,5,VOI,GUILE,--GGG,2,2,LLM,CHILE,GGGGG,0,0,LLM,,,,,,,,,,
17,BLACK,True,6,RAISE,-Y---,5,5,VOI,MOCHA,--Y-Y,5,5,VOI,KNACK,--GGG,2,2,LLM,QUACK,--GGG,2,2,LLM,CLACK,-GGGG,1,1,LLM,BLACK,GGGGG,0,0,LLM
18,GRANT,True,5,AIRES,Y-Y--,5,5,VOI,CRAZY,-GG--,3,3,VOI,BRAVA,-GG--,3,3,LLM,GRAFT,GGG-G,1,1,LLM,GRANT,GGGGG,0,0,LLM,,,,,
19,MEALS,True,4,RAISE,-Y-YY,5,4,VOI,MEANS,GGG-G,1,1,VOI,MEATS,GGG-G,1,1,LLM,MEALS,GGGGG,0,0,LLM,,,,,,,,,,
20,CREAM,True,5,AROSE,YG--Y,4,4,VOI,TREAD,-GGG-,2,2,VOI,FREAK,-GGG-,2,2,LLM,BREAM,-GGGG,1,1,LLM,CREAM,GGGGG,0,0,LLM,,,,,
21,AWAKE,True,3,HEARS,-YG--,4,4,VOI,GLADE,--G-G,3,3,VOI,AWAKE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
22,OCCUR,True,3,ARISE,-Y---,5,5,VOI,CURLY,YYY--,5,4,VOI,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
23,YEARS,False,6,SNARE,Y-GGY,3,3,VOI,PEARS,-GGGG,1,1,VOI,HEARS,-GGGG,1,1,LLM,TEARS,-GGGG,1,1,LLM,GEARS,-GGGG,1,1,LLM,BEARS,-GGGG,1,1,LLM
24,GRADE,True,5,REALS,YYG--,4,4,VOI,CRATE,-GG-G,2,2,VOI,BRAVE,-GG-G,2,2,LLM,DRAPE,YGG-G,2,2,LLM,GRADE,GGGGG,0,0,LLM,,,,,
25,CHILL,True,4,TEARS,-----,5,5,VOI,COULD,G--G-,3,3,VOI,CHILI,GGGG-,1,1,LLM,CHILL,GGGGG,0,0,LLM,,,,,,,,,,
26,FLOOD,True,4,AIRES,-----,5,5,VOI,PHOTO,--G-Y,4,4,VOI,BLOOM,-GGG-,2,2,LLM,FLOOD,GGGGG,0,0,LLM,,,,,,,,,,
27,APPLY,True,5,LANES,YY---,5,5,VOI,BLACK,-YY--,5,5,VOI,AURAL,G---Y,4,4,LLM,AMPLY,G-GGG,1,1,LLM,APPLY,GGGGG,0,0,LLM,,,,,
28,SMILE,True,5,AIRES,-Y-YY,5,4,VOI,STEIN,G-YY-,4,4,VOI,SPICE,G-G-G,2,2,LLM,SLIME,GYGYG,2,2,LLM,SMILE,GGGGG,0,0,LLM,,,,,
29,KNOCK,True,3,ARIES,-----,5,5,VOI,FLOOD,--G--,4,4,VOI,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
30,SLEEP,True,5,EARLS,Y--YY,5,5,VOI,SLIDE,GG--Y,3,3,VOI,SLEET,GGGG-,1,1,LLM,SLEEK,GGGG-,1,1,LLM,SLEEP,GGGGG,0,0,LLM,,,,,
31,BRICK,True,3,ARIES,-GG--,3,3,VOI,TRICK,-GGGG,1,1,VOI,BRICK,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
32,WROTE,True,3,AROSE,-GG-G,2,2,VOI,TROPE,YGG-G,2,2,VOI,WROTE,GGGGG,0,0,LLM,,,,,,,,,,,,,,,
