game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6
1,PHOTO,True,4,BRIEF,-----,5,5,VOI,PANTS,G--G-,3,3,VOI,PLUTO,G--GG,2,2,VOI,PHOTO,GGGGG,0,0,LLM,,,,,,,,,,
2,PARTY,True,4,AIRES,Y-G--,4,4,VOI,MORAL,--GY-,4,4,VOI,TARDY,YGG-G,2,2,VOI,PARTY,GGGGG,0,0,LLM,,,,,,,,,,
3,TRICK,True,3,TASER,G---Y,4,4,VOI,TROUT,GG---,3,3,VOI,TRICK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
4,DIRTY,True,4,TESLA,Y----,5,5,VOI,PHOTO,---G-,4,4,VOI,NUTTY,---GG,3,3,VOI,DIRTY,GGGGG,0,0,LLM,,,,,,,,,,
5,USUAL,True,6,ARIES,Y---Y,5,5,VOI,SHANA,Y-Y--,5,4,VOI,PALSY,-YYY-,5,5,VOI,SUSAN,YY-G-,4,3,LLM,USERS,GG---,3,3,LLM,USUAL,GGGGG,0,0,LLM
6,TRULY,True,3,STEAL,-Y--Y,5,4,VOI,PLUTO,-YGY-,4,4,VOI,TRULY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
7,SPENT,True,3,AILES,---YY,5,5,VOI,NORSE,Y--YY,5,5,VOI,SPENT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
8,PAUSE,True,4,AIRES,Y--YY,5,4,VOI,STALE,Y-Y-G,4,4,VOI,CAUSE,-GGGG,1,1,VOI,PAUSE,GGGGG,0,0,LLM,,,,,,,,,,
9,CRAZY,True,4,AILES,Y----,5,5,VOI,PARTY,-YY-G,4,4,VOI,GRADY,-GG-G,2,2,VOI,CRAZY,GGGGG,0,0,LLM,,,,,,,,,,
10,BASES,True,6,ARIES,Y--GG,3,3,VOI,TALES,-G-GG,2,2,VOI,CASES,-GGGG,1,1,VOI,EASES,-GGGG,1,1,LLM,VASES,-GGGG,1,1,LLM,BASES,GGGGG,0,0,LLM
11,YOUNG,True,4,ARISE,-----,5,5,VOI,PHOTO,--Y--,5,5,VOI,MOLDY,-G--Y,4,4,VOI,YOUNG,GGGGG,0,0,LLM,,,,,,,,,,
12,MEANS,True,4,ARIES,Y--YG,4,4,VOI,DEALS,-GG-G,2,2,VOI,MEATS,GGG-G,1,1,VOI,MEANS,GGGGG,0,0,LLM,,,,,,,,,,
13,TRUTH,True,4,ARIES,-G---,4,4,VOI,TRULY,GGG--,2,2,VOI,TRUCK,GGG--,2,2,VOI,TRUTH,GGGGG,0,0,LLM,,,,,,,,,,
14,FIRED,True,4,ARISE,-YY-Y,5,4,VOI,TIMER,-G-GY,3,3,VOI,HIRED,-GGGG,1,1,VOI,FIRED,GGGGG,0,0,LLM,,,,,,,,,,
15,FOLKS,True,6,EARNS,----G,4,4,VOI,PLOTS,-YY-G,4,4,VOI,COLDS,-GG-G,2,2,VOI,SOLIS,-GG-G,2,2,LLM,SOLAR,YGG--,3,3,LLM,FOLKS,GGGGG,0,0,LLM
16,CHILE,True,3,RATES,---Y-,5,5,VOI,CLINE,GYG-G,2,2,VOI,CHILE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
17,BLACK,True,5,RAISE,-Y---,5,5,VOI,ALOHA,YG---,4,4,VOI,CLANK,YGG-G,2,2,VOI,BLADE,GGG--,2,2,LLM,BLACK,GGGGG,0,0,LLM,,,,,
18,GRANT,True,6,STARE,-YGY-,4,4,VOI,TRAIT,-GG-G,2,2,VOI,GRAFT,GGG-G,1,1,VOI,GRADE,GGG--,2,2,LLM,GRAPE,GGG--,2,2,LLM,GRANT,GGGGG,0,0,LLM
19,MEALS,True,4,AIRES,Y--YG,4,4,VOI,MEANS,GGG-G,1,1,VOI,MEATS,GGG-G,1,1,VOI,MEALS,GGGGG,0,0,LLM,,,,,,,,,,
20,CREAM,True,5,REALS,YYY--,5,3,VOI,MATER,YY-YY,5,5,VOI,BREAM,-GGGG,1,1,VOI,DREAM,-GGGG,1,1,LLM,CREAM,GGGGG,0,0,LLM,,,,,
21,AWAKE,True,5,ELISA,Y---Y,5,5,VOI,CREAM,--YY-,5,5,VOI,DANTE,-Y--G,4,4,VOI,AGAVE,G-G-G,2,2,LLM,AWAKE,GGGGG,0,0,LLM,,,,,
22,OCCUR,True,4,AROSE,-YY--,5,5,VOI,THROB,--YY-,5,5,VOI,RONDO,YY---,5,5,VOI,OCCUR,GGGGG,0,0,LLM,,,,,,,,,,
23,YEARS,True,5,AIRES,Y-YYG,4,4,VOI,REAMS,YGG-G,2,2,VOI,FEARS,-GGGG,1,1,VOI,TEARS,-GGGG,1,1,LLM,YEARS,GGGGG,0,0,LLM,,,,,
24,GRADE,True,4,RAISE,YY--G,4,3,VOI,AMORE,Y--YG,4,4,VOI,CRATE,-GG-G,2,2,VOI,GRADE,GGGGG,0,0,LLM,,,,,,,,,,
25,CHILL,True,6,HEARS,Y----,5,5,VOI,PHOTO,-G---,4,4,VOI,CHUNK,GG---,3,3,VOI,CHILD,GGGG-,1,1,LLM,CHILI,GGGG-,1,1,LLM,CHILL,GGGGG,0,0,LLM
26,FLOOD,True,5,AROSE,--G--,4,4,VOI,PHOTO,--G-Y,4,4,VOI,GLOOM,-GGG-,2,2,VOI,BLOOD,-GGGG,1,1,LLM,FLOOD,GGGGG,0,0,LLM,,,,,
27,APPLY,True,3,LEAST,Y-Y--,5,5,VOI,MALAY,-YY-G,4,4,VOI,APPLY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
28,SMILE,True,4,CARES,---YY,5,5,VOI,SPENT,G-Y--,4,4,VOI,SMOKE,GG--G,2,2,VOI,SMILE,GGGGG,0,0,LLM,,,,,,,,,,
29,KNOCK,True,4,EARNS,---Y-,5,5,VOI,NUTTY,Y----,5,5,VOI,CONDÉ,YYY--,5,5,VOI,KNOCK,GGGGG,0,0,LLM,,,,,,,,,,
30,SLEEP,True,4,RAISE,---YY,5,5,VOI,SPENT,GYG--,3,3,VOI,SWEEP,G-GGG,1,1,VOI,SLEEP,GGGGG,0,0,LLM,,,,,,,,,,
31,BRICK,True,4,NEARS,---Y-,5,5,VOI,DIRTY,-YY--,5,5,VOI,CRIMP,YGG--,3,3,VOI,BRICK,GGGGG,0,0,LLM,,,,,,,,,,
32,WROTE,True,3,AIRES,--YY-,5,5,VOI,TOURE,YY-YG,4,4,VOI,WROTE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
33,RATED,True,4,LASER,-G-GY,3,3,VOI,EARED,-GYGG,2,2,VOI,RACED,GG-GG,1,1,VOI,RATED,GGGGG,0,0,LLM,,,,,,,,,,
34,ALERT,True,4,AIRES,G-YY-,4,4,VOI,AMORE,G--GY,3,3,VOI,AVERT,G-GGG,1,1,VOI,ALERT,GGGGG,0,0,LLM,,,,,,,,,,
35,CAGES,True,4,ARIES,Y--GG,3,3,VOI,BASES,-G-GG,2,2,VOI,MATES,-G-GG,2,2,VOI,CAGES,GGGGG,0,0,LLM,,,,,,,,,,
36,TEDDY,True,6,AIRES,---Y-,5,5,VOI,LEONE,-G---,4,4,VOI,BEGUM,-G---,4,4,VOI,HECHT,-G--Y,4,4,LLM,PETTY,-GY-G,3,3,LLM,TEDDY,GGGGG,0,0,LLM
37,COLES,True,4,EARNS,Y---G,4,4,VOI,SEEPS,-Y--G,4,4,VOI,MILES,--GGG,2,2,VOI,COLES,GGGGG,0,0,LLM,,,,,,,,,,
38,HWANG,True,6,TEARS,--G--,4,4,VOI,BLACK,--G--,4,4,VOI,OMAHA,--GY-,4,4,VOI,GHANI,YYGG-,3,3,LLM,HUANG,G-GGG,1,1,LLM,HWANG,GGGGG,0,0,LLM
39,WRATH,True,4,ARIES,YG---,4,4,VOI,GRANT,-GG-Y,3,3,VOI,TRAWL,YGGY-,3,3,VOI,WRATH,GGGGG,0,0,LLM,,,,,,,,,,
40,MACHO,True,3,EARLS,-G---,4,4,VOI,MANTA,GG---,3,3,VOI,MACHO,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
41,LOPEZ,True,5,SNARE,----Y,5,5,VOI,TEDDY,-Y---,5,5,VOI,FLECK,-YY--,5,5,VOI,PIXEL,Y--GY,4,4,LLM,LOPEZ,GGGGG,0,0,LLM,,,,,
42,GOODY,True,3,REALS,-----,5,5,VOI,YOUNG,YG--Y,4,4,VOI,GOODY,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
43,BROTH,True,4,AILES,-----,5,5,VOI,DONOR,-Y--Y,5,5,VOI,TRURO,YG--Y,4,4,VOI,BROTH,GGGGG,0,0,LLM,,,,,,,,,,
44,VERDE,True,4,STARE,---YG,4,4,VOI,CRONE,-Y--G,4,4,VOI,REVUE,YGY-G,3,3,VOI,VERDE,GGGGG,0,0,LLM,,,,,,,,,,
45,TAMED,True,6,AROSE,Y---Y,5,5,VOI,HADEN,-GYG-,3,3,VOI,GATED,-GYGG,2,2,VOI,TAXED,GG-GG,1,1,LLM,TAPED,GG-GG,1,1,LLM,TAMED,GGGGG,0,0,LLM
46,LEAFS,True,5,STARE,Y-G-Y,4,4,VOI,MEALS,-GGYG,2,2,VOI,LEADS,GGG-G,1,1,VOI,LEAKS,GGG-G,1,1,LLM,LEAFS,GGGGG,0,0,LLM,,,,,
47,YACHT,True,3,EARNS,-G---,4,4,VOI,MACHO,-GGG-,2,2,VOI,YACHT,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
48,MESSY,False,6,LANES,---YY,5,5,VOI,SHOVE,Y---Y,5,5,VOI,WREST,--YG-,4,4,VOI,PESSI,-GGG-,2,2,LLM,TEAMS,-G-YY,4,4,LLM,TEAME,-G-Y-,4,4,LLM
49,RYDER,True,3,LASER,---GG,3,3,VOI,DINER,Y--GG,3,3,VOI,RYDER,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
50,MOTIF,True,4,EARNS,-----,5,5,VOI,BLOOD,--Y--,5,5,VOI,FOGGY,YG---,4,4,VOI,MOTIF,GGGGG,0,0,LLM,,,,,,,,,,
51,RAVEN,True,3,RATES,GG-G-,2,2,VOI,RAZED,GG-G-,2,2,VOI,RAVEN,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
52,REICH,True,4,RATES,G--Y-,4,4,VOI,REVUE,GG---,3,3,VOI,RELIC,GG-YY,3,2,VOI,REICH,GGGGG,0,0,LLM,,,,,,,,,,
53,ICONS,True,4,ARIES,--Y-G,4,4,VOI,SOLIS,-Y-YG,4,4,VOI,PIOUS,-YG-G,3,3,VOI,ICONS,GGGGG,0,0,LLM,,,,,,,,,,
54,SILKY,True,4,SNARE,G----,4,4,VOI,SOLIS,G-GY-,3,3,VOI,SILLY,GGG-G,1,1,VOI,SILKY,GGGGG,0,0,LLM,,,,,,,,,,
55,CARVE,True,3,EARLS,YGG--,3,3,VOI,CARED,GGGY-,2,2,VOI,CARVE,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
56,LAGER,True,4,AROSE,YY--Y,5,5,VOI,RATED,YG-G-,3,3,VOI,MAREK,-GYG-,3,3,VOI,LAGER,GGGGG,0,0,LLM,,,,,,,,,,
57,JERKS,True,5,SNARE,Y--YY,5,5,VOI,BREST,-YYY-,5,4,VOI,ROPES,Y--YG,4,4,VOI,GERMS,-GG-G,2,2,LLM,JERKS,GGGGG,0,0,LLM,,,,,
58,LOTUS,True,5,TEARS,Y---G,4,4,VOI,COSTS,-G-YG,3,3,VOI,MOTHS,-GG-G,2,2,VOI,GUESS,-Y--G,4,4,LLM,LOTUS,GGGGG,0,0,LLM,,,,,
59,LACEY,True,5,RAISE,-G--Y,4,4,VOI,TAPED,-G-G-,3,3,VOI,HAGEN,-G-G-,3,3,VOI,LABEL,GG-G-,2,2,LLM,LACEY,GGGGG,0,0,LLM,,,,,
60,TUDOR,True,3,ARIES,-Y---,5,5,VOI,HYDRO,--GYY,4,4,VOI,TUDOR,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
61,QUOTA,True,3,AROSE,Y-G--,4,4,VOI,CLOAK,--GY-,4,4,VOI,QUOTA,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
62,MOURN,True,3,CARES,--Y--,5,5,VOI,TRURO,--GGY,3,3,VOI,MOURN,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
63,PROMO,True,4,EARNS,--Y--,5,5,VOI,BRICK,-G---,4,4,VOI,TRURO,-G--G,3,3,VOI,PROMO,GGGGG,0,0,LLM,,,,,,,,,,
64,CASTE,True,5,REALS,-YY-Y,5,5,VOI,PAUSE,-G-YG,3,3,VOI,WASTE,-GGGG,1,1,VOI,TASTE,-GGGG,1,1,LLM,CASTE,GGGGG,0,0,LLM,,,,,
65,CAPRI,True,5,MARES,-GY--,4,4,VOI,RAINA,YGY--,4,4,VOI,KABIR,-G-YY,4,4,VOI,GUESS,-----,5,5,LLM,CAPRI,GGGGG,0,0,LLM,,,,,
66,ALIAS,True,3,ARISE,G-GY-,3,3,VOI,ACIDS,G-G-G,2,2,VOI,ALIAS,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
67,PADDY,True,5,ARIES,Y----,5,5,VOI,CHANT,--Y--,5,5,VOI,POOJA,G---Y,4,4,VOI,PAPAL,GG---,3,3,LLM,PADDY,GGGGG,0,0,LLM,,,,,
68,BLOBS,True,6,ARISE,---Y-,5,5,VOI,LOTUS,YY--G,4,3,VOI,GLOWS,-GG-G,2,2,VOI,BLOCS,GGG-G,1,1,LLM,BLOOM,GGG--,2,2,LLM,BLOBS,GGGGG,0,0,LLM
69,DILLY,False,6,RAISE,--Y--,5,5,VOI,MOTIF,---Y-,5,5,VOI,WINCH,-G---,4,4,VOI,ZIGGY,-G--G,3,3,LLM,LILLY,-GGGG,1,1,LLM,BILLY,-GGGG,1,1,LLM
70,GUTSY,True,4,AROSE,---G-,4,4,VOI,BLISS,---G-,4,4,VOI,GYPSY,G--GG,2,2,VOI,GUTSY,GGGGG,0,0,LLM,,,,,,,,,,
71,TABOR,True,4,LASER,-G--G,3,3,VOI,TAHIR,GG--G,2,2,VOI,TATAR,GG--G,2,2,VOI,TABOR,GGGGG,0,0,LLM,,,,,,,,,,
72,INLAY,True,5,ARISE,Y-Y--,5,5,VOI,NAOMI,YY--Y,5,5,VOI,XIANG,-YYY-,5,5,VOI,INDIA,GG--Y,3,3,LLM,INLAY,GGGGG,0,0,LLM,,,,,
73,AHHHH,True,4,RAISE,-Y---,5,5,VOI,ALOUD,G----,4,4,VOI,AMAYA,G----,4,4,VOI,AHHHH,GGGGG,0,0,LLM,,,,,,,,,,
74,ROUEN,True,4,AIRES,--YG-,4,4,VOI,RYDER,G--G-,3,3,VOI,RUPEE,GY-G-,3,3,VOI,ROUEN,GGGGG,0,0,LLM,,,,,,,,,,
75,BUENA,True,4,NEARS,YYY--,5,5,VOI,HAGEN,-Y-YY,5,4,VOI,ATONE,Y--GY,4,4,VOI,BUENA,GGGGG,0,0,LLM,,,,,,,,,,
76,MENON,False,6,REALS,-G---,4,4,VOI,TEDDY,-G---,4,4,VOI,BEGUM,-G--Y,4,4,VOI,FEMME,-GY--,4,4,LLM,MEZZO,GG--Y,3,3,LLM,MENAD,GGG--,2,2,LLM
77,TRASK,True,3,ARISE,YG-G-,3,3,VOI,GRASS,-GGG-,2,2,VOI,TRASK,GGGGG,0,0,VOI,,,,,,,,,,,,,,,
78,CASIO,True,4,ARISE,Y-YY-,5,4,VOI,SLAIN,Y-YG-,4,4,VOI,BASIS,-GGG-,2,2,VOI,CASIO,GGGGG,0,0,LLM,,,,,,,,,,
79,VOILA,True,4,EARLS,-Y-G-,4,4,VOI,APPLY,Y--G-,4,4,VOI,VIOLA,GYYGG,2,2,VOI,VOILA,GGGGG,0,0,LLM,,,,,,,,,,
80,AURAL,True,4,LEANS,Y-Y--,5,5,VOI,VOILA,---YY,5,5,VOI,PALAU,-YYGY,4,4,VOI,AURAL,GGGGG,0,0,LLM,,,,,,,,,,
81,LEGER,False,6,AIRES,--YG-,4,4,VOI,ROUEN,Y--G-,4,4,VOI,DEFER,-G-GG,2,2,VOI,LEVER,GG-GG,1,1,LLM,LEPER,GG-GG,1,1,LLM,LEGAL,GGG--,2,2,LLM
82,DALLY,True,5,RATES,-G---,4,4,VOI,PADDY,-GY-G,3,3,VOI,DANNY,GG--G,2,2,VOI,DAILY,GG-GG,1,1,LLM,DALLY,GGGGG,0,0,LLM,,,,,
83,INIGO,True,5,RATES,-----,5,5,VOI,DILLY,-Y---,5,5,VOI,CHINK,--GY-,4,4,VOI,ONION,YGG--,3,3,LLM,INIGO,GGGGG,0,0,LLM,,,,,
84,KRILL,True,4,RATES,Y----,5,5,VOI,PROMO,-G---,4,4,VOI,BRICK,-GG-Y,3,3,VOI,KRILL,GGGGG,0,0,LLM,,,,,,,,,,
85,SNIDE,False,6,STARE,G---G,3,3,VOI,SMILE,G-G-G,2,2,VOI,SEIZE,G-G-G,2,2,VOI,SPICE,G-G-G,2,2,LLM,SHINE,G-GYG,2,2,LLM,SHRUB,G----,4,4,LLM
86,LEWES,True,4,TASER,--YG-,4,4,VOI,COLES,--YGG,3,3,VOI,LIFES,G--GG,2,2,VOI,LEWES,GGGGG,0,0,LLM,,,,,,,,,,
87,TAMER,True,4,ASTER,Y-YGG,3,3,VOI,TAKER,GG-GG,1,1,VOI,TAPER,GG-GG,1,1,VOI,TAMER,GGGGG,0,0,LLM,,,,,,,,,,
88,COTTA,False,6,ARISE,Y----,5,5,VOI,DALLY,-Y---,5,5,VOI,POOJA,-G--G,3,3,VOI,MOCHA,-GY-G,3,3,LLM,TAPIR,YY---,5,5,LLM,TOAST,YGY-Y,4,4,LLM
89,CORBY,True,4,READS,Y----,5,5,VOI,CROFT,GYY--,4,4,VOI,CORNY,GGG-G,1,1,VOI,CORBY,GGGGG,0,0,LLM,,,,,,,,,,
90,POLIS,True,4,DARES,----G,4,4,VOI,BLOCS,-YY-G,4,4,VOI,SOLIS,-GGGG,1,1,VOI,POLIS,GGGGG,0,0,LLM,,,,,,,,,,
91,ROXAS,True,6,LASER,-YY-Y,5,5,VOI,TRASK,-YYY-,5,4,VOI,SYRIA,Y-Y-Y,5,5,VOI,SYRUP,Y-Y--,5,5,LLM,ROJAS,GG-GG,1,1,LLM,ROXAS,GGGGG,0,0,LLM
92,RANCE,True,5,AIRES,Y-YY-,5,4,VOI,GRADE,-YY-G,4,3,VOI,HAVRE,-G-YG,3,3,VOI,RANCH,GGGG-,1,1,LLM,RANCE,GGGGG,0,0,LLM,,,,,
93,CARON,True,4,EARNS,-GGY-,3,3,VOI,VARUN,-GG-G,2,2,VOI,BARON,-GGGG,1,1,VOI,CARON,GGGGG,0,0,LLM,,,,,,,,,,
